Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       17.2000       14.2100       8.00000       0.00000      0.581781E-04   0.00000      -63.2262      0.808404E-01  0.256834E-01   331.091       0.00000      -398.938       11.5500      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       17.5373       14.3764       8.00000       0.00000      0.528427E-04   0.00000      -67.8965      0.668730E-01  0.609269E-01   327.289       0.00000      -400.795       11.1263      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       17.8555       14.5376       8.00000       0.00000      0.740395E-04   0.00000      -44.0571      0.410127E-01  0.270055E-01   184.984       0.00000      -402.553       10.7806      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       18.0822       14.6249       8.00000       0.00000      0.665203E-04   0.00000      -57.5507      0.358193E-01  0.227277E-01   236.535       0.00000      -403.809       10.3680      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       18.3342       14.7359       8.00000       0.00000      0.551965E-04   0.00000      -49.1206      0.234073E-01  0.869487E-03   182.084       0.00000      -405.208       10.0195      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       18.5224       14.8183       8.00000      0.828234E-01  0.285082E-02   0.00000      -77.1475       2.46395      -13.4643       240.279       0.00000      -406.256       9.76629      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       20.3859       14.9194       8.00000      0.116581      0.399801E-02   0.00000      -181.041      -11.5651      -68.3693       337.395       0.00000      -416.738       3.87118      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       20.7112       15.0163       8.00000      0.581028E-01  0.199129E-02   0.00000      -193.806      -11.2822      -61.4072       402.395       0.00000      -418.588       3.43081      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       21.0546       15.1458       8.00000      0.711919E-01  0.243821E-02   0.00000      -191.960      -10.1016      -65.1408       389.741       0.00000      -420.549       3.12701      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       21.3316       15.2686       8.00000      0.995805E-01  0.340859E-02  0.362329E-02  -174.060      -8.08466      -74.0524       294.192       0.00000      -422.135       2.98399      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
