"",32.500
177.5000,0.0000E+000
178.5000,-4.5393E+001
179.5000,-4.4422E+001
180.5000,-6.0616E+001
181.5000,-7.7172E+001
182.5000,-1.0833E+002
183.5000,-1.0533E+002
184.5000,-1.2360E+002
185.5000,-7.5471E+001
186.5000,-8.5616E+001
187.5000,-9.4540E+001
188.5000,-6.5587E+001
189.5000,-9.9487E+001
190.5000,-1.0256E+002
191.5000,-5.5981E+001
192.5000,-6.2823E+001
193.5000,-8.1336E+001
194.5000,-6.7091E+001
195.5000,-6.5811E+001
196.5000,-8.3732E+001
197.5000,-8.0564E+001
198.5000,-6.1238E+001
199.5000,-7.0797E+001
200.5000,-1.0417E+002
201.5000,-1.0989E+002
202.5000,-1.3118E+002
203.5000,-1.5763E+002
204.5000,-1.2845E+002
205.5000,-1.1000E+002
206.5000,-1.0212E+002
207.5000,-9.7068E+001
208.5000,-1.2179E+002
209.5000,-9.0385E+001
210.5000,-8.6633E+001
211.5000,-6.8644E+001
212.5000,-1.0013E+002
213.5000,-1.0023E+002
214.5000,-7.9432E+001
215.5000,-8.5635E+001
216.5000,-1.1537E+002
217.5000,-1.0617E+002
218.5000,-8.9905E+001
219.5000,-1.1431E+002
220.5000,-1.0822E+002
221.5000,-1.0826E+002
222.5000,-9.8887E+001
223.5000,-9.7844E+001
224.5000,-9.7785E+001
225.5000,-7.5372E+001
226.5000,-8.8867E+001
227.5000,-1.0891E+002
228.5000,-1.4187E+002
229.5000,-1.0904E+002
230.5000,-1.3772E+002
231.5000,-9.7638E+001
232.5000,-9.1590E+001
233.5000,-1.3087E+002
234.5000,-1.1671E+002
235.5000,-1.3203E+002
236.5000,-7.3124E+001
237.5000,-7.8661E+001
238.5000,-1.1731E+002
239.5000,-8.5785E+001
240.5000,-3.7482E+001
241.5000,-4.2197E+001
242.5000,-4.9167E+001
243.5000,-8.7656E+001
244.5000,-1.1460E+002
245.5000,-1.1868E+002
246.5000,-8.9481E+001
247.5000,-7.3801E+001
248.5000,-6.8521E+001
249.5000,-7.9649E+001
250.5000,-9.1832E+001
251.5000,-1.1609E+002
252.5000,-1.2236E+002
253.5000,-9.1824E+001
254.5000,-7.1712E+001
255.5000,-5.4411E+001
256.5000,-6.1604E+001
257.5000,-4.2445E+001
258.5000,-4.7431E+001
259.5000,-4.9738E+001
260.5000,-7.1275E+001
261.5000,-7.5148E+001
262.5000,-9.7342E+001
263.5000,-9.9209E+001
264.5000,-8.6037E+001
265.5000,-7.6608E+001
266.5000,-9.2150E+001
267.5000,-9.1863E+001
