"",32.500
177.0000,0.0000E+000
178.0000,-4.2955E+002
179.0000,-4.2967E+002
180.0000,-4.3247E+002
181.0000,-4.3364E+002
182.0000,-4.3383E+002
183.0000,-4.3418E+002
184.0000,-4.3545E+002
185.0000,-4.3510E+002
186.0000,-4.3440E+002
187.0000,-4.2865E+002
188.0000,-4.0956E+002
189.0000,-4.1649E+002
190.0000,-4.0838E+002
191.0000,-4.2169E+002
192.0000,-4.2576E+002
193.0000,-4.2979E+002
194.0000,-4.3204E+002
195.0000,-4.3611E+002
196.0000,-4.3934E+002
197.0000,-4.3866E+002
198.0000,-4.3646E+002
199.0000,-4.3673E+002
200.0000,-4.3928E+002
201.0000,-4.4140E+002
202.0000,-4.4298E+002
203.0000,-4.4218E+002
204.0000,-4.3680E+002
205.0000,-4.3476E+002
206.0000,-4.3596E+002
207.0000,-4.3806E+002
208.0000,-4.3811E+002
209.0000,-4.3561E+002
210.0000,-4.3145E+002
211.0000,-4.3730E+002
212.0000,-4.3833E+002
213.0000,-4.4024E+002
214.0000,-4.4159E+002
215.0000,-4.4383E+002
216.0000,-4.4587E+002
217.0000,-4.4538E+002
218.0000,-4.3916E+002
219.0000,-4.4785E+002
220.0000,-4.4695E+002
221.0000,-4.4636E+002
222.0000,-4.4738E+002
223.0000,-4.4812E+002
224.0000,-4.4890E+002
225.0000,-4.4807E+002
226.0000,-4.4675E+002
227.0000,-4.4560E+002
228.0000,-4.4403E+002
229.0000,-4.3069E+002
230.0000,-4.3940E+002
231.0000,-4.3279E+002
232.0000,-4.3408E+002
233.0000,-4.3455E+002
234.0000,-4.3208E+002
235.0000,-4.2528E+002
236.0000,-4.1529E+002
237.0000,-4.2478E+002
238.0000,-4.2980E+002
239.0000,-4.2627E+002
240.0000,-4.2349E+002
241.0000,-4.2191E+002
242.0000,-4.1935E+002
243.0000,-4.1845E+002
244.0000,-4.1783E+002
245.0000,-4.1621E+002
246.0000,-4.1384E+002
247.0000,-4.1289E+002
248.0000,-4.1352E+002
249.0000,-4.1322E+002
250.0000,-4.1534E+002
251.0000,-4.1531E+002
252.0000,-4.1340E+002
253.0000,-4.0589E+002
254.0000,-4.1092E+002
255.0000,-4.1248E+002
256.0000,-4.1471E+002
257.0000,-4.1480E+002
258.0000,-4.1406E+002
259.0000,-4.1185E+002
260.0000,-4.1374E+002
261.0000,-4.1152E+002
262.0000,-4.1165E+002
263.0000,-4.0927E+002
264.0000,-4.0756E+002
265.0000,-4.0630E+002
266.0000,-4.0452E+002
267.0000,-3.9855E+002
268.0000,-3.8858E+002
269.0000,-3.9845E+002
270.0000,-3.9710E+002
271.0000,-3.9443E+002
272.0000,-3.9167E+002
273.0000,-3.9032E+002
274.0000,-3.9068E+002
275.0000,-3.9208E+002
276.0000,-3.9321E+002
277.0000,-3.9438E+002
278.0000,-3.9571E+002
279.0000,-3.9587E+002
280.0000,-3.9489E+002
281.0000,-3.9276E+002
282.0000,-3.8969E+002
283.0000,-3.8367E+002
284.0000,-3.8195E+002
285.0000,-3.8030E+002
286.0000,-3.7823E+002
287.0000,-3.7773E+002
288.0000,-3.7615E+002
289.0000,-3.7439E+002
290.0000,-3.7200E+002
291.0000,-3.7221E+002
292.0000,-3.7123E+002
293.0000,-3.7017E+002
294.0000,-3.6926E+002
295.0000,-3.6784E+002
296.0000,-3.6681E+002
297.0000,-3.6529E+002
298.0000,-3.6319E+002
299.0000,-3.6137E+002
300.0000,-3.6027E+002
301.0000,-3.5923E+002
302.0000,-3.5830E+002
303.0000,-3.5785E+002
304.0000,-3.5758E+002
305.0000,-3.5703E+002
306.0000,-3.5605E+002
307.0000,-3.5562E+002
308.0000,-3.5558E+002
309.0000,-3.5558E+002
310.0000,-3.5526E+002
311.0000,-3.5427E+002
312.0000,-3.5333E+002
313.0000,-3.5251E+002
314.0000,-3.5091E+002
315.0000,-3.4917E+002
316.0000,-3.4821E+002
317.0000,-3.4762E+002
318.0000,-3.4685E+002
319.0000,-3.4659E+002
320.0000,-3.4620E+002
321.0000,-3.4405E+002
322.0000,-3.4270E+002
323.0000,-3.4197E+002
324.0000,-3.4114E+002
325.0000,-3.4049E+002
326.0000,-3.3886E+002
327.0000,-3.3718E+002
328.0000,-3.3529E+002
329.0000,-3.3334E+002
330.0000,-3.3226E+002
331.0000,-3.3163E+002
332.0000,-3.3148E+002
333.0000,-3.3180E+002
334.0000,-3.3141E+002
335.0000,-3.3037E+002
336.0000,-3.2864E+002
337.0000,-3.2670E+002
338.0000,-3.2512E+002
339.0000,-3.2351E+002
340.0000,-3.2214E+002
341.0000,-3.1985E+002
342.0000,-3.1812E+002
343.0000,-3.1737E+002
344.0000,-3.1644E+002
345.0000,-3.1549E+002
346.0000,-3.1404E+002
347.0000,-3.1214E+002
348.0000,-3.0989E+002
349.0000,-3.0898E+002
350.0000,-3.0849E+002
351.0000,-3.0823E+002
352.0000,-3.0753E+002
353.0000,-3.0666E+002
354.0000,0.0000E+000
355.0000,0.0000E+000
356.0000,0.0000E+000
357.0000,0.0000E+000
358.0000,0.0000E+000
359.0000,0.0000E+000
360.0000,0.0000E+000
361.0000,0.0000E+000
362.0000,0.0000E+000
363.0000,0.0000E+000
364.0000,0.0000E+000
365.0000,0.0000E+000
366.0000,0.0000E+000
367.0000,0.0000E+000
368.0000,0.0000E+000
369.0000,0.0000E+000
370.0000,0.0000E+000
371.0000,0.0000E+000
372.0000,0.0000E+000
373.0000,0.0000E+000
374.0000,0.0000E+000
375.0000,0.0000E+000
376.0000,-3.0932E+002
377.0000,0.0000E+000
378.0000,-3.0932E+002
379.0000,0.0000E+000
380.0000,0.0000E+000
381.0000,0.0000E+000
382.0000,-3.0932E+002
383.0000,0.0000E+000
384.0000,-2.5251E+002
385.0000,-3.0932E+002
386.0000,0.0000E+000
387.0000,0.0000E+000
388.0000,0.0000E+000
389.0000,0.0000E+000
390.0000,0.0000E+000
391.0000,0.0000E+000
392.0000,0.0000E+000
393.0000,0.0000E+000
394.0000,0.0000E+000
395.0000,0.0000E+000
396.0000,0.0000E+000
397.0000,0.0000E+000
398.0000,-3.0932E+002
399.0000,-3.0932E+002
400.0000,-3.0932E+002
401.0000,0.0000E+000
402.0000,0.0000E+000
403.0000,0.0000E+000
404.0000,0.0000E+000
405.0000,0.0000E+000
406.0000,0.0000E+000
407.0000,0.0000E+000
408.0000,0.0000E+000
409.0000,0.0000E+000
410.0000,0.0000E+000
411.0000,-3.0932E+002
412.0000,-3.0932E+002
413.0000,0.0000E+000
414.0000,0.0000E+000
415.0000,0.0000E+000
416.0000,0.0000E+000
417.0000,0.0000E+000
418.0000,0.0000E+000
419.0000,0.0000E+000
420.0000,0.0000E+000
421.0000,0.0000E+000
422.0000,0.0000E+000
