"",32.900
177.0000,0.0000E+000
178.0000,9.8179E+001
179.0000,1.2554E+002
180.0000,9.6639E+001
181.0000,1.2753E+002
182.0000,1.7907E+002
183.0000,2.1357E+002
184.0000,2.0685E+002
185.0000,1.5614E+002
186.0000,5.3772E+001
187.0000,6.2668E+001
188.0000,2.5678E+001
189.0000,4.3449E+001
190.0000,1.9552E+002
191.0000,1.7206E+002
192.0000,1.5714E+002
193.0000,1.6427E+002
194.0000,1.6325E+002
195.0000,1.6444E+002
196.0000,1.3128E+002
197.0000,8.6694E+001
198.0000,7.5164E+001
199.0000,1.2152E+002
200.0000,1.8793E+002
201.0000,2.0693E+002
202.0000,1.7174E+002
203.0000,2.0254E+002
204.0000,1.9444E+002
205.0000,8.8844E+001
206.0000,1.9881E+002
207.0000,9.8774E+001
208.0000,1.9756E+002
209.0000,1.9813E+002
210.0000,1.5594E+002
211.0000,1.3187E+002
212.0000,1.3913E+002
213.0000,1.6872E+002
214.0000,1.5190E+002
215.0000,1.4661E+002
216.0000,1.6242E+002
217.0000,1.8365E+002
218.0000,1.8538E+002
219.0000,1.6613E+002
220.0000,1.2840E+002
221.0000,1.6279E+002
222.0000,1.6956E+002
223.0000,1.3004E+002
224.0000,1.5723E+002
225.0000,5.3412E+001
226.0000,1.0550E+002
227.0000,1.3631E+002
228.0000,1.7336E+002
229.0000,1.6544E+002
230.0000,1.4314E+002
231.0000,8.4456E+001
232.0000,8.3066E+001
233.0000,1.4501E+002
234.0000,1.2470E+002
235.0000,1.1399E+002
236.0000,1.4198E+002
237.0000,1.6861E+002
238.0000,1.7139E+002
239.0000,3.1198E+001
240.0000,4.8837E+001
241.0000,1.4822E+001
242.0000,1.9054E+001
243.0000,1.2423E+002
244.0000,1.3634E+002
245.0000,1.1041E+002
246.0000,1.0129E+002
247.0000,1.4914E+002
248.0000,1.4640E+002
249.0000,1.4349E+002
250.0000,1.3384E+002
251.0000,1.3335E+002
252.0000,1.4492E+002
253.0000,1.4140E+002
254.0000,1.2910E+002
255.0000,1.1427E+002
256.0000,1.3450E+002
257.0000,4.3183E+001
258.0000,2.4572E+001
259.0000,7.4851E+001
260.0000,7.9230E+001
261.0000,1.1801E+002
262.0000,7.7855E+001
263.0000,1.1829E+002
264.0000,1.2272E+002
265.0000,6.0575E+001
266.0000,1.1623E+002
267.0000,5.2819E+001
268.0000,1.5847E+001
269.0000,1.0512E+002
270.0000,1.1407E+002
271.0000,3.3859E+001
272.0000,1.0481E+002
273.0000,1.1690E+002
274.0000,1.1424E+002
275.0000,1.1405E+002
276.0000,1.0219E+002
277.0000,1.0575E+002
278.0000,9.2053E+001
279.0000,4.5472E+001
280.0000,2.7999E-001
281.0000,4.1025E+000
282.0000,1.0680E+001
283.0000,2.9510E+001
