"year","FLake","GLM","GOTM","MyLake","Obs","Simstrat","mean"
2005,21.6032576416478,23.4432021054355,23.6342061360677,24.3253700371945,23.5999997456868,24.3937273314505,23.4799526503592
2006,20.4156631075818,20.1824976884866,21.3468039657759,22.2132795582647,21.7666664123535,21.6856412472932,21.1687771134804
2007,20.028638155564,20.3124835358726,21.0897880844448,22.1246784251669,23.6342855181013,21.4879456603009,21.0087067722698
2008,19.9482923486958,20.4252965744228,21.3116509810738,22.4492322258327,21.5901087056036,21.7057608728823,21.1680466005815
2009,19.2932467667953,19.6753301620483,20.1565211441206,21.1819850776507,20.7666670481364,20.886271632236,20.2386709565702
2010,20.0866260528564,20.5666651242021,21.7853973637456,22.7236690106599,24.0666662851969,22.159087035967,21.4642889174862
2011,19.8500315832055,20.9958693186442,21.5807483092598,22.5621192144311,22.8000001907349,22.1118260984835,21.4201189048048
2012,20.4049033600351,21.087229803011,21.8238946562228,22.9987851433132,22.8666661580404,22.2401847839355,21.7109995493035
2013,20.6696326110674,21.1629471412072,21.7740113009577,22.674027795377,21.7000001271566,22.3840868887694,21.7329411474757
2014,19.5883598742278,19.7280131240389,20.6619563310043,21.7840686466383,21.7333329518636,20.9422173914702,20.5409230734759
