wind_speed,swr,c_relax_C,par_id
1.4449,1.4064,0.0049222,p0001
0.98578,0.61148,0.0047731,p0002
0.6976,1.0972,0.0051328,p0003
1.3576,1.1048,0.005488,p0004
1.1269,0.51252,0.0050499,p0005
1.4516,1.1588,0.0041227,p0006
0.86063,1.2331,0.0051689,p0007
1.4875,1.2004,0.0058758,p0008
0.8077,1.2278,0.0042414,p0009
0.55779,1.3683,0.0048916,p0010
1.0455,0.78101,0.0051968,p0011
0.50527,0.98235,0.0045117,p0012
1.2688,0.51675,0.0045787,p0013
1.4622,0.65517,0.0047703,p0014
1.3805,0.86679,0.0048038,p0015
1.2562,0.67256,0.0048377,p0016
0.50053,1.4385,0.0041311,p0017
0.91467,0.95336,0.0055012,p0018
1.4249,0.62988,0.0041022,p0019
1.314,1.4544,0.0051521,p0020
1.1156,0.71083,0.0058674,p0021
0.55481,1.3173,0.0041078,p0022
1.0581,0.90542,0.0051838,p0023
1.1233,0.54901,0.0051017,p0024
1.0675,1.2592,0.00508,p0025
0.73416,1.3327,0.0058984,p0026
1.4239,0.59759,0.0049553,p0027
1.4101,0.75594,0.0043361,p0028
1.1356,1.034,0.0048593,p0029
1.0788,0.65076,0.0057266,p0030
1.1014,0.5055,0.0049412,p0031
0.53188,1.0533,0.0057812,p0032
0.79276,0.72859,0.0050986,p0033
1.3779,0.86033,0.0057406,p0034
0.94256,0.76672,0.00539,p0035
0.99993,1.1974,0.0052061,p0036
0.94073,1.4575,0.0054954,p0037
1.1617,0.68142,0.004152,p0038
1.2456,1.1705,0.0057206,p0039
0.90232,0.89377,0.0055577,p0040
1.3144,0.56547,0.0056602,p0041
0.92239,1.0373,0.0054626,p0042
0.54671,0.5634,0.0059075,p0043
0.87552,1.471,0.004138,p0044
1.2379,0.52225,0.0058167,p0045
0.54051,1.4049,0.0048986,p0046
1.3699,1.4878,0.0057368,p0047
0.6116,1.0212,0.004869,p0048
0.80061,1.3603,0.004426,p0049
0.96926,1.1812,0.0052849,p0050
1.2934,1.148,0.0047657,p0051
0.84992,1.2434,0.0043787,p0052
1.1064,0.70412,0.0053437,p0053
1.499,0.78835,0.0052399,p0054
0.87242,1.0639,0.0047787,p0055
0.77549,0.9592,0.004194,p0056
0.73204,0.96139,0.00527,p0057
1.4859,0.84331,0.0048522,p0058
1.2962,0.77229,0.0055958,p0059
1.374,0.56883,0.0054108,p0060
0.78227,0.69997,0.0041589,p0061
1.0768,1.1196,0.0045336,p0062
0.81261,0.98611,0.005446,p0063
1.2895,1.4743,0.0058467,p0064
0.63048,0.79651,0.0057593,p0065
0.88922,0.99306,0.0044114,p0066
0.60409,0.55785,0.0053245,p0067
1.0978,1.4464,0.0054366,p0068
1.4326,1.0241,0.0049202,p0069
1.3169,1.1826,0.0043993,p0070
0.85279,0.94875,0.0042933,p0071
0.76498,1.3037,0.004597,p0072
1.4125,0.71483,0.004174,p0073
1.4615,0.87945,0.0047959,p0074
1.2674,0.70243,0.0049898,p0075
1.3191,0.88665,0.0044363,p0076
0.51749,1.3245,0.0056805,p0077
1.3252,0.68991,0.0055907,p0078
1.3954,0.97804,0.0041831,p0079
0.57411,0.62372,0.0045018,p0080
1.2719,1.1401,0.005312,p0081
1.1489,0.82864,0.0046191,p0082
0.53304,1.2954,0.0044578,p0083
0.74091,0.6879,0.004372,p0084
1.3702,0.57065,0.0053344,p0085
1.1524,1.444,0.0044535,p0086
0.81652,1.34,0.0058797,p0087
0.59467,1.4921,0.0055833,p0088
0.50297,1.19,0.0045243,p0089
0.82003,0.69702,0.005937,p0090
0.9732,1.0224,0.0056436,p0091
0.86924,0.96334,0.0050533,p0092
1.2417,0.72011,0.0043497,p0093
1.0228,1.4237,0.0047309,p0094
0.52245,1.0589,0.0042992,p0095
0.53491,0.63256,0.0054298,p0096
0.71179,1.3063,0.0044472,p0097
1.0029,1.4994,0.0045813,p0098
1.0608,1.0266,0.0055289,p0099
0.80823,0.78652,0.0052509,p0100
0.86675,0.65263,0.0046808,p0101
1.0129,0.89186,0.0047235,p0102
0.91275,1.4792,0.0047428,p0103
1.392,1.0141,0.0057121,p0104
1.4799,0.83121,0.0057309,p0105
1.0111,1.1075,0.0041255,p0106
0.66659,1.2641,0.004213,p0107
0.61419,0.51122,0.0052728,p0108
1.1755,1.0689,0.0055419,p0109
1.0697,0.57243,0.0046095,p0110
1.187,0.91199,0.0059207,p0111
0.90069,1.3083,0.0053176,p0112
1.056,0.94536,0.00558,p0113
1.3529,1.4267,0.0055509,p0114
0.91057,1.1513,0.005063,p0115
1.1205,1.4494,0.0052151,p0116
1.1386,0.92244,0.0044806,p0117
1.2297,1.4287,0.0048622,p0118
0.66307,0.90127,0.0050587,p0119
1.1821,1.0554,0.0043322,p0120
1.2269,1.2574,0.0041762,p0121
1.4767,0.76873,0.0047381,p0122
0.5396,0.59079,0.0049478,p0123
0.96209,1.3556,0.0049439,p0124
1.2212,1.029,0.0042043,p0125
0.78914,0.71207,0.0051038,p0126
0.79608,1.1165,0.0052574,p0127
1.1044,1.0414,0.0046664,p0128
1.4179,1.0709,0.004344,p0129
1.4463,0.84094,0.0045471,p0130
1.2033,0.77686,0.004683,p0131
0.82544,0.78591,0.0056192,p0132
0.57261,0.82385,0.0054724,p0133
1.1512,1.3111,0.0043847,p0134
1.208,1.0348,0.005983,p0135
1.1034,0.86313,0.0042596,p0136
1.2953,1.2021,0.0041271,p0137
1.4552,1.149,0.0043395,p0138
1.2594,1.2187,0.0057504,p0139
