wind_speed,swr,LAKE_PARAMS/c_relax_C,par_id
0.62071,1.4765,0.0077336,p0001
1.2374,1.4101,0.0099705,p0002
1.1729,1.064,0.0076243,p0003
1.1577,1.4919,0.0096837,p0004
1.3757,1.4444,0.0042625,p0005
0.50185,1.2159,0.0011475,p0006
0.74164,0.79004,0.00045619,p0007
0.84762,0.91957,0.0069642,p0008
0.83456,1.4297,0.007906,p0009
1.4619,1.092,0.0091639,p0010
1.2689,0.55608,0.00072249,p0011
1.0098,0.9354,0.006735,p0012
0.80908,0.53061,0.0085034,p0013
1.1605,0.54722,0.0086168,p0014
0.94953,0.57769,0.0023518,p0015
0.62464,1.229,0.0071167,p0016
0.6045,1.1085,0.0087167,p0017
1.3288,1.2523,0.0081017,p0018
1.0833,0.94256,0.0012619,p0019
0.59908,0.59183,0.0020696,p0020
0.65748,0.65523,0.0084806,p0021
0.99476,0.97408,0.0081834,p0022
1.4457,0.68428,0.002564,p0023
1.2024,0.94577,0.0068225,p0024
1.1251,1.1343,0.0010225,p0025
1.435,0.69212,0.0093856,p0026
1.1448,1.3619,0.0098608,p0027
0.99325,0.54825,0.0029406,p0028
1.3261,0.76364,0.0055445,p0029
0.59388,1.275,0.0014981,p0030
1.3075,1.1011,0.0018395,p0031
1.4427,0.52748,0.0052394,p0032
1.3695,1.077,0.004899,p0033
1.4069,1.4943,0.0096098,p0034
1.2656,1.132,0.0064726,p0035
0.8296,1.1527,0.0047515,p0036
1.122,0.53202,0.0022958,p0037
0.58058,1.1552,0.0023642,p0038
1.201,0.5874,0.0050229,p0039
1.0807,1.0088,0.0026756,p0040
0.55346,0.87265,0.00030687,p0041
0.79579,1.3271,0.0064355,p0042
1.1664,0.65093,0.0030518,p0043
1.0617,1.2944,0.0061684,p0044
0.6824,0.91629,0.0061013,p0045
0.62657,1.3679,0.0036382,p0046
1.3099,1.2219,0.00052336,p0047
1.0985,0.96643,0.0031187,p0048
1.0061,1.1169,0.0026614,p0049
1.1904,0.58587,0.0036956,p0050
1.168,0.81609,0.00018475,p0051
0.95873,0.64955,0.0090025,p0052
0.5625,1.2919,0.0047544,p0053
0.70205,0.67979,0.0015266,p0054
1.4681,1.2488,0.0079604,p0055
0.85396,1.4804,0.0058513,p0056
0.73063,0.88991,0.0014073,p0057
1.1411,1.0323,0.0085545,p0058
0.75202,1.4785,0.0026194,p0059
1.2288,1.2338,0.00952,p0060
1.1824,1.4926,0.0074279,p0061
1.3527,1.2307,0.0039698,p0062
1.239,0.78603,0.0058181,p0063
0.76139,0.61405,0.0015513,p0064
1.2989,1.1404,0.0021548,p0065
1.0571,0.95136,0.0056724,p0066
1.3767,1.164,0.00015484,p0067
1.0717,0.57521,0.0034127,p0068
1.1979,0.82104,0.0060086,p0069
1.3378,1.3393,0.0065716,p0070
0.65573,0.59216,0.0044447,p0071
0.81823,0.9859,0.0090572,p0072
1.2245,0.68197,0.0046742,p0073
0.61248,0.64311,0.0010467,p0074
0.65135,1.1868,0.005427,p0075
1.0538,0.50355,0.0041832,p0076
0.93098,1.3352,0.0052569,p0077
0.97518,1.1053,0.00025268,p0078
1.0316,1.4202,0.0022038,p0079
0.78445,1.4231,0.0077747,p0080
1.2637,0.8478,0.0076983,p0081
1.4997,0.83614,0.0067046,p0082
0.96221,1.4687,0.0054221,p0083
0.54254,0.83913,0.0025427,p0084
0.8962,0.72393,0.0021266,p0085
0.56441,0.8008,0.00040041,p0086
0.93398,0.66989,0.0043404,p0087
0.71087,1.1702,0.0029643,p0088
0.80024,0.65219,0.0089205,p0089
0.91372,1.0656,0.0062856,p0090
1.4338,1.0035,0.0030061,p0091
1.1988,1.4826,0.0082826,p0092
0.65357,0.62672,0.0025962,p0093
1.0106,0.94883,0.0078921,p0094
1.1523,1.4017,0.0011128,p0095
1.1428,0.70834,0.00064419,p0096
1.1884,1.007,0.0014616,p0097
0.82126,1.0153,0.0086846,p0098
1.4242,0.54566,0.0063878,p0099
0.77134,0.77715,0.0076091,p0100
0.69388,0.73462,0.00043265,p0101
1.4268,0.88793,0.0051488,p0102
1.1388,0.79467,0.0036092,p0103
0.85073,1.2733,0.005488,p0104
1.0962,0.59529,0.0088156,p0105
1.3167,0.83164,0.0089785,p0106
1.4102,1.0991,0.0023199,p0107
0.64694,0.77283,0.0058256,p0108
0.52798,1.1253,0.0039129,p0109
0.97825,0.75163,0.0028706,p0110
0.63959,0.88274,0.0043266,p0111
1.2717,1.2088,0.0031555,p0112
0.70033,1.2613,0.0047052,p0113
1.3995,0.85621,0.008339,p0114
1.2307,0.56281,0.0040711,p0115
0.82756,1.3045,0.0074251,p0116
1.3237,0.80555,0.0018119,p0117
0.62957,1.3529,0.0093014,p0118
1.4366,0.9739,0.0022618,p0119
0.89367,1.3247,0.003076,p0120
1.0515,0.55382,0.0037869,p0121
0.59554,0.74342,0.0072567,p0122
0.59744,1.4594,0.0038342,p0123
1.41,0.54122,0.0032537,p0124
0.84846,0.7466,0.00055615,p0125
0.89565,1.2793,0.0080373,p0126
1.3946,1.4895,0.0022347,p0127
1.488,0.99466,0.00039366,p0128
1.1626,0.96958,0.0075454,p0129
1.0045,1.108,0.0026344,p0130
1.2824,1.3517,0.0089081,p0131
0.7264,0.78008,0.0045119,p0132
0.50373,1.4433,0.00010487,p0133
1.4733,1.285,0.0034671,p0134
0.52083,1.0342,0.0072918,p0135
0.77774,0.82449,0.0042097,p0136
1.4654,0.61968,0.0023841,p0137
1.3978,0.85211,0.0060754,p0138
0.79277,1.3817,0.0070062,p0139
0.7056,0.97046,0.004375,p0140
1.2916,1.2255,0.0033373,p0141
1.207,0.77833,0.0066529,p0142
1.121,1.3129,0.0037338,p0143
1.3929,0.93241,0.0061967,p0144
0.51056,1.2708,0.0032367,p0145
1.3207,1.1428,0.0017139,p0146
0.87899,0.58902,0.00846,p0147
0.56765,1.1457,0.0056434,p0148
0.58789,1.1483,0.0063239,p0149
0.9714,1.3077,0.0061305,p0150
1.0236,0.70052,0.0064431,p0151
0.84481,1.0866,0.0070189,p0152
0.56855,1.195,0.003886,p0153
0.96078,1.3309,0.0049518,p0154
1.2343,0.98895,0.0041404,p0155
0.73724,1.0201,0.0058928,p0156
0.59099,0.6128,0.006248,p0157
1.1015,0.89709,0.0043792,p0158
0.76925,1.1117,0.0019238,p0159
1.2504,1.0816,0.0080545,p0160
1.0781,1.3596,0.0017843,p0161
