wind_speed,swr,LAKE_PARAMS/c_relax_C,LAKE_PARAMS/depth_w_lk,LAKE_PARAMS/T_bs_lk,par_id
0.5244,0.67356,0.0045022,2.0944,10.336,p0001
0.77201,0.92741,0.001235,5.5923,11.637,p0002
1.1046,1.0729,0.0041234,1.4342,12.491,p0003
0.59245,0.59593,0.0022817,1.4962,17.526,p0004
0.92554,1.246,0.0030913,0.99631,12.097,p0005
1.1652,1.0594,0.0057159,4.9787,9.0802,p0006
0.8676,0.89291,0.0097151,0.80405,9.1342,p0007
0.51616,1.3388,0.00799,3.4428,9.2645,p0008
1.051,1.0489,0.0035489,0.36251,6.3382,p0009
0.62465,1.1166,0.0036063,3.1586,10.181,p0010
0.85573,0.98132,0.0032025,0.35047,16.314,p0011
0.63351,1.3917,0.003762,4.357,15.005,p0012
0.81717,1.0407,0.0029201,4.6909,6.5433,p0013
0.90507,1.418,0.0062994,5.5495,17.432,p0014
0.71973,0.73271,0.009905,1.3359,7.6279,p0015
1.3934,0.74353,0.003913,0.23011,17.46,p0016
0.5448,0.54666,0.0067582,4.1145,15.378,p0017
0.79835,1.1882,0.00016153,3.529,6.784,p0018
0.56764,1.1203,0.0063911,2.5684,7.5615,p0019
1.3104,0.9198,0.0013217,4.0043,10.013,p0020
1.4803,1.0114,0.0037711,3.8231,11.298,p0021
1.3989,1.0273,0.0076297,4.1595,14.948,p0022
1.436,0.56658,0.0070078,1.6266,4.7004,p0023
0.55353,1.0366,0.0095772,1.9375,18.004,p0024
0.65891,1.3599,0.0060279,3.656,19.308,p0025
0.63081,0.66161,0.0050793,3.3134,16.574,p0026
1.3468,1.324,0.0092899,3.7367,19.291,p0027
1.2604,1.2845,0.0078815,4.2938,8.4526,p0028
1.3858,1.4725,0.0011901,3.7096,19.931,p0029
1.2164,0.7582,0.0093143,1.8254,8.5456,p0030
0.78139,0.65976,0.0027767,0.2798,19.094,p0031
0.68719,1.2342,0.0058584,5.567,12.228,p0032
1.3354,1.3008,0.0055577,5.2048,6.7185,p0033
0.58968,1.3454,0.0018061,5.0545,15.841,p0034
1.1674,1.3098,0.0096995,3.0018,6.841,p0035
1.429,0.96023,0.0055666,1.8724,13.322,p0036
1.4771,0.72442,0.0088622,4.2277,18.693,p0037
0.87624,1.3355,0.00091612,4.8349,18.626,p0038
