wind_speed,swr,LAKE_PARAMS/c_relax_C,LAKE_PARAMS/depth_bs_lk,LAKE_PARAMS/T_bs_lk,par_id
1.4096,0.70715,0.0010149,5.5083,14.267,p0001
0.7832,0.85915,0.0037467,1.8882,11.427,p0002
1.035,1.3839,0.0015624,2.2718,15.942,p0003
1.0768,0.93734,0.0090355,5.7844,12.007,p0004
1.4232,0.74966,0.00075209,0.40034,7.3117,p0005
0.74789,1.324,0.00018568,5.5805,12.398,p0006
1.3739,0.57789,0.0020983,0.59498,19.664,p0007
1.2674,1.0483,0.00058175,3.6617,19.434,p0008
1.2389,1.4029,0.009714,3.5621,5.3515,p0009
1.2162,1.3433,0.0018707,1.0268,5.7311,p0010
0.74822,1.1856,0.00053353,3.6167,8.2414,p0011
0.92798,1.3906,0.0060078,4.8539,9.9469,p0012
0.59517,0.95088,0.0095629,3.6409,13.829,p0013
0.61634,1.0142,0.0019003,4.6462,7.6831,p0014
1.0659,1.2815,0.0066737,0.88894,12.692,p0015
1.2812,1.037,0.0067117,0.9311,15.614,p0016
0.77532,1.3781,0.0062877,1.3199,16.246,p0017
1.3655,1.4418,0.0071266,4.4343,5.0351,p0018
0.69454,1.4804,0.0091979,3.845,6.6767,p0019
1.3691,0.52551,0.0050949,4.5358,19.812,p0020
1.0788,0.7896,0.0021306,3.7476,11.865,p0021
1.3825,1.2633,0.0013803,1.8701,12.929,p0022
1.4705,0.90492,0.0041148,1.6161,12.249,p0023
1.1767,1.3401,0.0080487,3.2482,17.844,p0024
0.86558,1.3643,0.0041237,5.3281,16.346,p0025
1.2007,0.80506,0.0023486,1.5812,6.3234,p0026
0.71177,0.66966,0.0039322,3.5925,14.163,p0027
0.74172,1.4275,0.0055383,4.3848,8.9535,p0028
0.78754,0.848,0.0026685,4.8102,6.9236,p0029
1.1175,1.227,0.0097628,4.9501,17.368,p0030
0.51664,0.8555,0.0050658,5.1761,7.9376,p0031
1.3218,1.2172,0.0080958,5.0784,19.8,p0032
1.0613,0.61363,0.0046203,2.4853,5.7909,p0033
0.78127,1.0412,0.0023815,0.3748,6.8327,p0034
0.71657,1.4167,0.0021444,1.212,6.5919,p0035
1.3936,0.95372,0.005247,4.8374,17.74,p0036
0.94705,0.59034,0.00027044,0.87177,6.1604,p0037
1.1651,0.62357,0.0051153,3.2303,7.4067,p0038
1.0437,0.64732,0.0039902,5.936,17.965,p0039
1.1709,0.77947,0.0079961,0.99646,11.481,p0040
0.96716,0.7516,0.0057864,2.6095,11.814,p0041
1.4878,1.2893,0.0091248,1.1985,6.971,p0042
0.79038,0.52245,0.00029937,2.1088,10.516,p0043
1.2938,0.86504,0.0083953,1.9249,18.28,p0044
1.2511,1.1483,0.0064224,1.4763,14.217,p0045
0.88541,1.1901,0.0033579,3.3056,11.225,p0046
0.76652,1.3546,0.001669,2.4238,7.2471,p0047
0.7275,0.92279,0.0058398,2.2899,7.3565,p0048
0.81158,1.3738,0.0031776,3.711,16.888,p0049
0.90367,1.1006,0.0072724,3.335,5.6451,p0050
1.3222,1.3775,0.0073057,4.3295,12.514,p0051
0.85688,0.74168,0.0058565,2.6957,4.5903,p0052
0.62581,0.7684,0.0025924,5.1387,14.044,p0053
0.75264,0.55939,0.0061311,3.3698,15.401,p0054
1.4041,1.1047,0.0061449,3.3454,13.973,p0055
0.624,0.80007,0.00033082,3.9329,8.3788,p0056
1.0903,0.71377,0.0038928,0.60207,19.718,p0057
1.1789,0.78444,0.0015343,4.1202,7.211,p0058
0.90448,0.71113,0.0052228,3.8146,9.8222,p0059
1.3996,1.4582,0.0044979,4.3741,6.2314,p0060
1.4723,1.3922,0.0085802,0.15774,9.8721,p0061
1.339,1.1336,0.0081187,4.9341,16.297,p0062
1.4521,0.58608,0.0046734,0.97113,17.782,p0063
0.898,1.0598,0.0014065,1.5019,16.964,p0064
1.3099,0.55758,0.00131,4.7212,13.935,p0065
1.0166,0.61773,0.009356,2.331,12.48,p0066
0.73255,1.1658,0.00075734,1.0669,18.371,p0067
1.1668,0.53027,0.0025986,2.536,18.655,p0068
1.058,1.2766,0.0045933,3.3579,5.5641,p0069
1.1193,0.659,0.0043511,1.9114,19.579,p0070
0.53944,1.1767,0.0096383,0.22606,11.338,p0071
1.0189,0.56876,0.0078525,2.0434,18.883,p0072
1.1304,0.9334,0.0065884,2.9357,6.3886,p0073
1.4784,1.1717,0.0078146,0.28739,18.544,p0074
1.0935,1.4502,0.0064764,4.8587,11.325,p0075
1.0701,1.0398,0.00012345,3.2949,18.527,p0076
0.79874,0.98342,0.0016176,4.417,6.0863,p0077
0.9335,0.83078,0.0050279,1.3829,11.558,p0078
0.9534,0.50374,0.0011016,1.7105,15.076,p0079
0.94989,0.79939,0.0049606,2.2042,5.3939,p0080
1.4025,1.4947,0.0036363,4.1776,4.1707,p0081
1.1818,0.66531,0.0056438,2.598,17.041,p0082
0.52045,0.94599,0.0084479,5.6032,4.3574,p0083
1.0147,1.2334,0.0089504,5.8621,13.322,p0084
1.2159,1.3354,0.0093382,3.266,10.818,p0085
1.0113,0.50031,0.0028414,5.2514,19.063,p0086
1.4506,1.2647,0.0025463,2.0827,10.656,p0087
0.66133,0.95655,0.0032334,1.8509,16.697,p0088
1.3943,1.3484,0.0033029,0.47431,17.911,p0089
0.70735,1.4379,0.0070219,2.6356,13.307,p0090
0.5113,1.07,0.0087906,1.0467,10.253,p0091
1.3151,0.65399,0.008551,3.4027,7.8997,p0092
