wind_speed,swr,turbulence/turb_param/k_min,par_id
1.2574,0.7378,6.4272e-08,p0001
1.1808,1.2484,9.7182e-06,p0002
1.0023,0.67181,1.9696e-09,p0003
1.221,0.91737,8.0273e-12,p0004
1.0752,0.99707,7.0484e-11,p0005
1.1061,1.2728,5.2789e-12,p0006
0.56212,1.1151,6.5598e-06,p0007
0.60437,1.447,1.5132e-10,p0008
0.69458,0.59692,2.5101e-08,p0009
0.92929,0.73482,1.1441e-07,p0010
1.1156,0.86982,9.7691e-09,p0011
0.66593,0.63562,2.2056e-06,p0012
0.84667,0.56659,2.4473e-10,p0013
0.969,1.1567,8.4712e-10,p0014
0.8223,0.53058,1.674e-09,p0015
1.0775,1.0423,8.2084e-11,p0016
1.2107,0.94189,6.7508e-09,p0017
1.393,1.1182,9.3969e-10,p0018
0.77861,1.4664,2.5724e-09,p0019
1.1098,1.4611,4.8633e-10,p0020
1.2066,1.3187,4.6104e-12,p0021
1.2682,0.5798,2.0621e-10,p0022
1.1867,0.89862,2.5857e-10,p0023
1.497,1.0904,1.7228e-10,p0024
1.3113,0.95177,3.5829e-12,p0025
0.70691,0.53637,2.6597e-12,p0026
0.51705,1.2955,3.8665e-06,p0027
0.99108,0.68093,6.7962e-11,p0028
1.453,1.1014,8.3277e-09,p0029
0.81061,0.72027,1.1134e-07,p0030
1.0078,0.73926,1.2509e-07,p0031
1.0406,1.2427,1.3579e-09,p0032
0.70974,0.92554,4.9439e-10,p0033
1.0129,0.71784,1.0982e-10,p0034
1.4888,1.4015,2.3963e-08,p0035
0.53471,0.84294,3.0696e-08,p0036
0.66611,0.80084,1.1942e-08,p0037
1.264,1.0688,3.294e-10,p0038
1.2023,1.1912,6.2223e-07,p0039
1.2983,0.62649,2.0266e-12,p0040
0.55701,0.58519,3.4167e-10,p0041
1.363,0.65753,5.56e-11,p0042
1.1023,0.75245,1.5045e-08,p0043
0.80502,0.86685,2.3362e-12,p0044
0.74214,1.0215,2.9168e-08,p0045
1.2507,1.3667,1.3855e-12,p0046
0.7117,0.73281,2.8054e-06,p0047
0.5696,1.0575,2.1514e-09,p0048
1.369,0.78288,9.8144e-07,p0049
0.97571,0.78435,3.0091e-07,p0050
1.1841,1.1208,9.3001e-08,p0051
1.2905,0.79797,3.128e-10,p0052
1.0693,0.62315,3.0525e-12,p0053
0.50219,1.2661,5.8086e-08,p0054
1.1608,0.70685,2.9535e-10,p0055
0.77262,1.0942,7.349e-09,p0056
0.68832,1.1823,5.1177e-07,p0057
0.55812,0.93871,8.1302e-12,p0058
0.51103,0.76594,2.462e-08,p0059
0.78721,0.85955,3.7265e-11,p0060
1.4393,1.1248,3.9306e-06,p0061
0.91382,1.3366,5.6695e-10,p0062
1.4662,1.2184,1.1949e-10,p0063
0.72807,0.50364,9.9436e-12,p0064
0.78509,0.54849,4.9362e-08,p0065
0.76816,0.91443,3.334e-11,p0066
1.0438,1.1758,8.0709e-07,p0067
0.73846,1.0611,3.8769e-12,p0068
0.73781,0.50539,2.2633e-11,p0069
1.1458,0.80307,1.1834e-08,p0070
1.219,0.51452,1.1319e-09,p0071
0.92661,1.4694,2.5051e-12,p0072
0.61989,0.68614,5.1978e-08,p0073
0.89681,1.4423,1.8389e-07,p0074
1.0473,1.2384,4.3578e-09,p0075
0.53945,0.70114,8.1894e-09,p0076
0.79572,0.71563,6.1257e-10,p0077
1.4462,1.3539,1.4426e-10,p0078
0.90917,0.82691,5.8125e-10,p0079
1.0519,1.1136,2.409e-09,p0080
0.63404,0.59008,7.9932e-11,p0081
0.93959,1.4655,1.2591e-08,p0082
0.5855,1.1417,1.4441e-11,p0083
0.89536,0.63217,9.3117e-07,p0084
1.4876,0.83013,1.6091e-11,p0085
0.76649,0.69595,3.4614e-09,p0086
0.76493,1.3633,2.051e-06,p0087
1.3045,0.97692,2.0793e-09,p0088
0.61326,0.75732,1.815e-06,p0089
1.2487,1.1047,3.0273e-10,p0090
1.4808,0.72712,1.1745e-09,p0091
1.3362,1.2339,1.3106e-11,p0092
0.69145,0.7448,4.3393e-10,p0093
0.88535,0.5776,2.8361e-11,p0094
1.3312,0.66828,1.9756e-11,p0095
1.2839,0.99257,4.358e-06,p0096
0.74826,1.1888,5.5089e-12,p0097
0.52196,1.0122,3.3844e-08,p0098
0.90129,1.0152,3.6236e-10,p0099
1.4332,0.64375,6.4813e-10,p0100
1.4236,1.455,4.0444e-07,p0101
1.4051,1.4745,4.9841e-09,p0102
1.4409,1.1856,1.5743e-08,p0103
0.87434,1.31,1.0096e-09,p0104
1.3798,1.0078,1.6419e-12,p0105
1.2955,1.4919,1.7812e-08,p0106
0.79367,1.2804,6.6015e-06,p0107
0.67972,0.5573,3.9203e-07,p0108
1.0103,1.0528,4.1657e-09,p0109
0.90573,0.57008,1.3445e-10,p0110
1.3761,1.1948,1.2761e-12,p0111
1.4597,1.07,1.6131e-10,p0112
0.53783,0.97417,6.8568e-10,p0113
0.77517,1.178,2.689e-11,p0114
0.63168,0.59842,2.7479e-10,p0115
1.1384,1.4831,4.4682e-10,p0116
0.6622,1.1975,4.8651e-09,p0117
