wind_speed,swr,LAKE_PARAMS/c_relax_C,LAKE_PARAMS/depth_bs_lk,LAKE_PARAMS/T_bs_lk,par_id
1.0081,0.61709,0.006595,1.6837,14.858,p0001
0.70758,1.4142,0.0086511,3.1248,7.423,p0002
0.94457,0.99075,0.0045342,1.0981,14.6,p0003
1.2586,0.74069,0.0023794,4.7102,14.665,p0004
0.52404,1.2664,0.00032946,2.1357,8.301,p0005
1.1338,0.95237,0.0077825,4.4089,15.861,p0006
1.4158,0.68773,0.0015452,0.23725,4.3194,p0007
0.50297,1.0142,0.0051591,3.2165,17.362,p0008
1.4133,0.64557,0.005814,1.893,6.1814,p0009
0.50634,0.60067,0.0041582,4.1153,13.285,p0010
0.65329,1.3564,0.00068166,3.3765,16.307,p0011
0.86192,1.1608,0.0016192,5.2412,8.9893,p0012
0.81732,1.4026,0.0070644,1.4564,18.651,p0013
0.71578,0.6858,0.0016994,3.8117,4.2175,p0014
1.2036,1.1779,0.0099917,0.61228,13.42,p0015
1.0754,0.75991,0.0090679,4.0855,14.242,p0016
0.7168,0.92861,0.0025586,2.2125,4.3708,p0017
1.4958,0.63924,0.0043508,3.6339,4.2246,p0018
0.52674,0.90741,0.0076424,2.6767,11.377,p0019
1.2659,1.1883,0.00093856,5.4788,8.4177,p0020
0.78452,0.99844,0.00050211,2.7575,15.363,p0021
1.3335,1.2454,0.0019388,3.7779,5.4637,p0022
0.94199,1.2425,0.0091865,4.6048,4.387,p0023
1.2104,0.91443,0.0016471,4.6409,5.6317,p0024
1.1031,0.85167,0.0079035,2.9374,19.279,p0025
0.50935,1.2885,0.0017354,3.8374,15.875,p0026
0.69275,1.0105,0.0013096,5.5978,19.43,p0027
1.1482,0.58148,0.0040524,3.3505,10.869,p0028
1.4797,0.80327,0.0061538,5.7063,15.773,p0029
0.8047,1.3624,0.0095507,0.40261,5.7294,p0030
0.56587,0.61472,0.0042499,5.8137,7.5725,p0031
1.2904,0.96275,0.0005583,1.2993,18.756,p0032
0.63072,0.934,0.0002381,5.325,18.092,p0033
1.1693,0.88698,0.0019495,0.61997,13.765,p0034
0.66271,0.51367,0.006346,4.7362,8.4144,p0035
1.2246,1.0253,0.0051872,4.8644,17.516,p0036
1.0023,0.7932,0.0065927,3.4708,7.7777,p0037
1.223,0.97039,0.0086096,4.4436,13.953,p0038
1.3588,1.3491,0.0024033,2.6884,6.4981,p0039
0.85241,0.82159,0.0026381,3.3994,19.316,p0040
1.3861,0.89026,0.0093588,1.8318,7.7462,p0041
0.8774,0.98413,0.0013918,5.8304,6.3212,p0042
1.2717,1.293,0.0079793,0.27105,7.5258,p0043
0.79043,0.72036,0.0018487,2.7439,7.4528,p0044
0.82657,1.329,0.00070308,1.8182,19.499,p0045
1.2367,0.94408,0.0021674,1.99,9.9859,p0046
1.1968,1.0218,0.0076969,3.8418,15.516,p0047
0.85009,0.62334,0.0075508,5.4897,11.244,p0048
1.2474,1.4708,0.0016754,2.1622,7.96,p0049
1.491,1.3343,0.0073684,1.0069,12.951,p0050
1.2201,1.2257,0.0085177,2.3976,11.718,p0051
0.60141,0.58587,0.0039068,3.9825,17.959,p0052
0.9006,0.77416,0.00128,0.75285,4.8332,p0053
1.4279,1.4167,0.00054118,1.6626,12.746,p0054
1.4923,0.76471,0.0053051,1.0117,6.2424,p0055
1.2547,0.78881,0.009109,0.98597,13.087,p0056
0.9055,1.2684,0.0039865,0.85726,17.267,p0057
0.60234,0.67314,0.0098677,0.55144,13.653,p0058
1.1919,0.51193,0.0091638,4.6677,17.23,p0059
0.68595,1.0017,0.0061787,1.1143,19.561,p0060
1.1942,0.50856,0.0006438,0.71282,9.7855,p0061
1.3619,0.90507,0.0034975,5.4486,6.5591,p0062
0.79697,0.60844,0.0039764,2.32,19.062,p0063
0.8124,0.55085,0.0081203,4.0327,17.391,p0064
0.88099,0.50583,0.00065689,2.53,5.5639,p0065
1.3696,0.50078,0.0036042,0.82209,19.724,p0066
1.3759,0.57182,0.0072232,4.9798,14.541,p0067
0.90374,1.1272,0.0028607,4.3125,5.6529,p0068
1.4107,0.71837,0.0048815,4.7753,17.497,p0069
1.1733,0.80682,0.0084978,3.5527,6.0051,p0070
1.2399,1.0267,0.0076573,2.5483,19.922,p0071
1.1843,0.7175,0.009212,3.1974,15.209,p0072
1.4842,0.50393,0.0098822,3.6211,18.037,p0073
1.0533,0.57206,0.0092446,3.8891,6.1737,p0074
1.1285,0.66222,0.0072699,4.5209,4.0149,p0075
1.4707,1.4878,0.0023747,2.5557,7.0843,p0076
1.2573,0.83971,0.0032654,0.57048,5.3686,p0077
1.0468,1.4692,0.0026551,5.2025,14.805,p0078
0.72447,1.2647,0.0064364,0.95261,17.565,p0079
0.78034,1.3908,0.00091713,5.1662,14.377,p0080
1.0824,1.0725,0.0056569,3.5893,19.856,p0081
0.95832,1.4274,0.0050452,5.0175,15.105,p0082
0.93355,1.0367,0.0083495,0.10615,19.603,p0083
1.4739,0.7347,0.0093795,4.9418,8.3542,p0084
0.89356,1.145,0.008013,5.1279,12.05,p0085
1.0001,1.4627,0.0075949,1.05,4.5741,p0086
0.90877,1.136,0.0010229,0.63146,16.044,p0087
1.4196,0.85506,0.0055693,3.8015,7.3813,p0088
1.3841,1.211,0.0089999,5.459,16.847,p0089
1.3376,0.84758,0.00014364,1.8057,16.252,p0090
0.91414,1.3157,0.0009673,0.77299,8.7431,p0091
0.9564,0.82339,0.0004734,3.0566,7.1083,p0092
1.4485,1.1318,0.0070363,3.964,6.9087,p0093
0.81975,0.95409,0.0032764,0.51579,6.7591,p0094
1.4238,0.8446,0.004666,3.5365,9.5033,p0095
0.80762,1.24,0.0027119,3.5187,10.969,p0096
0.99834,0.7712,0.0036323,0.58974,11.512,p0097
0.70824,1.0952,0.0007669,2.7821,16.774,p0098
0.82151,0.70462,0.0025771,1.3176,6.4849,p0099
1.018,1.2753,0.0050174,5.2236,17.633,p0100
1.4567,1.3509,0.0020324,1.6802,19.116,p0101
1.2961,1.4432,0.009027,3.8854,5.3982,p0102
1.0958,1.0531,0.0057957,3.1411,10.374,p0103
1.4401,1.0485,0.0037532,3.9205,16.391,p0104
0.73612,1.1359,0.0030347,4.9186,4.8003,p0105
0.86816,1.1116,0.0082006,4.9042,12.298,p0106
1.468,0.69242,0.0067334,2.5062,17.441,p0107
0.9711,0.74421,0.003899,0.71672,13.375,p0108
1.0383,0.99212,0.0089758,2.9686,14.234,p0109
0.77206,0.64369,0.0025384,5.8046,4.8985,p0110
1.0151,0.957,0.0062597,5.7193,5.9415,p0111
0.68784,0.78033,0.0066731,5.5265,17.58,p0112
0.89786,1.0616,0.00049388,1.9231,10.48,p0113
0.66514,1.3675,0.0031717,5.8877,9.9587,p0114
1.0355,0.8145,0.0091477,4.8482,10.312,p0115
1.3769,1.1255,0.0056433,1.479,5.0511,p0116
1.3214,1.3937,0.0019883,0.69673,10.048,p0117
0.96793,1.3188,0.00025198,0.74083,7.742,p0118
1.346,0.92779,0.0015605,1.6374,15.047,p0119
0.92068,1.0862,0.0052319,2.5342,12.464,p0120
0.63781,0.58826,0.0014463,2.8938,11.668,p0121
0.94908,0.68116,0.0084534,4.9702,19.223,p0122
1.1999,0.59983,0.0019686,1.5443,8.4685,p0123
1.4807,0.65899,0.0074165,3.2337,10.13,p0124
0.93723,0.77954,0.0005221,2.9595,18.496,p0125
1.1101,1.4382,0.0045792,1.9862,18.289,p0126
0.5528,0.88458,0.0049778,4.5321,14.819,p0127
0.65689,1.2872,0.0013532,3.1752,6.1115,p0128
1.0724,0.64845,0.0084833,0.60229,13.316,p0129
1.2764,1.2533,0.0024459,2.6619,10.688,p0130
1.213,1.4902,0.0028236,0.94803,15.173,p0131
0.75766,1.3798,0.0083739,3.0938,14.162,p0132
1.4889,1.2305,0.0035826,1.3375,14.016,p0133
1.1582,0.92285,0.0056918,2.0981,19.966,p0134
0.72872,1.2552,0.0023038,5.6954,15.4,p0135
0.66142,0.57627,0.0041782,3.8278,18.424,p0136
0.99757,0.96708,0.0033851,1.3915,6.1327,p0137
0.80033,0.61918,0.0012227,4.5437,15.692,p0138
0.56346,1.3323,0.0094264,4.6582,16.722,p0139
0.86528,1.4207,0.0069618,2.3405,10.557,p0140
0.60779,1.2398,0.0063032,4.8705,19.813,p0141
1.2634,0.5587,0.0079368,1.5962,8.9412,p0142
1.3538,1.1071,0.0052245,5.9688,11.941,p0143
1.2806,1.1093,0.0060991,3.5243,9.4117,p0144
0.92703,0.87837,0.0045044,4.3142,9.5486,p0145
1.4087,1.2126,0.0010902,5.5572,19.016,p0146
1.1839,0.99707,0.0057474,2.0713,16.361,p0147
0.6184,1.1394,0.0038196,0.88557,4.419,p0148
0.92837,1.0506,0.0033027,4.1534,5.0944,p0149
1.3737,0.9731,0.0020631,4.2803,11.881,p0150
0.79814,1.1323,0.0032188,2.7228,6.4471,p0151
1.0426,1.4831,0.0086158,1.3534,9.8507,p0152
1.1793,0.54391,0.0031999,4.2613,17.808,p0153
1.1557,1.3802,0.0096294,2.6501,16.875,p0154
0.85704,1.447,0.0011389,5.2837,10.3,p0155
1.2954,1.2011,0.0010593,5.4974,14.734,p0156
1.2829,1.3987,0.0097889,5.342,12.73,p0157
1.1462,0.95088,0.0034529,4.7454,12.279,p0158
1.061,1.0095,0.0075242,1.1673,18.471,p0159
0.52945,0.81171,0.0053816,2.2855,14.473,p0160
0.9473,1.4108,0.0056061,5.842,7.1433,p0161
0.53425,0.96476,0.0059029,3.0396,10.412,p0162
0.98924,1.4584,0.000731,2.7194,16.999,p0163
0.73519,0.90908,0.0073575,1.1239,12.924,p0164
1.3389,0.91137,0.0033456,2.8356,16.978,p0165
1.4303,1.2949,0.0029749,0.17416,9.8057,p0166
0.50156,0.81265,0.0068836,5.7587,16.081,p0167
1.1715,1.3657,0.0077701,0.8331,18.147,p0168
1.0047,1.1802,0.0014742,3.2896,12.535,p0169
1.1301,1.0336,0.0074486,0.47457,15.669,p0170
0.90686,1.3241,0.00011466,5.2588,11.6,p0171
1.4426,0.50772,0.0079906,4.3442,14.201,p0172
1.4755,1.0591,0.001259,3.2127,16.169,p0173
1.2425,1.1922,0.00035145,2.4908,4.2687,p0174
0.69643,0.52604,0.0060418,3.2796,12.651,p0175
1.205,1.2462,0.008949,1.5666,6.0195,p0176
0.57103,1.2485,0.0071766,5.8533,4.1601,p0177
0.99268,0.76069,0.0083942,2.737,15.012,p0178
0.58394,0.65079,0.0022846,4.4386,8.818,p0179
1.3971,0.97989,0.009268,5.1793,5.5202,p0180
0.55085,0.66004,0.0029157,2.7039,11.424,p0181
1.3913,1.1524,0.00090697,1.6029,10.658,p0182
0.74786,1.1039,0.0025954,4.1995,13.463,p0183
0.82415,1.4721,0.00073755,0.31721,16.534,p0184
0.51602,0.83707,0.0068241,0.16163,5.8101,p0185
0.7928,1.2172,0.0042936,4.3651,4.518,p0186
0.65938,0.62825,0.0068033,2.5973,15.929,p0187
1.4636,1.0405,0.0038405,3.7441,8.512,p0188
0.7786,0.85921,0.0015255,3.6847,9.2186,p0189
1.0855,0.65326,0.0088486,0.21102,6.3537,p0190
1.4473,0.59012,0.0071335,1.7809,6.6789,p0191
0.62748,0.62027,0.003439,3.854,8.0957,p0192
0.95513,0.88139,0.0019111,4.7684,13.665,p0193
1.0305,1.4993,0.0059232,3.4538,5.2685,p0194
0.88258,0.57961,0.0087527,0.25782,15.265,p0195
0.74297,0.91394,0.0075331,4.1412,8.2313,p0196
1.3279,0.69814,0.0010424,4.8919,8.0286,p0197
1.1416,1.4795,0.0067844,5.0231,7.6482,p0198
1.3112,1.2727,0.0057401,2.4573,9.9266,p0199
1.1248,0.63142,0.0055504,2.6326,11.78,p0200
0.83077,1.0281,0.0036774,4.498,13.831,p0201
0.87942,0.9823,0.0088058,4.5925,12.13,p0202
0.56112,1.1051,0.009771,4.8229,19.475,p0203
0.67577,1.1781,0.002876,4.8853,18.859,p0204
0.7545,1.1503,0.0067124,3.0145,12.85,p0205
0.61342,1.4288,0.0040891,1.9487,12.383,p0206
0.95369,1.0782,0.00081438,1.7931,16.216,p0207
1.3184,0.86077,0.0065594,5.9923,11.413,p0208
0.87176,1.0669,0.009569,4.6938,18.261,p0209
1.4969,0.786,0.00018275,4.8005,6.8428,p0210
0.63203,0.82658,0.0085892,2.0835,19.985,p0211
1.2082,1.1151,0.0011581,0.89635,10.794,p0212
0.97726,1.2198,0.0021396,5.6734,11.868,p0213
1.3654,0.94971,0.0079435,2.301,10.357,p0214
1.2891,0.78259,0.0078029,0.96266,18.389,p0215
1.2682,1.2503,0.0024224,1.1559,6.7962,p0216
1.2282,0.63344,0.0043284,1.9336,9.621,p0217
1.0257,0.73688,0.0020043,4.9378,6.2913,p0218
0.62027,0.64667,0.0068979,2.3601,9.0869,p0219
0.83616,0.9379,0.0029085,0.54442,15,p0220
0.5906,0.66711,0.0076655,3.1601,13.127,p0221
0.6051,1.0162,0.0086583,5.7656,8.872,p0222
0.61466,1.1555,0.0036463,2.9802,14.782,p0223
1.4872,1.4099,0.0095883,1.4071,18.344,p0224
1.3168,0.51632,0.0040758,0.18293,17.762,p0225
0.69425,0.61065,0.0080447,0.28255,7.4885,p0226
0.94383,0.75342,0.0062051,4.0061,16.279,p0227
1.1041,1.1689,0.0084267,5.8729,7.2363,p0228
1.2855,0.63615,0.0063185,3.1101,9.2481,p0229
0.64147,1.1991,0.0047656,5.436,13.913,p0230
1.1762,1.2285,0.0037429,0.498,9.9143,p0231
1.3158,0.91956,0.0014089,5.6568,15.307,p0232
1.433,1.4365,0.0028054,1.4614,19.001,p0233
0.7419,0.56495,0.00027121,0.32881,14.585,p0234
1.0889,1.2964,0.0069939,0.39148,18.956,p0235
1.1675,1.4614,0.0060262,3.2691,11.094,p0236
1.071,1.3417,0.0062504,4.1755,17.9,p0237
0.58691,1.0715,0.003941,3.181,17.948,p0238
0.56609,0.51887,0.0069354,2.4335,10.624,p0239
0.8387,0.93886,0.0045522,4.617,8.3518,p0240
1.1535,0.59358,0.0082676,5.6018,8.5192,p0241
1.0061,1.3208,0.00187,3.7148,18.439,p0242
1.4546,0.79709,0.0094547,4.795,18.211,p0243
0.7653,0.70104,0.0047433,2.2725,18.304,p0244
0.65062,1.0577,0.004462,0.90358,8.1718,p0245
1.4207,0.73884,0.0028498,4.1351,15.782,p0246
1.46,0.59402,0.0050018,2.2696,14.451,p0247
0.93506,0.62772,0.0098209,0.79763,9.645,p0248
1.2076,1.1236,0.0064169,2.9936,11.906,p0249
1.3498,1.3032,0.0036978,4.1706,14.122,p0250
0.95088,1.3747,0.0059912,3.4451,4.6564,p0251
0.66755,1.0626,0.0054763,2.0598,4.6721,p0252
1.1079,0.82518,0.0039456,3.0195,4.7934,p0253
0.7683,1.1469,0.0054591,2.2424,6.9855,p0254
0.79433,1.259,0.0064052,1.6227,8.6669,p0255
0.92507,0.54845,0.007744,4.2768,12.778,p0256
0.50403,1.0881,0.0049233,5.048,8.1272,p0257
0.98741,1.2636,0.0086986,5.9534,19.152,p0258
1.2933,1.1209,0.0031123,0.93407,13.798,p0259
0.68371,0.93106,0.0037228,2.4805,9.2821,p0260
0.61671,0.5226,0.0091888,5.2783,6.4021,p0261
0.53787,1.4535,0.003008,2.3679,16.347,p0262
0.84662,1.4412,0.0082824,1.8607,13.934,p0263
1.1424,0.87572,0.009946,3.3175,7.8918,p0264
0.99014,1.2915,0.003777,2.9515,7.3281,p0265
1.1863,1.1014,0.0046232,5.7863,14.066,p0266
0.6343,0.85329,0.0071576,0.3613,7.6443,p0267
1.4364,1.0183,0.0053177,0.78479,14.09,p0268
1.3834,1.119,0.007824,5.3933,6.7514,p0269
0.70468,0.89625,0.0068466,3.5052,10.145,p0270
1.4607,0.72758,0.0038816,1.6141,15.078,p0271
1.0671,1.3273,0.0035177,4.4578,15.456,p0272
1.4829,1.1437,0.0094185,1.3677,10.5,p0273
1.3505,0.79842,0.0078485,3.4929,18.657,p0274
1.0936,1.4067,0.0010864,1.8994,15.488,p0275
1.0815,0.69753,0.0018283,1.4978,15.249,p0276
0.96514,0.53374,0.00084965,2.9,8.9197,p0277
1.3089,0.93403,0.0082411,5.0355,13.747,p0278
1.0878,0.86714,0.0067627,4.478,15.999,p0279
0.80939,1.3043,0.0034186,4.6538,15.54,p0280
1.2446,1.2701,0.0062226,4.3862,8.6202,p0281
1.3075,0.75656,0.0054198,2.4143,18.138,p0282
0.84401,0.73151,0.0026757,1.2872,14.501,p0283
0.57501,0.67176,0.00085321,3.3376,15.839,p0284
0.68838,0.51596,0.0061082,3.3911,10.737,p0285
1.1127,0.56806,0.00485,2.4366,17.044,p0286
0.53215,1.0387,0.0053422,1.043,14.693,p0287
0.92269,1.3893,0.0099657,4.8354,13.169,p0288
1.301,1.3442,0.0034797,4.3978,16.664,p0289
0.98109,0.77336,0.0011183,0.14355,4.5809,p0290
1.137,0.98058,0.0051117,1.2294,6.957,p0291
0.82951,1.1485,0.0017061,4.4715,11.057,p0292
1.0563,1.4249,0.0098233,4.3785,9.0217,p0293
0.77008,0.54632,0.0024897,5.9507,7.2721,p0294
0.72144,0.88969,0.0080838,2.0525,15.715,p0295
0.93838,0.83485,0.0058362,2.5875,10.021,p0296
1.0541,1.4127,0.0085597,3.6161,4.3426,p0297
1.4764,1.0743,0.0067271,3.2565,9.6716,p0298
0.54607,0.90125,0.0083276,1.1471,6.8679,p0299
0.91702,1.4751,0.0021037,1.0614,12.029,p0300
0.6435,0.55442,0.00029335,4.252,12.389,p0301
1.0173,1.3822,0.0092665,4.4232,10.249,p0302
0.51017,0.80426,0.0046136,4.2378,17.409,p0303
0.87252,1.4813,0.006281,1.4151,13.51,p0304
0.85444,1.3122,0.0010067,3.5602,8.6785,p0305
0.57675,0.52967,0.0066835,3.4079,10.206,p0306
0.91942,1.2808,0.00031317,2.9279,8.1432,p0307
0.71098,0.55381,0.0089633,4.329,19.368,p0308
1.2875,1.4566,0.0036079,5.9844,13.554,p0309
0.58811,0.87673,0.0071072,2.4096,13.632,p0310
1.3625,1.1832,0.00080556,5.5681,11.761,p0311
0.77668,1.3942,0.0050854,3.9709,17.134,p0312
1.098,1.433,0.0098527,2.8572,5.8378,p0313
1.2606,0.75418,0.0074704,5.8618,16.755,p0314
1.2275,1.0938,0.005432,5.4045,7.4751,p0315
0.64509,1.4459,0.0089056,2.2036,9.8696,p0316
0.87423,1.176,0.0047824,5.3364,16.51,p0317
1.4059,1.0557,0.00707,3.3598,14.349,p0318
1.3049,1.1568,0.0085413,1.4244,16.562,p0319
1.1817,1.2375,0.0013458,1.8731,11.983,p0320
0.84907,0.89418,0.00060911,5.0629,14.642,p0321
1.2313,0.86814,0.00087387,5.7468,17.734,p0322
0.67765,0.76769,0.0075841,2.353,11.826,p0323
0.59405,0.81771,0.0087311,3.4271,9.1344,p0324
0.51847,1.085,0.0013818,1.2506,6.2192,p0325
0.78211,0.73202,0.00058696,5.1397,9.734,p0326
0.5421,0.72569,0.0088799,4.5047,18.589,p0327
0.66979,0.7482,0.0093872,5.2969,8.2579,p0328
1.356,0.84275,0.0031656,1.1351,19.332,p0329
1.2141,0.56241,0.0097369,5.3593,5.1342,p0330
0.88718,1.3708,0.0044767,2.645,5.2448,p0331
0.73062,0.91674,0.0026285,5.4126,18.813,p0332
0.58481,0.7855,0.0047043,4.9912,10.459,p0333
0.78664,0.56664,0.0027337,4.0273,12.698,p0334
