wind_speed,swr,c_relax_C,par_id
1.4789,0.80833,0.00052224,p0001
0.65886,1.1168,0.0053614,p0002
1.0223,1.2874,0.00023137,p0003
0.63676,0.54538,0.0010839,p0004
1.4686,1.168,0.00014799,p0005
1.0868,0.52847,0.0002859,p0006
0.90821,0.84127,0.00012141,p0007
1.0254,0.81603,0.00021716,p0008
1.1007,1.2464,0.0078595,p0009
1.0045,0.93966,0.0001859,p0010
1.3428,1.4986,0.0083033,p0011
1.4816,1.2276,0.0002274,p0012
1.4967,1.316,0.0025904,p0013
0.5325,0.91462,0.0031242,p0014
0.88958,1.4339,0.0017261,p0015
0.77833,0.86366,0.0036172,p0016
0.71852,1.2945,0.0029566,p0017
0.82041,0.96889,0.0079855,p0018
1.0722,0.91603,0.007081,p0019
0.84982,1.2621,0.00059757,p0020
1.4457,1.2173,0.00092865,p0021
0.51271,1.1846,0.00070116,p0022
1.3973,1.2311,0.0094743,p0023
0.58522,1.0121,0.0012985,p0024
0.80881,1.4284,0.0050935,p0025
0.65764,1.3641,0.0027798,p0026
0.75968,0.65349,0.0012239,p0027
0.72967,1.3827,0.00016111,p0028
1.3091,0.76335,0.0011774,p0029
1.1193,0.67265,0.0085984,p0030
0.97017,1.2724,0.0001417,p0031
0.83168,1.3847,0.00028198,p0032
1.2918,1.1479,0.0077046,p0033
1.2103,0.6817,0.00054568,p0034
0.73883,1.0119,0.00015704,p0035
1.0152,1.2282,0.00016584,p0036
0.79686,0.67608,0.00024667,p0037
1.1539,0.96369,0.00020876,p0038
1.3692,1.0255,0.00078398,p0039
0.69612,0.73558,0.0055362,p0040
0.80714,1.4345,0.0052538,p0041
0.59359,1.4406,0.0033505,p0042
0.52649,0.99635,0.0041146,p0043
1.4677,0.50701,0.00060998,p0044
1.0921,1.3234,0.0026359,p0045
0.59976,0.59024,0.0077451,p0046
0.73787,0.92104,0.0001689,p0047
1.2481,0.52283,0.00032915,p0048
1.2637,1.4766,0.0001847,p0049
1.341,1.1624,0.0033175,p0050
0.61998,1.4371,0.0026266,p0051
0.59147,0.66259,0.0012467,p0052
0.67843,1.1027,0.0010681,p0053
