wind_speed,swr,sediment/sed_temp_mean,sediment/sed_temp_mean,par_id
1.0695,1.4233,11.25,11.989,p0001
0.66136,0.90568,5.6218,8.5874,p0002
0.77322,1.3481,18.028,14.353,p0003
1.4215,0.92355,17.769,19.538,p0004
0.82636,1.1863,13.722,13.912,p0005
0.81382,0.73745,1.0153,1.0495,p0006
0.81567,1.0803,15.406,5.1167,p0007
0.92364,1.2516,6.736,15.609,p0008
0.59134,0.83638,16.943,16.718,p0009
0.72509,0.96916,16.197,9.3069,p0010
1.1614,0.63385,14.576,12.238,p0011
0.56455,0.9132,10.365,2.0524,p0012
1.0831,0.58469,16.209,10.768,p0013
0.91508,1.1033,8.7595,14.165,p0014
0.54251,0.6239,15.112,4.9587,p0015
0.56044,1.221,7.1083,11.849,p0016
1.1223,0.8553,12.678,6.2626,p0017
1.0755,1.397,10.982,0.81211,p0018
1.0325,1.459,3.3696,15.349,p0019
0.55282,0.97708,12.628,4.0621,p0020
1.4136,1.1475,1.0469,7.2909,p0021
0.80891,0.67553,6.8692,6.2934,p0022
1.4723,0.7317,14.993,9.048,p0023
0.81008,1.0434,8.5057,17.593,p0024
1.2363,0.60964,3.888,8.0015,p0025
1.3539,1.3013,5.4919,3.0514,p0026
0.74653,1.0849,2.0788,9.4124,p0027
1.4845,1.092,6.5829,12.195,p0028
1.0155,1.3141,6.7691,2.5622,p0029
1.4928,1.0405,19.877,6.0059,p0030
0.97227,1.2675,7.4804,18.563,p0031
0.93616,1.2999,14.833,14.097,p0032
0.66443,1.3836,8.0026,13.719,p0033
0.61274,1.2226,10.559,3.2058,p0034
1.3159,0.8434,4.8669,15.747,p0035
0.68292,1.0772,13.623,2.6019,p0036
0.78697,0.68077,17.559,7.4942,p0037
0.93546,1.1423,5.8807,17.005,p0038
1.1174,1.2621,12.241,3.2261,p0039
0.69676,1.3359,19.224,6.5964,p0040
1.0009,1.0674,10.761,16.682,p0041
0.83493,0.72685,8.9229,10.909,p0042
0.53401,1.2943,1.4396,0.43636,p0043
0.52447,0.51723,11.218,3.5677,p0044
1.2596,0.65684,19.123,5.0825,p0045
0.8028,0.94171,15.626,4.937,p0046
0.83124,0.60022,9.0518,4.9949,p0047
0.86025,1.0272,14.735,1.4301,p0048
1.304,0.57464,5.2597,18.591,p0049
0.76385,1.0094,2.8004,17.056,p0050
0.87503,1.3287,8.6341,19.651,p0051
1.4414,0.66121,11.165,0.56676,p0052
0.62443,1.3251,6.0654,8.7556,p0053
0.7513,1.1611,19.646,12.979,p0054
0.78328,1.0152,14.101,18.9,p0055
1.4953,0.98689,18.843,7.4006,p0056
0.73564,1.3033,2.8577,3.9226,p0057
0.84961,0.52336,9.0037,1.7707,p0058
1.0988,0.70793,10.415,11.265,p0059
1.0027,1.2537,14.215,9.8091,p0060
1.061,1.197,6.4482,19.991,p0061
1.1414,0.70525,3.0591,13.564,p0062
0.7016,1.4838,8.7304,17.147,p0063
1.1461,0.61665,10.938,12.791,p0064
1.2927,1.1419,0.62083,19.09,p0065
1.3686,1.4479,3.6239,1.9957,p0066
0.56944,0.71337,16.336,0.70744,p0067
1.1795,0.5861,19.739,16.311,p0068
1.2115,1.4048,13.479,17.234,p0069
1.4503,0.77787,8.4281,18.462,p0070
1.308,1.2083,2.1719,10.177,p0071
1.309,0.8248,8.107,6.825,p0072
1.3843,0.85259,12.99,17.116,p0073
