wind_speed,swr,sediment/sed_temp_mean,sediment/sed_temp_mean,glm_setup/max_layer_thick,par_id
1.3584,1.3719,8.2455,13.444,0.24713,p0001
1.1703,0.60892,11.791,1.9643,0.74783,p0002
1.2043,0.71692,14.828,15.207,0.53045,p0003
0.70289,1.1561,19.446,2.0282,0.34524,p0004
0.57479,0.56702,4.3636,0.85251,0.27146,p0005
0.75812,1.4801,2.8044,0.4627,0.4201,p0006
1.1975,1.2197,0.65938,5.7718,0.44535,p0007
1.435,0.84939,6.5149,11.159,0.23925,p0008
0.74448,0.78732,11.872,0.96401,0.74698,p0009
1.2107,0.622,5.1116,1.7512,0.41399,p0010
0.61675,1.1208,13.315,19.241,0.69837,p0011
1.0111,1.1078,4.5774,13.95,0.60799,p0012
1.487,1.0771,8.0577,18.205,0.41088,p0013
1.4264,0.85406,6.3519,17.853,0.20188,p0014
1.0051,0.97375,6.6629,18.374,0.70478,p0015
0.87912,0.79365,3.2178,14.94,0.26693,p0016
1.0549,0.64656,13.391,16.929,0.43219,p0017
1.398,1.1635,5.7421,6.665,0.52458,p0018
0.95788,0.59588,16.765,9.1008,0.24938,p0019
0.71984,0.84308,19.772,1.6751,0.65282,p0020
1.2784,0.90537,16.068,10.18,0.65321,p0021
0.52742,1.4354,13.774,16.058,0.25079,p0022
1.0951,1.3231,13.719,7.8524,0.63107,p0023
0.98518,1.3336,18.607,17.802,0.51377,p0024
0.69687,0.56078,15.367,5.3535,0.61655,p0025
1.204,0.86515,6.8669,14.25,0.25266,p0026
0.66689,1.3484,17.354,4.4075,0.36416,p0027
1.3454,1.1326,16.844,17.038,0.20494,p0028
0.64263,0.88081,6.0528,7.4257,0.3043,p0029
1.3146,1.39,11.464,7.1564,0.24333,p0030
0.60351,0.74105,10.631,17.576,0.65774,p0031
1.3361,1.0902,11.375,17.399,0.66736,p0032
1.4772,1.1308,2.5285,7.0968,0.3602,p0033
1.4339,0.63867,9.414,11.105,0.45903,p0034
1.353,1.3463,6.2178,18.074,0.50567,p0035
1.4959,1.0655,3.4826,10.597,0.64125,p0036
1.4998,0.78046,15.676,4.5508,0.21687,p0037
0.653,1.0852,9.3003,12.669,0.5908,p0038
0.87242,0.89627,5.3451,2.911,0.42144,p0039
1.2275,0.70282,2.6248,12.213,0.54074,p0040
0.81173,1.4624,17.744,9.0366,0.4163,p0041
1.349,1.2315,12.876,17.676,0.20345,p0042
1.0029,1.0413,15.914,10.705,0.35431,p0043
0.68606,0.59744,12.474,19.75,0.70297,p0044
1.4233,0.64888,5.1965,5.7038,0.59513,p0045
0.76064,1.2894,9.8225,18.941,0.29306,p0046
0.63443,1.3149,14.346,13.368,0.51014,p0047
0.71393,0.82499,18.646,4.948,0.69039,p0048
0.63604,0.66934,16.796,3.2008,0.67363,p0049
1.4656,0.69816,12.856,12.085,0.41892,p0050
0.55127,1.2424,2.0945,4.0258,0.37456,p0051
0.72195,1.0498,10.32,19.918,0.30638,p0052
0.74272,0.50838,6.0215,13.644,0.54589,p0053
0.77784,1.436,11.424,1.9164,0.5665,p0054
0.76905,1.0931,8.2298,17.984,0.55561,p0055
0.93472,1.296,10.604,19.939,0.33287,p0056
1.2328,0.68164,4.7347,4.3167,0.27377,p0057
1.3399,1.4954,11.023,0.68544,0.20078,p0058
0.52072,1.293,11.703,0.65912,0.31981,p0059
0.78367,1.2515,2.9635,11.938,0.34119,p0060
1.4735,0.93651,17.478,12.901,0.42502,p0061
1.196,1.2253,3.5572,9.1071,0.70688,p0062
0.50993,1.0446,12.997,9.478,0.22614,p0063
0.60515,1.238,9.5723,11.633,0.61224,p0064
1.2578,1.0275,6.2011,3.1286,0.28842,p0065
1.2606,1.4201,5.9436,15.003,0.3406,p0066
1.1238,0.66349,7.9759,4.1355,0.51855,p0067
0.83331,0.96353,7.4315,2.5911,0.58123,p0068
1.2345,1.0395,8.5877,13.809,0.38429,p0069
0.7998,0.53347,12.208,0.5792,0.31827,p0070
0.58243,0.98344,17.918,16.794,0.55345,p0071
1.1805,1.3377,4.2504,1.6031,0.72681,p0072
0.64702,1.0034,3.1494,1.2514,0.55299,p0073
1.1781,0.95134,7.0448,10.986,0.22897,p0074
