wind_speed,swr,turbulence/turb_param/k_min,par_id
0.84029,1.3584,3.4904e-12,p0001
0.82266,0.50623,3.6347e-11,p0002
1.359,1.2905,9.7292e-12,p0003
0.77949,0.72164,2.4088e-10,p0004
0.94311,0.96957,2.9138e-06,p0005
1.153,1.0319,2.3248e-11,p0006
0.87666,0.75277,2.157e-10,p0007
1.1606,1.069,1.1059e-06,p0008
0.91635,1.0659,6.2316e-11,p0009
1.4179,0.8916,2.2985e-07,p0010
0.99479,1.3525,2.3532e-10,p0011
0.74717,1.4241,7.368e-12,p0012
1.3532,0.95701,1.9207e-08,p0013
1.2145,1.2758,1.2221e-12,p0014
0.65221,0.85408,8.0708e-12,p0015
0.61532,0.7785,6.5064e-11,p0016
1.0459,1.2862,2.2386e-10,p0017
0.59448,0.70201,2.2699e-06,p0018
0.94811,0.75031,4.1915e-06,p0019
1.367,1.1301,6.4897e-06,p0020
0.88973,1.0902,5.4044e-06,p0021
0.60598,0.60734,3.5122e-10,p0022
1.016,0.67187,1.568e-11,p0023
1.1225,1.0593,8.976e-12,p0024
1.4897,1.2438,5.4676e-12,p0025
0.63273,0.88166,1.494e-08,p0026
1.1687,0.53244,4.9622e-07,p0027
1.3655,0.79712,7.9254e-06,p0028
1.0072,1.1503,5.5102e-07,p0029
1.4145,0.94617,1.2023e-12,p0030
0.5053,1.4773,3.0895e-11,p0031
1.0685,0.76045,3.4795e-09,p0032
0.87472,0.62849,1.1644e-11,p0033
0.64176,1.0011,2.7248e-11,p0034
1.2706,0.64494,1.0358e-11,p0035
1.2483,1.3698,9.3266e-10,p0036
0.83551,0.96527,3.383e-07,p0037
0.63186,1.1429,8.0315e-07,p0038
0.91082,1.02,1.7909e-09,p0039
1.139,0.51616,1.6805e-10,p0040
0.80393,1.1387,1.1662e-10,p0041
1.4657,0.50876,2.636e-09,p0042
1.2671,1.4585,1.7433e-11,p0043
0.74109,1.1255,9.4242e-11,p0044
1.4297,0.73187,1.6708e-12,p0045
0.80878,1.3337,4.3867e-07,p0046
0.5681,0.86071,5.4492e-07,p0047
0.94504,1.3745,2.1017e-12,p0048
0.65549,1.4449,4.4393e-10,p0049
0.69024,1.2738,2.8801e-08,p0050
0.58319,1.1748,8.2457e-06,p0051
0.75415,1.0362,2.8272e-06,p0052
0.87132,1.1065,1.265e-08,p0053
1.1796,0.81015,2.6923e-10,p0054
1.4329,0.78595,4.1076e-06,p0055
