wind_speed,swr,Phys.par/C_shelter,par_id
1.162,0.84335,0.10058,p0001
1.1344,1.2962,0.26128,p0002
1.3879,1.4173,0.1706,p0003
0.9152,0.93637,0.074587,p0004
1.3225,0.58114,0.26553,p0005
0.91381,0.68398,0.14192,p0006
1.406,0.76973,0.22651,p0007
1.0386,0.90189,0.37963,p0008
1.4961,0.54373,0.21169,p0009
1.2954,1.3195,0.2633,p0010
0.59095,0.64634,0.19739,p0011
1.0611,1.1697,0.39646,p0012
1.1963,1.041,0.35793,p0013
0.80319,1.1134,0.30487,p0014
1.2087,0.91693,0.2786,p0015
1.0106,1.2565,0.070609,p0016
1.4213,1.2758,0.37997,p0017
1.4651,0.91442,0.31682,p0018
1.3781,0.98018,0.2299,p0019
1.4608,1.0269,0.24705,p0020
0.57168,0.51702,0.05905,p0021
0.53844,0.80479,0.10174,p0022
1.2764,1.4619,0.2645,p0023
0.59691,1.2479,0.20193,p0024
0.51765,1.0017,0.32417,p0025
0.71107,1.0694,0.32672,p0026
0.94916,1.0289,0.20582,p0027
1.0534,1.1919,0.27939,p0028
1.3242,0.55825,0.10894,p0029
0.95796,0.83168,0.13833,p0030
1.2008,1.1605,0.34509,p0031
0.84006,1.2547,0.24286,p0032
0.72116,1.2312,0.061449,p0033
0.50646,1.4805,0.14813,p0034
0.76138,0.52735,0.077249,p0035
1.478,1.4896,0.3975,p0036
1.0337,1.3934,0.38433,p0037
0.59871,1.0875,0.28589,p0038
1.3818,0.77331,0.22718,p0039
1.0988,0.72252,0.33923,p0040
1.4662,1.0089,0.13531,p0041
1.3071,0.64245,0.053167,p0042
0.94093,0.79991,0.25122,p0043
1.4266,0.87587,0.35701,p0044
1.4237,1.3231,0.24321,p0045
0.57455,0.56385,0.081064,p0046
0.75642,1.0469,0.34343,p0047
1.4633,0.86234,0.24929,p0048
0.53555,1.1839,0.25089,p0049
1.1943,1.2032,0.17994,p0050
0.61924,0.80144,0.058005,p0051
1.4837,1.0147,0.38268,p0052
0.74291,0.67011,0.093968,p0053
0.60165,0.8262,0.10574,p0054
0.78988,1.411,0.39982,p0055
0.70947,1.3602,0.26182,p0056
1.2932,1.0565,0.27766,p0057
0.97166,0.72634,0.34944,p0058
1.2541,0.59988,0.36412,p0059
1.0129,1.4057,0.24654,p0060
1.0791,1.2806,0.39182,p0061
0.88605,0.87297,0.20391,p0062
1.443,0.57211,0.24498,p0063
0.91778,0.65436,0.13387,p0064
1.145,1.0259,0.21867,p0065
1.0292,1.2324,0.15499,p0066
1.2585,0.5692,0.077836,p0067
0.93205,0.59082,0.19479,p0068
1.0219,0.80946,0.26908,p0069
1.0849,1.09,0.33764,p0070
0.98147,0.92916,0.11844,p0071
0.51234,0.76736,0.088072,p0072
1.1264,1.2982,0.33793,p0073
0.75251,0.71692,0.097351,p0074
1.3262,0.58401,0.24107,p0075
0.98982,1.2196,0.2602,p0076
1.2732,1.0353,0.28412,p0077
0.98571,0.87676,0.16049,p0078
0.99419,1.1038,0.079076,p0079
0.70378,1.3173,0.072855,p0080
1.289,1.2725,0.1981,p0081
1.3825,0.85763,0.38991,p0082
1.3216,1.0618,0.29166,p0083
1.4946,0.78414,0.18982,p0084
1.4591,0.94527,0.23829,p0085
1.2963,0.52013,0.1861,p0086
1.3028,1.1101,0.39571,p0087
1.13,0.74339,0.091135,p0088
0.52398,0.7283,0.074261,p0089
0.90776,0.88025,0.29724,p0090
0.80747,1.0521,0.27029,p0091
1.3008,0.92498,0.31823,p0092
1.1185,1.2354,0.1372,p0093
1.1684,1.1362,0.12025,p0094
0.61391,0.78323,0.27307,p0095
0.82359,0.69803,0.060538,p0096
0.65671,0.66354,0.066072,p0097
0.6987,0.89288,0.33059,p0098
0.6437,1.287,0.12619,p0099
0.61748,0.84121,0.21673,p0100
0.63141,0.81217,0.28199,p0101
0.7167,0.71599,0.22234,p0102
0.88396,0.98945,0.17928,p0103
1.3965,1.4369,0.21618,p0104
1.4369,0.77001,0.14565,p0105
0.57647,0.79687,0.14755,p0106
1.3057,1.0486,0.092363,p0107
1.3159,1.3794,0.12686,p0108
0.77167,0.62339,0.35586,p0109
0.52712,1.4499,0.12881,p0110
1.447,1.1943,0.14312,p0111
0.58975,1.4696,0.23021,p0112
1.2792,1.3083,0.3031,p0113
1.037,0.94113,0.19559,p0114
1.0179,0.9506,0.13907,p0115
1.19,1.1708,0.28744,p0116
1.3577,0.95708,0.36453,p0117
1.3535,1.1229,0.17388,p0118
1.4121,0.6089,0.37028,p0119
0.82714,0.66723,0.29836,p0120
1.1792,0.6485,0.37342,p0121
1.3384,0.82537,0.35511,p0122
1.114,0.9603,0.26618,p0123
1.3513,1.3738,0.27053,p0124
0.76916,0.97742,0.39404,p0125
0.70777,0.6241,0.05604,p0126
1.2615,1.3823,0.11576,p0127
0.6698,1.475,0.29497,p0128
1.2864,0.59594,0.15243,p0129
1.112,1.4536,0.079703,p0130
1.0706,0.57771,0.35317,p0131
0.78374,1.2103,0.15423,p0132
1.0913,0.89915,0.055388,p0133
1.3947,1.4383,0.071961,p0134
1.4553,1.3135,0.32881,p0135
1.0446,1.0893,0.063353,p0136
1.4302,0.65217,0.23295,p0137
0.52559,0.97476,0.13092,p0138
0.63988,0.65666,0.10516,p0139
0.60368,0.91312,0.11636,p0140
1.4563,1.0454,0.073416,p0141
0.55958,1.424,0.30588,p0142
0.9376,1.1283,0.33537,p0143
1.1053,1.4664,0.10984,p0144
0.54349,1.3663,0.37221,p0145
0.65309,1.4271,0.25588,p0146
0.69139,0.76396,0.17631,p0147
1.309,0.53693,0.20095,p0148
0.97236,1.1219,0.28636,p0149
1.4735,1.0062,0.21319,p0150
0.92828,0.70994,0.06865,p0151
0.92144,1.0196,0.23889,p0152
0.95508,0.57917,0.06474,p0153
1.1862,0.56029,0.30048,p0154
1.211,0.53541,0.32332,p0155
1.1559,1.3321,0.25764,p0156
1.3353,1.2432,0.10341,p0157
0.79174,1.4353,0.29065,p0158
0.70402,1.005,0.37791,p0159
1.2701,0.85381,0.11342,p0160
0.92641,1.1386,0.3982,p0161
0.77246,1.1746,0.12221,p0162
0.83545,1.4446,0.085851,p0163
1.1852,0.50017,0.29133,p0164
1.0562,0.70061,0.1114,p0165
0.63363,0.70271,0.14455,p0166
1.0073,0.68482,0.36128,p0167
0.80149,1.1645,0.17811,p0168
0.99738,0.50831,0.13639,p0169
1.2371,1.3745,0.30351,p0170
0.73685,0.54101,0.13442,p0171
0.68461,0.55709,0.28155,p0172
1.4447,1.471,0.10775,p0173
0.70005,0.83239,0.18652,p0174
0.58678,0.85001,0.34871,p0175
0.87244,0.94701,0.096182,p0176
0.94794,0.78879,0.37759,p0177
0.83815,1.3051,0.10276,p0178
0.56988,0.82103,0.16426,p0179
1.486,0.93333,0.098959,p0180
1.4006,0.90738,0.051737,p0181
0.79324,1.2619,0.25003,p0182
1.0746,1.4576,0.11767,p0183
1.0183,1.4734,0.27163,p0184
1.1986,0.52823,0.26706,p0185
0.53302,1.4837,0.19224,p0186
0.7648,0.57177,0.1632,p0187
1.263,0.73727,0.20623,p0188
0.73927,0.73474,0.26662,p0189
0.54656,0.79551,0.27551,p0190
1.4101,0.70614,0.12143,p0191
0.7853,0.64135,0.15057,p0192
1.3379,1.002,0.18258,p0193
0.62671,0.50402,0.32966,p0194
0.69506,1.4761,0.22486,p0195
1.2999,1.071,0.36155,p0196
1.284,0.87179,0.13572,p0197
1.0236,1.0731,0.094403,p0198
0.75405,1.1855,0.08978,p0199
0.69217,1.3816,0.11184,p0200
0.96859,0.77433,0.1908,p0201
0.95042,1.0673,0.35807,p0202
0.66438,1.3587,0.39021,p0203
0.99804,1.1414,0.34435,p0204
0.60745,0.67338,0.19017,p0205
0.59532,0.98654,0.38091,p0206
1.1226,0.51247,0.060373,p0207
1.3583,0.63015,0.38757,p0208
0.55638,1.1789,0.34188,p0209
0.51529,0.60189,0.17307,p0210
0.72981,0.55004,0.30936,p0211
1.2673,0.89112,0.3711,p0212
1.0925,1.2395,0.15603,p0213
1.1923,1.2771,0.24813,p0214
0.66651,1.13,0.37273,p0215
0.54099,0.76594,0.36792,p0216
1.1676,1.3693,0.059294,p0217
1.1592,0.89706,0.16103,p0218
1.3113,1.1463,0.36883,p0219
1.4881,1.4014,0.21908,p0220
0.77731,0.96677,0.11067,p0221
0.62374,1.288,0.35171,p0222
0.88118,1.4781,0.24561,p0223
1.3707,1.4288,0.23252,p0224
0.83785,0.95481,0.13974,p0225
0.96518,0.65829,0.087594,p0226
0.96746,1.4936,0.27982,p0227
1.1337,0.81024,0.38628,p0228
0.64155,0.72155,0.39449,p0229
1.4079,0.69242,0.39713,p0230
1.0259,1.2704,0.14119,p0231
1.0468,0.83469,0.2354,p0232
1.0005,1.0314,0.1582,p0233
1.3986,0.86938,0.36504,p0234
0.84906,0.90245,0.33611,p0235
