wind_speed,swr,Phys.par/C_shelter,par_id
1.4015,1.116,0.15048,p0001
1.185,0.86313,0.31034,p0002
1.4388,1.4126,0.19783,p0003
1.2592,1.2676,0.31308,p0004
0.78557,1.245,0.13068,p0005
0.92879,1.0955,0.27249,p0006
1.1456,0.86569,0.30222,p0007
1.0235,0.60074,0.35278,p0008
0.56196,0.55749,0.26644,p0009
0.5354,1.2881,0.38569,p0010
1.1997,0.94508,0.35427,p0011
1.1087,1.0919,0.20683,p0012
0.80808,0.99074,0.3345,p0013
0.72957,1.3593,0.22955,p0014
0.92279,1.1233,0.32161,p0015
0.64225,1.3248,0.32977,p0016
0.55765,1.2031,0.1055,p0017
1.389,1.1308,0.28465,p0018
1.055,1.1821,0.19983,p0019
1.1594,1.0874,0.32362,p0020
1.4103,0.80368,0.23775,p0021
1.4266,1.2437,0.36983,p0022
0.77521,1.2502,0.36703,p0023
1.499,1.4113,0.35821,p0024
1.2713,1.4623,0.27869,p0025
0.9945,1.3086,0.20885,p0026
0.87378,0.88646,0.36818,p0027
1.2738,1.3175,0.052948,p0028
1.4353,1.1769,0.28372,p0029
0.60023,1.1669,0.19143,p0030
1.2925,1.1592,0.087151,p0031
0.83996,1.0899,0.30799,p0032
1.3076,1.3,0.27494,p0033
1.4372,1.481,0.16356,p0034
0.70432,0.61349,0.29242,p0035
0.9469,0.79165,0.27262,p0036
0.75043,0.59467,0.31968,p0037
0.91664,0.92008,0.14093,p0038
0.58608,0.50596,0.36352,p0039
1.225,1.0047,0.17196,p0040
0.93198,0.67562,0.11622,p0041
0.6702,0.7239,0.34697,p0042
0.59357,1.2277,0.32271,p0043
1.0018,0.71009,0.32424,p0044
1.2802,0.62621,0.36123,p0045
1.1003,0.59088,0.30526,p0046
1.1148,0.82196,0.32503,p0047
0.81184,1.2498,0.095118,p0048
0.6942,1.3992,0.12111,p0049
1.3116,0.78821,0.31487,p0050
0.97881,1.3794,0.26189,p0051
1.0441,1.126,0.16005,p0052
1.4198,0.76253,0.36057,p0053
1.2659,0.54168,0.25308,p0054
0.93246,0.50973,0.28972,p0055
1.305,0.68964,0.22418,p0056
0.65006,1.1713,0.30953,p0057
1.4143,0.76635,0.31881,p0058
0.8893,1.0283,0.16647,p0059
0.54803,1.3274,0.16218,p0060
0.5846,1.3531,0.15729,p0061
0.51596,1.2631,0.36875,p0062
0.73301,1.3844,0.18109,p0063
0.86408,0.53876,0.051969,p0064
1.3488,0.79739,0.3267,p0065
0.89314,0.9803,0.19095,p0066
0.8012,0.82277,0.34035,p0067
0.90255,1.3555,0.089259,p0068
0.50477,1.1789,0.29566,p0069
0.70155,0.5321,0.21704,p0070
0.6733,1.2086,0.1483,p0071
1.3329,1.3229,0.22547,p0072
0.62798,1.0819,0.3973,p0073
0.89508,0.89531,0.29149,p0074
0.70311,0.69044,0.31813,p0075
0.63166,1.3698,0.33056,p0076
0.76413,1.1246,0.11279,p0077
1.2522,0.95533,0.2505,p0078
