wind_speed,swr,ModelParameters/a_seiche,par_id
1.4342,0.53067,0.00061446,p0001
0.8069,1.207,0.0011825,p0002
0.80545,1.0745,0.0027818,p0003
0.60033,0.82766,0.00021763,p0004
1.1125,1.248,0.0018038,p0005
0.73273,1.1857,0.00287,p0006
1.4696,0.64021,0.0015423,p0007
0.76621,0.64778,0.0019482,p0008
0.98665,0.95562,0.0005001,p0009
1.3549,0.56922,0.0001192,p0010
1.0282,0.66382,6.6754e-05,p0011
1.4972,1.1315,0.002045,p0012
0.841,0.96885,0.0025705,p0013
1.2911,1.1171,0.0018128,p0014
1.3215,1.4791,0.00039506,p0015
1.1446,1.4443,0.00068542,p0016
1.1802,0.56381,0.002261,p0017
0.89402,0.54879,0.0011098,p0018
1.1651,0.55652,0.0002394,p0019
0.88895,1.0656,0.0010841,p0020
1.413,0.83576,0.00207,p0021
0.72088,0.896,0.00070023,p0022
0.50747,0.83944,0.0026851,p0023
1.2262,1.0563,0.0029381,p0024
1.131,0.55296,0.0017428,p0025
0.72657,1.0022,0.00044824,p0026
1.024,0.92919,0.0013119,p0027
0.51137,0.59138,0.00036285,p0028
0.58731,0.5935,0.0024699,p0029
1.1089,1.36,0.0020239,p0030
0.9398,1.3989,2.3678e-05,p0031
0.70995,1.1092,0.0029449,p0032
0.60927,0.96144,0.00047407,p0033
0.50844,1.0261,0.0015328,p0034
1.091,1.3453,0.0022342,p0035
0.85937,0.61216,0.0026907,p0036
1.0966,0.92119,0.0023894,p0037
1.2665,1.092,0.00037174,p0038
1.3595,0.60791,0.0017746,p0039
0.51529,0.85087,0.0010891,p0040
0.54978,0.66466,0.00014721,p0041
1.2502,0.64571,0.00040878,p0042
1.2998,1.2795,0.00027,p0043
0.7423,0.76236,0.0019706,p0044
1.4103,1.0948,0.00022781,p0045
0.60715,1.4495,0.0025096,p0046
1.3055,1.3034,0.0025374,p0047
0.74041,0.73645,0.00076131,p0048
1.2022,0.79134,0.0016268,p0049
0.96707,1.0843,0.0015864,p0050
1.3948,0.7664,0.00011221,p0051
1.2586,1.1901,0.00062269,p0052
1.1941,0.8251,0.0027513,p0053
0.94611,0.72885,0.0024919,p0054
0.7527,1.2444,0.00087637,p0055
1.4443,1.1186,0.0013564,p0056
1.3618,1.0905,0.0016506,p0057
1.1882,0.99289,0.0022032,p0058
1.4006,1.431,0.0015261,p0059
0.61386,0.69001,0.001162,p0060
0.59014,0.84157,0.0023306,p0061
1.0672,0.94161,0.0021776,p0062
0.62968,1.4111,0.00086456,p0063
1.2947,0.70509,0.00087118,p0064
1.4825,1.3472,0.0011454,p0065
0.59959,1.3485,0.0029272,p0066
1.3107,0.6308,0.00059106,p0067
1.4064,0.82817,0.00068073,p0068
1.489,0.74332,0.00056416,p0069
1.4745,0.97159,0.0018184,p0070
0.64908,0.75136,0.0024785,p0071
0.52117,1.2672,7.5203e-05,p0072
1.4921,0.5257,0.0029291,p0073
0.56426,1.4643,0.0009283,p0074
0.55721,1.4326,0.00010066,p0075
0.70284,1.045,0.0016122,p0076
1.2258,0.63634,0.0021867,p0077
1.1967,1.0592,0.0019643,p0078
0.79221,0.73036,0.0028625,p0079
1.0346,0.64303,2.9465e-05,p0080
1.1601,0.87397,0.0027942,p0081
1.2405,1.1241,0.00051925,p0082
0.8938,1.0994,0.0012065,p0083
1.2437,0.86843,0.0024064,p0084
1.4785,0.66958,0.0022643,p0085
0.70085,1.1747,0.0019514,p0086
0.9029,0.82233,0.001999,p0087
0.59332,1.1566,0.0012923,p0088
1.4914,1.3118,0.00057196,p0089
0.77191,1.3369,0.0029844,p0090
0.61111,1.4672,0.0012366,p0091
0.99656,0.6563,0.001459,p0092
0.50352,1.0723,0.0028603,p0093
0.83577,0.88145,0.0023558,p0094
0.97032,0.76011,0.00016246,p0095
1.2858,1.1446,0.002848,p0096
0.65999,1.4246,0.000629,p0097
0.86721,1.2968,0.000208,p0098
0.86933,1.3912,0.00069507,p0099
0.58555,1.4595,0.0023124,p0100
1.4265,1.1023,0.0020145,p0101
0.95766,1.1065,0.00083158,p0102
1.2831,1.461,0.0011574,p0103
1.0076,1.373,0.0023592,p0104
1.2701,1.2518,0.00077685,p0105
0.55445,1.203,0.0012482,p0106
0.90422,0.71329,0.002709,p0107
0.58125,0.83304,0.0014284,p0108
1.4989,1.4777,3.3919e-05,p0109
0.84794,0.70093,0.0019198,p0110
0.84475,0.92512,0.0010283,p0111
0.71771,0.88788,0.00080986,p0112
1.454,0.75544,0.0019823,p0113
1.0429,0.58146,0.0015647,p0114
0.73871,1.4959,0.0025381,p0115
0.85734,1.3673,0.0028843,p0116
1.1841,1.2328,0.0006547,p0117
1.2881,1.1356,0.00085363,p0118
1.4856,1.1598,0.0029117,p0119
1.0773,1.4939,0.00089689,p0120
1.4463,1.2844,0.0027377,p0121
1.3647,0.98342,0.0024968,p0122
0.67365,0.7704,0.0024227,p0123
1.4518,0.92266,0.0022281,p0124
0.94563,0.65928,0.00097104,p0125
1.1062,0.5012,0.00090032,p0126
0.53886,0.95181,0.00034903,p0127
0.82782,1.1501,0.00063105,p0128
0.96307,0.50453,0.0014709,p0129
1.487,1.1801,0.00080049,p0130
1.1936,0.5279,0.0021651,p0131
1.2639,1.112,0.0011946,p0132
1.1284,1.0387,0.002981,p0133
0.55024,1.3084,0.00029972,p0134
1.3999,1.3393,0.0017641,p0135
1.147,1.1053,0.00053409,p0136
0.51241,1.2712,0.0011355,p0137
0.57561,0.80524,0.0023367,p0138
1.3361,0.8219,0.0004397,p0139
0.78624,0.94391,0.00095884,p0140
1.3416,0.52225,0.001132,p0141
0.51673,1.178,0.00019215,p0142
0.69172,0.77733,0.0026026,p0143
0.60387,1.4697,0.0027715,p0144
0.62537,1.3834,0.001848,p0145
1.4956,0.63466,0.00033581,p0146
1.0815,0.76912,0.0026102,p0147
0.52446,0.54114,0.001728,p0148
1.2977,0.74679,0.0014391,p0149
0.92278,0.87071,0.0029963,p0150
0.97328,0.64988,0.0014644,p0151
1.2799,0.51044,0.0016647,p0152
0.77342,1.1956,0.0023265,p0153
1.0755,0.8766,0.0014888,p0154
1.3158,0.54706,0.002473,p0155
1.2111,0.9677,0.00222,p0156
1.0126,1.0697,0.00099691,p0157
0.74558,1.2484,0.0014857,p0158
0.68412,0.84677,0.00019077,p0159
0.85072,1.2399,0.0025063,p0160
1.1632,1.3652,0.0012565,p0161
1.4761,0.91419,0.0014075,p0162
