wind_speed,swr,LAKE_PARAMS/c_relax_C,par_id
0.861,0.96437,0.0099982,p0001
0.62199,0.69594,0.0033184,p0002
0.67613,0.69256,0.0083279,p0003
0.74611,1.4179,0.0024431,p0004
1.4214,0.68483,0.004569,p0005
1.3034,0.759,0.0097845,p0006
1.4576,1.325,0.009936,p0007
1.0239,0.83399,0.0056089,p0008
0.76834,0.5019,0.0069606,p0009
1.2085,1.23,0.0045084,p0010
0.5403,0.54341,0.0051732,p0011
1.0454,1.4623,0.0092142,p0012
1.2371,1.1422,0.0040154,p0013
1.35,1.2393,0.0028701,p0014
1.4315,1.1673,0.004182,p0015
1.2891,1.0442,0.0047297,p0016
0.60294,1.3022,0.0026753,p0017
0.91572,1.1707,0.0024277,p0018
0.72362,1.3556,0.0091541,p0019
0.97503,0.70619,0.00097135,p0020
1.4473,1.4351,0.0025619,p0021
1.2792,1.4561,0.0032109,p0022
1.3332,1.1124,0.0093289,p0023
0.52656,0.5144,0.0071822,p0024
0.77261,0.56158,0.0054108,p0025
0.95598,1.0309,0.0060106,p0026
1.4367,1.0722,0.0097704,p0027
1.0916,0.60123,0.0078619,p0028
1.4651,1.1849,0.0021539,p0029
1.2045,1.111,0.0019681,p0030
0.56499,0.80747,0.0071367,p0031
1.2756,1.2149,0.0049106,p0032
1.2643,1.1292,0.0081167,p0033
0.76709,0.80114,0.00012883,p0034
1.0896,1.4112,0.0063623,p0035
1.1735,0.71371,0.0024933,p0036
0.99625,1.412,0.0096996,p0037
0.95739,0.92746,0.0058069,p0038
0.5066,1.1484,0.0070075,p0039
1.1885,1.1564,0.0014037,p0040
1.1058,0.97003,0.0010908,p0041
1.4331,0.89325,0.0014326,p0042
1.1584,1.4222,0.00018863,p0043
1.4705,0.62038,0.002653,p0044
0.90586,0.95664,0.0050264,p0045
1.1968,0.57529,0.0044085,p0046
0.89429,0.80474,0.00035276,p0047
0.56855,1.0473,0.0089631,p0048
0.692,0.54944,0.00045429,p0049
0.75179,0.74422,0.0008671,p0050
1.1394,1.1632,0.0046215,p0051
0.6884,0.61622,0.0060988,p0052
0.83879,1.2811,0.0030585,p0053
1.3396,1.3852,0.0018597,p0054
0.90241,0.68243,0.006663,p0055
0.70088,1.4783,0.004653,p0056
1.4512,0.76699,0.0049176,p0057
0.67107,1.4823,0.00011854,p0058
1.1226,1.3959,0.0091965,p0059
0.79332,1.1802,0.0005234,p0060
1.2009,0.9943,0.001921,p0061
1.1566,1.3412,0.00093616,p0062
0.60428,1.1996,0.0027632,p0063
0.50082,0.6334,0.0024978,p0064
1.2829,1.3932,0.0038741,p0065
1.3447,0.51146,0.0002023,p0066
1.4076,1.0049,0.00083824,p0067
1.3352,0.72396,0.0012128,p0068
1.2324,0.57996,0.00676,p0069
1.2237,1.447,0.0014563,p0070
0.57898,0.8978,0.0066231,p0071
1.0281,1.1588,0.00042734,p0072
1.2069,0.94793,0.0097106,p0073
1.313,0.72145,0.0034669,p0074
1.4985,0.98657,0.0052551,p0075
1.3966,0.74029,0.0039202,p0076
1.3145,1.0077,0.0098388,p0077
0.71122,1.0113,0.0089895,p0078
1.4598,0.77635,0.0072949,p0079
0.65564,0.61216,0.0043717,p0080
0.60092,1.4076,0.0037435,p0081
0.81864,0.73434,0.0053186,p0082
1.0488,1.0413,0.0055893,p0083
0.92054,0.85588,0.0020571,p0084
0.97911,0.93249,0.0046683,p0085
0.93874,0.60436,0.0043303,p0086
1.4945,0.91367,0.0031436,p0087
1.1508,1.2425,0.0051131,p0088
1.1264,1.2872,0.0087709,p0089
0.68708,1.3692,0.0035859,p0090
0.50916,0.97907,0.0077726,p0091
1.4767,0.63505,0.0078276,p0092
0.89246,0.62585,0.0060698,p0093
0.92311,1.1788,0.00088521,p0094
1.4445,0.53022,0.0016721,p0095
1.4494,1.1519,0.00070758,p0096
0.57738,0.81948,0.004981,p0097
1.1832,1.4593,0.0099033,p0098
1.0431,1.1756,0.0099645,p0099
0.752,1.2965,0.004221,p0100
0.66428,1.236,0.0029986,p0101
1.3424,1.1173,0.0054744,p0102
0.8875,0.50542,0.0072386,p0103
1.2628,0.77898,0.0052272,p0104
0.52906,1.3462,0.0087203,p0105
0.50559,0.82679,0.0098622,p0106
1.1458,1.4984,0.0022925,p0107
1.2264,1.2506,0.0017287,p0108
0.65178,1.1061,0.0086795,p0109
1.0329,1.3813,0.0012082,p0110
1.412,0.90519,0.0052355,p0111
0.91623,1.0798,0.0052881,p0112
0.99331,1.3579,0.0036279,p0113
1.2109,1.2234,0.0048441,p0114
0.74577,0.88858,0.0057665,p0115
0.83091,0.74275,0.0079901,p0116
0.8125,0.70339,0.0030903,p0117
0.57469,0.75253,0.0088771,p0118
1.4976,1.2214,0.0041208,p0119
0.98496,1.0554,0.0065555,p0120
0.94957,1.3658,0.0061858,p0121
1.3416,0.66879,0.0015662,p0122
0.59441,1.3591,0.0061338,p0123
1.1668,1.0902,0.0045815,p0124
0.62916,1.3436,0.0013792,p0125
0.75528,1.2691,0.0071558,p0126
1.002,0.73011,0.0017203,p0127
0.90191,0.93678,0.0035643,p0128
0.7701,0.54751,0.0070775,p0129
1.4286,0.75759,0.0018683,p0130
0.73597,0.54085,0.007359,p0131
0.85513,0.86758,0.0059261,p0132
0.82587,0.80279,0.0035672,p0133
1.1855,1.1655,0.0075452,p0134
1.1646,0.71568,0.0084741,p0135
0.82918,0.71996,0.0014117,p0136
1.0272,0.9283,0.0071229,p0137
1.0727,1.2888,0.0089053,p0138
0.51491,1.0093,0.00029744,p0139
0.70679,1.0883,0.0040564,p0140
1.1544,0.96363,0.0051369,p0141
1.2876,0.5675,0.0082379,p0142
1.3173,0.69761,0.0025437,p0143
1.3989,0.58854,0.0097302,p0144
1.251,0.53417,0.0080096,p0145
1.0176,0.65332,0.0089449,p0146
1.3546,0.57689,0.0052717,p0147
1.0358,1.3639,0.0047994,p0148
0.88385,1.4307,0.0069733,p0149
1.0522,0.95239,0.0031854,p0150
1.3518,1.3988,0.0039903,p0151
1.056,1.4978,0.0042117,p0152
0.56644,0.9415,0.0097506,p0153
1.4176,0.87077,0.0059661,p0154
0.61824,1.3537,0.0058303,p0155
1.2905,1.1028,0.0081463,p0156
1.3744,0.79712,0.0041107,p0157
0.57367,0.62689,0.0091395,p0158
1.3805,0.89106,0.0076855,p0159
0.83643,1.052,0.00487,p0160
1.0082,0.73773,0.0018294,p0161
1.0814,1.4846,0.0004781,p0162
0.74227,0.55541,0.00081554,p0163
0.66147,1.2335,0.0061143,p0164
0.65884,0.64565,0.0017832,p0165
0.70302,1.2725,0.0033283,p0166
0.91092,1.386,0.0072497,p0167
0.64532,0.663,0.0021828,p0168
0.67334,1.2064,0.001474,p0169
1.2532,1.1463,0.0022117,p0170
1.1028,1.2041,0.0070199,p0171
1.1135,0.76271,0.0040664,p0172
1.428,1.4417,0.00090125,p0173
0.70989,1.0641,0.00030947,p0174
0.58232,1.4483,0.0023602,p0175
1.1304,0.6146,0.0053585,p0176
0.61572,0.92039,0.0037135,p0177
0.51655,0.71701,0.0018991,p0178
1.3651,0.76848,0.009095,p0179
1.1862,1.2126,0.0020108,p0180
0.53232,1.2415,0.0001707,p0181
1.2665,1.067,0.0034185,p0182
1.22,1.2245,0.0082187,p0183
1.2352,0.94262,0.0085015,p0184
1.2431,0.90831,0.0060556,p0185
0.96517,0.97348,0.0076797,p0186
0.72113,1.0763,0.0092537,p0187
0.88514,0.68791,0.003273,p0188
1.1367,0.57332,0.0055013,p0189
0.85129,0.80884,0.0038285,p0190
0.52266,0.98103,0.0083045,p0191
0.85761,1.1835,0.0032598,p0192
1.0699,1.4614,0.0057086,p0193
1.0606,0.81778,0.0013572,p0194
1.4001,0.88036,0.0041461,p0195
1.3111,0.86555,0.0068066,p0196
0.58982,0.81229,0.0058697,p0197
0.82707,1.472,0.0050923,p0198
0.86851,0.95569,0.0021662,p0199
1.4347,1.2945,0.0032062,p0200
0.73363,0.5198,0.00099344,p0201
0.54782,0.66418,0.0046102,p0202
0.72905,1.3205,0.0026205,p0203
1.3247,0.71194,0.0027453,p0204
1.3615,0.67647,0.0037728,p0205
1.4924,0.78387,0.00508,p0206
1.4409,0.91643,0.009654,p0207
0.58078,0.50823,0.0062744,p0208
0.87044,0.91463,0.0057259,p0209
1.3881,1.2266,0.0087796,p0210
1.3634,1.2824,0.00037294,p0211
0.53471,0.53293,0.0093177,p0212
0.92452,1.3392,0.0043774,p0213
0.55816,0.88605,0.0011384,p0214
0.57,0.72493,0.0075084,p0215
0.59385,0.75576,0.0023153,p0216
1.0067,0.68194,0.0086588,p0217
0.90854,0.77147,0.0075337,p0218
1.3791,0.58392,0.0050445,p0219
0.66381,1.2011,0.0028462,p0220
0.7758,0.87257,0.00096742,p0221
0.68179,1.2116,0.0012313,p0222
1.2951,0.59298,0.0019981,p0223
0.80925,1.3065,0.0012797,p0224
1.1762,1.2026,0.0079289,p0225
0.89921,0.99859,0.004764,p0226
1.1082,1.4251,0.0034491,p0227
1.0379,1.3088,0.0098067,p0228
1.0301,1.0603,0.00060498,p0229
1.1408,1.4659,0.0069397,p0230
0.71625,1.4897,0.0021066,p0231
1.1281,1.0486,0.0042541,p0232
0.52453,1.3233,0.0011586,p0233
1.1202,1.4396,0.0065259,p0234
1.2612,1.4541,0.0043128,p0235
1.1009,0.77429,0.0039638,p0236
0.90741,0.67218,0.0010232,p0237
1.4224,1.0193,0.0057484,p0238
0.61184,1.0155,0.0059002,p0239
1.1192,0.5592,0.008455,p0240
1.015,0.55274,0.0011224,p0241
0.64188,0.57038,0.0077485,p0242
0.63246,0.65747,0.0047432,p0243
0.92809,1.3148,0.0083902,p0244
0.96868,1.1446,0.0040971,p0245
0.64306,1.2538,0.0028965,p0246
0.56223,0.53695,0.0029769,p0247
1.4187,1.0002,0.0010416,p0248
1.3852,1.2766,0.0064939,p0249
0.80559,0.90357,0.0030129,p0250
0.78431,0.87677,0.0093501,p0251
0.79139,1.286,0.0057937,p0252
1.2293,0.62848,0.0059159,p0253
0.87346,0.59922,0.0010644,p0254
1.1357,1.2443,0.0033928,p0255
0.88893,0.58473,0.00040571,p0256
0.77685,1.0693,0.0063287,p0257
0.61346,1.0877,0.0016163,p0258
1.3476,0.54403,0.0024069,p0259
1.0417,1.2282,0.0056546,p0260
1.3919,1.3337,0.0090439,p0261
0.75864,0.6553,0.0025964,p0262
0.62522,0.61806,0.0084928,p0263
0.66883,1.4674,0.0036818,p0264
1.0563,0.84875,0.00025414,p0265
1.4038,0.63857,0.0055248,p0266
1.0797,1.134,0.0081684,p0267
1.4527,0.76498,0.00055881,p0268
1.4731,0.78574,0.0047116,p0269
0.8179,1.2936,0.0063016,p0270
0.94793,0.86947,0.009085,p0271
0.72426,0.99607,0.0073351,p0272
0.85893,1.248,0.0094293,p0273
1.096,0.58605,0.0071911,p0274
0.99006,1.0397,0.0064705,p0275
1.1437,1.2708,0.0015403,p0276
1.1783,0.73897,0.0037322,p0277
1.2409,0.98878,0.0065501,p0278
1.0851,1.3269,0.0044478,p0279
0.93321,1.2919,0.002878,p0280
1.1256,1.4431,0.0096352,p0281
0.93526,0.82313,0.0061503,p0282
0.69807,1.4451,0.008354,p0283
