wind_speed,swr,sediment/sed_temp_mean,sediment/sed_temp_mean,par_id
0.96363,0.93659,0.57607,3.5157,p0001
0.87916,1.2216,19.761,1.0284,p0002
0.67496,1.1773,12.965,11.249,p0003
1.3276,1.2674,11.099,9.8579,p0004
0.85376,1.4567,5.7943,19.898,p0005
0.7175,0.92654,14.902,1.7499,p0006
0.65926,0.71007,3.3292,9.9809,p0007
1.1354,1.3343,2.9722,14.297,p0008
1.1964,0.53397,15.005,13.419,p0009
0.77537,0.88606,1.2079,1.3149,p0010
0.59251,1.3529,16.662,4.7783,p0011
1.4775,1.0393,6.2542,1.1978,p0012
0.99371,0.90804,2.4993,10.546,p0013
0.75167,0.54053,16.466,3.31,p0014
1.2359,1.418,13.529,2.8109,p0015
0.67075,0.53735,5.5298,16.138,p0016
0.71179,0.91291,19.649,5.1044,p0017
0.79154,1.3299,7.6558,17.496,p0018
0.95904,1.3141,19.913,13.99,p0019
1.3407,1.4321,10.315,16.433,p0020
1.0582,0.8237,3.589,5.2648,p0021
1.4486,1.4977,11.992,19.416,p0022
1.2449,1.3971,13.775,14.6,p0023
0.90263,1.2813,10.735,13.121,p0024
0.68972,0.84472,12.007,11.436,p0025
1.2029,0.62269,19.401,15.35,p0026
0.9328,1.0209,9.9018,8.8623,p0027
1.273,0.96381,10.986,1.1267,p0028
1.1022,1.3461,14.283,19.168,p0029
0.83845,0.50415,9.212,18.944,p0030
0.69434,1.1873,7.3236,18.602,p0031
0.61348,1.25,15.954,10.807,p0032
1.3002,0.97309,17.472,16.379,p0033
1.0881,1.2898,0.44426,19.278,p0034
0.6802,1.1475,19.253,18.008,p0035
0.5828,1.4786,10.44,4.0969,p0036
1.0297,0.91052,16.763,4.0193,p0037
1.3949,0.68388,8.0755,9.2865,p0038
0.91952,1.4731,4.8927,7.6455,p0039
1.0448,0.66347,10.618,18.826,p0040
1.1657,1.1574,13.251,11.622,p0041
0.50532,1.3128,1.3353,14.095,p0042
0.62478,0.84039,7.4987,1.446,p0043
0.92842,0.57277,2.8492,9.0582,p0044
1.3792,1.1148,10.578,18.461,p0045
0.95111,1.2345,17.674,12.15,p0046
0.86291,1.0123,1.6646,1.5292,p0047
0.90938,1.3003,19.99,3.7096,p0048
1.0945,1.1955,16.014,7.7528,p0049
1.3465,1.1507,17.595,15.156,p0050
0.5751,0.95011,18.701,7.0467,p0051
0.52949,0.75742,0.64051,7.106,p0052
1.4657,0.97611,1.3449,5.3087,p0053
1.1905,0.97032,3.7769,6.0995,p0054
0.9166,1.2301,18.504,1.7853,p0055
1.264,0.62589,0.89627,13.922,p0056
0.58446,1.366,3.0431,10.672,p0057
1.0398,0.81369,4.0696,19.023,p0058
0.93049,0.71392,12.758,19.324,p0059
1.4015,0.56542,10.666,5.7751,p0060
0.78598,0.65265,15.554,3.4214,p0061
0.93491,0.66424,2.3693,17.331,p0062
1.2362,1.1398,4.7992,4.2428,p0063
0.60257,0.66674,17.501,11.053,p0064
1.3515,1.2098,9.1267,19.707,p0065
0.89376,0.87094,15.468,16.68,p0066
1.3581,1.0024,15.578,8.7746,p0067
0.53794,0.73688,6.8437,2.3482,p0068
1.0334,0.64084,3.2085,12.617,p0069
0.53413,1.1731,7.4688,19.396,p0070
1.4196,1.1521,1.9777,16.521,p0071
0.77889,1.0883,8.4436,10.227,p0072
1.0732,1.244,19.119,4.7274,p0073
1.242,1.4078,18,5.0841,p0074
1.4062,0.53058,2.3326,6.3067,p0075
0.56912,0.84681,5.2812,19.13,p0076
1.3645,0.59961,11.928,0.48663,p0077
1.3308,1.3571,1.581,1.5706,p0078
1.2582,1.2195,7.0852,11.353,p0079
1.3373,0.91717,15.82,8.231,p0080
0.85685,1.163,2.5459,11.553,p0081
0.81157,0.99254,2.0277,6.5485,p0082
0.78627,0.67954,14.361,11.142,p0083
1.475,0.79158,6.004,1.9251,p0084
0.70752,1.0772,1.1743,12.359,p0085
1.0677,0.85645,0.74222,2.8905,p0086
1.1858,1.3438,5.4468,1.9775,p0087
0.60149,1.3041,8.5867,16.062,p0088
0.63086,0.57718,9.9467,7.5452,p0089
1.2961,1.4448,18.467,9.116,p0090
1.2184,1.3403,5.8752,1.0674,p0091
0.89738,0.93345,9.5028,19.226,p0092
1.3062,1.1256,8.3443,5.4765,p0093
0.74586,0.90389,16.274,12.735,p0094
0.53996,0.72937,1.4904,8.1907,p0095
0.80552,1.401,3.2252,13.695,p0096
0.55403,0.64396,15.323,7.3233,p0097
0.6109,0.87259,10.22,4.0524,p0098
1.1156,0.52774,11.679,17.588,p0099
0.69824,0.5235,19.542,12.668,p0100
1.3346,1.3768,9.4282,1.1521,p0101
1.012,0.65114,4.7553,15.497,p0102
0.89451,1.0737,3.2859,3.2275,p0103
0.99027,0.69648,4.0449,10.244,p0104
0.58936,0.6728,16.416,4.1911,p0105
1.0271,1.1424,6.3044,0.86939,p0106
0.73156,1.2644,2.7493,19.456,p0107
1.0847,1.2911,19.512,12.967,p0108
0.94971,1.3706,11.136,2.6899,p0109
0.86743,1.3871,13.186,9.1743,p0110
0.51199,1.3557,10.102,8.4354,p0111
0.97287,0.84987,8.0955,15.454,p0112
0.75713,1.1302,14.639,5.7331,p0113
0.94428,1.3023,9.5495,13.773,p0114
1.0189,1.1691,18.661,3.281,p0115
0.99844,0.8654,12.691,15.617,p0116
1.4096,0.76686,6.3993,16.592,p0117
1.3806,1.4283,5.1412,12.276,p0118
0.84474,0.64573,9.0569,7.5824,p0119
1.181,1.4461,5.8478,7.8512,p0120
0.81702,0.81572,11.465,17.416,p0121
1.1298,0.74886,13.94,1.8468,p0122
0.59066,1.31,18.262,7.2371,p0123
0.8276,0.5672,10.541,5.8413,p0124
1.1988,0.60512,7.8495,9.5985,p0125
0.58135,0.96091,3.9197,11.397,p0126
1.3114,0.60179,2.1965,4.9391,p0127
1.0833,0.89121,19.013,14.903,p0128
0.65007,0.89214,0.49777,11.126,p0129
1.4997,0.8809,5.4903,12.09,p0130
1.4575,0.68844,13.994,16.226,p0131
1.3226,0.66863,11.758,16.118,p0132
0.78229,0.68537,13.76,0.54376,p0133
1.4325,1.4938,19.214,14.19,p0134
1.1089,1.1907,8.8656,3.9373,p0135
0.86514,1.3798,15.731,2.5401,p0136
0.74104,1.4243,14.588,18.903,p0137
0.56242,1.4776,14.8,8.1599,p0138
1.329,0.83018,2.6782,10.059,p0139
1.1431,1.0424,11.232,4.9993,p0140
1.4059,1.0338,4.5585,14.367,p0141
0.90536,1.1709,4.3385,18.329,p0142
1.0559,0.7836,18.135,5.6414,p0143
1.2857,1.023,1.0851,8.2776,p0144
0.56179,1.4947,17.715,7.4442,p0145
0.97863,1.0871,18.08,3.792,p0146
1.2685,0.93567,0.75804,6.2275,p0147
0.9962,0.94105,6.0083,2.3094,p0148
1.1234,0.6589,17.405,18.111,p0149
0.70808,1.0284,14.863,5.0415,p0150
0.89804,0.51982,5.0623,8.0492,p0151
1.1822,1.0445,6.6932,17.079,p0152
1.4712,0.56032,6.1644,7.2,p0153
0.71806,0.7082,15.202,19.011,p0154
1.0809,1.1997,1.3876,15.564,p0155
1.1186,1.42,7.4303,14.978,p0156
1.2628,0.92551,16.09,0.59786,p0157
1.0348,1.4583,17.353,1.0173,p0158
0.546,0.85227,6.3505,17.209,p0159
1.0776,0.95759,6.671,8.2928,p0160
0.7817,1.2043,10.803,9.6178,p0161
1.195,1.4854,5.3624,15.216,p0162
1.2983,1.0592,13.131,9.7665,p0163
1.2765,0.60641,16.943,19.543,p0164
1.3938,1.276,11.152,2.9672,p0165
1.2247,0.82443,12.33,6.2703,p0166
0.59966,1.3488,3.8499,8.6464,p0167
0.66327,0.50767,1.1141,2.8415,p0168
1.4606,1.1602,7.0584,8.5814,p0169
0.51836,0.87549,7.6081,17.713,p0170
0.752,0.70631,15.516,14.425,p0171
0.63998,0.79338,19.168,9.2454,p0172
0.72471,0.99504,15.236,19.185,p0173
0.77393,1.1833,0.85274,9.8172,p0174
0.8686,1.3809,6.4689,19.772,p0175
1.2234,1.0248,7.7971,18.188,p0176
0.64912,1.4396,12.532,17.615,p0177
0.94652,0.79459,4.1907,5.5668,p0178
0.63413,1.0507,2.7777,18.768,p0179
1.4205,1.3241,9.0151,10.088,p0180
0.92049,1.203,1.7388,17.409,p0181
0.9682,1.2722,18.18,15.925,p0182
