wind_speed,swr,ModelParameters/a_seiche,par_id
0.84256,1.1059,0.005662,p0001
1.0425,0.74612,0.0099088,p0002
1.456,0.98049,0.0071045,p0003
0.52777,0.94773,0.001117,p0004
0.72526,1.3863,0.0003704,p0005
0.62492,0.61565,0.0001784,p0006
1.4755,0.74439,0.00040125,p0007
0.53722,0.91467,0.00099921,p0008
1.0561,1.2826,0.00012956,p0009
1.1135,0.84152,0.0026912,p0010
1.4474,0.83782,0.0018346,p0011
0.8539,0.9068,0.001683,p0012
1.2567,1.0346,0.0003085,p0013
0.76297,1.4849,0.0038373,p0014
0.9909,1.3383,0.0011929,p0015
1.3269,1.4,0.00177,p0016
1.4438,0.583,0.0057215,p0017
0.50145,1.1159,0.00081896,p0018
0.5715,0.68578,0.0049783,p0019
0.5123,1.3586,0.00071629,p0020
0.84587,0.6833,0.0054923,p0021
1.2033,0.52403,0.0021425,p0022
0.50476,1.0786,0.0041005,p0023
0.91206,1.1389,0.0046775,p0024
0.87575,0.50488,0.00024872,p0025
0.93583,0.94803,0.0013444,p0026
0.59872,0.63475,0.00041153,p0027
0.8615,0.94485,0.0028765,p0028
0.53362,1.2432,0.0011736,p0029
0.7391,0.52302,0.00054813,p0030
1.4972,1.1742,0.00088804,p0031
0.76788,0.60669,0.00060369,p0032
0.89884,1.2678,0.00065515,p0033
1.1058,1.2193,0.00022409,p0034
0.60592,0.50782,0.00034277,p0035
1.0742,1.0627,0.00069322,p0036
0.80486,0.54425,0.00012748,p0037
0.91839,1.4588,0.0065995,p0038
0.90995,1.4188,0.0010634,p0039
0.97048,0.70325,0.0014909,p0040
0.79622,1.1258,0.001297,p0041
1.3799,1.3313,0.00036732,p0042
1.0626,1.0425,0.00033498,p0043
0.70253,0.96161,0.00058069,p0044
0.74232,0.80102,0.00065315,p0045
0.59429,0.96324,0.00050033,p0046
1.0032,1.1021,0.00016455,p0047
0.9077,0.84718,0.00014377,p0048
0.81227,1.4382,0.0037484,p0049
1.322,0.88636,0.0023581,p0050
0.69172,1.3076,0.0012173,p0051
1.1596,0.84513,0.00028868,p0052
1.4277,1.1262,0.0006154,p0053
1.1574,1.1927,0.0016201,p0054
1.3365,1.046,0.0002261,p0055
1.255,1.1773,0.00037817,p0056
0.64361,1.4162,0.00051014,p0057
0.92581,1.2483,0.00010097,p0058
1.4163,0.98295,0.0021832,p0059
0.98268,1.2391,0.0058849,p0060
1.3804,0.69732,0.0016631,p0061
0.58957,1.4661,0.00017962,p0062
0.58182,0.93963,0.00089942,p0063
0.84084,1.4499,0.0080189,p0064
0.89587,1.0019,0.0016322,p0065
0.70522,1.2032,0.00034577,p0066
0.86983,1.3477,0.00033866,p0067
0.56356,0.79724,0.0037207,p0068
1.293,0.85982,0.00053997,p0069
1.1777,1.4826,0.0002641,p0070
0.60143,0.57184,0.00072178,p0071
0.66836,0.58767,0.00095666,p0072
0.95438,1.3272,0.0038073,p0073
1.2299,1.4646,0.0096665,p0074
0.82403,0.78553,0.00909,p0075
1.2664,1.1943,0.00013808,p0076
1.0152,0.54135,0.00046675,p0077
0.71123,1.3816,0.00071024,p0078
1.2222,0.51081,0.00055014,p0079
0.80947,0.90887,0.0046288,p0080
1.03,0.65373,0.0072238,p0081
1.1191,0.66543,0.00043703,p0082
1.1508,0.8121,0.00068107,p0083
0.61277,0.50914,0.00018932,p0084
0.94444,1.4967,0.00018379,p0085
0.79879,1.044,0.0001705,p0086
1.0072,1.0833,0.0010564,p0087
1.0651,0.71324,0.0004055,p0088
0.61894,0.81647,0.0020659,p0089
1.3997,1.1214,0.0070038,p0090
1.2472,0.8182,0.0002459,p0091
1.3658,1.117,0.0041823,p0092
1.3096,0.72575,0.0003519,p0093
0.71604,1.4359,0.0054301,p0094
1.4403,0.6808,0.00024237,p0095
0.81842,0.87425,0.0005668,p0096
1.0259,0.90249,0.0022438,p0097
0.93989,1.1616,0.0067602,p0098
1.061,0.7921,0.00015057,p0099
0.52537,1.2521,0.003154,p0100
0.56186,0.95113,0.00012316,p0101
0.74747,1.3251,0.0025164,p0102
0.9418,0.53371,0.0034317,p0103
0.69301,1.4789,0.00035836,p0104
1.3874,0.93176,0.001021,p0105
1.1098,1.0081,0.0062571,p0106
1.2861,1.1719,0.00080597,p0107
1.3067,0.70537,0.0003062,p0108
0.53573,1.3118,0.00019703,p0109
0.6453,0.80565,0.00014957,p0110
0.5767,1.1506,0.0010694,p0111
1.0844,0.85389,0.0079413,p0112
0.5743,1.3841,0.000127,p0113
0.89641,1.1435,0.00038039,p0114
1.1835,0.95479,0.0084334,p0115
1.3024,1.3524,0.0020958,p0116
0.76447,0.55049,0.00085756,p0117
0.65558,1.0976,0.00010287,p0118
0.65679,1.0312,0.0085343,p0119
1.1899,1.2769,0.00021907,p0120
0.7599,0.90547,0.0010894,p0121
1.028,1.1903,0.0028261,p0122
1.1344,1.4131,0.00032811,p0123
1.3495,1.0204,0.0040234,p0124
0.74183,1.2243,0.00075928,p0125
1.1666,0.85607,0.0024083,p0126
1.4779,1.3432,0.00021578,p0127
0.87146,0.59709,0.00018149,p0128
0.77364,1.4877,0.0048119,p0129
0.50746,0.79869,0.00011372,p0130
0.89353,1.0817,0.0030935,p0131
1.0333,0.52958,0.00093673,p0132
1.2138,0.8099,0.0037681,p0133
0.51516,1.1675,0.0093362,p0134
0.83874,0.68974,0.00013303,p0135
0.57347,1.256,0.00028016,p0136
0.94692,0.62925,0.00047272,p0137
0.78732,0.94112,0.0030338,p0138
0.66238,0.7953,0.0060867,p0139
1.1698,1.3702,0.0093989,p0140
1.0524,1.3043,0.00013587,p0141
1.3549,1.289,0.00013476,p0142
0.70979,1.1999,0.00028303,p0143
0.88631,1.4298,0.002954,p0144
1.3636,0.57224,0.0039741,p0145
0.63097,1.1226,0.00035451,p0146
1.0921,0.57657,0.0013706,p0147
1.3175,0.86445,0.0055581,p0148
1.0878,0.86979,0.0049654,p0149
