wind_speed,swr,c_relax_C,par_id
1.0687,1.2639,0.0044567,p0001
1.1119,0.87722,0.001856,p0002
1.4982,0.90449,0.0090351,p0003
1.0052,1.0757,0.0033996,p0004
0.993,1.4864,0.0052215,p0005
1.302,1.0421,0.0084532,p0006
0.75509,1.1602,0.0057322,p0007
1.5082,0.9594,0.0056599,p0008
1.476,0.83465,0.0088449,p0009
1.414,1.4215,0.003965,p0010
0.5878,1.2708,0.0047721,p0011
1.1186,1.2621,0.0088233,p0012
1.1609,1.2774,0.0082351,p0013
1.061,0.98168,0.0013079,p0014
1.2984,1.4693,0.0049634,p0015
1.3216,1.3567,0.00013986,p0016
0.58582,1.189,0.0099576,p0017
1.4492,0.90573,0.0093988,p0018
1.5531,1.1078,0.0029891,p0019
1.0308,1.1521,0.0026653,p0020
0.66702,0.9452,0.0091354,p0021
1.3428,1.2236,0.0072082,p0022
1.2878,1.4144,0.0080121,p0023
0.77342,0.90216,0.0053259,p0024
0.59469,0.91469,0.003745,p0025
0.76281,1.4559,0.0043774,p0026
0.87318,0.88535,0.0097555,p0027
0.65044,0.9288,0.0087114,p0028
1.3555,1.4678,0.0022198,p0029
0.96746,0.93568,0.0060316,p0030
1.3317,1.2728,0.00065203,p0031
0.82088,1.2695,0.0079246,p0032
0.68672,0.9921,0.0052605,p0033
1.4884,1.086,0.0090853,p0034
0.5715,1.2304,0.0098525,p0035
0.67259,0.81557,0.0036261,p0036
0.53887,1.4299,0.0082049,p0037
1.475,1.1784,0.0046312,p0038
0.60778,1.4789,0.00067835,p0039
0.75627,1.1752,0.0022153,p0040
0.69633,1.4397,0.00012733,p0041
1.1596,1.0437,0.0043315,p0042
0.90831,1.4411,0.0081407,p0043
1.131,0.84919,0.0020393,p0044
1.1218,1.1253,0.003821,p0045
0.71334,1.3227,0.0030009,p0046
1.4595,0.93891,0.0037273,p0047
1.5603,1.167,0.0063875,p0048
0.73997,0.87061,0.0066331,p0049
0.96368,0.91039,0.0014086,p0050
1.5871,1.2784,0.0007869,p0051
0.67545,1.0295,0.0035013,p0052
1.4908,1.4464,0.0003575,p0053
0.70393,0.8266,0.009612,p0054
0.87088,1.2046,0.0065592,p0055
1.4675,1.3496,0.0038263,p0056
0.97736,1.249,0.0082475,p0057
0.90125,1.4303,0.0081728,p0058
0.7672,1.0697,0.0037764,p0059
1.0783,0.83039,0.0027366,p0060
0.52318,1.3835,0.0073678,p0061
0.62659,1.2878,0.00048547,p0062
1.4539,1.4377,0.0073972,p0063
1.6276,1.1322,0.009529,p0064
0.50045,1.4014,0.0048736,p0065
0.9071,0.83892,0.0021524,p0066
1.3823,1.4892,0.0092331,p0067
0.73158,1.2185,0.00082156,p0068
0.7931,1.1916,0.0071217,p0069
1.0219,1.3998,0.0085457,p0070
1.6468,1.4722,0.00080291,p0071
0.55327,0.86067,0.0056821,p0072
0.86717,1.2849,0.0029483,p0073
1.4055,1.0844,0.0083358,p0074
0.64098,1.2194,0.00050371,p0075
1.6179,0.84034,0.004035,p0076
0.99068,0.8207,0.0089257,p0077
1.1977,1.1827,0.0091721,p0078
1.5919,1.2607,0.003457,p0079
1.5165,1.2859,0.0019006,p0080
0.83524,1.1426,0.0081324,p0081
1.0926,1.2498,0.0057846,p0082
0.5162,0.97773,0.0071962,p0083
1.3837,1.1687,0.0058592,p0084
0.74186,0.99599,0.0059507,p0085
1.4828,1.3152,0.0035566,p0086
1.3176,1.1307,0.0018799,p0087
1.3753,1.072,0.0074387,p0088
1.2322,0.95398,0.0094323,p0089
0.63033,1.3264,0.0060799,p0090
1.2132,1.3713,0.0097168,p0091
0.9412,1.1621,0.0044781,p0092
