wind_speed,swr,wind_speed,swr,par_id
1.0183,1.127,4.1065,11.177,p0001
1.0292,1.1074,15.97,12.618,p0002
1.1652,1.1172,19.01,3.0899,p0003
1.1099,1.2169,18.293,17.698,p0004
1.12,1.093,5.0193,12.774,p0005
1.0651,1.1774,10.058,12.275,p0006
1.1167,1.1526,15.517,2.69,p0007
0.9913,1.2032,2.4372,10.466,p0008
1.119,1.1753,6.1699,19.641,p0009
1.1752,1.1643,10.978,13.53,p0010
1.1141,1.1302,0.80756,7.6482,p0011
1.1896,1.1755,17.192,1.0645,p0012
1.1566,1.205,9.5567,2.9002,p0013
1.0307,1.126,19.1,15.632,p0014
1.0242,1.1334,1.931,3.8699,p0015
1.0247,1.2175,12.139,14.875,p0016
1.0608,1.1457,7.9118,9.951,p0017
1.0513,1.1981,17.562,12.02,p0018
1.1733,1.1893,12.052,11.073,p0019
1.0034,1.2156,19.248,15.117,p0020
1.1299,1.1305,11.893,16.533,p0021
0.98698,1.124,18.385,15.609,p0022
1.1562,1.0912,10.927,2.7358,p0023
1.0504,1.1367,3.412,19.316,p0024
1.07,1.2041,3.0637,16.968,p0025
1.1764,1.1968,17.416,2.7693,p0026
1.1691,1.1194,10.461,14.673,p0027
1.0638,1.1075,4.5287,0.77281,p0028
1.0497,1.1632,19.656,1.4979,p0029
1.1365,1.1725,12.847,7.5226,p0030
0.97277,1.1785,1.2379,16.018,p0031
0.99302,1.177,3.9567,8.5996,p0032
1.0634,1.1965,19.562,13.483,p0033
1.0755,1.1591,12.352,6.4915,p0034
1.1351,1.1339,12.585,18.682,p0035
1.1259,1.1396,11.615,2.4803,p0036
1.1642,1.1912,2.2481,4.4727,p0037
1.0122,1.2032,17.877,16.304,p0038
1.058,1.1759,0.75238,16.768,p0039
1.0009,1.1315,14.881,14.034,p0040
1.1215,1.1431,16.496,6.9699,p0041
1.139,1.1623,5.1397,19.793,p0042
0.98264,1.1761,4.91,17.537,p0043
1.0675,1.1976,1.7804,4.557,p0044
1.062,1.1886,16.375,14.562,p0045
1.0236,1.1994,8.1517,8.6757,p0046
1.1056,1.133,15.61,16.655,p0047
1.0718,1.1662,2.1844,10.156,p0048
1.069,1.119,13.998,2.3282,p0049
1.1323,1.1783,8.3822,0.7377,p0050
1.131,1.1327,1.4653,7.4926,p0051
1.0391,1.1895,8.6667,1.4155,p0052
1.0027,1.1905,14.532,6.7562,p0053
1.076,1.1299,11.573,2.2878,p0054
1.0043,1.1119,15.491,11.844,p0055
1.129,1.0822,15.815,0.55257,p0056
1.1485,1.1688,1.5046,19.955,p0057
1.1078,1.1798,12.69,13.746,p0058
0.96901,1.1101,13.407,14.373,p0059
0.97841,1.1017,18.717,9.783,p0060
1.1773,1.2015,3.4917,4.266,p0061
1.144,1.1862,7.4484,14.052,p0062
0.99056,1.1889,16.34,8.494,p0063
1.159,1.1856,17.925,5.5111,p0064
0.96614,1.0829,0.69234,10.92,p0065
0.99771,1.1585,9.6311,18.83,p0066
1.1016,1.0854,6.967,5.5588,p0067
1.1175,1.1883,16.814,10.043,p0068
1.1051,1.1281,19.901,11.357,p0069
0.96993,1.1925,18.786,2.6346,p0070
0.99698,1.1051,8.2514,12.49,p0071
0.99961,1.1382,11.419,17.107,p0072
0.9958,1.1269,13.272,18.131,p0073
1.0347,1.162,10.772,3.7911,p0074
1.0568,1.1342,1.075,10.358,p0075
1.1048,1.1217,9.9221,19.447,p0076
1.1085,1.1258,6.0793,2.5412,p0077
1.1234,1.1879,3.8351,5.905,p0078
1.1656,1.1158,18.948,12.817,p0079
1.1888,1.1177,5.2665,18.591,p0080
1.0796,1.1609,8.8434,3.0386,p0081
1.0628,1.1045,6.9128,15.756,p0082
1.0921,1.1552,12.926,5.4285,p0083
1.0826,1.0807,15.093,13.346,p0084
1.0879,1.1509,3.3176,2.9327,p0085
1.1203,1.1163,11.06,7.9345,p0086
1.1326,1.1876,15.541,6.5784,p0087
1.0108,1.2095,19.811,15.327,p0088
1.1815,1.1483,10.7,1.8851,p0089
1.1528,1.2147,4.2325,1.3233,p0090
1.009,1.1681,6.8747,19.546,p0091
1.0943,1.1891,18.664,12.568,p0092
1.0729,1.2045,1.9269,17.247,p0093
1.1414,1.1872,16.656,5.4674,p0094
1.094,1.0835,14.905,8.9673,p0095
1.1349,1.2141,14.472,8.7378,p0096
1.0851,1.1292,7.202,17.96,p0097
1.041,1.1679,19.295,0.99143,p0098
1.1547,1.1459,8.0292,16.868,p0099
1.0417,1.1363,0.66649,11.454,p0100
0.97857,1.147,12.282,3.4362,p0101
1.0175,1.1247,18.426,17.29,p0102
1.1225,1.1751,12.493,17.179,p0103
1.1275,1.181,18.919,13.889,p0104
1.1792,1.2049,13.585,2.0876,p0105
1.1583,1.0916,16.086,5.9724,p0106
1.1133,1.1047,9.1968,14.801,p0107
1.1379,1.1212,5.346,11.925,p0108
1.0614,1.1972,16.408,3.812,p0109
1.0207,1.1496,14.343,8.3514,p0110
1.0023,1.1738,6.5866,6.398,p0111
1.1243,1.1448,18.127,13.231,p0112
0.98063,1.1819,11.141,3.9151,p0113
1.1533,1.086,15.23,1.601,p0114
1.0688,1.0967,4.7252,18.097,p0115
1.1538,1.099,6.0861,17.155,p0116
0.97393,1.2137,12.167,4.2209,p0117
1.1624,1.2054,15.298,3.193,p0118
0.97203,1.1256,4.5842,9.0796,p0119
1.0148,1.1138,6.3359,0.5788,p0120
0.98193,1.1142,11.785,9.6214,p0121
1.1344,1.1093,11.715,12.167,p0122
1.1115,1.1237,9.1297,8.7853,p0123
0.99206,1.1321,7.1028,15.516,p0124
1.0289,1.131,12.61,0.88544,p0125
1.0301,1.2086,4.8591,7.2718,p0126
1.1738,1.2056,2.7957,10.186,p0127
1.0253,1.1354,19.96,9.4363,p0128
1.1264,1.1743,19.484,15.264,p0129
1.0475,1.1274,1.6035,3.495,p0130
1.1544,1.0818,16.037,16.203,p0131
1.1774,1.2102,14.424,3.3522,p0132
1.0235,1.1525,18.873,16.068,p0133
1.0094,1.1537,18.462,0.84144,p0134
1.0056,1.0933,10.421,16.127,p0135
1.1635,1.2166,18.537,15.7,p0136
1.1305,1.1942,0.62809,11.476,p0137
0.98409,1.1505,16.314,2.3654,p0138
0.98446,1.1374,15.715,4.1657,p0139
0.98805,1.1547,1.9873,12.673,p0140
1.0396,1.2132,10.383,16.09,p0141
0.97535,1.1417,0.76036,1.4625,p0142
1.1686,1.0863,19.138,18.35,p0143
1.17,1.1578,18.218,13.029,p0144
1.02,1.1232,2.8799,11.033,p0145
1.1617,1.0803,4.39,13.064,p0146
1.0038,1.1984,14.373,8.9216,p0147
1.1868,1.2075,4.3393,14.112,p0148
1.015,1.0848,3.5644,5.828,p0149
0.97962,1.1536,2.7662,8.846,p0150
1.0375,1.1225,19.587,0.82695,p0151
1.1104,1.0941,16.708,4.4331,p0152
1.071,1.1001,18.598,16.581,p0153
1.0665,1.0972,17.044,7.7358,p0154
1.1719,1.1442,13.72,18.267,p0155
1.079,1.2103,13.824,14.259,p0156
1.0011,1.1468,19.284,4.3566,p0157
1.1759,1.1637,4.6631,14.339,p0158
1.168,1.1928,5.7679,17.755,p0159
1.0593,1.1434,11.19,18.489,p0160
1.1598,1.1249,11.55,18.357,p0161
1.0368,1.1326,5.4545,9.4639,p0162
1.078,1.1006,7.327,2.2168,p0163
1.0662,1.1121,16.449,13.378,p0164
1.157,1.0844,0.53428,15.962,p0165
1.1064,1.1787,1.8321,2.4498,p0166
0.98561,1.1607,17.377,16.45,p0167
1.097,1.0865,0.86413,15.384,p0168
0.96772,1.1694,7.9503,9.5384,p0169
1.1266,1.1066,8.6869,19.259,p0170
1.1634,1.1169,9.8175,4.3702,p0171
1.1766,1.2029,17.751,16.256,p0172
1.0519,1.1087,3.9883,3.2822,p0173
1.0141,1.123,16.071,8.5674,p0174
1.0365,1.0923,3.6728,10.702,p0175
1.0397,1.2098,2.6943,16.619,p0176
1.0624,1.2069,16.952,13.021,p0177
0.96932,1.1544,5.242,10.079,p0178
1.042,1.1712,9.6592,6.5967,p0179
1.1724,1.1842,16.827,5.1133,p0180
1.0339,1.1211,14.197,17.351,p0181
0.97462,1.1082,1.7472,7.684,p0182
1.1244,1.1405,8.4125,2.6282,p0183
1.0551,1.1501,13.193,12.366,p0184
0.97906,1.0939,7.9827,3.5023,p0185
1.0461,1.1288,8.24,10.417,p0186
0.97677,1.1907,13.545,8.1834,p0187
1.0465,1.1492,8.2893,9.123,p0188
1.0052,1.1703,10.295,17.012,p0189
0.9901,1.0825,16.701,8.428,p0190
1.083,1.1349,19.762,14.993,p0191
1.1502,1.1666,3.3485,9.034,p0192
1.0874,1.1116,16.871,13.559,p0193
0.96683,1.2004,12.653,14.474,p0194
1.1627,1.1482,9.7652,9.8131,p0195
1.1604,1.0956,2.6445,9.1561,p0196
1.0518,1.1415,0.95921,12.048,p0197
1.1176,1.1491,5.8747,7.6037,p0198
1.1094,1.17,5.5046,16.376,p0199
1.1751,1.1582,19.641,5.2795,p0200
1.0274,1.0902,13.038,13.332,p0201
1.0973,1.1033,15.106,0.91392,p0202
1.1672,1.1992,13.084,17.444,p0203
1.1296,1.1361,1.4071,4.5384,p0204
0.99898,1.211,4.432,11.565,p0205
1.1285,1.1951,4.8967,11.68,p0206
1.0136,1.0837,1.6762,12.732,p0207
1.0739,1.0965,0.57494,10.949,p0208
1.1396,1.1445,7.5924,6.0699,p0209
1.1512,1.1515,7.7978,5.076,p0210
1.1784,1.1682,2.3183,19.906,p0211
1.1869,1.1748,13.79,12.451,p0212
1.181,1.1869,2.6276,18.563,p0213
1.0645,1.1572,6.1387,16.192,p0214
1.1746,1.1672,14.642,10.612,p0215
0.99438,1.1004,11.938,13.184,p0216
1.1011,1.0891,10.89,17.82,p0217
1.0472,1.1135,16.908,4.6648,p0218
1.01,1.115,3.6098,6.5425,p0219
1.1398,1.1318,5.1036,13.268,p0220
1.0492,1.1735,8.4819,0.41037,p0221
1.0999,1.1347,4.0251,6.3921,p0222
1.1821,1.2025,7.6213,0.45429,p0223
1.0323,1.2195,19.041,11.625,p0224
