"",33.000
0.0000,0.0000E+000
1.0000,2.3460E+002
2.0000,2.1252E+002
3.0000,1.9798E+002
4.0000,1.8619E+002
5.0000,1.8859E+002
6.0000,2.2542E+002
7.0000,2.0726E+002
8.0000,1.8841E+002
9.0000,2.3048E+002
10.0000,2.8169E+002
11.0000,2.3799E+002
12.0000,2.4691E+002
13.0000,2.6387E+002
14.0000,2.6467E+002
15.0000,2.5260E+002
16.0000,2.6495E+002
17.0000,2.0140E+002
18.0000,2.6239E+002
19.0000,2.2823E+002
20.0000,2.2569E+002
21.0000,2.1218E+002
22.0000,2.1254E+002
23.0000,1.9407E+002
24.0000,2.1333E+002
25.0000,2.6175E+002
26.0000,2.7380E+002
27.0000,2.1794E+002
28.0000,1.8851E+002
29.0000,1.8970E+002
30.0000,1.8692E+002
31.0000,2.2005E+002
32.0000,2.0262E+002
33.0000,2.0484E+002
34.0000,2.4422E+002
35.0000,2.6294E+002
36.0000,2.5809E+002
37.0000,2.5219E+002
38.0000,2.0744E+002
39.0000,2.4016E+002
40.0000,2.5574E+002
41.0000,2.5226E+002
42.0000,2.6684E+002
43.0000,2.2086E+002
44.0000,2.5125E+002
45.0000,2.5024E+002
46.0000,2.5937E+002
47.0000,2.5137E+002
48.0000,2.0855E+002
49.0000,1.9593E+002
50.0000,2.2830E+002
51.0000,2.4737E+002
52.0000,2.4007E+002
53.0000,2.0023E+002
54.0000,2.0514E+002
55.0000,2.7344E+002
56.0000,2.4218E+002
57.0000,2.4578E+002
58.0000,2.4781E+002
59.0000,2.4449E+002
60.0000,2.0455E+002
61.0000,2.0472E+002
62.0000,2.2282E+002
63.0000,2.8802E+002
64.0000,2.5494E+002
65.0000,2.4097E+002
66.0000,2.8132E+002
67.0000,2.6002E+002
68.0000,2.5458E+002
69.0000,2.8710E+002
70.0000,2.3413E+002
71.0000,2.7027E+002
72.0000,2.3854E+002
73.0000,2.2922E+002
74.0000,2.4660E+002
75.0000,2.6976E+002
76.0000,2.9612E+002
77.0000,2.4473E+002
78.0000,2.6375E+002
79.0000,2.8272E+002
80.0000,3.0591E+002
81.0000,2.6195E+002
82.0000,2.8231E+002
83.0000,2.7437E+002
84.0000,2.3931E+002
85.0000,2.8561E+002
86.0000,2.8285E+002
87.0000,2.7461E+002
88.0000,2.5446E+002
89.0000,2.8321E+002
90.0000,3.0277E+002
91.0000,2.7904E+002
92.0000,2.7001E+002
93.0000,2.6498E+002
94.0000,2.7404E+002
95.0000,3.1607E+002
96.0000,3.2641E+002
97.0000,2.9335E+002
98.0000,2.8654E+002
99.0000,2.8447E+002
100.0000,2.9502E+002
101.0000,2.6982E+002
102.0000,2.5974E+002
103.0000,2.4960E+002
104.0000,2.7967E+002
105.0000,3.0414E+002
106.0000,3.0426E+002
107.0000,3.0130E+002
108.0000,3.0892E+002
109.0000,3.0355E+002
110.0000,2.9334E+002
111.0000,2.4812E+002
112.0000,2.5863E+002
113.0000,2.9434E+002
114.0000,2.7869E+002
115.0000,2.6171E+002
116.0000,3.0827E+002
117.0000,2.9232E+002
118.0000,2.5771E+002
119.0000,2.9071E+002
120.0000,2.9657E+002
121.0000,2.9465E+002
122.0000,3.4190E+002
123.0000,3.3252E+002
124.0000,2.6033E+002
125.0000,3.0475E+002
126.0000,3.0197E+002
127.0000,3.3229E+002
128.0000,3.4352E+002
129.0000,2.8326E+002
130.0000,3.5229E+002
131.0000,3.6497E+002
132.0000,3.3800E+002
133.0000,3.2305E+002
134.0000,3.0501E+002
135.0000,3.2812E+002
136.0000,3.4908E+002
137.0000,3.6183E+002
138.0000,3.8305E+002
139.0000,3.5897E+002
140.0000,3.0423E+002
141.0000,3.5281E+002
142.0000,3.6122E+002
143.0000,3.6035E+002
144.0000,3.4729E+002
145.0000,3.3576E+002
146.0000,3.5374E+002
147.0000,3.3545E+002
148.0000,3.5540E+002
149.0000,3.8141E+002
150.0000,3.7359E+002
151.0000,3.6330E+002
152.0000,3.7233E+002
153.0000,3.2051E+002
154.0000,2.9719E+002
155.0000,3.3687E+002
156.0000,3.5670E+002
157.0000,3.5178E+002
158.0000,3.3858E+002
159.0000,3.0959E+002
