"",32.500
149.0000,0.0000E+000
149.0417,-6.4474E+001
149.0833,-6.0485E+001
149.1250,-5.6749E+001
149.1667,-5.5386E+001
149.2083,-5.4558E+001
149.2500,-5.3135E+001
149.2917,-5.1639E+001
149.3333,-5.0234E+001
149.3750,-4.8830E+001
149.4167,-4.7389E+001
149.4583,-4.5815E+001
149.5000,-4.4201E+001
149.5417,-4.2690E+001
149.5833,-4.1345E+001
149.6250,-4.0056E+001
149.6667,-3.8799E+001
149.7083,-3.7540E+001
149.7500,-3.6295E+001
149.7917,-3.5067E+001
149.8333,-3.3851E+001
149.8750,-3.2647E+001
149.9167,-3.1464E+001
149.9583,-3.0297E+001
150.0000,-2.9153E+001
150.0417,-2.8420E+001
150.0833,-2.7746E+001
150.1250,-2.7107E+001
150.1667,-2.6497E+001
150.2083,-2.5932E+001
150.2500,-2.5406E+001
150.2917,-2.4927E+001
150.3333,-2.4428E+001
150.3750,-2.3945E+001
150.4167,-2.3478E+001
150.4583,-2.3057E+001
150.5000,-2.2670E+001
150.5417,-2.2315E+001
150.5833,-2.1958E+001
150.6250,-2.1647E+001
150.6667,-2.1342E+001
150.7083,-2.1065E+001
150.7500,-2.0794E+001
150.7917,-2.0569E+001
150.8333,-2.0339E+001
150.8750,-2.0130E+001
150.9167,-1.9941E+001
150.9583,-1.9765E+001
151.0000,-1.9610E+001
151.0417,-1.9543E+001
151.0833,-1.9484E+001
151.1250,-1.9402E+001
151.1667,-1.9340E+001
151.2083,-1.9260E+001
151.2500,-1.9195E+001
151.2917,-1.9116E+001
151.3333,-1.9062E+001
151.3750,-1.8984E+001
151.4167,-1.8919E+001
151.4583,-1.8834E+001
151.5000,-1.8756E+001
151.5417,-1.8669E+001
151.5833,-1.8594E+001
151.6250,-1.8507E+001
151.6667,-1.8435E+001
151.7083,-1.8351E+001
151.7500,-1.8278E+001
151.7917,-1.8188E+001
151.8333,-1.8110E+001
151.8750,-1.8024E+001
151.9167,-1.7948E+001
151.9583,-1.7863E+001
152.0000,-1.7790E+001
152.0417,-1.7380E+001
152.0833,-1.6995E+001
152.1250,-1.6623E+001
152.1667,-1.6277E+001
152.2083,-1.5941E+001
152.2500,-1.5630E+001
152.2917,-1.5333E+001
152.3333,-1.5064E+001
152.3750,-1.4800E+001
152.4167,-1.4567E+001
152.4583,-1.4348E+001
152.5000,-1.4150E+001
152.5417,-1.3965E+001
152.5833,-1.3806E+001
152.6250,-1.3668E+001
152.6667,-1.3539E+001
152.7083,-1.3432E+001
152.7500,-1.3347E+001
152.7917,-1.3279E+001
152.8333,-1.3214E+001
152.8750,-1.3178E+001
152.9167,-1.3158E+001
152.9583,-1.3148E+001
153.0000,-1.3143E+001
153.0417,-1.3052E+001
153.0833,-1.2958E+001
153.1250,-1.2856E+001
153.1667,-1.2770E+001
153.2083,-1.2701E+001
153.2500,-1.2621E+001
153.2917,-1.2541E+001
153.3333,-1.2481E+001
153.3750,-1.2427E+001
153.4167,-1.2358E+001
153.4583,-1.2305E+001
153.5000,-1.2265E+001
153.5417,-1.2228E+001
153.5833,-1.2179E+001
153.6250,-1.2151E+001
153.6667,-1.2128E+001
153.7083,-1.2108E+001
153.7500,-1.2082E+001
153.7917,-1.2077E+001
153.8333,-1.2070E+001
153.8750,-1.2067E+001
153.9167,-1.2066E+001
153.9583,-1.2079E+001
154.0000,-1.2087E+001
154.0417,-1.2467E+001
154.0833,-1.2862E+001
154.1250,-1.3281E+001
154.1667,-1.3704E+001
154.2083,-1.4153E+001
154.2500,-1.4614E+001
154.2917,-1.5095E+001
154.3333,-1.5583E+001
154.3750,-1.6096E+001
154.4167,-1.6620E+001
154.4583,-1.7156E+001
154.5000,-1.7709E+001
154.5417,-1.8274E+001
154.5833,-1.8850E+001
154.6250,-1.9434E+001
154.6667,-2.0038E+001
154.7083,-2.0645E+001
154.7500,-2.1262E+001
154.7917,-2.1890E+001
154.8333,-2.2532E+001
154.8750,-2.3171E+001
154.9167,-2.3830E+001
154.9583,-2.4494E+001
155.0000,-2.5168E+001
155.0417,-2.5289E+001
155.0833,-2.5434E+001
155.1250,-2.5572E+001
155.1667,-2.5725E+001
155.2083,-2.5884E+001
155.2500,-2.6057E+001
155.2917,-2.6222E+001
155.3333,-2.6409E+001
155.3750,-2.6596E+001
155.4167,-2.6791E+001
155.4583,-2.6981E+001
155.5000,-2.7196E+001
155.5417,-2.7396E+001
155.5833,-2.7608E+001
155.6250,-2.7816E+001
155.6667,-2.8042E+001
155.7083,-2.8245E+001
155.7500,-2.8476E+001
155.7917,-2.8709E+001
155.8333,-2.8945E+001
155.8750,-2.9164E+001
155.9167,-2.9416E+001
155.9583,-2.9661E+001
156.0000,-2.9894E+001
156.0417,-3.0076E+001
156.0833,-3.0262E+001
156.1250,-3.0414E+001
156.1667,-3.0560E+001
156.2083,-3.0732E+001
156.2500,-3.0875E+001
156.2917,-3.0999E+001
156.3333,-3.1160E+001
156.3750,-3.1310E+001
156.4167,-3.1420E+001
156.4583,-3.1569E+001
156.5000,-3.1721E+001
156.5417,-3.1828E+001
156.5833,-3.1933E+001
156.6250,-3.2084E+001
156.6667,-3.2203E+001
156.7083,-3.2294E+001
156.7500,-3.2431E+001
156.7917,-3.2556E+001
156.8333,-3.2608E+001
156.8750,-3.2731E+001
156.9167,-3.2841E+001
156.9583,-3.2912E+001
157.0000,-3.2984E+001
157.0417,-3.2267E+001
