"",33.000
0.5000,0.0000E+000
1.5000,-7.4038E+001
2.5000,-6.3866E+001
3.5000,-6.4693E+001
4.5000,-7.4747E+001
5.5000,-5.1381E+001
6.5000,-5.2438E+001
7.5000,-5.9264E+001
8.5000,-3.4869E+001
9.5000,-1.1893E+001
10.5000,-1.0088E+001
11.5000,-2.8705E+001
12.5000,-1.6921E+001
13.5000,-6.9378E+000
14.5000,-1.5678E+001
15.5000,-1.0505E+001
16.5000,-2.1147E+001
17.5000,-1.6432E+001
18.5000,-2.0784E+001
19.5000,-5.7474E+001
20.5000,-6.0185E+001
21.5000,-6.8375E+001
22.5000,-6.3684E+001
23.5000,-4.6758E+001
24.5000,-1.6697E+001
25.5000,-7.2674E+000
26.5000,-1.5534E+001
27.5000,-3.4881E+001
28.5000,-5.2115E+001
29.5000,-5.4737E+001
30.5000,-3.8936E+001
31.5000,-4.2656E+001
32.5000,-5.1572E+001
33.5000,-2.8178E+001
34.5000,-1.4413E+001
35.5000,-1.0467E+001
36.5000,-1.1178E+001
37.5000,-2.8630E+001
38.5000,-3.4026E+001
39.5000,-1.8780E+001
40.5000,-1.7864E+001
41.5000,-1.1633E+001
42.5000,-1.5323E+001
43.5000,-3.4001E+001
44.5000,-3.9582E+001
45.5000,-2.9016E+001
46.5000,-1.4808E+001
47.5000,-2.4640E+001
48.5000,-3.4724E+001
49.5000,-3.2283E+001
50.5000,-6.2949E+001
51.5000,-7.2692E+001
52.5000,-5.8611E+001
53.5000,-4.0332E+001
54.5000,-2.6273E+001
55.5000,-1.1049E+001
56.5000,-1.8424E+001
57.5000,-1.4851E+001
58.5000,-2.4884E+001
59.5000,-4.4663E+001
60.5000,-4.7959E+001
61.5000,-2.9938E+001
62.5000,-1.8001E+001
63.5000,-6.9624E+000
64.5000,-1.1884E+001
65.5000,-8.1599E+000
66.5000,-9.6793E+000
67.5000,-2.0487E+001
68.5000,-9.9040E+000
69.5000,-1.5397E+001
70.5000,-2.2774E+001
71.5000,-2.2179E+001
72.5000,-5.3266E+001
73.5000,-5.7866E+001
74.5000,-5.1306E+001
75.5000,-1.0153E+001
76.5000,-5.1228E+000
77.5000,-1.7514E+001
78.5000,-1.0118E+001
79.5000,-1.5416E+000
80.5000,4.0282E-001
81.5000,-5.2453E+000
82.5000,-1.0810E+001
83.5000,-2.5119E+001
84.5000,-1.1122E+001
85.5000,-4.6403E+000
86.5000,-1.0080E+001
87.5000,-1.9645E+001
88.5000,-2.4648E+001
89.5000,-1.3560E+001
90.5000,-1.2379E+001
91.5000,-3.9301E+001
92.5000,-3.0859E+001
93.5000,-1.3865E+001
94.5000,-4.5308E+000
95.5000,2.2720E+001
96.5000,7.6124E+000
97.5000,-1.4791E+001
98.5000,-1.5974E+001
99.5000,-1.4311E+001
100.5000,-1.7087E+001
101.5000,-1.9823E+001
102.5000,-2.2857E+001
103.5000,-2.2777E+001
104.5000,-9.3409E+000
105.5000,-2.2533E+001
106.5000,-3.5361E+001
107.5000,-2.4493E+001
108.5000,-9.1932E+000
109.5000,-7.3719E+000
110.5000,-2.3408E+001
111.5000,-3.9853E+001
112.5000,-3.3237E+001
113.5000,-2.7036E+001
114.5000,-2.6264E+001
115.5000,-1.4045E+001
116.5000,-1.6144E+001
117.5000,-3.6364E+001
118.5000,-4.2378E+001
119.5000,-4.9255E+001
120.5000,-4.6594E+001
121.5000,-2.1393E+001
122.5000,-7.2209E+000
123.5000,-3.3132E+001
124.5000,-4.5045E+001
125.5000,-2.1760E+001
126.5000,-2.2356E+001
127.5000,-1.3237E+001
128.5000,-1.3960E+001
129.5000,-3.4119E+001
130.5000,-9.5431E+000
131.5000,-6.7356E+000
132.5000,-2.6760E+001
133.5000,-1.0486E+001
134.5000,-4.6164E+001
135.5000,-6.1620E+001
136.5000,-4.8381E+001
137.5000,-2.8419E+000
138.5000,-4.1492E+001
139.5000,-4.9993E+001
140.5000,-5.5377E+001
141.5000,-2.8875E+001
142.5000,-2.7205E+001
143.5000,-3.5488E+001
144.5000,-3.6869E+001
145.5000,-3.1195E+001
146.5000,-6.0301E+001
147.5000,-1.2397E+002
148.5000,-8.9724E+001
149.5000,-6.8854E+001
150.5000,-4.0972E+001
151.5000,-8.2385E+001
152.5000,-1.4228E+002
153.5000,-1.8324E+002
154.5000,-9.5478E+001
155.5000,-4.5797E+001
156.5000,-9.2116E+001
157.5000,-1.2534E+002
158.5000,-8.4507E+001
159.5000,-4.2641E+001
160.5000,-3.7520E+001
161.5000,-5.8748E+001
162.5000,-8.3365E+001
163.5000,-8.1335E+001
164.5000,-7.8394E+001
165.5000,-1.1596E+002
166.5000,-5.3996E+001
167.5000,-2.2509E+001
168.5000,-3.6828E+001
169.5000,-5.8849E+001
170.5000,-5.2800E+001
171.5000,-4.3474E+001
172.5000,-2.7522E+001
173.5000,-2.2877E+001
174.5000,-1.6777E+001
175.5000,-2.2999E+001
176.5000,-4.1742E+001
177.5000,-5.7806E+001
178.5000,-7.3649E+001
179.5000,-9.0036E+001
180.5000,-8.1775E+001
181.5000,-6.2032E+001
182.5000,-4.7493E+001
183.5000,-2.3391E+001
184.5000,-6.3609E+001
185.5000,-9.8026E+001
186.5000,-9.1218E+001
187.5000,-8.1953E+001
188.5000,-7.7244E+001
189.5000,-9.6882E+001
190.5000,-9.5254E+001
191.5000,-7.4935E+001
192.5000,-1.0207E+002
193.5000,-1.3958E+002
194.5000,-1.0909E+002
195.5000,-1.0740E+002
196.5000,-1.1885E+002
197.5000,-1.1589E+002
198.5000,-1.2737E+002
199.5000,-8.5078E+001
200.5000,-1.1554E+002
201.5000,-5.5288E+001
202.5000,-7.7348E+001
