"",33.000
0.0000,0.0000E+000
1.0000,-3.2190E+002
2.0000,-3.2015E+002
3.0000,-3.1814E+002
4.0000,-3.1583E+002
5.0000,-3.1370E+002
6.0000,-3.1125E+002
7.0000,-3.1016E+002
8.0000,-3.0893E+002
9.0000,-3.0697E+002
10.0000,-3.0709E+002
11.0000,-3.0753E+002
12.0000,-3.0717E+002
13.0000,-3.0674E+002
14.0000,-3.0665E+002
15.0000,-3.0618E+002
16.0000,-3.0644E+002
17.0000,-3.0630E+002
18.0000,-3.0621E+002
19.0000,-3.0600E+002
20.0000,-3.0614E+002
21.0000,-3.0586E+002
22.0000,-3.0616E+002
23.0000,-3.0589E+002
24.0000,-3.0577E+002
25.0000,-3.0616E+002
26.0000,-3.0623E+002
27.0000,-3.0628E+002
28.0000,-3.0619E+002
29.0000,-3.0611E+002
30.0000,-3.0579E+002
31.0000,-3.0595E+002
32.0000,-3.0614E+002
33.0000,-3.0616E+002
34.0000,-3.0622E+002
35.0000,-3.0621E+002
36.0000,-3.0632E+002
37.0000,-3.0645E+002
38.0000,-3.0633E+002
39.0000,-3.0624E+002
40.0000,-3.0621E+002
41.0000,-3.0623E+002
42.0000,-3.0627E+002
43.0000,-3.0615E+002
44.0000,-3.0618E+002
45.0000,-3.0617E+002
46.0000,-3.0613E+002
47.0000,-3.0631E+002
48.0000,-3.0612E+002
49.0000,-3.0638E+002
50.0000,-3.0607E+002
51.0000,-3.0616E+002
52.0000,-3.0599E+002
53.0000,-3.0600E+002
54.0000,-3.0612E+002
55.0000,-3.0618E+002
56.0000,-3.0641E+002
57.0000,-3.0675E+002
58.0000,-3.0684E+002
59.0000,-3.0668E+002
60.0000,-3.0637E+002
61.0000,-3.0639E+002
62.0000,-3.0626E+002
63.0000,-3.0641E+002
64.0000,-3.0709E+002
65.0000,-3.0723E+002
66.0000,-3.0921E+002
67.0000,-3.0923E+002
68.0000,-3.0958E+002
69.0000,-3.0967E+002
70.0000,-3.0997E+002
71.0000,-3.1024E+002
72.0000,-3.1021E+002
73.0000,-3.0948E+002
74.0000,-3.0885E+002
75.0000,-3.0816E+002
76.0000,-3.0839E+002
77.0000,-3.0928E+002
78.0000,-3.1036E+002
79.0000,-3.1182E+002
80.0000,-3.1227E+002
81.0000,-3.1511E+002
82.0000,-3.1425E+002
83.0000,-3.1390E+002
84.0000,-3.1434E+002
85.0000,-3.1469E+002
86.0000,-3.1662E+002
87.0000,-3.1660E+002
88.0000,-3.1699E+002
89.0000,-3.1710E+002
90.0000,-3.1707E+002
91.0000,-3.1761E+002
92.0000,-3.1787E+002
93.0000,-3.1895E+002
94.0000,-3.2017E+002
95.0000,-3.2069E+002
96.0000,-3.2284E+002
97.0000,-3.2374E+002
98.0000,-3.2426E+002
99.0000,-3.2505E+002
100.0000,-3.2602E+002
101.0000,-3.2693E+002
102.0000,-3.2810E+002
103.0000,-3.2914E+002
104.0000,-3.3012E+002
105.0000,-3.3141E+002
106.0000,-3.3132E+002
107.0000,-3.3082E+002
108.0000,-3.3104E+002
109.0000,-3.3239E+002
110.0000,-3.3416E+002
111.0000,-3.3491E+002
112.0000,-3.3540E+002
113.0000,-3.3643E+002
114.0000,-3.3758E+002
115.0000,-3.3900E+002
116.0000,-3.3971E+002
117.0000,-3.4060E+002
118.0000,-3.4155E+002
119.0000,-3.4180E+002
120.0000,-3.4218E+002
121.0000,-3.4350E+002
122.0000,-3.4459E+002
123.0000,-3.4570E+002
124.0000,-3.4660E+002
125.0000,-3.4791E+002
126.0000,-3.5091E+002
127.0000,-3.5434E+002
128.0000,-3.5817E+002
129.0000,-3.6386E+002
130.0000,-3.6547E+002
131.0000,-3.6721E+002
132.0000,-3.6911E+002
133.0000,-3.7181E+002
134.0000,-3.7888E+002
135.0000,-3.8248E+002
136.0000,-3.8562E+002
137.0000,-3.8802E+002
138.0000,-3.9228E+002
139.0000,-3.9216E+002
140.0000,-3.9219E+002
141.0000,-3.9121E+002
142.0000,-3.9299E+002
143.0000,-3.9818E+002
144.0000,-4.0248E+002
145.0000,-4.0802E+002
146.0000,-4.1496E+002
147.0000,-4.1919E+002
148.0000,-4.1648E+002
149.0000,-4.1881E+002
150.0000,-4.2064E+002
151.0000,-4.2309E+002
152.0000,-4.2409E+002
153.0000,-4.1640E+002
154.0000,-4.0776E+002
155.0000,-4.0148E+002
156.0000,-4.0333E+002
157.0000,-3.9959E+002
158.0000,-3.9297E+002
159.0000,-3.9205E+002
160.0000,-3.9590E+002
161.0000,-4.0124E+002
162.0000,-4.0348E+002
163.0000,-4.0397E+002
164.0000,-4.0558E+002
165.0000,-4.0685E+002
166.0000,-3.9940E+002
167.0000,-3.9388E+002
168.0000,-3.9589E+002
169.0000,-3.9830E+002
170.0000,-3.9977E+002
171.0000,-4.0146E+002
172.0000,-4.0062E+002
173.0000,-3.9884E+002
174.0000,-3.9868E+002
175.0000,-4.0140E+002
176.0000,-4.0684E+002
177.0000,-4.1021E+002
178.0000,-4.1168E+002
179.0000,-4.1282E+002
180.0000,-4.1222E+002
181.0000,-4.1283E+002
182.0000,-4.1658E+002
183.0000,-4.2219E+002
184.0000,-4.3083E+002
185.0000,-4.3497E+002
186.0000,-4.3509E+002
187.0000,-4.3568E+002
188.0000,-4.3593E+002
189.0000,-4.3503E+002
190.0000,-4.3489E+002
191.0000,-4.3357E+002
192.0000,-4.3179E+002
193.0000,-4.3195E+002
194.0000,-4.3004E+002
195.0000,-4.3085E+002
196.0000,-4.3238E+002
197.0000,-4.3260E+002
198.0000,-4.3192E+002
199.0000,-4.3060E+002
200.0000,-4.2963E+002
201.0000,-4.2393E+002
202.0000,-4.2905E+002
203.0000,-4.2857E+002
204.0000,-4.2956E+002
205.0000,-4.3115E+002
206.0000,-4.3185E+002
207.0000,-4.3349E+002
208.0000,-4.3273E+002
209.0000,-4.2549E+002
210.0000,-4.2669E+002
211.0000,-4.2745E+002
212.0000,-4.2870E+002
213.0000,-4.2773E+002
214.0000,-4.2922E+002
215.0000,-4.2859E+002
216.0000,-4.2796E+002
217.0000,-4.2768E+002
218.0000,-4.2363E+002
219.0000,-4.2465E+002
220.0000,-4.2574E+002
221.0000,-4.2073E+002
222.0000,-4.1980E+002
223.0000,-4.2031E+002
224.0000,-4.2034E+002
225.0000,-4.1963E+002
226.0000,-4.2037E+002
227.0000,-4.2159E+002
228.0000,-4.2214E+002
229.0000,-4.2235E+002
230.0000,-4.2351E+002
231.0000,-4.2406E+002
232.0000,-4.2391E+002
233.0000,-4.2251E+002
234.0000,-4.2191E+002
235.0000,-4.2138E+002
236.0000,-4.1351E+002
237.0000,-4.2225E+002
238.0000,-4.1614E+002
239.0000,-4.0289E+002
240.0000,-4.0349E+002
241.0000,-4.1453E+002
242.0000,-4.1707E+002
243.0000,-4.1678E+002
244.0000,-4.1512E+002
245.0000,-4.1490E+002
246.0000,-4.1658E+002
247.0000,-4.1686E+002
248.0000,-4.1342E+002
249.0000,-4.1061E+002
250.0000,-3.9243E+002
251.0000,-4.1004E+002
252.0000,-4.1246E+002
253.0000,-4.1319E+002
254.0000,-4.1551E+002
255.0000,-4.1623E+002
256.0000,-4.1571E+002
257.0000,-4.1355E+002
258.0000,-4.0884E+002
259.0000,-4.0757E+002
260.0000,-4.0520E+002
261.0000,-4.0758E+002
262.0000,-4.0833E+002
263.0000,-4.0849E+002
264.0000,-4.0742E+002
265.0000,-4.0507E+002
266.0000,-4.0473E+002
267.0000,-4.0554E+002
268.0000,-4.0497E+002
269.0000,-3.9290E+002
270.0000,-3.9729E+002
271.0000,-4.0259E+002
272.0000,-4.0186E+002
273.0000,-4.0066E+002
274.0000,-3.9208E+002
