"",33.000
0.5000,0.0000E+000
1.5000,3.8806E+001
2.5000,5.0789E+001
3.5000,5.0337E+001
4.5000,4.6875E+001
5.5000,3.2481E+001
6.5000,3.7024E+001
7.5000,5.4693E+001
8.5000,4.4335E+001
9.5000,2.4693E+001
10.5000,3.4332E+001
11.5000,4.4633E+001
12.5000,2.0919E+001
13.5000,2.1794E+001
14.5000,3.2320E+001
15.5000,3.7391E+001
16.5000,5.1470E+001
17.5000,3.7481E+001
18.5000,3.4490E+001
19.5000,4.6506E+001
20.5000,4.6215E+001
21.5000,4.7094E+001
22.5000,5.4929E+001
23.5000,6.5213E+001
24.5000,3.8974E+001
25.5000,2.4516E+001
26.5000,5.5164E+001
27.5000,7.3401E+001
28.5000,6.9801E+001
29.5000,7.0850E+001
30.5000,7.0117E+001
31.5000,6.6548E+001
32.5000,6.9404E+001
33.5000,5.3562E+001
34.5000,4.3344E+001
35.5000,5.7699E+001
36.5000,6.7508E+001
37.5000,7.6338E+001
38.5000,6.5493E+001
39.5000,5.6062E+001
40.5000,4.7982E+001
41.5000,4.0740E+001
42.5000,6.2528E+001
43.5000,5.0921E+001
44.5000,3.3272E+001
45.5000,4.1995E+001
46.5000,6.2439E+001
47.5000,9.0846E+001
48.5000,1.0410E+002
49.5000,7.9386E+001
50.5000,3.9922E+001
51.5000,5.3577E+001
52.5000,9.3033E+001
53.5000,1.0467E+002
54.5000,6.4908E+001
55.5000,7.2300E+001
56.5000,1.0525E+002
57.5000,8.4006E+001
58.5000,8.6787E+001
59.5000,1.0615E+002
60.5000,1.1897E+002
61.5000,1.1153E+002
62.5000,6.8524E+001
63.5000,7.2960E+001
64.5000,9.7230E+001
65.5000,1.0042E+002
66.5000,1.1287E+002
67.5000,1.0105E+002
68.5000,7.1608E+001
69.5000,9.6742E+001
70.5000,1.0308E+002
71.5000,9.4298E+001
72.5000,1.1471E+002
73.5000,1.0663E+002
74.5000,7.0868E+001
75.5000,4.4776E+001
76.5000,1.0155E+002
77.5000,1.3473E+002
78.5000,9.6486E+001
79.5000,7.0487E+001
80.5000,1.0836E+002
81.5000,1.0229E+002
82.5000,8.2914E+001
83.5000,1.2620E+002
84.5000,1.1308E+002
85.5000,1.0276E+002
86.5000,1.1552E+002
87.5000,1.2854E+002
88.5000,8.5942E+001
89.5000,3.2873E+001
90.5000,7.2888E+001
91.5000,1.1646E+002
92.5000,1.3481E+002
93.5000,1.4087E+002
94.5000,9.2095E+001
95.5000,7.2583E+001
96.5000,1.1753E+002
97.5000,1.0925E+002
98.5000,1.0886E+002
99.5000,1.2427E+002
100.5000,1.3072E+002
101.5000,1.5816E+002
102.5000,1.7377E+002
103.5000,1.5315E+002
104.5000,1.2761E+002
105.5000,7.7354E+001
106.5000,3.6734E+001
107.5000,5.5427E+001
108.5000,1.0544E+002
109.5000,1.3864E+002
110.5000,1.6053E+002
111.5000,1.8039E+002
112.5000,1.6668E+002
113.5000,1.5744E+002
114.5000,1.7115E+002
115.5000,1.0995E+002
116.5000,1.0410E+002
117.5000,1.8060E+002
118.5000,1.4608E+002
119.5000,1.2790E+002
120.5000,1.6520E+002
121.5000,1.1155E+002
122.5000,7.5384E+001
123.5000,1.5433E+002
124.5000,1.7755E+002
125.5000,1.6808E+002
126.5000,1.8650E+002
127.5000,1.8192E+002
128.5000,1.8776E+002
129.5000,1.4650E+002
130.5000,9.1396E+001
131.5000,7.9875E+001
132.5000,1.2394E+002
133.5000,1.8817E+002
134.5000,1.8696E+002
135.5000,1.8096E+002
136.5000,1.4382E+002
137.5000,9.9798E+001
138.5000,1.0200E+002
139.5000,1.3820E+002
140.5000,1.0770E+002
141.5000,1.0252E+002
142.5000,1.3822E+002
143.5000,1.4089E+002
144.5000,1.7508E+002
145.5000,1.8897E+002
146.5000,1.8939E+002
147.5000,1.8737E+002
