"",33.000
0.5000,3.3000E+001
1.5000,3.3000E+001
2.5000,3.3000E+001
3.5000,3.3000E+001
4.5000,3.3000E+001
5.5000,3.3000E+001
6.5000,3.3000E+001
7.5000,3.3000E+001
8.5000,3.3000E+001
9.5000,3.3000E+001
10.5000,3.3000E+001
11.5000,3.3000E+001
12.5000,3.3000E+001
13.5000,3.3000E+001
14.5000,3.3000E+001
15.5000,3.3000E+001
16.5000,3.3000E+001
17.5000,3.3000E+001
18.5000,3.3000E+001
19.5000,3.3000E+001
20.5000,3.3000E+001
21.5000,3.3000E+001
22.5000,3.3000E+001
23.5000,3.3000E+001
24.5000,3.3000E+001
25.5000,3.3000E+001
26.5000,3.3000E+001
27.5000,3.3000E+001
28.5000,3.3000E+001
29.5000,3.3000E+001
30.5000,3.3000E+001
31.5000,3.3000E+001
32.5000,3.3000E+001
33.5000,3.3000E+001
34.5000,3.3000E+001
35.5000,3.3000E+001
36.5000,3.3000E+001
37.5000,3.3000E+001
38.5000,3.3000E+001
39.5000,3.3000E+001
40.5000,3.3000E+001
41.5000,3.3000E+001
42.5000,3.3000E+001
43.5000,3.3000E+001
44.5000,3.3000E+001
45.5000,3.3000E+001
46.5000,3.3000E+001
47.5000,3.3000E+001
48.5000,3.3000E+001
49.5000,3.3000E+001
50.5000,3.3000E+001
51.5000,3.3000E+001
52.5000,3.3000E+001
53.5000,3.3000E+001
54.5000,3.3000E+001
55.5000,3.3000E+001
56.5000,3.3000E+001
57.5000,3.3000E+001
58.5000,3.3000E+001
59.5000,3.3000E+001
60.5000,3.3000E+001
61.5000,3.3000E+001
62.5000,3.3000E+001
63.5000,3.3000E+001
64.5000,3.3000E+001
65.5000,3.3000E+001
66.5000,3.3000E+001
67.5000,3.3000E+001
68.5000,3.3000E+001
69.5000,3.3000E+001
70.5000,3.3000E+001
71.5000,3.3000E+001
72.5000,3.3000E+001
73.5000,3.3000E+001
74.5000,3.3000E+001
75.5000,3.3000E+001
76.5000,3.3000E+001
77.5000,3.3000E+001
78.5000,3.3000E+001
79.5000,3.3000E+001
80.5000,3.3000E+001
81.5000,3.3000E+001
82.5000,3.3000E+001
83.5000,3.3000E+001
84.5000,3.3000E+001
85.5000,3.3000E+001
86.5000,3.3000E+001
87.5000,3.3000E+001
88.5000,3.3000E+001
89.5000,3.3000E+001
90.5000,3.3000E+001
91.5000,3.3000E+001
92.5000,3.3000E+001
93.5000,3.3000E+001
94.5000,3.3000E+001
95.5000,3.3000E+001
96.5000,3.3000E+001
97.5000,3.3000E+001
98.5000,3.3000E+001
99.5000,3.3000E+001
