Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       17.2000       17.2000       8.00000       0.00000      0.838795E-04   0.00000      -61.0618      0.662225E-01 -0.202037       276.168       0.00000      -398.938       11.5500      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       17.7004       17.5815       8.00000       0.00000      0.915497E-04   0.00000      -51.7350      0.637170E-01 -0.159772       228.018       0.00000      -401.696       11.2667      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       18.1465       17.8938       8.00000      0.144004      0.496036E-02   0.00000      -113.786       6.66855      -60.2520       199.991       0.00000      -404.166       10.9746      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       19.5818       18.0457       8.00000      0.743097E-01  0.255244E-02   0.00000      -200.612      -12.5688      -75.4882       337.782       0.00000      -412.190       8.48631      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       20.2089       18.2884       8.00000      0.815150E-01  0.279645E-02   0.00000      -204.194      -8.05645      -89.1240       334.948       0.00000      -415.734       7.91615      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       20.6999       18.5196       8.00000      0.988650E-01  0.338836E-02  0.488887E-02  -241.749      -13.9455      -116.547       335.884       0.00000      -418.524       7.58414      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       20.8983       18.6856       8.05963      0.147151      0.504124E-02  0.852063E-02  -279.036      -25.6375      -163.371       237.448       0.00000      -419.656       7.58415      0.501954       5.00000       4.00000      0.886624       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       20.7250       18.6098       7.99640      0.143888      0.493117E-02  0.105147E-01  -259.673      -51.5075      -132.206       42.6219       0.00000      -418.667       7.77051      0.507821       5.00000       4.00000      0.872815       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       20.0499       18.2217       7.79649      0.859895E-01  0.295088E-02   0.00000      -202.621      -20.7704      -66.2817       320.003       0.00000      -414.833       8.22007      0.517520       5.00000       4.00000      0.829154       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       20.4705       18.4292       7.79649      0.158035      0.541872E-02  0.378150E-02  -172.417      -2.65200      -89.2331       243.657       0.00000      -417.219       7.94860      0.516558       5.00000       4.00000      0.829154       0.00000       0.00000       0.00000       0.00000    
       10   10.0000       20.6257       18.5545       7.83557      0.318021      0.109010E-01  0.119966E-01  -413.523      -89.6955      -246.150       113.171       0.00000      -418.102       7.94860      0.519365       5.00000       4.00000      0.837688       0.00000       0.00000       0.00000       0.00000    
       11   11.0000       19.7076       18.0180       7.62660      0.301648      0.103586E-01  0.101381E-01  -409.623      -57.2030      -243.223       303.494       0.00000      -412.899       8.51927      0.532992       5.00000       4.00000      0.792050       0.00000       0.00000       0.00000       0.00000    
       12   12.0000       19.3660       17.8275       7.58975      0.186665      0.641442E-02  0.776326E-02  -309.368      -25.2233      -180.791       316.279       0.00000      -410.976       8.79091      0.546921       5.00000       4.00000      0.784001       0.00000       0.00000       0.00000       0.00000    
       13   13.0000       19.3445       17.8383       7.61240      0.138665      0.476518E-02  0.572057E-02  -249.659      -20.1223      -127.920       306.902       0.00000      -410.856       8.88356      0.556135       5.00000       4.00000      0.788948       0.00000       0.00000       0.00000       0.00000    
       14   14.0000       19.4621       17.9387       7.64360      0.127291      0.437330E-02  0.469016E-02  -150.727       9.53523      -103.921       188.099       0.00000      -411.516       8.89817      0.561411       5.00000       4.00000      0.795762       0.00000       0.00000       0.00000       0.00000    
       15   15.0000       19.5402       18.0038       7.66458      0.120502      0.413942E-02   0.00000      -163.881       9.81340      -96.0973       278.496       0.00000      -411.956       8.90499      0.564959       5.00000       4.00000      0.800344       0.00000       0.00000       0.00000       0.00000    
       16   16.0000       20.5338       18.2064       7.66458      0.161195      0.552639E-02  0.783612E-02  -321.256      -22.0246      -188.094       341.429       0.00000      -417.578       7.83458      0.562198       5.00000       4.00000      0.800344       0.00000       0.00000       0.00000       0.00000    
