"",32.500
149.0000,0.0000E+000
150.0000,3.5682E+002
151.0000,3.6777E+002
152.0000,3.0776E+002
153.0000,3.1385E+002
154.0000,3.1722E+002
155.0000,3.3341E+002
156.0000,3.6299E+002
157.0000,3.3386E+002
158.0000,3.7090E+002
159.0000,3.5426E+002
160.0000,3.3331E+002
161.0000,3.2015E+002
162.0000,3.4167E+002
163.0000,3.7135E+002
164.0000,3.6691E+002
165.0000,3.2156E+002
166.0000,3.6136E+002
167.0000,3.9402E+002
168.0000,3.2622E+002
169.0000,3.5611E+002
170.0000,4.0361E+002
171.0000,3.9144E+002
172.0000,3.9526E+002
173.0000,3.9852E+002
174.0000,3.9818E+002
175.0000,3.6698E+002
176.0000,3.5270E+002
177.0000,3.6357E+002
178.0000,3.6766E+002
179.0000,3.7118E+002
180.0000,3.8835E+002
181.0000,3.9281E+002
182.0000,3.9887E+002
183.0000,3.9953E+002
184.0000,4.0966E+002
185.0000,3.9494E+002
186.0000,3.5934E+002
187.0000,4.1221E+002
188.0000,4.0839E+002
189.0000,3.9589E+002
190.0000,3.9771E+002
191.0000,4.0930E+002
192.0000,3.9679E+002
193.0000,4.0242E+002
194.0000,3.5617E+002
195.0000,3.7942E+002
196.0000,3.5600E+002
197.0000,3.7871E+002
198.0000,4.1637E+002
199.0000,3.9687E+002
200.0000,4.1355E+002
201.0000,3.4773E+002
202.0000,3.9404E+002
203.0000,4.1249E+002
204.0000,4.0509E+002
205.0000,4.0670E+002
206.0000,3.9402E+002
207.0000,3.5364E+002
208.0000,3.5597E+002
209.0000,4.0159E+002
210.0000,4.1099E+002
211.0000,4.0815E+002
212.0000,3.4847E+002
213.0000,3.6906E+002
214.0000,4.0141E+002
215.0000,4.0805E+002
216.0000,3.6760E+002
217.0000,3.2600E+002
218.0000,3.2550E+002
219.0000,3.7365E+002
220.0000,3.9830E+002
221.0000,3.4401E+002
222.0000,3.5127E+002
223.0000,3.9442E+002
224.0000,3.1390E+002
225.0000,3.2524E+002
226.0000,3.7383E+002
227.0000,3.8500E+002
228.0000,3.7912E+002
229.0000,3.6602E+002
230.0000,3.5868E+002
231.0000,3.7534E+002
232.0000,3.9877E+002
233.0000,3.6862E+002
234.0000,3.3741E+002
235.0000,3.4604E+002
236.0000,3.5864E+002
237.0000,3.6089E+002
238.0000,3.6074E+002
239.0000,3.5774E+002
240.0000,3.8435E+002
241.0000,3.7846E+002
242.0000,3.7265E+002
243.0000,3.6642E+002
244.0000,3.3629E+002
245.0000,3.1236E+002
246.0000,3.0935E+002
247.0000,3.2792E+002
248.0000,3.4395E+002
249.0000,3.3893E+002
250.0000,3.3513E+002
251.0000,3.5314E+002
252.0000,3.9350E+002
253.0000,3.6522E+002
254.0000,3.7643E+002
255.0000,3.8988E+002
256.0000,3.0225E+002
257.0000,3.0453E+002
258.0000,3.5794E+002
259.0000,3.5597E+002
260.0000,3.3638E+002
261.0000,3.2074E+002
262.0000,3.6578E+002
263.0000,3.6237E+002
264.0000,3.5533E+002
265.0000,3.2748E+002
266.0000,2.9803E+002
267.0000,2.9567E+002
268.0000,3.3576E+002
269.0000,3.4942E+002
270.0000,3.0998E+002
271.0000,3.0589E+002
272.0000,2.8494E+002
273.0000,3.0795E+002
274.0000,3.4986E+002
275.0000,2.9996E+002
276.0000,2.8274E+002
277.0000,2.7673E+002
278.0000,3.3739E+002
279.0000,3.6584E+002
280.0000,3.4343E+002
281.0000,3.2544E+002
282.0000,3.0689E+002
283.0000,2.9403E+002
284.0000,3.3381E+002
285.0000,3.5367E+002
286.0000,3.6476E+002
287.0000,3.6115E+002
288.0000,3.6739E+002
289.0000,3.6140E+002
290.0000,3.4043E+002
291.0000,3.2822E+002
292.0000,3.2169E+002
293.0000,3.3323E+002
294.0000,3.3324E+002
295.0000,3.1805E+002
296.0000,2.9460E+002
297.0000,2.8021E+002
298.0000,3.0462E+002
299.0000,3.0226E+002
300.0000,2.8933E+002
301.0000,3.2866E+002
302.0000,3.1176E+002
303.0000,2.9876E+002
304.0000,3.2941E+002
305.0000,3.2402E+002
306.0000,3.1645E+002
307.0000,2.7843E+002
308.0000,2.9857E+002
309.0000,3.1732E+002
310.0000,3.3851E+002
311.0000,3.4039E+002
312.0000,2.8991E+002
313.0000,3.0341E+002
314.0000,3.3008E+002
315.0000,2.9095E+002
316.0000,2.7254E+002
317.0000,2.3936E+002
318.0000,2.8059E+002
319.0000,3.0578E+002
320.0000,2.8915E+002
321.0000,3.0507E+002
322.0000,3.1502E+002
323.0000,3.2704E+002
324.0000,2.9915E+002
325.0000,2.9199E+002
326.0000,2.7123E+002
327.0000,2.7350E+002
328.0000,2.8335E+002
329.0000,2.8104E+002
330.0000,2.3351E+002
331.0000,2.9528E+002
332.0000,3.1181E+002
333.0000,2.8828E+002
334.0000,2.9409E+002
335.0000,2.7438E+002
336.0000,2.3761E+002
337.0000,2.2904E+002
338.0000,2.3003E+002
339.0000,2.5750E+002
340.0000,2.1333E+002
341.0000,2.2864E+002
342.0000,2.4234E+002
343.0000,2.3386E+002
344.0000,2.4946E+002
345.0000,2.8281E+002
346.0000,2.6496E+002
347.0000,2.1038E+002
348.0000,2.4698E+002
349.0000,2.7363E+002
350.0000,2.8589E+002
351.0000,2.8845E+002
352.0000,2.5405E+002
353.0000,2.0029E+002
354.0000,1.9075E+002
355.0000,2.1497E+002
356.0000,2.3323E+002
357.0000,2.2139E+002
358.0000,2.2013E+002
359.0000,2.1962E+002
360.0000,1.9280E+002
361.0000,1.9942E+002
362.0000,2.0532E+002
363.0000,2.3036E+002
364.0000,2.0971E+002
365.0000,2.2988E+002
