"",32.500
149.0000,0.0000E+000
150.0000,1.4502E+002
151.0000,1.2720E+002
152.0000,2.1484E+002
153.0000,2.1305E+002
154.0000,2.1365E+002
155.0000,1.5104E+002
156.0000,2.7113E+001
157.0000,2.0357E+002
158.0000,1.5501E+002
159.0000,7.2000E+001
160.0000,1.9309E+002
161.0000,2.0123E+002
162.0000,1.9527E+002
163.0000,1.1969E+002
164.0000,1.7721E+002
165.0000,2.1727E+002
166.0000,1.2427E+002
167.0000,9.8482E+001
168.0000,2.1714E+002
169.0000,7.3519E+001
170.0000,8.9530E+001
171.0000,1.2977E+002
172.0000,1.1078E+002
173.0000,4.6874E+001
174.0000,2.2719E+001
175.0000,1.5087E+002
176.0000,1.9966E+002
177.0000,1.9989E+002
178.0000,1.9964E+002
179.0000,1.9905E+002
180.0000,1.8484E+002
181.0000,1.8490E+002
182.0000,1.8473E+002
183.0000,1.8058E+002
184.0000,1.4725E+002
185.0000,1.5536E+002
186.0000,1.9173E+002
187.0000,4.5037E+001
188.0000,1.6758E+002
189.0000,1.6455E+002
190.0000,6.0785E+001
191.0000,1.0395E+002
192.0000,1.2392E+002
193.0000,1.2777E+002
194.0000,1.7285E+002
195.0000,1.7411E+002
196.0000,1.9618E+002
197.0000,1.2691E+002
198.0000,8.5322E+001
199.0000,1.7544E+002
200.0000,1.7340E+002
201.0000,1.9699E+002
202.0000,3.4082E+001
203.0000,1.3886E+002
204.0000,1.6261E+002
205.0000,1.0075E+002
206.0000,1.8059E+002
207.0000,1.9442E+002
208.0000,1.7571E+002
209.0000,1.5637E+002
210.0000,1.6692E+002
211.0000,1.3529E+002
212.0000,1.9010E+002
213.0000,1.5245E+002
214.0000,1.1400E+002
215.0000,1.3233E+002
216.0000,1.8620E+002
217.0000,1.8212E+002
218.0000,1.8630E+002
219.0000,1.5429E+001
220.0000,1.5828E+002
221.0000,1.8370E+002
222.0000,1.6585E+002
223.0000,1.1603E+002
224.0000,1.8587E+002
225.0000,1.7737E+002
226.0000,9.5232E+001
227.0000,1.2484E+002
228.0000,1.4934E+002
229.0000,1.6905E+002
230.0000,1.7225E+002
231.0000,1.0848E+002
232.0000,1.7314E+001
233.0000,1.1062E+002
234.0000,1.7140E+002
235.0000,1.6976E+002
236.0000,1.6753E+002
237.0000,1.7189E+002
238.0000,1.7212E+002
239.0000,1.7020E+002
240.0000,7.1609E+001
241.0000,1.4332E+002
242.0000,1.0274E+002
243.0000,1.1878E+002
244.0000,1.5730E+002
245.0000,1.6589E+002
246.0000,1.6600E+002
247.0000,1.6190E+002
248.0000,1.3375E+002
249.0000,1.6236E+002
250.0000,1.5930E+002
251.0000,6.7225E+001
252.0000,1.0712E+002
253.0000,1.3377E+002
254.0000,4.7371E+001
255.0000,1.0632E+001
256.0000,1.5605E+002
257.0000,1.1201E+002
258.0000,1.7411E+001
259.0000,1.2021E+002
260.0000,9.3906E+001
261.0000,1.1962E+002
262.0000,1.3008E+001
263.0000,9.4570E+001
264.0000,6.1638E+001
265.0000,1.1994E+002
266.0000,1.2336E+002
267.0000,9.0802E+001
268.0000,5.4015E+001
269.0000,8.2102E+001
270.0000,8.1860E+001
271.0000,6.9384E+001
272.0000,1.0409E+002
273.0000,5.8320E+001
274.0000,1.5805E+001
275.0000,1.0754E+002
276.0000,1.1572E+002
277.0000,1.1767E+002
278.0000,9.7562E+000
279.0000,5.2436E+001
280.0000,3.6960E+001
281.0000,3.5589E+001
282.0000,9.0652E+001
283.0000,1.0023E+002
284.0000,2.1731E+001
285.0000,1.0853E+001
286.0000,3.7727E+001
287.0000,5.4152E+001
288.0000,2.4804E+001
289.0000,2.3367E+001
290.0000,9.1520E+000
291.0000,3.1051E+001
292.0000,5.1092E+001
293.0000,2.5986E+001
294.0000,2.0937E+001
295.0000,7.2344E+001
296.0000,6.3323E+001
297.0000,8.4670E+001
298.0000,4.3379E+001
299.0000,7.2773E+001
300.0000,5.4135E+001
301.0000,4.2503E+001
302.0000,4.3993E+001
303.0000,2.9812E+001
304.0000,3.5047E+001
305.0000,1.8160E+001
306.0000,4.5580E+001
307.0000,7.5997E+001
308.0000,4.6162E+001
309.0000,2.7290E+001
310.0000,2.4353E+001
311.0000,3.1736E+001
312.0000,4.3706E+001
313.0000,1.1968E+001
314.0000,3.6698E+001
315.0000,3.5430E+001
316.0000,5.8815E+001
317.0000,6.6531E+001
318.0000,1.7140E+001
319.0000,9.4975E+000
320.0000,4.8511E+001
321.0000,2.5175E+001
322.0000,7.8527E+000
323.0000,1.7452E+001
324.0000,2.9083E+001
325.0000,2.7555E+001
326.0000,3.8611E+001
327.0000,5.0275E+001
328.0000,3.1529E+001
329.0000,2.9279E+001
330.0000,5.4672E+001
331.0000,1.3016E+001
332.0000,1.4594E+001
333.0000,2.9950E+001
334.0000,1.0305E+001
335.0000,2.9412E+001
336.0000,5.2137E+001
337.0000,4.6023E+001
338.0000,4.2789E+001
339.0000,3.7116E+001
340.0000,5.2731E+001
341.0000,4.4329E+001
342.0000,3.4946E+001
343.0000,4.7308E+001
