datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
0	0.63558316	-3.3992727	-7.3417114	80.878571	2.0935453	231.39532	0
1	2.9918745	-3.0232174	-9.7273926	85.333237	1.4885769	204.73431	0
2	1.3836671	-2.2160087	-10.308325	88.395164	1.439179	198.13541	0
3	0.23180485	-2.8423436	-9.278479	92.348656	1.4730916	220.32903	0
4	0.21182914	-3.5813949	-9.6653809	96.195602	1.6177644	195.63506	0
5	0.071672544	-2.3084044	-7.9338135	96.505981	2.0942046	202.24896	0
6	-2.5952282	0.40681186	-5.2001099	48.016624	3.3386495	235.97391	8.5505477e-10
7	1.2264098	1.2936369	1.0042664	31.349703	6.0560514	286.61209	3.0485456e-09
8	4.2394052	-2.8373415	-8.853064	85.520462	2.1096176	230.99103	0
9	3.894181	-3.0437388	-13.189093	67.173851	1.1679724	223.84573	0
10	2.9937086	0.23049898	-11.180884	102.08187	1.4275057	195.04428	0
11	3.2822707	2.2404027	-3.8104004	59.867836	3.3673983	251.87025	0
12	3.0004442	-0.8982935	-4.2383789	66.566681	3.1838558	236.02222	0
13	-0.034037311	-0.99503726	-5.1271423	53.688599	2.5150884	253.21637	0
14	-1.8486646	-0.44349033	-4.5081543	106.5783	2.7632934	232.77672	0
15	-4.6393189	-0.63652408	-3.9577087	62.755985	3.624626	259.22672	8.3209708e-11
16	-5.3985963	1.1128826	2.1973816	27.833878	6.3742655	284.40714	6.6676002e-09
17	5.3708224	2.7483723	-2.0203308	70.308426	4.0849633	263.56192	1.3135467e-10
18	2.1862037	2.0242519	-1.6685547	64.369232	4.2110543	263.34546	0
19	-4.2348351	-0.935673	1.0727783	14.429931	5.7482412	279.00732	7.8027527e-09
20	4.3181634	-3.6798117	-1.5940918	39.722469	4.7765875	271.79214	4.002795e-09
21	7.3247128	-1.7045447	-5.8332581	101.21666	3.12066	240.89507	0
22	3.6157079	-2.4676821	-8.1379456	82.852264	2.6595813	246.19084	1.1161571e-10
23	6.8627863	-0.90351081	-8.5606445	74.981483	1.9858558	240.35379	9.1316802e-11
24	5.6601987	-0.69325751	-9.2697815	75.174271	1.7261427	223.92754	0
25	5.0589986	-1.6992382	-11.109656	86.36721	1.4558804	225.69887	0
26	5.8414001	-2.1787338	-15.203131	119.73489	1.0691482	195.94154	0
27	6.1188831	-2.4511063	-15.087866	121.2955	1.2401796	197.04825	0
28	2.4803834	-0.73888099	-11.860968	119.76123	1.5861438	198.46539	0
29	1.2018622	-1.0090958	-9.3789124	91.116005	1.7455975	231.60152	0
30	1.1577601	-1.1809729	-8.1364197	128.27208	2.1275962	200.93091	0
31	0.79162645	0.11193021	-7.1418518	114.04012	2.2661421	230.16719	0
32	0.49055949	-0.20617019	-6.2347168	137.7283	2.4661664	219.19548	0
33	2.022284	3.9887543	-3.1148437	62.572327	3.6075497	253.35587	6.8084902e-10
34	-2.025919	-2.1317186	-4.4429077	54.622944	3.5349241	266.13583	1.9548059e-09
35	-0.7049129	-4.6650033	-6.1636414	99.647835	3.4608435	257.90295	3.466791e-09
36	2.2272758	-4.1161141	-11.618506	146.06253	2.0214677	204.42212	0
37	1.6887454	-3.711571	-14.938483	137.36789	1.5537191	206.45082	0
38	3.645638	-4.496191	-18.958289	115.74047	1.0967575	223.36327	7.0921535e-11
39	7.3353744	-2.4409301	-19.386984	133.10704	1.0398949	197.29675	0
40	3.3594239	-1.7014196	-14.074255	148.14644	1.6039811	215.84647	0
41	-0.36351052	4.7911487	-0.79562988	46.136566	5.3735021	283.05463	4.3875364e-09
42	2.2659235	2.2461724	4.8419434	23.364765	8.6301588	304.91232	5.9089301e-09
43	-0.35143265	5.0422974	6.4198853	26.760824	8.4799022	306.14752	8.5630721e-09
44	2.5114331	4.7786665	9.0866638	30.281782	9.3989597	311.638	4.5385184e-10
45	0.34544027	-2.4493372	-1.2717651	144.38039	4.3264564	245.61374	0
46	-1.0415399	1.7832761	1.1392456	25.908804	5.7953962	286.78397	5.3224081e-10
47	0.88807827	4.2895474	8.1180054	33.401318	9.6295457	311.1828	2.1433957e-09
48	0.022573521	6.5033965	11.364709	52.980499	10.954623	316.76978	6.8906517e-10
49	0.43473342	5.0689197	11.219873	20.540802	11.522087	318.95245	1.122559e-08
50	1.6966662	-0.952259	6.4239746	60.93914	7.8685974	303.91949	0
51	3.0503767	-3.3575099	-0.7553772	146.15211	4.3162668	258.94797	0
52	1.9881477	-2.8653536	-3.6648621	152.95613	3.0301315	242.53297	0
