"",33.000
0.0000,0.0000E+000
1.0000,-8.2843E+001
2.0000,-6.6871E+001
3.0000,-6.1324E+001
4.0000,-6.9143E+001
5.0000,-4.6002E+001
6.0000,-3.2430E+001
7.0000,-3.0850E+000
8.0000,-7.5378E+001
9.0000,-1.0430E+002
10.0000,-6.4604E+001
11.0000,-2.7044E+001
12.0000,-2.4881E+001
13.0000,-1.9665E+001
14.0000,-1.9472E+001
15.0000,-2.9248E+001
16.0000,7.9372E+000
17.0000,-2.1501E+001
18.0000,-1.0335E+001
19.0000,1.2145E+000
20.0000,-1.6321E+001
21.0000,-5.9514E+001
22.0000,-5.2184E+001
23.0000,-7.6473E+001
24.0000,-6.8781E+001
25.0000,-7.9427E+001
26.0000,-1.2525E+002
27.0000,-1.2964E+002
28.0000,-5.6822E+001
29.0000,-3.6704E+001
30.0000,-3.1154E+001
31.0000,-2.3498E+001
32.0000,-1.9341E+001
33.0000,-1.7779E+001
34.0000,-1.9206E+001
35.0000,-3.8193E+001
36.0000,-7.5904E+001
37.0000,-9.2244E+001
38.0000,-1.5101E+002
39.0000,-1.9224E+002
40.0000,-8.2669E+001
41.0000,-4.5894E+000
42.0000,1.7393E+001
43.0000,3.5977E+001
44.0000,5.3202E+001
45.0000,-6.1042E+000
46.0000,1.4981E+000
47.0000,3.7797E+001
48.0000,7.8102E+001
49.0000,5.6745E+001
50.0000,1.1477E+001
51.0000,-1.2040E+001
52.0000,-2.4594E+001
53.0000,-1.8119E+001
54.0000,-3.3932E+001
55.0000,-2.2412E+001
56.0000,-2.4503E+001
57.0000,-4.9971E+001
58.0000,-1.0617E+002
59.0000,-7.6277E+001
60.0000,-9.2792E+001
61.0000,-9.0618E+001
62.0000,-3.9015E+001
63.0000,-1.5044E+001
64.0000,-4.5624E+001
65.0000,-4.8515E+001
66.0000,-1.1590E+001
67.0000,-2.1446E+000
68.0000,-2.7955E+000
69.0000,8.4971E+000
70.0000,-4.0006E+000
71.0000,-6.3972E+001
72.0000,-2.8381E+001
73.0000,1.3388E+000
74.0000,1.8857E+001
75.0000,3.1964E+001
76.0000,-1.2599E+000
77.0000,-2.6137E+001
78.0000,2.7498E-001
79.0000,4.3671E+001
80.0000,-1.0268E+001
81.0000,6.6924E+000
82.0000,-3.2226E-001
83.0000,5.4049E+000
84.0000,-1.8052E+001
85.0000,-8.9719E+000
86.0000,8.4408E+000
87.0000,-2.6592E+001
88.0000,-6.6976E+000
89.0000,-4.4991E-001
90.0000,-8.6168E+000
91.0000,-6.1748E+000
92.0000,9.9160E+000
93.0000,5.0131E+000
94.0000,-1.1490E+001
95.0000,-1.5128E+001
96.0000,1.6366E+001
97.0000,1.4257E+001
98.0000,-2.4859E+001
99.0000,-2.0693E+001
100.0000,-1.6815E+001
101.0000,-5.7439E+001
102.0000,-5.2546E+001
103.0000,-2.3596E+001
104.0000,-1.0805E+001
105.0000,7.5635E+000
106.0000,4.9077E+001
107.0000,4.4013E+001
108.0000,-1.6822E+001
109.0000,-6.8347E+001
110.0000,-5.9054E+001
111.0000,-1.9381E+001
112.0000,-2.5260E+000
113.0000,3.7291E+000
114.0000,2.9262E+000
115.0000,-3.0300E+000
116.0000,5.8159E-002
117.0000,-4.7942E+000
118.0000,-1.4593E+000
119.0000,5.3078E+000
120.0000,8.9740E+000
121.0000,2.4338E+001
122.0000,-4.7635E+000
123.0000,-7.2584E+000
124.0000,-6.6877E-001
125.0000,-2.8352E+001
126.0000,-3.0397E+001
127.0000,-1.2632E+001
