"",33.000
0.0000,0.0000E+000
1.0000,-3.2232E+002
2.0000,-3.2092E+002
3.0000,-3.1965E+002
4.0000,-3.1830E+002
5.0000,-3.1700E+002
6.0000,-3.1601E+002
7.0000,-3.1595E+002
8.0000,-3.1554E+002
9.0000,-3.1416E+002
10.0000,-3.1234E+002
11.0000,-3.1172E+002
12.0000,-3.1138E+002
13.0000,-3.1059E+002
14.0000,-3.1010E+002
15.0000,-3.1010E+002
16.0000,-3.1042E+002
17.0000,-3.1030E+002
18.0000,-3.1003E+002
19.0000,-3.0990E+002
20.0000,-3.0968E+002
21.0000,-3.0914E+002
22.0000,-3.0833E+002
23.0000,-3.0744E+002
24.0000,-3.0625E+002
25.0000,-3.0620E+002
26.0000,-3.0617E+002
27.0000,-3.0617E+002
28.0000,-3.0620E+002
29.0000,-3.0619E+002
30.0000,-3.0626E+002
31.0000,-3.0609E+002
32.0000,-3.0624E+002
33.0000,-3.0625E+002
34.0000,-3.0615E+002
35.0000,-3.0615E+002
36.0000,-3.0611E+002
37.0000,-3.0600E+002
38.0000,-3.0618E+002
39.0000,-3.0616E+002
40.0000,-3.0618E+002
41.0000,-3.0619E+002
42.0000,-3.0659E+002
43.0000,-3.0716E+002
44.0000,-3.0843E+002
45.0000,-3.0836E+002
46.0000,-3.0845E+002
47.0000,-3.0888E+002
48.0000,-3.1025E+002
49.0000,-3.1298E+002
50.0000,-3.1198E+002
51.0000,-3.1243E+002
52.0000,-3.1230E+002
53.0000,-3.1243E+002
54.0000,-3.1207E+002
55.0000,-3.1156E+002
56.0000,-3.1168E+002
57.0000,-3.1167E+002
58.0000,-3.1092E+002
59.0000,-3.0997E+002
60.0000,-3.0920E+002
61.0000,-3.0844E+002
62.0000,-3.0807E+002
63.0000,-3.0822E+002
64.0000,-3.0808E+002
65.0000,-3.0777E+002
66.0000,-3.0801E+002
67.0000,-3.0918E+002
68.0000,-3.1043E+002
69.0000,-3.1029E+002
70.0000,-3.1051E+002
71.0000,-3.1035E+002
72.0000,-3.1044E+002
73.0000,-3.1145E+002
74.0000,-3.1276E+002
75.0000,-3.1348E+002
76.0000,-3.1412E+002
77.0000,-3.1423E+002
78.0000,-3.1423E+002
79.0000,-3.1622E+002
80.0000,-3.1664E+002
81.0000,-3.1643E+002
82.0000,-3.1766E+002
83.0000,-3.1752E+002
84.0000,-3.1777E+002
85.0000,-3.1831E+002
86.0000,-3.1898E+002
87.0000,-3.1940E+002
88.0000,-3.2069E+002
89.0000,-3.2111E+002
90.0000,-3.2122E+002
91.0000,-3.2248E+002
92.0000,-3.2400E+002
93.0000,-3.2377E+002
94.0000,-3.2427E+002
95.0000,-3.2476E+002
96.0000,-3.2523E+002
97.0000,-3.2629E+002
98.0000,-3.2678E+002
99.0000,-3.2725E+002
100.0000,-3.2803E+002
101.0000,-3.2831E+002
102.0000,-3.2814E+002
103.0000,-3.2856E+002
104.0000,-3.2959E+002
105.0000,-3.3129E+002
106.0000,-3.3172E+002
107.0000,-3.3364E+002
108.0000,-3.3464E+002
109.0000,-3.3455E+002
110.0000,-3.3400E+002
111.0000,-3.3455E+002
112.0000,-3.3600E+002
113.0000,-3.3772E+002
114.0000,-3.3965E+002
115.0000,-3.4128E+002
116.0000,-3.4307E+002
117.0000,-3.4463E+002
118.0000,-3.4606E+002
119.0000,-3.4804E+002
120.0000,-3.5020E+002
121.0000,-3.5155E+002
122.0000,-3.5353E+002
123.0000,-3.5628E+002
124.0000,-3.5633E+002
125.0000,-3.5442E+002
126.0000,-3.5346E+002
127.0000,-3.5479E+002
128.0000,-3.5757E+002
129.0000,-3.6102E+002
130.0000,-3.6434E+002
131.0000,-3.6487E+002
132.0000,-3.6828E+002
133.0000,-3.7411E+002
134.0000,-3.7479E+002
135.0000,-3.7039E+002
136.0000,-3.6512E+002
137.0000,-3.6484E+002
138.0000,-3.6573E+002
139.0000,-3.6741E+002
140.0000,-3.6633E+002
141.0000,-3.6665E+002
142.0000,-3.7269E+002
143.0000,-3.7990E+002
144.0000,-3.7985E+002
145.0000,-3.7694E+002
146.0000,-3.7411E+002
147.0000,-3.7687E+002
148.0000,-3.8243E+002
149.0000,-3.8544E+002
150.0000,-3.8444E+002
151.0000,-3.8569E+002
152.0000,-3.9307E+002
153.0000,-3.9893E+002
154.0000,-4.0376E+002
155.0000,-4.0646E+002
156.0000,-4.0671E+002
157.0000,-4.0785E+002
158.0000,-4.0592E+002
159.0000,-4.0876E+002
160.0000,-4.1570E+002
161.0000,-4.2023E+002
162.0000,-4.1845E+002
163.0000,-4.1331E+002
164.0000,-4.1397E+002
165.0000,-4.1363E+002
166.0000,-4.1152E+002
167.0000,-4.1197E+002
168.0000,-4.0818E+002
169.0000,-4.0468E+002
170.0000,-4.0476E+002
171.0000,-4.0569E+002
