Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       17.2000       17.2000       8.00000      0.211680      0.730507E-02  0.987307E-02  -406.897      -81.7804      -204.912       317.707       0.00000      -398.938       11.5500      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       17.0395       17.0395       17.0395      0.150065      0.518036E-02  0.893862E-02  -257.333      -44.5787      -139.468       175.588       0.00000      -398.057       11.5500      0.500000       5.00000       4.00000       2.84782       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       16.8888       16.8888       16.8888      0.124993      0.431615E-02  0.392826E-02  -244.810      -30.9275      -109.694       305.735       0.00000      -397.230       11.5500      0.500000       5.00000       4.00000       2.81490       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       16.9921       16.9921       16.9921      0.746480E-01  0.257715E-02   0.00000      -183.191      -19.4408      -64.3142       282.596       0.00000      -397.797       11.5500      0.500000       5.00000       4.00000       2.83749       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       17.1717       17.1640       16.9921      0.570562E-01  0.196912E-02   0.00000      -156.067      -14.1893      -51.2200       258.690       0.00000      -398.783       10.5636      0.500000       5.00000       4.00000       2.83749       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       17.3723       17.3417       16.9921      0.468879E-01  0.161756E-02   0.00000      -138.457      -12.9907      -47.8218       211.368       0.00000      -399.886       9.69081      0.500000       5.00000       4.00000       2.83749       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       17.5155       17.4664       16.9921      0.112397      0.387642E-02  0.463844E-02  -207.017      -28.4008      -84.0933       261.693       0.00000      -400.675       9.38294      0.500000       5.00000       4.00000       2.83749       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       17.6163       17.5587       17.0245      0.140584      0.484761E-02  0.541772E-02  -266.688      -36.2007      -117.919       328.740       0.00000      -401.231       9.38295      0.518960       5.00000       4.00000       2.84456       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       17.7333       17.6640       17.0535      0.160819      0.554406E-02  0.801472E-02  -268.136      -43.9598      -135.991       230.896       0.00000      -401.877       9.38295      0.543226       5.00000       4.00000       2.85089       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       17.6158       17.5925       17.0427      0.101947      0.351533E-02  0.736125E-02  -151.775      -23.3884      -68.8989       108.448       0.00000      -401.228       10.7564      0.592638       5.00000       4.00000       2.84853       0.00000       0.00000       0.00000       0.00000    
       10   10.0000       17.5105       17.5102       17.0683      0.309319E-01  0.106681E-02   0.00000      -118.938      -4.86471      -27.3087       272.993       0.00000      -400.647       11.5393      0.718282       5.00000       4.00000       2.85411       0.00000       0.00000       0.00000       0.00000    
       11   11.0000       17.8261       17.7794       17.0683       0.00000      0.354793E-04   0.00000      -75.0834      0.204668E-01 -0.168076       275.774       0.00000      -402.390       10.1287      0.500000       5.00000       4.00000       2.85411       0.00000       0.00000       0.00000       0.00000    
       12   12.0000       18.2057       18.1317       17.0683       0.00000      0.353412E-04   0.00000      -38.7961      0.299711E-01 -0.169476       129.073       0.00000      -404.494       10.0464      0.500000       5.00000       4.00000       2.85411       0.00000       0.00000       0.00000       0.00000    
       13   13.0000       18.3766       18.2874       17.0683      0.615701E-01  0.211988E-02   0.00000      -124.356       1.33257      -39.6643       301.568       0.00000      -405.444       9.97423      0.500000       5.00000       4.00000       2.85411       0.00000       0.00000       0.00000       0.00000    
       14   14.0000       18.8945       18.5978       17.0683      0.122469      0.421236E-02   0.00000      -159.790       2.92606      -81.0441       279.334       0.00000      -408.333       7.79706      0.500000       5.00000       4.00000       2.85411       0.00000       0.00000       0.00000       0.00000    
       15   15.0000       19.2266       18.8055       17.0683      0.163958      0.563570E-02   0.00000      -106.318       20.6293      -46.9013       298.453       0.00000      -410.194       7.04322      0.500000       5.00000       4.00000       2.85411       0.00000       0.00000       0.00000       0.00000    
       16   16.0000       20.0819       19.1426       17.0683      0.185664      0.637099E-02  0.404811E-02  -139.231       27.3153      -97.6646       258.552       0.00000      -415.015       4.34961      0.500000       5.00000       4.00000       2.85411       0.00000       0.00000       0.00000       0.00000    
       17   17.0000       20.3667       19.3499       17.1199      0.143392      0.491766E-02  0.650609E-02  -241.466      -22.0318      -110.949       318.520       0.00000      -416.629       4.34962      0.502347       5.00000       4.00000       2.86539       0.00000       0.00000       0.00000       0.00000    
       18   18.0000       20.5614       19.4819       17.1305      0.115030      0.394345E-02  0.609078E-02  -182.981      -3.91243      -102.077       229.390       0.00000      -417.736       4.34963      0.504692       5.00000       4.00000       2.86770       0.00000       0.00000       0.00000       0.00000    
       19   19.0000       20.6720       19.5594       17.1283      0.129350      0.443340E-02  0.660681E-02  -208.033      -21.5929      -96.8836       237.044       0.00000      -418.365       4.39289      0.506684       5.00000       4.00000       2.86722       0.00000       0.00000       0.00000       0.00000    
       20   20.0000       20.6828       19.6059       17.0962      0.909512E-01  0.311723E-02  0.646558E-02  -232.965      -22.7677      -99.1124       302.915       0.00000      -418.426       4.73679      0.509007       5.00000       4.00000       2.86022       0.00000       0.00000       0.00000       0.00000    
       21   21.0000       20.8547       19.7253       17.1107      0.590801E-01  0.202420E-02  0.549264E-02  -210.717      -14.9446      -80.1647       329.317       0.00000      -419.407       4.73679      0.511389       5.00000       4.00000       2.86338       0.00000       0.00000       0.00000       0.00000    
       22   22.0000       21.1376       19.9313       17.1517      0.575690E-01  0.197132E-02  0.453628E-02  -185.016      -8.07277      -68.2551       325.699       0.00000      -421.024       4.73680      0.513066       5.00000       4.00000       2.87233       0.00000       0.00000       0.00000       0.00000    
       23   23.0000       21.4704       20.1766       17.2048      0.175469      0.600456E-02  0.866866E-02  -326.405      -32.6067      -196.804       257.024       0.00000      -422.931       4.73681      0.514169       5.00000       4.00000       2.88393       0.00000       0.00000       0.00000       0.00000    
       24   24.0000       21.0103       20.0478       17.0510      0.169406      0.580238E-02  0.988161E-02  -249.610      -52.4260      -123.071       17.2751       0.00000      -420.295       6.13030      0.518037       5.00000       4.00000       2.85033       0.00000       0.00000       0.00000       0.00000    
       25   25.0000       20.1585       19.6289       16.8286      0.131475      0.451083E-02  0.536623E-02  -240.620      -29.7950      -98.1325       314.223       0.00000      -415.448       8.05444      0.525466       5.00000       4.00000       2.80176       0.00000       0.00000       0.00000       0.00000    
       26   26.0000       20.3081       19.7549       16.8606      0.135172      0.463628E-02  0.663027E-02  -273.023      -30.8374      -127.830       322.729       0.00000      -416.296       8.05445      0.530163       5.00000       4.00000       2.80875       0.00000       0.00000       0.00000       0.00000    
       27   27.0000       20.4080       19.8384       16.8821      0.127791      0.438227E-02  0.516476E-02  -237.861      -10.2418      -126.813       315.418       0.00000      -416.864       8.07624      0.537187       5.00000       4.00000       2.81345       0.00000       0.00000       0.00000       0.00000    
       28   28.0000       20.5667       19.9714       16.9108      0.850884E-01  0.291697E-02   0.00000      -144.030       1.03589      -62.7805       263.485       0.00000      -417.766       8.07625      0.541432       5.00000       4.00000       2.81971       0.00000       0.00000       0.00000       0.00000    
       29   29.0000       21.0064       20.1790       16.9108      0.162302      0.555911E-02   0.00000      -128.647       6.33763      -53.5828       257.596       0.00000      -420.273       7.22998      0.540107       5.00000       4.00000       2.81971       0.00000       0.00000       0.00000       0.00000    
       30   30.0000       21.6532       20.4036       16.9108      0.132791      0.454244E-02  0.492047E-02  -153.930     -0.945750      -75.8271       222.098       0.00000      -423.982       5.88101      0.536851       5.00000       4.00000       2.81971       0.00000       0.00000       0.00000       0.00000    
       31   31.0000       21.8089       20.5199       16.9311      0.830551E-01  0.284022E-02  0.499678E-02  -166.811      -9.01805      -67.9064       243.105       0.00000      -424.878       5.88102      0.538411       5.00000       4.00000       2.82414       0.00000       0.00000       0.00000       0.00000    
       32   32.0000       21.9840       20.6507       16.9533      0.638180E-01  0.218161E-02  0.500439E-02  -89.9004      -3.61354      -27.0518       105.865       0.00000      -425.888       5.88103      0.539993       5.00000       4.00000       2.82900       0.00000       0.00000       0.00000       0.00000    
       33   33.0000       22.0168       20.6740       16.9566      0.107147      0.366258E-02  0.547920E-02  -216.961      -16.6683      -87.8689       315.825       0.00000      -426.077       5.89047      0.541550       5.00000       4.00000       2.82971       0.00000       0.00000       0.00000       0.00000    
       34   34.0000       22.2461       20.8450       16.9840      0.687518E-01  0.234904E-02  0.336131E-02  -186.079      -9.46346      -65.3958       316.032       0.00000      -427.403       5.89048      0.543415       5.00000       4.00000       2.83571       0.00000       0.00000       0.00000       0.00000    
       35   35.0000       22.5441       21.0713       17.0197      0.890101E-01  0.303939E-02  0.484378E-02  -201.481      -6.72733      -89.3478       311.751       0.00000      -429.130       5.89049      0.544101       5.00000       4.00000       2.84349       0.00000       0.00000       0.00000       0.00000    
       36   36.0000       22.7994       21.2625       17.0494      0.921290E-01  0.314427E-02  0.414544E-02  -167.823     -0.233371      -76.9828       270.002       0.00000      -430.614       5.89050      0.545483       5.00000       4.00000       2.84999       0.00000       0.00000       0.00000       0.00000    
       37   37.0000       23.0348       21.4393       17.0763      0.458106E-01  0.156273E-02   0.00000      -95.3196       1.97502      -28.3132       190.270       0.00000      -431.986       5.89050      0.546471       5.00000       4.00000       2.85587       0.00000       0.00000       0.00000       0.00000    
       38   38.0000       23.3372       21.6033       17.0763      0.482965E-01  0.164653E-02  0.472719E-02  -84.3714      -2.09451      -20.9761       108.770       0.00000      -433.753       5.69495      0.546333       5.00000       4.00000       2.85587       0.00000       0.00000       0.00000       0.00000    
       39   39.0000       23.3932       21.6416       17.0820      0.584509E-01  0.199249E-02  0.271786E-02  -98.7846      -3.53215      -20.5917       171.915       0.00000      -434.080       5.69496      0.547493       5.00000       4.00000       2.85710       0.00000       0.00000       0.00000       0.00000    
       40   40.0000       23.5613       21.7667       17.0997      0.589778E-01  0.200977E-02   0.00000      -109.072      -2.43004      -23.5476       209.898       0.00000      -435.065       5.69497      0.547874       5.00000       4.00000       2.86098       0.00000       0.00000       0.00000       0.00000    
       41   41.0000       23.8494       21.9411       17.0997      0.905691E-01  0.308450E-02  0.256313E-02  -133.645     -0.599429E-02  -45.9935       240.186       0.00000      -436.758       5.58755      0.547669       5.00000       4.00000       2.86098       0.00000       0.00000       0.00000       0.00000    
       42   42.0000       24.0988       22.1257       17.1256      0.158295      0.538829E-02  0.794682E-02  -282.976      -10.2599      -164.100       309.604       0.00000      -438.227       5.58755      0.548128       5.00000       4.00000       2.86663       0.00000       0.00000       0.00000       0.00000    
       43   43.0000       24.1058       22.1679       17.1194      0.144468      0.491757E-02  0.837624E-02  -298.144      -15.3016      -173.146       302.092       0.00000      -438.268       5.73685      0.551112       5.00000       4.00000       2.86527       0.00000       0.00000       0.00000       0.00000    
       44   44.0000       24.0243       22.1697       17.1046      0.621342E-01  0.211534E-02  0.540916E-02  -154.783      -5.40151      -62.2109       213.346       0.00000      -437.787       5.96794      0.554553       5.00000       4.00000       2.86205       0.00000       0.00000       0.00000       0.00000    
       45   45.0000       24.1618       22.2689       17.1183      0.708049E-01  0.240986E-02  0.407441E-02  -156.014      -1.81070      -62.0954       250.497       0.00000      -438.598       5.96795      0.556088       5.00000       4.00000       2.86505       0.00000       0.00000       0.00000       0.00000    
       46   46.0000       24.3814       22.4319       17.1390      0.765742E-01  0.260506E-02  0.314052E-02  -165.989      -3.53344      -59.5177       282.269       0.00000      -439.895       5.96796      0.556949       5.00000       4.00000       2.86956       0.00000       0.00000       0.00000       0.00000    
       47   47.0000       24.6511       22.6338       17.1636      0.391602E-01  0.133151E-02   0.00000      -135.404      0.263758      -34.7634       291.123       0.00000      -441.492       5.96797      0.557451       5.00000       4.00000       2.87492       0.00000       0.00000       0.00000       0.00000    
       48   48.0000       25.1823       22.9060       17.1636      0.693196E-01  0.235442E-02  0.335433E-02  -152.803       3.52182      -64.6876       265.234       0.00000      -444.651       5.66739      0.557363       5.00000       4.00000       2.87492       0.00000       0.00000       0.00000       0.00000    
       49   49.0000       25.4486       23.1010       17.1860      0.143150      0.485939E-02  0.725791E-02  -232.105      0.701286      -133.307       276.157       0.00000      -446.241       5.66739      0.557861       5.00000       4.00000       2.87983       0.00000       0.00000       0.00000       0.00000    
       50   50.0000       25.5430       23.1742       17.1929      0.136342      0.462740E-02  0.927956E-02  -307.409      -29.2109      -166.503       253.523       0.00000      -446.805       5.70061      0.560146       5.00000       4.00000       2.88133       0.00000       0.00000       0.00000       0.00000    
       51   51.0000       25.2366       23.0730       17.1610      0.914267E-01  0.310494E-02  0.862072E-02  -273.841      -27.1862      -129.877       254.021       0.00000      -444.975       6.06240      0.563889       5.00000       4.00000       2.87436       0.00000       0.00000       0.00000       0.00000    
       52   52.0000       25.0864       23.0325       17.1497      0.159004      0.540160E-02  0.116179E-01  -321.624      -54.3453      -179.924       25.6666       0.00000      -444.079       6.28342      0.567522       5.00000       4.00000       2.87190       0.00000       0.00000       0.00000       0.00000    
       53   53.0000       23.9986       22.5003       17.0652      0.131864      0.448951E-02  0.663096E-02  -209.869      -19.5624      -86.2805       249.297       0.00000      -437.636       7.20639      0.574617       5.00000       4.00000       2.85343       0.00000       0.00000       0.00000       0.00000    
       54   54.0000       24.0823       22.5653       17.0784      0.114067      0.388292E-02  0.743974E-02  -204.148      -19.7338      -89.8605       206.521       0.00000      -438.129       7.22192      0.577977       5.00000       4.00000       2.85632       0.00000       0.00000       0.00000       0.00000    
       55   55.0000       24.0505       22.5644       17.0860      0.132482      0.451007E-02  0.908634E-02  -319.644      -42.6880      -148.761       293.955       0.00000      -437.942       7.31688      0.582201       5.00000       4.00000       2.85799       0.00000       0.00000       0.00000       0.00000    
