"",32.500
149.0000,0.0000E+000
149.0417,2.8413E+002
149.0833,2.8601E+002
149.1250,2.8788E+002
149.1667,2.8975E+002
149.2083,2.9163E+002
149.2500,2.9350E+002
149.2917,2.9538E+002
149.3333,2.9725E+002
149.3750,2.9912E+002
149.4167,3.0100E+002
149.4583,3.0287E+002
149.5000,3.0475E+002
149.5417,3.0662E+002
149.5833,3.0849E+002
149.6250,3.1037E+002
149.6667,3.1224E+002
149.7083,3.1412E+002
149.7500,3.1599E+002
149.7917,3.1786E+002
149.8333,3.1974E+002
149.8750,3.2161E+002
149.9167,3.2348E+002
149.9583,3.2536E+002
150.0000,3.2723E+002
150.0417,3.2647E+002
150.0833,3.2571E+002
150.1250,3.2494E+002
150.1667,3.2418E+002
150.2083,3.2342E+002
150.2500,3.2266E+002
150.2917,3.2189E+002
150.3333,3.2113E+002
150.3750,3.2037E+002
150.4167,3.1960E+002
150.4583,3.1884E+002
150.5000,3.1808E+002
150.5417,3.1732E+002
150.5833,3.1655E+002
150.6250,3.1579E+002
150.6667,3.1503E+002
150.7083,3.1426E+002
150.7500,3.1350E+002
150.7917,3.1274E+002
150.8333,3.1198E+002
150.8750,3.1121E+002
150.9167,3.1045E+002
150.9583,3.0969E+002
151.0000,3.0892E+002
151.0417,3.0866E+002
151.0833,3.0839E+002
151.1250,3.0813E+002
151.1667,3.0786E+002
151.2083,3.0760E+002
151.2500,3.0733E+002
151.2917,3.0707E+002
151.3333,3.0680E+002
151.3750,3.0653E+002
151.4167,3.0627E+002
151.4583,3.0600E+002
151.5000,3.0574E+002
151.5417,3.0547E+002
151.5833,3.0521E+002
151.6250,3.0494E+002
151.6667,3.0468E+002
151.7083,3.0441E+002
151.7500,3.0415E+002
151.7917,3.0388E+002
151.8333,3.0361E+002
151.8750,3.0335E+002
151.9167,3.0308E+002
151.9583,3.0282E+002
152.0000,3.0255E+002
152.0417,3.0318E+002
152.0833,3.0381E+002
152.1250,3.0444E+002
152.1667,3.0507E+002
152.2083,3.0569E+002
152.2500,3.0632E+002
152.2917,3.0695E+002
152.3333,3.0758E+002
152.3750,3.0821E+002
152.4167,3.0883E+002
152.4583,3.0946E+002
152.5000,3.1009E+002
152.5417,3.1072E+002
152.5833,3.1135E+002
152.6250,3.1198E+002
152.6667,3.1260E+002
152.7083,3.1323E+002
152.7500,3.1386E+002
152.7917,3.1449E+002
152.8333,3.1512E+002
152.8750,3.1574E+002
152.9167,3.1637E+002
152.9583,3.1700E+002
153.0000,3.1763E+002
153.0417,3.1902E+002
153.0833,3.2042E+002
153.1250,3.2181E+002
153.1667,3.2321E+002
153.2083,3.2461E+002
153.2500,3.2600E+002
153.2917,3.2740E+002
153.3333,3.2879E+002
153.3750,3.3019E+002
153.4167,3.3158E+002
153.4583,3.3298E+002
153.5000,3.3437E+002
153.5417,3.3577E+002
153.5833,3.3716E+002
153.6250,3.3856E+002
153.6667,3.3995E+002
153.7083,3.4135E+002
153.7500,3.4274E+002
153.7917,3.4414E+002
153.8333,3.4554E+002
153.8750,3.4693E+002
153.9167,3.4833E+002
153.9583,3.4972E+002
154.0000,3.5112E+002
154.0417,3.5052E+002
154.0833,3.4993E+002
154.1250,3.4934E+002
154.1667,3.4874E+002
154.2083,3.4815E+002
154.2500,3.4755E+002
154.2917,3.4696E+002
154.3333,3.4637E+002
154.3750,3.4577E+002
154.4167,3.4518E+002
154.4583,3.4459E+002
154.5000,3.4399E+002
154.5417,3.4340E+002
154.5833,3.4280E+002
154.6250,3.4221E+002
154.6667,3.4162E+002
154.7083,3.4102E+002
154.7500,3.4043E+002
154.7917,3.3984E+002
154.8333,3.3924E+002
154.8750,3.3865E+002
154.9167,3.3805E+002
154.9583,3.3746E+002
155.0000,3.3687E+002
155.0417,3.3538E+002
155.0833,3.3389E+002
155.1250,3.3241E+002
155.1667,3.3092E+002
155.2083,3.2943E+002
155.2500,3.2795E+002
155.2917,3.2646E+002
155.3333,3.2498E+002
155.3750,3.2349E+002
155.4167,3.2200E+002
155.4583,3.2052E+002
155.5000,3.1903E+002
155.5417,3.1754E+002
155.5833,3.1606E+002
155.6250,3.1457E+002
155.6667,3.1308E+002
155.7083,3.1160E+002
155.7500,3.1011E+002
155.7917,3.0862E+002
155.8333,3.0714E+002
155.8750,3.0565E+002
155.9167,3.0416E+002
155.9583,3.0268E+002
156.0000,3.0119E+002
156.0417,3.0204E+002
156.0833,3.0288E+002
156.1250,3.0373E+002
156.1667,3.0457E+002
156.2083,3.0542E+002
156.2500,3.0626E+002
156.2917,3.0711E+002
156.3333,3.0795E+002
156.3750,3.0880E+002
156.4167,3.0964E+002
156.4583,3.1049E+002
156.5000,3.1134E+002
156.5417,3.1218E+002
156.5833,3.1303E+002
156.6250,3.1387E+002
156.6667,3.1472E+002
156.7083,3.1556E+002
156.7500,3.1641E+002
156.7917,3.1725E+002
156.8333,3.1810E+002
156.8750,3.1894E+002
156.9167,3.1979E+002
156.9583,3.2063E+002
157.0000,3.2148E+002
157.0417,3.2380E+002
157.0833,3.2612E+002
157.1250,3.2844E+002
157.1667,3.3076E+002
157.2083,3.3307E+002
157.2500,3.3539E+002
157.2917,3.3771E+002
157.3333,3.4003E+002
157.3750,3.4235E+002
157.4167,3.4467E+002
157.4583,3.4699E+002
157.5000,3.4931E+002
