Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       17.2000       17.2000       8.00000      0.784992E-01  0.270900E-02   0.00000      -150.864      -17.4919      -51.1775       221.709       0.00000      -398.938       11.5500      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       17.6325       17.3245       8.00000      0.152820      0.526933E-02  0.969880E-02  -192.536      -41.2563      -88.8074       42.9630       0.00000      -401.321       10.8114      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       17.2642       17.0566       7.80302      0.526112E-01  0.181538E-02   0.00000      -78.5990      -4.96519      -14.8589       163.199       0.00000      -399.291       11.1405      0.619016       5.00000       4.00000      0.830580       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       18.4211       17.2057       7.80302      0.102593      0.353199E-02   0.00000      -105.533       3.08242      -31.0486       259.435       0.00000      -405.692       9.37790      0.608657       5.00000       4.00000      0.830580       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       20.9905       17.4783       7.80302      0.167143      0.572511E-02  0.339792E-02  -130.549     -0.233386      -58.4632       204.162       0.00000      -420.182       6.47156      0.605725       5.00000       4.00000      0.830580       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       21.1763       17.6078       7.81752      0.968559E-01  0.331635E-02  0.389769E-02  -194.932      -17.0882      -67.7485       304.852       0.00000      -421.245       6.47157      0.607535       5.00000       4.00000      0.833747       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       21.4445       17.8020       7.82733      0.124237      0.425162E-02  0.792409E-02  -289.410      -40.4879      -131.168       294.938       0.00000      -422.782       6.47158      0.608365       5.00000       4.00000      0.835889       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       21.3924       17.8103       7.84512      0.720995E-01  0.246763E-02  0.669764E-02  -245.620      -30.3888      -92.7972       296.193       0.00000      -422.484       6.55761      0.611740       5.00000       4.00000      0.839775       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       21.5074       17.8987       7.86161      0.948057E-01  0.324401E-02  0.761163E-02  -198.119      -27.2361      -89.4500       164.873       0.00000      -423.143       6.57719      0.614222       5.00000       4.00000      0.843375       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       21.3472       17.8380       7.87852      0.761713E-01  0.260722E-02  0.867314E-02  -191.460      -31.3776      -79.2742       75.2321       0.00000      -422.224       6.67605      0.617425       5.00000       4.00000      0.847069       0.00000       0.00000       0.00000       0.00000    
       10   10.0000       20.9147       17.6294       7.89966      0.545488E-01  0.186873E-02   0.00000      -146.238      -9.23780      -41.5665       258.140       0.00000      -419.749       6.86085      0.621754       5.00000       4.00000      0.851686       0.00000       0.00000       0.00000       0.00000    
       11   11.0000       21.3685       17.8271       7.89966      0.136265      0.466392E-02   0.00000      -137.167       10.7213      -63.7057       281.066       0.00000      -422.346       6.66394      0.621535       5.00000       4.00000      0.851686       0.00000       0.00000       0.00000       0.00000    
       12   12.0000       22.7844       18.0818       7.89966      0.601805E-01  0.205396E-02  0.457309E-02  -105.711      -2.54780      -38.0130       151.156       0.00000      -430.526       5.66722      0.620290       5.00000       4.00000      0.851686       0.00000       0.00000       0.00000       0.00000    
       13   13.0000       22.9072       18.1612       7.90511      0.135002      0.460649E-02  0.972785E-02  -234.565      -44.6345      -109.970       22.0062       0.00000      -431.242       5.66723      0.621125       5.00000       4.00000      0.852876       0.00000       0.00000       0.00000       0.00000    
       14   14.0000       22.0162       17.7811       7.92161      0.171436      0.586014E-02  0.966471E-02  -401.918      -72.8818      -193.512       327.390       0.00000      -426.073       5.99610      0.624878       5.00000       4.00000      0.856479       0.00000       0.00000       0.00000       0.00000    
       15   15.0000       21.6252       17.6467       7.94508      0.129640      0.443490E-02  0.787398E-02  -269.766      -36.0845      -126.663       266.248       0.00000      -423.821       6.21079      0.629127       5.00000       4.00000      0.861606       0.00000       0.00000       0.00000       0.00000    
       16   16.0000       21.5397       17.6388       7.96425      0.208742      0.714217E-02  0.944277E-02  -382.422      -61.2249      -198.343       316.588       0.00000      -423.329       6.30013      0.632190       5.00000       4.00000      0.865793       0.00000       0.00000       0.00000       0.00000    
       17   17.0000       21.2084       17.5199       7.99340      0.141125      0.483182E-02  0.855741E-02  -340.136      -51.0802      -161.844       327.257       0.00000      -421.428       6.48702      0.636732       5.00000       4.00000      0.872159       0.00000       0.00000       0.00000       0.00000    
