datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
0	0.63558316	-3.3992727	-8.3417114	80.878571	1.9367711	231.39532	0
1	2.9918745	-3.0232174	-10.727393	85.333237	1.3748432	204.73431	0
2	1.3836671	-2.2160087	-11.308325	88.395164	1.328677	198.13541	0
3	0.23180485	-2.8423436	-10.278479	92.348656	1.3609674	220.32903	0
4	0.21182914	-3.5813949	-10.665381	96.195602	1.494225	195.63506	0
5	0.071672544	-2.3084044	-8.9338135	96.505981	1.9365999	202.24896	0
6	-2.5952282	0.40681186	-6.2001099	48.016624	3.093065	235.97391	8.5505477e-10
7	1.2264098	1.2936369	0.0042663574	31.349703	5.6327001	286.61209	3.0485456e-09
8	4.2394052	-2.8373415	-9.853064	85.520462	1.9496198	230.99103	0
9	3.894181	-3.0437388	-14.189093	67.173851	1.0760624	223.84573	0
10	2.9937086	0.23049898	-12.180884	102.08187	1.3170842	195.04428	0
11	3.2822707	2.2404027	-4.8104004	59.867836	3.1225354	251.87025	0
12	3.0004442	-0.8982935	-5.2383789	66.566681	2.9515183	236.02222	0
13	-0.034037311	-0.99503726	-6.1271423	53.688599	2.3301956	253.21637	0
14	-1.8486646	-0.44349033	-5.5081543	106.5783	2.5611948	232.77672	0
15	-4.6393189	-0.63652408	-4.9577087	62.755985	3.3607374	259.22672	8.3209708e-11
16	-5.3985963	1.1128826	1.1973816	27.833878	5.9329499	284.40714	6.6676002e-09
17	5.3708224	2.7483723	-3.0203308	70.308426	3.7922687	263.56192	1.3135467e-10
18	2.1862037	2.0242519	-2.6685547	64.369232	3.9101942	263.34546	0
19	-4.2348351	-0.935673	0.07277832	14.429931	5.3466307	279.00732	7.8027527e-09
20	4.3181634	-3.6798117	-2.5940918	39.722469	4.4355309	271.79214	4.002795e-09
21	7.3247128	-1.7045447	-6.8332581	101.21666	2.8898979	240.89507	0
22	3.6157079	-2.4676821	-9.1379456	82.852264	2.4590841	246.19084	1.1161571e-10
23	6.8627863	-0.90351081	-9.5606445	74.981483	1.835615	240.35379	9.1316802e-11
24	5.6601987	-0.69325751	-10.269781	75.174271	1.5947672	223.92754	0
25	5.0589986	-1.6992382	-12.109656	86.36721	1.3433323	225.69887	0
26	5.8414001	-2.1787338	-16.203131	119.73489	0.98354176	195.94154	0
27	6.1188831	-2.4511063	-16.087866	121.2955	1.1409777	197.04825	0
28	2.4803834	-0.73888099	-12.860968	119.76123	1.462738	198.46539	0
29	1.2018622	-1.0090958	-10.378912	91.116005	1.6126188	231.60152	0
30	1.1577601	-1.1809729	-9.1364197	128.27208	1.9672057	200.93091	0
31	0.79162645	0.11193021	-8.1418518	114.04012	2.096727	230.16719	0
32	0.49055949	-0.20617019	-7.2347168	137.7283	2.2831904	219.19548	0
33	2.022284	3.9887543	-4.1148437	62.572327	3.3467255	253.35587	6.8084902e-10
34	-2.025919	-2.1317186	-5.4429077	54.622944	3.2765306	266.13583	1.9548059e-09
35	-0.7049129	-4.6650033	-7.1636414	99.647835	3.2042202	257.90295	3.466791e-09
36	2.2272758	-4.1161141	-12.618506	146.06253	1.8645176	204.42212	0
37	1.6887454	-3.711571	-15.938483	137.36789	1.4295976	206.45082	0
38	3.645638	-4.496191	-19.958289	115.74047	1.0060166	223.36327	7.0921535e-11
39	7.3353744	-2.4409301	-20.386984	133.10704	0.9535334	197.29675	0
40	3.3594239	-1.7014196	-15.074255	148.14644	1.4767964	215.84647	0
41	-0.36351052	4.7911487	-1.7956299	46.136566	4.9923223	283.05463	4.3875364e-09
42	2.2659235	2.2461724	3.8419434	23.364765	8.0452143	304.91232	5.9089301e-09
43	-0.35143265	5.0422974	5.4198853	26.760824	7.9123211	306.14752	8.5630721e-09
44	2.5114331	4.7786665	8.0866638	30.281782	8.7829807	311.638	4.5385184e-10
45	0.34544027	-2.4493372	-2.2717651	144.38039	4.0183539	245.61374	0
