"",32.500
149.0000,0.0000E+000
149.0417,3.2948E+002
149.0833,3.3113E+002
149.1250,3.3278E+002
149.1667,3.3443E+002
149.2083,3.3608E+002
149.2500,3.3774E+002
149.2917,3.3939E+002
149.3333,3.4104E+002
149.3750,3.4269E+002
149.4167,3.4434E+002
149.4583,3.4599E+002
149.5000,3.4764E+002
149.5417,3.4929E+002
149.5833,3.5094E+002
149.6250,3.5259E+002
149.6667,3.5424E+002
149.7083,3.5589E+002
149.7500,3.5755E+002
149.7917,3.5920E+002
149.8333,3.6085E+002
149.8750,3.6250E+002
149.9167,3.6415E+002
149.9583,3.6580E+002
150.0000,3.6745E+002
150.0417,3.6791E+002
150.0833,3.6838E+002
150.1250,3.6884E+002
150.1667,3.6930E+002
150.2083,3.6976E+002
150.2500,3.7023E+002
150.2917,3.7069E+002
150.3333,3.7115E+002
150.3750,3.7161E+002
150.4167,3.7208E+002
150.4583,3.7254E+002
150.5000,3.7300E+002
150.5417,3.7347E+002
150.5833,3.7393E+002
150.6250,3.7439E+002
150.6667,3.7485E+002
150.7083,3.7532E+002
150.7500,3.7578E+002
150.7917,3.7624E+002
150.8333,3.7670E+002
150.8750,3.7717E+002
150.9167,3.7763E+002
150.9583,3.7809E+002
151.0000,3.7856E+002
151.0417,3.7817E+002
151.0833,3.7778E+002
151.1250,3.7739E+002
151.1667,3.7701E+002
151.2083,3.7662E+002
151.2500,3.7623E+002
151.2917,3.7584E+002
151.3333,3.7545E+002
151.3750,3.7507E+002
151.4167,3.7468E+002
151.4583,3.7429E+002
151.5000,3.7390E+002
151.5417,3.7352E+002
151.5833,3.7313E+002
151.6250,3.7274E+002
151.6667,3.7235E+002
151.7083,3.7197E+002
151.7500,3.7158E+002
151.7917,3.7119E+002
151.8333,3.7080E+002
151.8750,3.7042E+002
151.9167,3.7003E+002
151.9583,3.6964E+002
152.0000,3.6925E+002
152.0417,3.6959E+002
152.0833,3.6993E+002
152.1250,3.7026E+002
152.1667,3.7060E+002
152.2083,3.7093E+002
152.2500,3.7127E+002
152.2917,3.7161E+002
152.3333,3.7194E+002
152.3750,3.7228E+002
152.4167,3.7261E+002
152.4583,3.7295E+002
152.5000,3.7329E+002
152.5417,3.7362E+002
152.5833,3.7396E+002
152.6250,3.7430E+002
152.6667,3.7463E+002
