"",32.500
149.0000,0.0000E+000
149.0417,-1.5508E+001
149.0833,-1.5666E+001
149.1250,-1.5845E+001
149.1667,-1.6043E+001
149.2083,-1.6323E+001
149.2500,-1.6812E+001
149.2917,-1.7282E+001
149.3333,-1.7707E+001
149.3750,-1.8192E+001
149.4167,-1.8702E+001
149.4583,-1.9191E+001
149.5000,-1.9676E+001
149.5417,-2.0177E+001
149.5833,-2.0674E+001
149.6250,-2.1153E+001
149.6667,-2.1643E+001
149.7083,-2.2132E+001
149.7500,-2.2594E+001
149.7917,-2.3053E+001
149.8333,-2.3517E+001
149.8750,-2.3957E+001
149.9167,-2.4384E+001
149.9583,-2.4921E+001
150.0000,-2.5853E+001
150.0417,-2.4561E+001
150.0833,-2.3014E+001
150.1250,-2.1384E+001
150.1667,-1.9794E+001
150.2083,-1.8370E+001
150.2500,-1.7000E+001
150.2917,-1.5684E+001
150.3333,-1.4474E+001
150.3750,-1.3340E+001
150.4167,-1.2275E+001
150.4583,-1.1301E+001
150.5000,-1.0411E+001
150.5417,-9.5870E+000
150.5833,-8.8670E+000
150.6250,-8.1351E+000
150.6667,-7.4429E+000
150.7083,-6.7743E+000
150.7500,-6.0838E+000
150.7917,-5.4788E+000
150.8333,-4.9293E+000
150.8750,-4.4065E+000
150.9167,-3.9223E+000
150.9583,-3.4871E+000
151.0000,-3.1067E+000
151.0417,-2.8665E+000
151.0833,-2.6491E+000
151.1250,-2.4316E+000
151.1667,-2.2204E+000
151.2083,-2.0014E+000
151.2500,-1.7885E+000
151.2917,-1.5608E+000
151.3333,-1.3512E+000
151.3750,-1.1186E+000
151.4167,-9.1703E-001
151.4583,-6.7588E-001
151.5000,-4.8676E-001
151.5417,-2.3626E-001
151.5833,-7.4779E-002
151.6250,1.6401E-001
151.6667,3.5536E-001
151.7083,6.5834E-001
151.7500,9.3288E-001
151.7917,1.2562E+000
151.8333,1.5209E+000
151.8750,1.8859E+000
151.9167,2.2146E+000
151.9583,2.6342E+000
152.0000,3.0110E+000
152.0417,3.1253E+000
152.0833,3.1837E+000
152.1250,3.3278E+000
152.1667,3.4207E+000
152.2083,3.6155E+000
152.2500,3.7584E+000
152.2917,3.9871E+000
152.3333,4.1641E+000
152.3750,4.4328E+000
152.4167,4.6640E+000
152.4583,4.9915E+000
152.5000,5.2703E+000
152.5417,5.6357E+000
152.5833,5.9480E+000
152.6250,6.3593E+000
152.6667,6.7245E+000
152.7083,7.1920E+000
152.7500,7.6090E+000
152.7917,8.1246E+000
152.8333,8.6060E+000
152.8750,9.1768E+000
152.9167,9.7199E+000
152.9583,1.0346E+001
153.0000,1.0955E+001
153.0417,9.5602E+000
153.0833,8.2544E+000
153.1250,7.0012E+000
153.1667,5.7597E+000
153.2083,4.5824E+000
153.2500,3.5871E+000
153.2917,2.7890E+000
153.3333,2.0385E+000
153.3750,1.4092E+000
153.4167,7.7472E-001
153.4583,2.0739E-001
153.5000,-3.4236E-001
153.5417,-8.5847E-001
153.5833,-1.3889E+000
153.6250,-1.8830E+000
153.6667,-2.4259E+000
153.7083,-2.9596E+000
153.7500,-3.5723E+000
153.7917,-4.2079E+000
153.8333,-4.9395E+000
