"",32.500
149.0000,0.0000E+000
149.0417,-4.5895E+001
149.0833,-4.5900E+001
149.1250,-4.5964E+001
149.1667,-4.6080E+001
149.2083,-4.6378E+001
149.2500,-4.7122E+001
149.2917,-4.7820E+001
149.3333,-4.8414E+001
149.3750,-4.9123E+001
149.4167,-4.9870E+001
149.4583,-5.0556E+001
149.5000,-5.1214E+001
149.5417,-5.1882E+001
149.5833,-5.2519E+001
149.6250,-5.3095E+001
149.6667,-5.3665E+001
149.7083,-5.4205E+001
149.7500,-5.4662E+001
149.7917,-5.5080E+001
149.8333,-5.5477E+001
149.8750,-5.5795E+001
149.9167,-5.6051E+001
149.9583,-5.6491E+001
150.0000,-5.7672E+001
150.0417,-5.5165E+001
150.0833,-5.2138E+001
150.1250,-4.8933E+001
150.1667,-4.5792E+001
150.2083,-4.2965E+001
150.2500,-4.0232E+001
150.2917,-3.7589E+001
150.3333,-3.5144E+001
150.3750,-3.2836E+001
150.4167,-3.0650E+001
150.4583,-2.8633E+001
150.5000,-2.6772E+001
150.5417,-2.5034E+001
150.5833,-2.3495E+001
150.6250,-2.1921E+001
150.6667,-2.0417E+001
150.7083,-1.8952E+001
150.7500,-1.7429E+001
150.7917,-1.6074E+001
150.8333,-1.4828E+001
150.8750,-1.3632E+001
150.9167,-1.2511E+001
150.9583,-1.1494E+001
151.0000,-1.0597E+001
151.0417,-1.0571E+001
151.0833,-1.0602E+001
151.1250,-1.0640E+001
151.1667,-1.0702E+001
151.2083,-1.0755E+001
151.2500,-1.0836E+001
151.2917,-1.0889E+001
151.3333,-1.1006E+001
151.3750,-1.1071E+001
151.4167,-1.1241E+001
151.4583,-1.1294E+001
151.5000,-1.1521E+001
151.5417,-1.1497E+001
151.5833,-1.1744E+001
151.6250,-1.1922E+001
151.6667,-1.2619E+001
151.7083,-1.3132E+001
151.7500,-1.3754E+001
151.7917,-1.4322E+001
151.8333,-1.5064E+001
151.8750,-1.5645E+001
151.9167,-1.6352E+001
151.9583,-1.6916E+001
152.0000,-1.7623E+001
152.0417,-1.7464E+001
152.0833,-1.7513E+001
152.1250,-1.7460E+001
152.1667,-1.7598E+001
152.2083,-1.7589E+001
152.2500,-1.7763E+001
152.2917,-1.7815E+001
152.3333,-1.8038E+001
152.3750,-1.8115E+001
152.4167,-1.8324E+001
152.4583,-1.8365E+001
152.5000,-1.8554E+001
152.5417,-1.8586E+001
152.5833,-1.8769E+001
152.6250,-1.8761E+001
152.6667,-1.8882E+001
152.7083,-1.8797E+001
152.7500,-1.8845E+001
152.7917,-1.8690E+001
152.8333,-1.8627E+001
152.8750,-1.8378E+001
152.9167,-1.8203E+001
152.9583,-1.7851E+001
153.0000,-1.7548E+001
153.0417,-1.8360E+001
153.0833,-1.9018E+001
153.1250,-1.9609E+001
153.1667,-2.0229E+001
153.2083,-2.0763E+001
153.2500,-2.0949E+001
153.2917,-2.0756E+001
153.3333,-2.0534E+001
153.3750,-2.0124E+001
153.4167,-1.9828E+001
153.4583,-1.9495E+001
153.5000,-2.0102E+001
153.5417,-2.0735E+001
153.5833,-2.1504E+001
153.6250,-2.2301E+001
153.6667,-2.3414E+001
153.7083,-2.4654E+001
153.7500,-2.6277E+001
153.7917,-2.8095E+001
153.8333,-3.0300E+001
153.8750,-3.2744E+001
153.9167,-3.5547E+001
153.9583,-3.8599E+001
154.0000,-4.1960E+001
154.0417,-4.3666E+001
154.0833,-4.5395E+001
154.1250,-4.7210E+001
154.1667,-4.9037E+001
154.2083,-5.0960E+001
154.2500,-5.2866E+001
154.2917,-5.4876E+001
154.3333,-5.6901E+001
154.3750,-5.9034E+001
154.4167,-6.1207E+001
154.4583,-6.3457E+001
154.5000,-6.5770E+001
154.5417,-6.8123E+001
154.5833,-7.0536E+001
154.6250,-7.2948E+001
154.6667,-7.5397E+001
154.7083,-7.7824E+001
154.7500,-8.0318E+001
154.7917,-8.2781E+001
154.8333,-8.5365E+001
154.8750,-8.7917E+001
154.9167,-9.0603E+001
154.9583,-9.3253E+001
155.0000,-9.6031E+001
155.0417,-9.5245E+001
155.0833,-9.4522E+001
155.1250,-9.3779E+001
155.1667,-9.3082E+001
155.2083,-9.2397E+001
155.2500,-9.1723E+001
155.2917,-9.1076E+001
155.3333,-9.0427E+001
155.3750,-8.9785E+001
155.4167,-8.9114E+001
155.4583,-8.8516E+001
155.5000,-8.7911E+001
155.5417,-8.7315E+001
155.5833,-8.6710E+001
155.6250,-8.6271E+001
155.6667,-8.5800E+001
155.7083,-8.5278E+001
155.7500,-8.4776E+001
155.7917,-8.4541E+001
155.8333,-8.4215E+001
155.8750,-8.3808E+001
155.9167,-8.3306E+001
155.9583,-8.3316E+001
156.0000,-8.3236E+001
156.0417,-8.1866E+001
156.0833,-8.0150E+001
156.1250,-7.8590E+001
156.1667,-7.7744E+001
156.2083,-7.6733E+001
156.2500,-7.5497E+001
156.2917,-7.4190E+001
156.3333,-7.2683E+001
156.3750,-7.1667E+001
156.4167,-7.0783E+001
156.4583,-6.9678E+001
156.5000,-6.8504E+001
156.5417,-6.6965E+001
156.5833,-6.6011E+001
156.6250,-6.5388E+001
156.6667,-6.4475E+001
156.7083,-6.3439E+001
156.7500,-6.2079E+001
156.7917,-6.0854E+001
156.8333,-6.0167E+001
156.8750,-5.9589E+001
156.9167,-5.8848E+001
156.9583,-5.7864E+001
157.0000,-5.6787E+001
157.0417,-5.6212E+001
157.0833,-5.5991E+001
157.1250,-5.6246E+001
157.1667,-5.6431E+001
157.2083,-5.6499E+001
157.2500,-5.6376E+001
157.2917,-5.6213E+001
157.3333,-5.5396E+001
157.3750,-5.4729E+001
157.4167,-5.5146E+001
157.4583,-5.5813E+001
157.5000,-5.6272E+001
157.5417,-5.6655E+001
157.5833,-5.6867E+001
157.6250,-5.6415E+001
157.6667,-5.5481E+001
