"",32.500
149.0000,0.0000E+000
149.0417,-3.9016E+002
149.0833,-3.8996E+002
149.1250,-3.8974E+002
149.1667,-3.8951E+002
149.2083,-3.8934E+002
149.2500,-3.8940E+002
149.2917,-3.8939E+002
149.3333,-3.8929E+002
149.3750,-3.8923E+002
149.4167,-3.8917E+002
149.4583,-3.8906E+002
149.5000,-3.8892E+002
149.5417,-3.8878E+002
149.5833,-3.8861E+002
149.6250,-3.8842E+002
149.6667,-3.8822E+002
149.7083,-3.8801E+002
149.7500,-3.8776E+002
149.7917,-3.8751E+002
149.8333,-3.8726E+002
149.8750,-3.8698E+002
149.9167,-3.8668E+002
149.9583,-3.8649E+002
150.0000,-3.8663E+002
150.0417,-3.8685E+002
150.0833,-3.8681E+002
150.1250,-3.8665E+002
150.1667,-3.8646E+002
150.2083,-3.8638E+002
150.2500,-3.8630E+002
150.2917,-3.8622E+002
150.3333,-3.8620E+002
150.3750,-3.8621E+002
150.4167,-3.8624E+002
150.4583,-3.8632E+002
150.5000,-3.8646E+002
150.5417,-3.8663E+002
150.5833,-3.8689E+002
150.6250,-3.8708E+002
150.6667,-3.8728E+002
150.7083,-3.8746E+002
150.7500,-3.8754E+002
150.7917,-3.8769E+002
150.8333,-3.8787E+002
150.8750,-3.8803E+002
150.9167,-3.8819E+002
150.9583,-3.8837E+002
151.0000,-3.8858E+002
151.0417,-3.8884E+002
151.0833,-3.8913E+002
151.1250,-3.8941E+002
151.1667,-3.8970E+002
151.2083,-3.8996E+002
151.2500,-3.9024E+002
151.2917,-3.9048E+002
151.3333,-3.9076E+002
151.3750,-3.9100E+002
151.4167,-3.9131E+002
151.4583,-3.9154E+002
151.5000,-3.9189E+002
151.5417,-3.9212E+002
151.5833,-3.9256E+002
151.6250,-3.9282E+002
151.6667,-3.9323E+002
151.7083,-3.9343E+002
151.7500,-3.9374E+002
151.7917,-3.9399E+002
151.8333,-3.9440E+002
151.8750,-3.9465E+002
151.9167,-3.9500E+002
151.9583,-3.9523E+002
152.0000,-3.9557E+002
152.0417,-3.9583E+002
152.0833,-3.9622E+002
152.1250,-3.9648E+002
152.1667,-3.9685E+002
152.2083,-3.9707E+002
152.2500,-3.9740E+002
152.2917,-3.9761E+002
152.3333,-3.9793E+002
152.3750,-3.9813E+002
152.4167,-3.9841E+002
152.4583,-3.9857E+002
152.5000,-3.9883E+002
152.5417,-3.9899E+002
152.5833,-3.9924E+002
152.6250,-3.9939E+002
152.6667,-3.9961E+002
152.7083,-3.9974E+002
152.7500,-3.9994E+002
152.7917,-4.0006E+002
152.8333,-4.0024E+002
152.8750,-4.0034E+002
152.9167,-4.0049E+002
152.9583,-4.0058E+002
153.0000,-4.0071E+002
153.0417,-4.0079E+002
153.0833,-4.0088E+002
153.1250,-4.0102E+002
153.1667,-4.0125E+002
153.2083,-4.0154E+002
153.2500,-4.0172E+002
153.2917,-4.0176E+002
153.3333,-4.0184E+002
153.3750,-4.0187E+002
153.4167,-4.0202E+002
153.4583,-4.0221E+002
153.5000,-4.0247E+002
153.5417,-4.0272E+002
153.5833,-4.0302E+002
153.6250,-4.0326E+002
153.6667,-4.0356E+002
153.7083,-4.0380E+002
153.7500,-4.0409E+002
153.7917,-4.0432E+002
153.8333,-4.0458E+002
153.8750,-4.0480E+002
153.9167,-4.0504E+002
153.9583,-4.0524E+002
154.0000,-4.0545E+002
154.0417,-4.0564E+002
154.0833,-4.0581E+002
154.1250,-4.0599E+002
154.1667,-4.0615E+002
154.2083,-4.0632E+002
154.2500,-4.0645E+002
154.2917,-4.0661E+002
154.3333,-4.0673E+002
154.3750,-4.0688E+002
154.4167,-4.0701E+002
154.4583,-4.0714E+002
154.5000,-4.0727E+002
154.5417,-4.0739E+002
154.5833,-4.0750E+002
154.6250,-4.0758E+002
154.6667,-4.0764E+002
154.7083,-4.0767E+002
154.7500,-4.0769E+002
154.7917,-4.0767E+002
154.8333,-4.0767E+002
154.8750,-4.0763E+002
154.9167,-4.0762E+002
154.9583,-4.0757E+002
155.0000,-4.0755E+002
155.0417,-4.0749E+002
155.0833,-4.0745E+002
155.1250,-4.0741E+002
155.1667,-4.0739E+002
155.2083,-4.0736E+002
155.2500,-4.0735E+002
155.2917,-4.0734E+002
155.3333,-4.0732E+002
155.3750,-4.0731E+002
155.4167,-4.0728E+002
155.4583,-4.0727E+002
155.5000,-4.0726E+002
155.5417,-4.0724E+002
155.5833,-4.0721E+002
155.6250,-4.0725E+002
155.6667,-4.0726E+002
155.7083,-4.0724E+002
155.7500,-4.0722E+002
155.7917,-4.0731E+002
155.8333,-4.0734E+002
155.8750,-4.0732E+002
155.9167,-4.0724E+002
155.9583,-4.0738E+002
156.0000,-4.0747E+002
156.0417,-4.0750E+002
156.0833,-4.0735E+002
156.1250,-4.0726E+002
156.1667,-4.0750E+002
156.2083,-4.0765E+002
156.2500,-4.0768E+002
156.2917,-4.0767E+002
156.3333,-4.0754E+002
156.3750,-4.0764E+002
156.4167,-4.0780E+002
156.4583,-4.0784E+002
156.5000,-4.0783E+002
156.5417,-4.0762E+002
156.5833,-4.0770E+002
156.6250,-4.0793E+002
156.6667,-4.0801E+002
156.7083,-4.0801E+002
156.7500,-4.0784E+002
156.7917,-4.0773E+002
156.8333,-4.0788E+002
156.8750,-4.0808E+002
156.9167,-4.0818E+002
156.9583,-4.0816E+002
157.0000,-4.0807E+002
157.0417,-4.0786E+002
157.0833,-4.0782E+002
157.1250,-4.0801E+002
157.1667,-4.0815E+002
157.2083,-4.0821E+002
157.2500,-4.0816E+002
157.2917,-4.0806E+002
157.3333,-4.0759E+002
157.3750,-4.0719E+002
157.4167,-4.0733E+002
157.4583,-4.0760E+002
157.5000,-4.0773E+002
157.5417,-4.0779E+002
157.5833,-4.0774E+002
157.6250,-4.0731E+002
157.6667,-4.0660E+002
157.7083,-4.0588E+002
