"",32.500
149.0000,0.0000E+000
149.0417,1.3627E+002
149.0833,1.3153E+002
149.1250,1.2680E+002
149.1667,1.2206E+002
149.2083,1.1732E+002
149.2500,1.1259E+002
149.2917,1.0785E+002
149.3333,1.0311E+002
149.3750,9.8377E+001
149.4167,9.3641E+001
149.4583,8.8904E+001
149.5000,8.4167E+001
149.5417,7.9430E+001
149.5833,7.4694E+001
149.6250,6.9957E+001
149.6667,6.5220E+001
149.7083,6.0483E+001
149.7500,5.5747E+001
149.7917,5.1010E+001
149.8333,4.6273E+001
149.8750,4.1536E+001
149.9167,3.6799E+001
149.9583,3.2062E+001
150.0000,2.7325E+001
150.0417,3.0512E+001
150.0833,3.3698E+001
150.1250,3.6885E+001
150.1667,4.0071E+001
150.2083,4.3258E+001
150.2500,4.6444E+001
150.2917,4.9630E+001
150.3333,5.2817E+001
150.3750,5.6003E+001
150.4167,5.9190E+001
150.4583,6.2376E+001
150.5000,6.5563E+001
150.5417,6.8750E+001
150.5833,7.1936E+001
150.6250,7.5123E+001
150.6667,7.8309E+001
150.7083,8.1496E+001
150.7500,8.4682E+001
150.7917,8.7869E+001
150.8333,9.1055E+001
150.8750,9.4242E+001
150.9167,9.7429E+001
150.9583,1.0062E+002
151.0000,1.0380E+002
151.0417,1.0635E+002
151.0833,1.0890E+002
151.1250,1.1145E+002
151.1667,1.1400E+002
151.2083,1.1655E+002
151.2500,1.1910E+002
151.2917,1.2165E+002
151.3333,1.2420E+002
151.3750,1.2675E+002
151.4167,1.2930E+002
151.4583,1.3185E+002
151.5000,1.3440E+002
151.5417,1.3696E+002
151.5833,1.3951E+002
151.6250,1.4206E+002
151.6667,1.4461E+002
151.7083,1.4716E+002
151.7500,1.4971E+002
151.7917,1.5226E+002
151.8333,1.5481E+002
151.8750,1.5736E+002
151.9167,1.5991E+002
151.9583,1.6246E+002
152.0000,1.6501E+002
152.0417,1.6355E+002
152.0833,1.6208E+002
152.1250,1.6062E+002
152.1667,1.5915E+002
152.2083,1.5769E+002
152.2500,1.5622E+002
152.2917,1.5476E+002
152.3333,1.5330E+002
152.3750,1.5183E+002
152.4167,1.5037E+002
152.4583,1.4890E+002
152.5000,1.4744E+002
152.5417,1.4597E+002
152.5833,1.4451E+002
152.6250,1.4304E+002
152.6667,1.4158E+002
152.7083,1.4011E+002
152.7500,1.3865E+002
152.7917,1.3718E+002
152.8333,1.3572E+002
152.8750,1.3425E+002
152.9167,1.3279E+002
152.9583,1.3133E+002
153.0000,1.2986E+002
153.0417,1.3253E+002
153.0833,1.3520E+002
153.1250,1.3787E+002
153.1667,1.4054E+002
153.2083,1.4320E+002
153.2500,1.4587E+002
153.2917,1.4854E+002
153.3333,1.5121E+002
153.3750,1.5388E+002
153.4167,1.5655E+002
153.4583,1.5922E+002
153.5000,1.6189E+002
153.5417,1.6456E+002
153.5833,1.6722E+002
153.6250,1.6989E+002
153.6667,1.7256E+002
153.7083,1.7523E+002
153.7500,1.7790E+002
153.7917,1.8057E+002
153.8333,1.8324E+002
153.8750,1.8591E+002
153.9167,1.8858E+002
153.9583,1.9124E+002
154.0000,1.9391E+002
154.0417,1.9365E+002
154.0833,1.9339E+002
154.1250,1.9313E+002
154.1667,1.9286E+002
154.2083,1.9260E+002
154.2500,1.9234E+002
154.2917,1.9208E+002
154.3333,1.9181E+002
154.3750,1.9155E+002
154.4167,1.9129E+002
154.4583,1.9103E+002
154.5000,1.9076E+002
154.5417,1.9050E+002
154.5833,1.9024E+002
154.6250,1.8998E+002
154.6667,1.8971E+002
154.7083,1.8945E+002
154.7500,1.8919E+002
154.7917,1.8893E+002
154.8333,1.8866E+002
154.8750,1.8840E+002
154.9167,1.8814E+002
154.9583,1.8788E+002
155.0000,1.8761E+002
155.0417,1.8765E+002
155.0833,1.8768E+002
155.1250,1.8771E+002
155.1667,1.8775E+002
155.2083,1.8778E+002
155.2500,1.8782E+002
155.2917,1.8785E+002
155.3333,1.8788E+002
155.3750,1.8792E+002
155.4167,1.8795E+002
155.4583,1.8798E+002
155.5000,1.8802E+002
155.5417,1.8805E+002
155.5833,1.8808E+002
155.6250,1.8812E+002
155.6667,1.8815E+002
155.7083,1.8818E+002
155.7500,1.8822E+002
155.7917,1.8825E+002
155.8333,1.8828E+002
155.8750,1.8832E+002
155.9167,1.8835E+002
155.9583,1.8839E+002
156.0000,1.8842E+002
156.0417,1.8494E+002
156.0833,1.8146E+002
156.1250,1.7798E+002
156.1667,1.7450E+002
156.2083,1.7102E+002
156.2500,1.6754E+002
156.2917,1.6406E+002
156.3333,1.6057E+002
156.3750,1.5709E+002
156.4167,1.5361E+002
156.4583,1.5013E+002
156.5000,1.4665E+002
156.5417,1.4317E+002
156.5833,1.3969E+002
156.6250,1.3621E+002
156.6667,1.3273E+002
156.7083,1.2925E+002
156.7500,1.2577E+002
156.7917,1.2229E+002
156.8333,1.1881E+002
156.8750,1.1533E+002
156.9167,1.1185E+002
156.9583,1.0837E+002
157.0000,1.0489E+002
157.0417,1.0251E+002
157.0833,1.0013E+002
157.1250,9.7757E+001
157.1667,9.5382E+001
157.2083,9.3006E+001
157.2500,9.0630E+001
157.2917,8.8254E+001
157.3333,8.5878E+001
157.3750,8.3502E+001
157.4167,8.1126E+001
157.4583,7.8750E+001
157.5000,7.6374E+001
157.5417,7.3998E+001
157.5833,7.1622E+001
157.6250,6.9246E+001
157.6667,6.6870E+001
157.7083,6.4494E+001
157.7500,6.2118E+001
157.7917,5.9742E+001
157.8333,5.7366E+001
157.8750,5.4989E+001
157.9167,5.2613E+001
157.9583,5.0237E+001
158.0000,4.7861E+001
158.0417,5.2710E+001
158.0833,5.7558E+001
158.1250,6.2407E+001
158.1667,6.7255E+001
158.2083,7.2104E+001
158.2500,7.6953E+001
158.2917,8.1801E+001
158.3333,8.6650E+001
158.3750,9.1499E+001
158.4167,9.6347E+001
158.4583,1.0120E+002
158.5000,1.0604E+002
158.5417,1.1089E+002
158.5833,1.1574E+002
158.6250,1.2059E+002
158.6667,1.2544E+002
158.7083,1.3029E+002
158.7500,1.3514E+002
158.7917,1.3999E+002
158.8333,1.4483E+002
158.8750,1.4968E+002
158.9167,1.5453E+002
158.9583,1.5938E+002
159.0000,1.6423E+002
159.0417,1.6484E+002
159.0833,1.6545E+002
159.1250,1.6605E+002
159.1667,1.6666E+002
159.2083,1.6727E+002
159.2500,1.6788E+002
159.2917,1.6849E+002
159.3333,1.6909E+002
159.3750,1.6970E+002
159.4167,1.7031E+002
159.4583,1.7092E+002
159.5000,1.7153E+002
159.5417,1.7213E+002
159.5833,1.7274E+002
159.6250,1.7335E+002
159.6667,1.7396E+002
159.7083,1.7457E+002
159.7500,1.7517E+002
159.7917,1.7578E+002
159.8333,1.7639E+002
159.8750,1.7700E+002
159.9167,1.7761E+002
159.9583,1.7821E+002
160.0000,1.7882E+002
160.0417,1.7538E+002
160.0833,1.7193E+002
160.1250,1.6849E+002
160.1667,1.6505E+002
160.2083,1.6160E+002
160.2500,1.5816E+002
160.2917,1.5472E+002
160.3333,1.5127E+002
160.3750,1.4783E+002
160.4167,1.4439E+002
160.4583,1.4094E+002
160.5000,1.3750E+002
160.5417,1.3405E+002
160.5833,1.3061E+002
160.6250,1.2717E+002
160.6667,1.2372E+002
160.7083,1.2028E+002
160.7500,1.1684E+002
160.7917,1.1339E+002
160.8333,1.0995E+002
160.8750,1.0650E+002
160.9167,1.0306E+002
160.9583,9.9617E+001
161.0000,9.6173E+001
161.0417,9.2749E+001
161.0833,8.9325E+001
161.1250,8.5902E+001
161.1667,8.2478E+001
161.2083,7.9054E+001
161.2500,7.5631E+001
161.2917,7.2207E+001
161.3333,6.8783E+001
161.3750,6.5359E+001
161.4167,6.1936E+001
161.4583,5.8512E+001
161.5000,5.5088E+001
161.5417,5.1664E+001
161.5833,4.8241E+001
161.6250,4.4817E+001
161.6667,4.1393E+001
161.7083,3.7969E+001
161.7500,3.4545E+001
161.7917,3.1121E+001
161.8333,2.7698E+001
161.8750,2.4274E+001
161.9167,2.0850E+001
161.9583,1.7426E+001
162.0000,1.4002E+001
162.0417,2.2098E+001
162.0833,3.0194E+001
162.1250,3.8291E+001
162.1667,4.6387E+001
162.2083,5.4483E+001
162.2500,6.2579E+001
162.2917,7.0676E+001
162.3333,7.8772E+001
162.3750,8.6868E+001
162.4167,9.4965E+001
162.4583,1.0306E+002
162.5000,1.1116E+002
162.5417,1.1925E+002
162.5833,1.2735E+002
162.6250,1.3545E+002
162.6667,1.4354E+002
162.7083,1.5164E+002
162.7500,1.5974E+002
162.7917,1.6783E+002
162.8333,1.7593E+002
162.8750,1.8403E+002
162.9167,1.9212E+002
162.9583,2.0022E+002
163.0000,2.0832E+002
163.0417,2.0670E+002
163.0833,2.0508E+002
163.1250,2.0345E+002
163.1667,2.0183E+002
163.2083,2.0021E+002
163.2500,1.9859E+002
163.2917,1.9697E+002
163.3333,1.9535E+002
163.3750,1.9373E+002
163.4167,1.9211E+002
163.4583,1.9049E+002
163.5000,1.8887E+002
163.5417,1.8725E+002
163.5833,1.8563E+002
163.6250,1.8401E+002
163.6667,1.8238E+002
163.7083,1.8076E+002
163.7500,1.7914E+002
163.7917,1.7752E+002
163.8333,1.7590E+002
163.8750,1.7428E+002
163.9167,1.7266E+002
163.9583,1.7104E+002
164.0000,1.6942E+002
164.0417,1.7075E+002
164.0833,1.7209E+002
164.1250,1.7342E+002
164.1667,1.7476E+002
164.2083,1.7609E+002
164.2500,1.7743E+002
164.2917,1.7876E+002
164.3333,1.8010E+002
164.3750,1.8143E+002
164.4167,1.8277E+002
164.4583,1.8410E+002
164.5000,1.8544E+002
164.5417,1.8677E+002
164.5833,1.8811E+002
164.6250,1.8944E+002
164.6667,1.9078E+002
164.7083,1.9211E+002
164.7500,1.9345E+002
164.7917,1.9478E+002
164.8333,1.9612E+002
164.8750,1.9745E+002
164.9167,1.9879E+002
164.9583,2.0012E+002
165.0000,2.0146E+002
165.0417,2.0174E+002
165.0833,2.0202E+002
165.1250,2.0231E+002
165.1667,2.0259E+002
165.2083,2.0287E+002
165.2500,2.0316E+002
165.2917,2.0344E+002
165.3333,2.0372E+002
165.3750,2.0401E+002
165.4167,2.0429E+002
165.4583,2.0457E+002
165.5000,2.0486E+002
165.5417,2.0514E+002
165.5833,2.0542E+002
165.6250,2.0571E+002
165.6667,2.0599E+002
165.7083,2.0627E+002
165.7500,2.0655E+002
165.7917,2.0684E+002
165.8333,2.0712E+002
165.8750,2.0740E+002
165.9167,2.0769E+002
165.9583,2.0797E+002
166.0000,2.0825E+002
166.0417,2.0637E+002
166.0833,2.0449E+002
166.1250,2.0260E+002
166.1667,2.0072E+002
166.2083,1.9884E+002
166.2500,1.9695E+002
166.2917,1.9507E+002
166.3333,1.9318E+002
166.3750,1.9130E+002
166.4167,1.8942E+002
166.4583,1.8753E+002
166.5000,1.8565E+002
166.5417,1.8376E+002
166.5833,1.8188E+002
166.6250,1.8000E+002
166.6667,1.7811E+002
166.7083,1.7623E+002
166.7500,1.7435E+002
166.7917,1.7246E+002
166.8333,1.7058E+002
166.8750,1.6869E+002
166.9167,1.6681E+002
166.9583,1.6493E+002
167.0000,1.6304E+002
167.0417,1.5702E+002
167.0833,1.5101E+002
167.1250,1.4499E+002
167.1667,1.3897E+002
167.2083,1.3296E+002
167.2500,1.2694E+002
167.2917,1.2093E+002
167.3333,1.1491E+002
167.3750,1.0890E+002
167.4167,1.0288E+002
167.4583,9.6867E+001
167.5000,9.0851E+001
167.5417,8.4836E+001
167.5833,7.8820E+001
167.6250,7.2805E+001
167.6667,6.6790E+001
167.7083,6.0774E+001
167.7500,5.4759E+001
167.7917,4.8743E+001
167.8333,4.2728E+001
167.8750,3.6712E+001
167.9167,3.0697E+001
167.9583,2.4682E+001
168.0000,1.8666E+001
168.0417,2.0197E+001
168.0833,2.1727E+001
168.1250,2.3257E+001
168.1667,2.4788E+001
168.2083,2.6318E+001
168.2500,2.7849E+001
168.2917,2.9379E+001
168.3333,3.0910E+001
168.3750,3.2440E+001
168.4167,3.3970E+001
168.4583,3.5501E+001
168.5000,3.7031E+001
168.5417,3.8562E+001
168.5833,4.0092E+001
