Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       17.2000       17.2000       8.00000      0.161753      0.558209E-02   0.00000      -100.740       8.60428      -43.4372       230.498       0.00000      -398.938       11.5500      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       17.4295       17.4295       17.4295      0.222958      0.769083E-02  0.627357E-02  -257.638      -30.2518      -133.805       282.440       0.00000      -400.201       11.5500      0.500000       5.00000       4.00000       2.93300       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       17.4683       17.4683       17.4683      0.134061      0.462401E-02  0.423187E-02  -256.362      -31.5789      -116.638       318.107       0.00000      -400.415       11.5500      0.500000       5.00000       4.00000       2.94148       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       17.5729       17.5729       17.5729      0.148561      0.512307E-02  0.582548E-02  -290.883      -29.7396      -151.390       337.006       0.00000      -400.992       11.5500      0.500000       5.00000       4.00000       2.96433       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       17.6497       17.6497       17.6497      0.199048      0.686310E-02  0.570091E-02  -232.903      -15.5605      -133.715       264.238       0.00000      -401.415       11.5500      0.500000       5.00000       4.00000       2.98109       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       17.7001       17.7001       17.7001      0.288993      0.996336E-02  0.717471E-02  -174.416      -5.97789      -117.854       148.745       0.00000      -401.694       11.5500      0.500000       5.00000       4.00000       2.99210       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       17.6490       17.6490       17.6490      0.252668      0.871189E-02  0.929762E-02  -385.420      -62.1409      -208.105       330.699       0.00000      -401.412       11.5500      0.500000       5.00000       4.00000       2.98094       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       17.5461       17.5461       17.5461      0.171002      0.589726E-02  0.734605E-02  -332.722      -48.5009      -164.862       348.598       0.00000      -400.844       11.5500      0.500000       5.00000       4.00000       2.95847       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       17.5690       17.5690       17.5690      0.127212      0.438690E-02  0.812393E-02  -211.569      -38.1752      -102.937       160.496       0.00000      -400.970       11.5500      0.500000       5.00000       4.00000       2.96347       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       17.4727       17.4727       17.4727      0.837207E-01  0.288766E-02  0.585963E-02  -182.522      -26.0188      -76.7667       194.511       0.00000      -400.439       11.5500      0.500000       5.00000       4.00000       2.94244       0.00000       0.00000       0.00000       0.00000    
       10   10.0000       17.4888       17.4888       17.4888      0.875669E-01  0.302022E-02  0.822229E-02  -126.267      -20.9811      -45.3263       44.2079       0.00000      -400.527       11.5500      0.500000       5.00000       4.00000       2.94594       0.00000       0.00000       0.00000       0.00000    
       11   11.0000       17.3373       17.3373       17.3373      0.110181      0.380131E-02   0.00000      -98.9228      -9.83466      -34.5677       150.377       0.00000      -399.693       11.5500      0.500000       5.00000       4.00000       2.91288       0.00000       0.00000       0.00000       0.00000    
       12   12.0000       17.4237       17.4237       17.4237      0.953018E-01  0.328742E-02   0.00000      -136.064      -7.31347      -44.2341       269.807       0.00000      -400.169       11.5500      0.500000       5.00000       4.00000       2.93175       0.00000       0.00000       0.00000       0.00000    
       13   13.0000       17.6791       17.6566       17.4237      0.641180E-01  0.221063E-02   0.00000      -120.929      -7.55688      -32.6606       241.252       0.00000      -401.578       9.51857      0.500000       5.00000       4.00000       2.93175       0.00000       0.00000       0.00000       0.00000    
       14   14.0000       17.9428       17.8656       17.4237      0.126922      0.437369E-02  0.544586E-02  -155.051      -22.8798      -63.7993       176.178       0.00000      -403.036       8.11669      0.500000       5.00000       4.00000       2.93175       0.00000       0.00000       0.00000       0.00000    
       15   15.0000       17.9793       17.8980       17.4340      0.195898      0.675010E-02  0.717677E-02  -215.471      -38.2386      -101.701       195.914       0.00000      -403.238       8.19323      0.512953       5.00000       4.00000       2.93398       0.00000       0.00000       0.00000       0.00000    
       16   16.0000       17.8967       17.8579       17.4103      0.274232      0.945083E-02  0.899514E-02  -283.717      -51.5035      -154.357       200.762       0.00000      -402.781       9.82972      0.535634       5.00000       4.00000       2.92881       0.00000       0.00000       0.00000       0.00000    
       17   17.0000       17.7048       17.7048       17.7048      0.136043      0.469018E-02  0.100200E-01  -204.063      -46.8889      -89.9738       51.5297       0.00000      -401.720       11.5500      0.500000       5.00000       4.00000       2.99313       0.00000       0.00000       0.00000       0.00000    
       18   18.0000       17.4278       17.4278       17.4278      0.140781      0.485618E-02  0.860747E-02  -198.092      -43.9489      -89.6413       119.566       0.00000      -400.192       11.5500      0.500000       5.00000       4.00000       2.93263       0.00000       0.00000       0.00000       0.00000    
       19   19.0000       17.2827       17.2827       17.2827      0.210793      0.727328E-02  0.111030E-01  -256.836      -68.0047      -122.008       33.6875       0.00000      -399.393       11.5500      0.500000       5.00000       4.00000       2.90094       0.00000       0.00000       0.00000       0.00000    
       20   20.0000       16.8801       16.8801       16.8801      0.111808      0.386090E-02  0.535002E-02  -135.649      -24.9850      -51.2897       142.248       0.00000      -397.183       11.5500      0.500000       5.00000       4.00000       2.81300       0.00000       0.00000       0.00000       0.00000    
       21   21.0000       16.8867       16.8867       16.8867      0.188790      0.651914E-02  0.945077E-02  -188.776      -45.2618      -84.0837       54.7208       0.00000      -397.219       11.5500      0.500000       5.00000       4.00000       2.81447       0.00000       0.00000       0.00000       0.00000    
       22   22.0000       16.6430       16.6430       16.6430      0.234525      0.810228E-02  0.106585E-01  -291.844      -77.3404      -148.521       100.681       0.00000      -395.885       11.5500      0.500000       5.00000       4.00000       2.76122       0.00000       0.00000       0.00000       0.00000    
       23   23.0000       16.2975       16.2975       16.2975      0.983453E-01  0.339989E-02   0.00000      -212.737      -21.4607      -76.3911       362.803       0.00000      -394.001       11.5500      0.500000       5.00000       4.00000       2.68578       0.00000       0.00000       0.00000       0.00000    
       24   24.0000       16.5772       16.5599       16.2975      0.526190E-01  0.181810E-02   0.00000      -173.045      -12.1667      -46.6219       363.444       0.00000      -395.526       10.1215      0.500000       5.00000       4.00000       2.68578       0.00000       0.00000       0.00000       0.00000    
       25   25.0000       16.9813       16.8941       16.2975      0.890353E-01  0.307392E-02   0.00000      -172.750      -8.53320      -60.3224       348.243       0.00000      -397.738       8.60372      0.500000       5.00000       4.00000       2.68578       0.00000       0.00000       0.00000       0.00000    
       26   26.0000       17.4167       17.2018       16.2975      0.983522E-01  0.339269E-02   0.00000      -189.283      -9.03557      -74.0194       356.417       0.00000      -400.130       7.11347      0.500000       5.00000       4.00000       2.68578       0.00000       0.00000       0.00000       0.00000    
       27   27.0000       17.8351       17.4945       16.2975      0.156176      0.538291E-02  0.501537E-02  -223.509      -11.7166      -116.207       315.525       0.00000      -402.440       6.43326      0.500000       5.00000       4.00000       2.68578       0.00000       0.00000       0.00000       0.00000    
       28   28.0000       18.0283       17.6535       16.3501      0.217153      0.748177E-02  0.616595E-02  -139.338      0.520284      -94.4618       121.732       0.00000      -403.510       6.43327      0.504135       5.00000       4.00000       2.69726       0.00000       0.00000       0.00000       0.00000    
       29   29.0000       17.9336       17.6173       16.3156      0.870506E-01  0.299979E-02   0.00000      -100.016      0.386145      -28.3902       237.876       0.00000      -402.985       7.13826      0.511747       5.00000       4.00000       2.68973       0.00000       0.00000       0.00000       0.00000    
