"",32.500
149.0000,0.0000E+000
149.0417,3.5874E+002
149.0833,3.5802E+002
149.1250,3.5731E+002
149.1667,3.5659E+002
149.2083,3.5588E+002
149.2500,3.5516E+002
149.2917,3.5445E+002
149.3333,3.5373E+002
149.3750,3.5301E+002
149.4167,3.5230E+002
149.4583,3.5158E+002
149.5000,3.5087E+002
149.5417,3.5015E+002
149.5833,3.4944E+002
149.6250,3.4872E+002
149.6667,3.4801E+002
149.7083,3.4729E+002
149.7500,3.4658E+002
149.7917,3.4586E+002
149.8333,3.4514E+002
149.8750,3.4443E+002
149.9167,3.4371E+002
149.9583,3.4300E+002
150.0000,3.4228E+002
150.0417,3.4051E+002
150.0833,3.3874E+002
150.1250,3.3696E+002
150.1667,3.3519E+002
150.2083,3.3342E+002
150.2500,3.3164E+002
150.2917,3.2987E+002
150.3333,3.2810E+002
150.3750,3.2633E+002
150.4167,3.2455E+002
150.4583,3.2278E+002
150.5000,3.2101E+002
150.5417,3.1923E+002
150.5833,3.1746E+002
150.6250,3.1569E+002
150.6667,3.1391E+002
150.7083,3.1214E+002
150.7500,3.1037E+002
150.7917,3.0860E+002
150.8333,3.0682E+002
150.8750,3.0505E+002
150.9167,3.0328E+002
150.9583,3.0150E+002
151.0000,2.9973E+002
151.0417,2.9958E+002
151.0833,2.9943E+002
151.1250,2.9928E+002
151.1667,2.9912E+002
151.2083,2.9897E+002
151.2500,2.9882E+002
151.2917,2.9867E+002
151.3333,2.9852E+002
151.3750,2.9837E+002
151.4167,2.9822E+002
151.4583,2.9806E+002
151.5000,2.9791E+002
151.5417,2.9776E+002
151.5833,2.9761E+002
151.6250,2.9746E+002
151.6667,2.9731E+002
151.7083,2.9715E+002
151.7500,2.9700E+002
151.7917,2.9685E+002
151.8333,2.9670E+002
151.8750,2.9655E+002
151.9167,2.9640E+002
151.9583,2.9625E+002
152.0000,2.9609E+002
152.0417,2.9797E+002
152.0833,2.9984E+002
152.1250,3.0172E+002
152.1667,3.0359E+002
152.2083,3.0547E+002
152.2500,3.0734E+002
152.2917,3.0921E+002
152.3333,3.1109E+002
152.3750,3.1296E+002
152.4167,3.1484E+002
152.4583,3.1671E+002
152.5000,3.1859E+002
152.5417,3.2046E+002
152.5833,3.2233E+002
152.6250,3.2421E+002
152.6667,3.2608E+002
152.7083,3.2796E+002
152.7500,3.2983E+002
152.7917,3.3171E+002
152.8333,3.3358E+002
152.8750,3.3545E+002
152.9167,3.3733E+002
152.9583,3.3920E+002
153.0000,3.4108E+002
153.0417,3.4191E+002
153.0833,3.4275E+002
153.1250,3.4358E+002
153.1667,3.4442E+002
153.2083,3.4525E+002
153.2500,3.4609E+002
153.2917,3.4692E+002
153.3333,3.4775E+002
153.3750,3.4859E+002
153.4167,3.4942E+002
153.4583,3.5026E+002
153.5000,3.5109E+002
153.5417,3.5193E+002
153.5833,3.5276E+002
153.6250,3.5360E+002
153.6667,3.5443E+002
153.7083,3.5527E+002
153.7500,3.5610E+002
153.7917,3.5694E+002
153.8333,3.5777E+002
153.8750,3.5861E+002
153.9167,3.5944E+002
153.9583,3.6028E+002
154.0000,3.6111E+002
154.0417,3.5884E+002
154.0833,3.5657E+002
154.1250,3.5430E+002
154.1667,3.5203E+002
154.2083,3.4977E+002
154.2500,3.4750E+002
154.2917,3.4523E+002
154.3333,3.4296E+002
154.3750,3.4069E+002
154.4167,3.3842E+002
154.4583,3.3615E+002
154.5000,3.3388E+002
154.5417,3.3161E+002
154.5833,3.2935E+002
154.6250,3.2708E+002
154.6667,3.2481E+002
154.7083,3.2254E+002
154.7500,3.2027E+002
154.7917,3.1800E+002
154.8333,3.1573E+002
154.8750,3.1346E+002
154.9167,3.1119E+002
154.9583,3.0893E+002
155.0000,3.0666E+002
155.0417,3.0596E+002
155.0833,3.0526E+002
155.1250,3.0457E+002
155.1667,3.0387E+002
155.2083,3.0318E+002
155.2500,3.0248E+002
155.2917,3.0179E+002
155.3333,3.0109E+002
155.3750,3.0039E+002
155.4167,2.9970E+002
155.4583,2.9900E+002
155.5000,2.9831E+002
155.5417,2.9761E+002
155.5833,2.9692E+002
155.6250,2.9622E+002
155.6667,2.9552E+002
155.7083,2.9483E+002
155.7500,2.9413E+002
155.7917,2.9344E+002
155.8333,2.9274E+002
155.8750,2.9205E+002
155.9167,2.9135E+002
155.9583,2.9065E+002
156.0000,2.8996E+002
156.0417,2.9186E+002
156.0833,2.9376E+002
156.1250,2.9566E+002
156.1667,2.9756E+002
156.2083,2.9946E+002
156.2500,3.0136E+002
156.2917,3.0325E+002
156.3333,3.0515E+002
156.3750,3.0705E+002
156.4167,3.0895E+002
156.4583,3.1085E+002
156.5000,3.1275E+002
156.5417,3.1465E+002
156.5833,3.1655E+002
156.6250,3.1845E+002
156.6667,3.2035E+002
156.7083,3.2225E+002
156.7500,3.2415E+002
156.7917,3.2605E+002
156.8333,3.2795E+002
156.8750,3.2985E+002
156.9167,3.3174E+002
156.9583,3.3364E+002
157.0000,3.3554E+002
157.0417,3.3470E+002
157.0833,3.3386E+002
157.1250,3.3302E+002
157.1667,3.3218E+002
157.2083,3.3134E+002
157.2500,3.3050E+002
157.2917,3.2966E+002
157.3333,3.2882E+002
157.3750,3.2798E+002
157.4167,3.2714E+002
157.4583,3.2630E+002
157.5000,3.2546E+002
157.5417,3.2462E+002
157.5833,3.2378E+002
157.6250,3.2293E+002
157.6667,3.2209E+002
157.7083,3.2125E+002
157.7500,3.2041E+002
157.7917,3.1957E+002
157.8333,3.1873E+002
157.8750,3.1789E+002
157.9167,3.1705E+002
157.9583,3.1621E+002
158.0000,3.1537E+002
158.0417,3.1794E+002
158.0833,3.2051E+002
158.1250,3.2308E+002
158.1667,3.2564E+002
158.2083,3.2821E+002
158.2500,3.3078E+002
158.2917,3.3335E+002
158.3333,3.3592E+002
158.3750,3.3848E+002
158.4167,3.4105E+002
158.4583,3.4362E+002
158.5000,3.4619E+002
158.5417,3.4876E+002
158.5833,3.5133E+002
158.6250,3.5389E+002
158.6667,3.5646E+002
158.7083,3.5903E+002
158.7500,3.6160E+002
158.7917,3.6417E+002
158.8333,3.6674E+002
158.8750,3.6930E+002
158.9167,3.7187E+002
158.9583,3.7444E+002
159.0000,3.7701E+002
159.0417,3.7734E+002
159.0833,3.7766E+002
159.1250,3.7799E+002
159.1667,3.7832E+002
159.2083,3.7864E+002
159.2500,3.7897E+002
159.2917,3.7930E+002
