"",32.500
149.0000,0.0000E+000
149.0417,-1.5406E+001
149.0833,-1.5474E+001
149.1250,-1.5368E+001
149.1667,-1.5062E+001
149.2083,-1.4445E+001
149.2500,-1.4841E+001
149.2917,-1.6577E+001
149.3333,-1.8377E+001
149.3750,-2.0283E+001
149.4167,-2.2378E+001
149.4583,-2.4748E+001
149.5000,-2.7397E+001
149.5417,-3.0314E+001
149.5833,-3.3501E+001
149.6250,-3.6949E+001
149.6667,-4.0649E+001
149.7083,-4.4589E+001
149.7500,-4.8757E+001
149.7917,-5.3142E+001
149.8333,-5.7730E+001
149.8750,-6.2511E+001
149.9167,-6.7469E+001
149.9583,-7.2592E+001
150.0000,-7.7856E+001
150.0417,-7.6880E+001
150.0833,-7.5799E+001
150.1250,-7.4460E+001
150.1667,-7.2876E+001
150.2083,-7.1564E+001
150.2500,-7.0706E+001
150.2917,-7.0104E+001
150.3333,-6.9672E+001
150.3750,-6.9352E+001
150.4167,-6.9115E+001
150.4583,-6.8978E+001
150.5000,-6.8942E+001
150.5417,-6.8996E+001
150.5833,-6.9163E+001
150.6250,-6.9478E+001
150.6667,-6.9921E+001
150.7083,-7.0453E+001
150.7500,-7.1137E+001
150.7917,-7.1962E+001
150.8333,-7.2823E+001
150.8750,-7.3706E+001
150.9167,-7.4913E+001
150.9583,-7.6336E+001
151.0000,-7.7915E+001
151.0417,-7.8118E+001
151.0833,-7.8672E+001
151.1250,-7.9261E+001
151.1667,-7.9806E+001
151.2083,-8.0145E+001
151.2500,-8.0800E+001
151.2917,-8.1674E+001
151.3333,-8.2381E+001
151.3750,-8.2859E+001
151.4167,-8.3457E+001
151.4583,-8.4380E+001
151.5000,-8.5187E+001
151.5417,-8.5848E+001
151.5833,-8.6337E+001
151.6250,-8.7184E+001
151.6667,-8.8055E+001
151.7083,-8.8861E+001
151.7500,-8.9427E+001
151.7917,-9.0415E+001
151.8333,-9.1558E+001
151.8750,-9.2562E+001
151.9167,-9.3366E+001
151.9583,-9.4394E+001
152.0000,-9.5700E+001
152.0417,-9.1754E+001
152.0833,-8.7916E+001
152.1250,-8.4423E+001
152.1667,-8.1453E+001
152.2083,-7.8665E+001
152.2500,-7.6080E+001
152.2917,-7.3736E+001
152.3333,-7.1955E+001
152.3750,-7.0426E+001
152.4167,-6.9142E+001
152.4583,-6.7970E+001
152.5000,-6.7397E+001
152.5417,-6.7237E+001
152.5833,-6.7200E+001
152.6250,-6.7280E+001
152.6667,-6.7649E+001
152.7083,-6.8407E+001
152.7500,-6.9295E+001
152.7917,-7.0268E+001
152.8333,-7.1349E+001
152.8750,-7.2672E+001
152.9167,-7.4045E+001
152.9583,-7.5426E+001
153.0000,-7.6907E+001
153.0417,-7.6369E+001
153.0833,-7.5785E+001
153.1250,-7.5143E+001
153.1667,-7.4593E+001
153.2083,-7.4034E+001
153.2500,-7.3403E+001
153.2917,-7.2806E+001
153.3333,-7.2238E+001
153.3750,-7.1637E+001
153.4167,-7.0987E+001
153.4583,-7.0407E+001
153.5000,-6.9802E+001
153.5417,-6.9154E+001
153.5833,-6.8534E+001
153.6250,-6.7943E+001
153.6667,-6.7301E+001
153.7083,-6.6662E+001
153.7500,-6.6049E+001
153.7917,-6.5434E+001
153.8333,-6.4757E+001
153.8750,-6.4148E+001
153.9167,-6.3516E+001
153.9583,-6.2864E+001
154.0000,-6.2194E+001
154.0417,-6.0311E+001
154.0833,-5.8380E+001
154.1250,-5.6518E+001
154.1667,-5.4774E+001
154.2083,-5.3250E+001
154.2500,-5.1924E+001
154.2917,-5.1008E+001
154.3333,-5.0543E+001
154.3750,-5.0609E+001
154.4167,-5.1264E+001
154.4583,-5.2627E+001
154.5000,-5.4808E+001
154.5417,-5.7692E+001
154.5833,-6.1262E+001
154.6250,-6.5247E+001
154.6667,-7.0303E+001
154.7083,-7.6031E+001
154.7500,-8.2116E+001
154.7917,-8.8362E+001
154.8333,-9.4505E+001
154.8750,-1.0166E+002
154.9167,-1.1015E+002
154.9583,-1.1904E+002
155.0000,-1.2798E+002
155.0417,-1.2411E+002
155.0833,-1.2030E+002
155.1250,-1.1647E+002
155.1667,-1.1304E+002
155.2083,-1.0994E+002
155.2500,-1.0698E+002
155.2917,-1.0395E+002
155.3333,-1.0152E+002
155.3750,-9.9529E+001
155.4167,-9.7620E+001
155.4583,-9.5738E+001
155.5000,-9.4221E+001
155.5417,-9.3602E+001
155.5833,-9.3174E+001
155.6250,-9.2930E+001
155.6667,-9.2705E+001
155.7083,-9.2943E+001
155.7500,-9.4113E+001
155.7917,-9.5416E+001
155.8333,-9.6883E+001
155.8750,-9.8064E+001
155.9167,-1.0006E+002
155.9583,-1.0297E+002
156.0000,-1.0580E+002
156.0417,-1.0378E+002
156.0833,-1.0149E+002
156.1250,-9.9569E+001
156.1667,-9.8106E+001
156.2083,-9.6419E+001
156.2500,-9.4609E+001
156.2917,-9.2318E+001
156.3333,-9.0892E+001
156.3750,-8.9819E+001
156.4167,-8.8431E+001
156.4583,-8.6898E+001
156.5000,-8.4356E+001
156.5417,-8.2354E+001
156.5833,-8.2026E+001
156.6250,-8.1431E+001
156.6667,-8.0594E+001
156.7083,-7.9557E+001
156.7500,-7.8307E+001
156.7917,-7.5837E+001
156.8333,-7.3423E+001
