"",32.500
149.0000,3.2500E+001
149.0417,3.2500E+001
149.0833,3.2500E+001
149.1250,3.2500E+001
149.1667,3.2500E+001
149.2083,3.2500E+001
149.2500,3.2500E+001
149.2917,3.2500E+001
149.3333,3.2500E+001
149.3750,3.2500E+001
149.4167,3.2500E+001
149.4583,3.2500E+001
149.5000,3.2500E+001
149.5417,3.2500E+001
149.5833,3.2500E+001
149.6250,3.2500E+001
149.6667,3.2500E+001
149.7083,3.2500E+001
149.7500,3.2500E+001
149.7917,3.2500E+001
149.8333,3.2500E+001
149.8750,3.2500E+001
149.9167,3.2500E+001
149.9583,3.2500E+001
150.0000,3.2500E+001
150.0417,3.2500E+001
150.0833,3.2500E+001
150.1250,3.2500E+001
150.1667,3.2500E+001
150.2083,3.2500E+001
150.2500,3.2500E+001
150.2917,3.2500E+001
150.3333,3.2500E+001
150.3750,3.2500E+001
150.4167,3.2500E+001
150.4583,3.2500E+001
150.5000,3.2500E+001
150.5417,3.2500E+001
150.5833,3.2500E+001
150.6250,3.2500E+001
150.6667,3.2500E+001
150.7083,3.2500E+001
150.7500,3.2500E+001
150.7917,3.2500E+001
150.8333,3.2500E+001
150.8750,3.2500E+001
150.9167,3.2500E+001
150.9583,3.2500E+001
151.0000,3.2500E+001
151.0417,3.2500E+001
151.0833,3.2500E+001
151.1250,3.2500E+001
151.1667,3.2500E+001
151.2083,3.2500E+001
151.2500,3.2500E+001
151.2917,3.2500E+001
151.3333,3.2500E+001
151.3750,3.2500E+001
151.4167,3.2500E+001
151.4583,3.2500E+001
151.5000,3.2500E+001
151.5417,3.2500E+001
151.5833,3.2500E+001
151.6250,3.2500E+001
151.6667,3.2500E+001
151.7083,3.2500E+001
151.7500,3.2500E+001
151.7917,3.2500E+001
151.8333,3.2500E+001
151.8750,3.2500E+001
151.9167,3.2500E+001
151.9583,3.2500E+001
152.0000,3.2500E+001
152.0417,3.2500E+001
152.0833,3.2500E+001
152.1250,3.2500E+001
152.1667,3.2500E+001
152.2083,3.2500E+001
152.2500,3.2500E+001
152.2917,3.2500E+001
152.3333,3.2500E+001
152.3750,3.2500E+001
152.4167,3.2500E+001
152.4583,3.2500E+001
152.5000,3.2500E+001
152.5417,3.2500E+001
152.5833,3.2500E+001
152.6250,3.2500E+001
152.6667,3.2500E+001
152.7083,3.2500E+001
152.7500,3.2500E+001
152.7917,3.2500E+001
152.8333,3.2500E+001
152.8750,3.2500E+001
152.9167,3.2500E+001
152.9583,3.2500E+001
153.0000,3.2500E+001
153.0417,3.2500E+001
153.0833,3.2500E+001
153.1250,3.2500E+001
153.1667,3.2500E+001
153.2083,3.2500E+001
153.2500,3.2500E+001
153.2917,3.2500E+001
153.3333,3.2500E+001
153.3750,3.2500E+001
153.4167,3.2500E+001
153.4583,3.2500E+001
153.5000,3.2500E+001
153.5417,3.2500E+001
153.5833,3.2500E+001
153.6250,3.2500E+001
153.6667,3.2500E+001
153.7083,3.2500E+001
153.7500,3.2500E+001
153.7917,3.2500E+001
153.8333,3.2500E+001
153.8750,3.2500E+001
153.9167,3.2500E+001
153.9583,3.2500E+001
154.0000,3.2500E+001
154.0417,3.2500E+001
154.0833,3.2500E+001
154.1250,3.2500E+001
154.1667,3.2500E+001
154.2083,3.2500E+001
154.2500,3.2500E+001
154.2917,3.2500E+001
154.3333,3.2500E+001
154.3750,3.2500E+001
154.4167,3.2500E+001
154.4583,3.2500E+001
154.5000,3.2500E+001
154.5417,3.2500E+001
154.5833,3.2500E+001
154.6250,3.2500E+001
154.6667,3.2500E+001
154.7083,3.2500E+001
154.7500,3.2500E+001
154.7917,3.2500E+001
154.8333,3.2500E+001
154.8750,3.2500E+001
154.9167,3.2500E+001
154.9583,3.2500E+001
155.0000,3.2500E+001
155.0417,3.2500E+001
155.0833,3.2500E+001
155.1250,3.2500E+001
155.1667,3.2500E+001
155.2083,3.2500E+001
155.2500,3.2500E+001
155.2917,3.2500E+001
155.3333,3.2500E+001
155.3750,3.2500E+001
155.4167,3.2500E+001
155.4583,3.2500E+001
155.5000,3.2500E+001
155.5417,3.2500E+001
155.5833,3.2500E+001
155.6250,3.2500E+001
155.6667,3.2500E+001
155.7083,3.2500E+001
155.7500,3.2500E+001
155.7917,3.2500E+001
155.8333,3.2500E+001
155.8750,3.2500E+001
155.9167,3.2500E+001
155.9583,3.2500E+001
156.0000,3.2500E+001
156.0417,3.2500E+001
156.0833,3.2500E+001
156.1250,3.2500E+001
156.1667,3.2500E+001
156.2083,3.2500E+001
156.2500,3.2500E+001
156.2917,3.2500E+001
156.3333,3.2500E+001
156.3750,3.2500E+001
156.4167,3.2500E+001
156.4583,3.2500E+001
156.5000,3.2500E+001
156.5417,3.2500E+001
156.5833,3.2500E+001
156.6250,3.2500E+001
156.6667,3.2500E+001
156.7083,3.2500E+001
156.7500,3.2500E+001
156.7917,3.2500E+001
156.8333,3.2500E+001
156.8750,3.2500E+001
156.9167,3.2500E+001
156.9583,3.2500E+001
157.0000,3.2500E+001
157.0417,3.2500E+001
157.0833,3.2500E+001
157.1250,3.2500E+001
157.1667,3.2500E+001
157.2083,3.2500E+001
157.2500,3.2500E+001
157.2917,3.2500E+001
157.3333,3.2500E+001
157.3750,3.2500E+001
157.4167,3.2500E+001
157.4583,3.2500E+001
157.5000,3.2500E+001
157.5417,3.2500E+001
157.5833,3.2500E+001
157.6250,3.2500E+001
157.6667,3.2500E+001
157.7083,3.2500E+001
157.7500,3.2500E+001
157.7917,3.2500E+001
157.8333,3.2500E+001
157.8750,3.2500E+001
157.9167,3.2500E+001
157.9583,3.2500E+001
158.0000,3.2500E+001
158.0417,3.2500E+001
158.0833,3.2500E+001
158.1250,3.2500E+001
158.1667,3.2500E+001
158.2083,3.2500E+001
158.2500,3.2500E+001
158.2917,3.2500E+001
158.3333,3.2500E+001
158.3750,3.2500E+001
158.4167,3.2500E+001
158.4583,3.2500E+001
158.5000,3.2500E+001
158.5417,3.2500E+001
158.5833,3.2500E+001
158.6250,3.2500E+001
158.6667,3.2500E+001
158.7083,3.2500E+001
158.7500,3.2500E+001
158.7917,3.2500E+001
158.8333,3.2500E+001
158.8750,3.2500E+001
158.9167,3.2500E+001
158.9583,3.2500E+001
159.0000,3.2500E+001
159.0417,3.2500E+001
159.0833,3.2500E+001
159.1250,3.2500E+001
159.1667,3.2500E+001
159.2083,3.2500E+001
159.2500,3.2500E+001
159.2917,3.2500E+001
159.3333,3.2500E+001
159.3750,3.2500E+001
159.4167,3.2500E+001
159.4583,3.2500E+001
159.5000,3.2500E+001
159.5417,3.2500E+001
159.5833,3.2500E+001
159.6250,3.2500E+001
159.6667,3.2500E+001
159.7083,3.2500E+001
159.7500,3.2500E+001
159.7917,3.2500E+001
159.8333,3.2500E+001
159.8750,3.2500E+001
159.9167,3.2500E+001
159.9583,3.2500E+001
160.0000,3.2500E+001
160.0417,3.2500E+001
160.0833,3.2500E+001
160.1250,3.2500E+001
160.1667,3.2500E+001
160.2083,3.2500E+001
160.2500,3.2500E+001
160.2917,3.2500E+001
160.3333,3.2500E+001
160.3750,3.2500E+001
160.4167,3.2500E+001
160.4583,3.2500E+001
160.5000,3.2500E+001
160.5417,3.2500E+001
160.5833,3.2500E+001
160.6250,3.2500E+001
160.6667,3.2500E+001
160.7083,3.2500E+001
160.7500,3.2500E+001
160.7917,3.2500E+001
160.8333,3.2500E+001
160.8750,3.2500E+001
160.9167,3.2500E+001
160.9583,3.2500E+001
161.0000,3.2500E+001
161.0417,3.2500E+001
161.0833,3.2500E+001
161.1250,3.2500E+001
161.1667,3.2500E+001
161.2083,3.2500E+001
161.2500,3.2500E+001
161.2917,3.2500E+001
161.3333,3.2500E+001
161.3750,3.2500E+001
161.4167,3.2500E+001
161.4583,3.2500E+001
161.5000,3.2500E+001
161.5417,3.2500E+001
161.5833,3.2500E+001
161.6250,3.2500E+001
161.6667,3.2500E+001
161.7083,3.2500E+001
161.7500,3.2500E+001
161.7917,3.2500E+001
161.8333,3.2500E+001
161.8750,3.2500E+001
161.9167,3.2500E+001
161.9583,3.2500E+001
162.0000,3.2500E+001
162.0417,3.2500E+001
162.0833,3.2500E+001
162.1250,3.2500E+001
162.1667,3.2500E+001
162.2083,3.2500E+001
162.2500,3.2500E+001
162.2917,3.2500E+001
162.3333,3.2500E+001
162.3750,3.2500E+001
162.4167,3.2500E+001
162.4583,3.2500E+001
162.5000,3.2500E+001
162.5417,3.2500E+001
162.5833,3.2500E+001
162.6250,3.2500E+001
162.6667,3.2500E+001
162.7083,3.2500E+001
162.7500,3.2500E+001
162.7917,3.2500E+001
162.8333,3.2500E+001
162.8750,3.2500E+001
162.9167,3.2500E+001
162.9583,3.2500E+001
163.0000,3.2500E+001
163.0417,3.2500E+001
163.0833,3.2500E+001
163.1250,3.2500E+001
163.1667,3.2500E+001
163.2083,3.2500E+001
163.2500,3.2500E+001
163.2917,3.2500E+001
163.3333,3.2500E+001
163.3750,3.2500E+001
163.4167,3.2500E+001
163.4583,3.2500E+001
163.5000,3.2500E+001
163.5417,3.2500E+001
163.5833,3.2500E+001
163.6250,3.2500E+001
163.6667,3.2500E+001
163.7083,3.2500E+001
163.7500,3.2500E+001
163.7917,3.2500E+001
163.8333,3.2500E+001
163.8750,3.2500E+001
163.9167,3.2500E+001
163.9583,3.2500E+001
164.0000,3.2500E+001
164.0417,3.2500E+001
164.0833,3.2500E+001
164.1250,3.2500E+001
164.1667,3.2500E+001
164.2083,3.2500E+001
164.2500,3.2500E+001
164.2917,3.2500E+001
164.3333,3.2500E+001
164.3750,3.2500E+001
164.4167,3.2500E+001
164.4583,3.2500E+001
164.5000,3.2500E+001
164.5417,3.2500E+001
164.5833,3.2500E+001
164.6250,3.2500E+001
164.6667,3.2500E+001
164.7083,3.2500E+001
164.7500,3.2500E+001
164.7917,3.2500E+001
164.8333,3.2500E+001
164.8750,3.2500E+001
164.9167,3.2500E+001
164.9583,3.2500E+001
165.0000,3.2500E+001
165.0417,3.2500E+001
165.0833,3.2500E+001
165.1250,3.2500E+001
165.1667,3.2500E+001
165.2083,3.2500E+001
165.2500,3.2500E+001
165.2917,3.2500E+001
165.3333,3.2500E+001
165.3750,3.2500E+001
165.4167,3.2500E+001
165.4583,3.2500E+001
165.5000,3.2500E+001
165.5417,3.2500E+001
165.5833,3.2500E+001
165.6250,3.2500E+001
165.6667,3.2500E+001
165.7083,3.2500E+001
165.7500,3.2500E+001
165.7917,3.2500E+001
165.8333,3.2500E+001
165.8750,3.2500E+001
165.9167,3.2500E+001
165.9583,3.2500E+001
166.0000,3.2500E+001
166.0417,3.2500E+001
166.0833,3.2500E+001
166.1250,3.2500E+001
166.1667,3.2500E+001
166.2083,3.2500E+001
166.2500,3.2500E+001
166.2917,3.2500E+001
166.3333,3.2500E+001
166.3750,3.2500E+001
166.4167,3.2500E+001
166.4583,3.2500E+001
166.5000,3.2500E+001
166.5417,3.2500E+001
166.5833,3.2500E+001
166.6250,3.2500E+001
166.6667,3.2500E+001
166.7083,3.2500E+001
166.7500,3.2500E+001
166.7917,3.2500E+001
166.8333,3.2500E+001
166.8750,3.2500E+001
166.9167,3.2500E+001
166.9583,3.2500E+001
167.0000,3.2500E+001
167.0417,3.2500E+001
167.0833,3.2500E+001
167.1250,3.2500E+001
167.1667,3.2500E+001
167.2083,3.2500E+001
167.2500,3.2500E+001
167.2917,3.2500E+001
167.3333,3.2500E+001
167.3750,3.2500E+001
167.4167,3.2500E+001
167.4583,3.2500E+001
167.5000,3.2500E+001
167.5417,3.2500E+001
167.5833,3.2500E+001
167.6250,3.2500E+001
167.6667,3.2500E+001
167.7083,3.2500E+001
167.7500,3.2500E+001
167.7917,3.2500E+001
167.8333,3.2500E+001
167.8750,3.2500E+001
167.9167,3.2500E+001
167.9583,3.2500E+001
