Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       17.2000       14.2100       8.00000      0.312803      0.107948E-01  0.168803E-01  -899.746      -356.161      -347.456       95.7321       0.00000      -398.938       11.5500      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       14.6691       13.7083       7.29660      0.903894E-01  0.313477E-02  0.155730E-01  -381.684      -138.024      -127.700       45.0704       0.00000      -385.209       27.0122      0.718282      0.367129       7.55944     -0.781816       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       14.3713       13.4989       7.30263      0.126814      0.440055E-02  0.154462E-01  -398.444      -136.086      -135.798       65.6658       0.00000      -383.618       27.3297      0.718282      0.412632       7.50701     -0.540859       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       14.0802       13.2918       7.30853      0.181347      0.629641E-02  0.159932E-01  -412.391      -156.785      -167.966       34.4727       0.00000      -382.066       27.6510      0.718282      0.443753       7.47132     -0.400590       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       13.7541       13.0565       7.31514      0.228665      0.794434E-02  0.148349E-01  -328.497      -112.761      -150.745       20.5136       0.00000      -380.334       28.0221      0.718282      0.467250       7.44446     -0.302229       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       13.4915       12.8647       7.32046      0.258403      0.898209E-02  0.170509E-01  -540.682      -202.868      -220.044       67.3462       0.00000      -378.944       28.3330      0.718282      0.484945       7.42429     -0.233808       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       13.0939       12.5697       7.32855      0.122652      0.426668E-02  0.151428E-01  -436.957      -140.779      -129.898       99.5425       0.00000      -376.845       28.8229      0.718282      0.500147       7.40700     -0.171285       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       12.8141       12.3595       7.33422      0.110723      0.385377E-02  0.141035E-01  -352.614      -113.144      -110.282       74.4519       0.00000      -375.374       29.1889      0.718282      0.511187       7.39446     -0.128678       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       12.5860       12.1862       7.33884      0.200953      0.699737E-02  0.162327E-01  -455.465      -187.347      -177.311       19.5595       0.00000      -374.178       29.4994      0.718282      0.519632       7.38488     -0.967521E-01   0.00000       0.00000       0.00000       0.00000    
        9   9.00000       12.2345       11.9145       7.34599      0.114483      0.398911E-02  0.138950E-01  -378.949      -117.732      -105.409       103.304       0.00000      -372.340       29.9928      0.718282      0.527547       7.37591     -0.619396E-01   0.00000       0.00000       0.00000       0.00000    
       10   10.0000       12.0144       11.7427       7.35045      0.118931      0.414586E-02  0.132640E-01  -257.226      -93.2510      -90.2859       9.30387       0.00000      -371.193       30.3233      0.718282      0.532588       7.37021     -0.405104E-01   0.00000       0.00000       0.00000       0.00000    
       11   11.0000       11.8190       11.5882       7.35440      0.278674      0.971803E-02  0.159878E-01  -532.578      -199.683      -197.026       96.0046       0.00000      -370.177       30.6245      0.718282      0.536348       7.36595     -0.235113E-01   0.00000       0.00000       0.00000       0.00000    
       12   12.0000       11.4798       11.3161       7.36131      0.115117      0.401703E-02  0.134992E-01  -308.807      -119.194      -100.697       37.8289       0.00000      -368.417       31.1730      0.718282       5.00000       4.00000      0.734110       0.00000       0.00000       0.00000       0.00000    
       13   13.0000       11.2722       11.1467       7.36552      0.257208      0.897893E-02  0.162855E-01  -586.594      -235.622      -196.690       104.505       0.00000      -367.343       31.5244      0.718282       5.00000       4.00000      0.735029       0.00000       0.00000       0.00000       0.00000    
       14   14.0000       10.9091       10.8457       7.37292      0.720266E-01  0.251615E-02  0.131903E-01  -317.058      -126.754      -93.1538       52.6696       0.00000      -365.471       32.1764      0.718282       5.00000       4.00000      0.736646       0.00000       0.00000       0.00000       0.00000    
