"",32.500
149.0000,0.0000E+000
149.0417,2.8439E+000
149.0833,1.9443E+000
149.1250,1.1747E+000
149.1667,5.5824E-001
149.2083,1.6283E-001
149.2500,-1.1844E-001
149.2917,-5.6280E-001
149.3333,-1.0885E+000
149.3750,-1.6542E+000
149.4167,-2.2678E+000
149.4583,-2.9539E+000
149.5000,-3.7196E+000
149.5417,-4.5671E+000
149.5833,-5.5019E+000
149.6250,-6.5267E+000
149.6667,-7.6422E+000
149.7083,-8.8481E+000
149.7500,-1.0143E+001
149.7917,-1.1525E+001
149.8333,-1.2991E+001
149.8750,-1.4539E+001
149.9167,-1.6163E+001
149.9583,-1.7860E+001
150.0000,-1.9622E+001
150.0417,-1.9529E+001
150.0833,-1.9380E+001
150.1250,-1.9110E+001
150.1667,-1.8723E+001
150.2083,-1.8438E+001
150.2500,-1.8330E+001
150.2917,-1.8314E+001
150.3333,-1.8352E+001
150.3750,-1.8418E+001
150.4167,-1.8500E+001
150.4583,-1.8604E+001
150.5000,-1.8730E+001
150.5417,-1.8873E+001
150.5833,-1.9041E+001
150.6250,-1.9250E+001
150.6667,-1.9489E+001
150.7083,-1.9743E+001
150.7500,-2.0039E+001
150.7917,-2.0372E+001
150.8333,-2.0698E+001
150.8750,-2.1012E+001
150.9167,-2.1440E+001
150.9583,-2.1936E+001
151.0000,-2.2477E+001
151.0417,-2.2246E+001
151.0833,-2.2158E+001
151.1250,-2.2082E+001
151.1667,-2.1984E+001
151.2083,-2.1799E+001
151.2500,-2.1739E+001
151.2917,-2.1765E+001
151.3333,-2.1718E+001
151.3750,-2.1574E+001
151.4167,-2.1474E+001
151.4583,-2.1500E+001
151.5000,-2.1474E+001
151.5417,-2.1384E+001
151.5833,-2.1220E+001
151.6250,-2.1193E+001
151.6667,-2.1169E+001
151.7083,-2.1113E+001
151.7500,-2.0956E+001
151.7917,-2.0959E+001
151.8333,-2.1015E+001
151.8750,-2.1010E+001
151.9167,-2.0919E+001
151.9583,-2.0908E+001
152.0000,-2.0998E+001
152.0417,-1.9975E+001
152.0833,-1.8962E+001
152.1250,-1.8049E+001
152.1667,-1.7299E+001
152.2083,-1.6579E+001
152.2500,-1.5895E+001
152.2917,-1.5257E+001
152.3333,-1.4783E+001
152.3750,-1.4355E+001
152.4167,-1.3969E+001
152.4583,-1.3575E+001
152.5000,-1.3349E+001
152.5417,-1.3225E+001
152.5833,-1.3097E+001
152.6250,-1.2964E+001
152.6667,-1.2890E+001
152.7083,-1.2915E+001
152.7500,-1.2945E+001
152.7917,-1.2968E+001
152.8333,-1.2994E+001
152.8750,-1.3075E+001
152.9167,-1.3143E+001
152.9583,-1.3185E+001
153.0000,-1.3237E+001
153.0417,-1.3096E+001
153.0833,-1.2934E+001
153.1250,-1.2747E+001
153.1667,-1.2593E+001
153.2083,-1.2432E+001
153.2500,-1.2242E+001
153.2917,-1.2061E+001
153.3333,-1.1889E+001
153.3750,-1.1702E+001
153.4167,-1.1494E+001
153.4583,-1.1310E+001
153.5000,-1.1113E+001
153.5417,-1.0899E+001
153.5833,-1.0692E+001
153.6250,-1.0494E+001
153.6667,-1.0275E+001
153.7083,-1.0054E+001
153.7500,-9.8415E+000
153.7917,-9.6258E+000
153.8333,-9.3845E+000
153.8750,-9.1673E+000
153.9167,-8.9390E+000
153.9583,-8.7014E+000
154.0000,-8.4552E+000
154.0417,-8.9133E+000
154.0833,-9.2771E+000
154.1250,-9.5871E+000
154.1667,-9.8556E+000
154.2083,-1.0115E+001
154.2500,-1.0352E+001
154.2917,-1.0639E+001
154.3333,-1.0989E+001
154.3750,-1.1431E+001
154.4167,-1.1989E+001
154.4583,-1.2713E+001
154.5000,-1.3654E+001
154.5417,-1.4784E+001
154.5833,-1.6110E+001
154.6250,-1.7546E+001
154.6667,-1.9356E+001
154.7083,-2.1406E+001
154.7500,-2.3582E+001
154.7917,-2.5813E+001
154.8333,-2.7998E+001
154.8750,-3.0598E+001
154.9167,-3.3754E+001
154.9583,-3.7099E+001
155.0000,-4.0483E+001
155.0417,-3.9250E+001
155.0833,-3.8032E+001
155.1250,-3.6786E+001
155.1667,-3.5693E+001
155.2083,-3.4717E+001
155.2500,-3.3781E+001
155.2917,-3.2794E+001
155.3333,-3.2034E+001
155.3750,-3.1426E+001
155.4167,-3.0827E+001
155.4583,-3.0212E+001
155.5000,-2.9717E+001
155.5417,-2.9558E+001
155.5833,-2.9445E+001
155.6250,-2.9376E+001
155.6667,-2.9283E+001
155.7083,-2.9345E+001
155.7500,-2.9754E+001
155.7917,-3.0187E+001
155.8333,-3.0656E+001
155.8750,-3.0979E+001
155.9167,-3.1607E+001
155.9583,-3.2580E+001
156.0000,-3.3495E+001
156.0417,-3.3096E+001
156.0833,-3.2576E+001
