"",33.000
0.0000,0.0000E+000
1.0000,-7.3242E+001
2.0000,-3.8772E+001
3.0000,-2.9330E+001
4.0000,-2.3109E+001
5.0000,-4.6781E+000
6.0000,-3.9745E+001
7.0000,-3.6899E+001
8.0000,-2.9646E+001
9.0000,-3.1653E+001
10.0000,-2.5737E+001
11.0000,-1.1255E+001
12.0000,-3.3694E+001
13.0000,-2.3324E+001
14.0000,-3.8685E+001
15.0000,-2.6345E+001
16.0000,-4.0277E+001
17.0000,-3.4149E+001
18.0000,-3.5920E+001
19.0000,-3.1958E+001
20.0000,-2.1601E+001
21.0000,-1.0232E+001
22.0000,-3.1122E+001
23.0000,-5.6833E+001
24.0000,-3.5331E+001
25.0000,-3.9500E+001
26.0000,-3.8658E+001
27.0000,-2.6599E+001
28.0000,-1.1106E+001
29.0000,-1.2751E+001
30.0000,-8.2612E+000
31.0000,-3.1177E+001
32.0000,-3.3642E+001
33.0000,-1.8981E+001
34.0000,-6.1710E+000
35.0000,-8.2487E-001
36.0000,-8.0371E+000
37.0000,-2.2816E+001
38.0000,-2.2996E+001
39.0000,-1.5029E+001
40.0000,4.0539E+000
41.0000,-3.1671E+001
42.0000,-4.1498E+001
43.0000,-9.5568E+000
44.0000,-4.0088E+001
45.0000,-2.2124E+001
46.0000,-2.6200E+001
47.0000,-3.4236E+001
48.0000,-2.8120E+001
49.0000,-1.8664E+001
50.0000,-6.8103E+000
51.0000,-1.4720E+001
52.0000,-1.1126E+001
53.0000,-1.1148E+001
54.0000,-2.1341E+001
55.0000,-5.8753E+001
56.0000,-2.9395E+001
57.0000,-2.2118E+001
58.0000,-1.1087E+001
59.0000,-8.0348E+000
60.0000,-1.2340E+001
61.0000,-6.0090E+000
62.0000,-1.1185E+001
63.0000,-1.8089E+001
64.0000,-2.3261E+001
65.0000,-1.8116E+001
66.0000,-1.2654E+001
67.0000,-1.0873E+001
68.0000,-1.8871E+001
69.0000,-2.1418E+001
70.0000,-3.9610E+001
71.0000,-4.0282E+001
72.0000,-2.6618E+001
73.0000,-1.8217E+001
74.0000,-1.3641E+001
75.0000,-1.4979E+001
76.0000,-1.0145E+001
77.0000,-7.2900E+000
78.0000,-1.7941E+001
79.0000,-3.2375E+001
80.0000,-2.6630E+001
81.0000,-1.3912E+001
82.0000,-1.1183E+001
83.0000,-1.9848E+001
84.0000,-3.6061E+001
85.0000,-2.1018E+001
86.0000,-1.5021E+001
87.0000,-8.2278E+000
88.0000,-4.5624E-001
89.0000,5.4512E-002
90.0000,-3.7212E+000
91.0000,-1.3494E+000
92.0000,1.5752E+000
93.0000,-8.1364E+000
94.0000,-1.7000E+001
95.0000,-2.4400E+001
96.0000,-1.6513E+001
97.0000,-1.0962E+001
98.0000,-2.0909E+001
99.0000,-1.5709E+001
100.0000,-1.5326E+001
101.0000,-7.3623E+000
102.0000,-3.2175E+001
103.0000,-3.0662E+001
104.0000,-3.9100E+001
105.0000,-3.6585E+001
106.0000,-2.1599E+001
107.0000,-1.1642E+001
108.0000,-6.6710E+000
109.0000,-2.7401E+000
110.0000,3.3241E+000
111.0000,9.6369E-001
112.0000,-3.4132E+001
113.0000,-3.3829E+001
114.0000,-3.7338E+001
115.0000,-3.6559E+001
116.0000,-1.3855E+001
117.0000,-2.9341E+001
118.0000,-2.8463E+001
119.0000,-1.9058E+000
120.0000,-4.8204E+000
121.0000,-2.1676E+001
122.0000,-3.0966E+001
123.0000,-2.4663E+001
124.0000,-6.6884E+000
125.0000,-8.0347E+000
126.0000,-8.0634E+000
127.0000,-7.0757E+000
128.0000,-3.5404E+001
129.0000,-4.9724E+001
130.0000,-5.0069E+001
131.0000,-4.5985E+001
132.0000,-4.6652E+001
133.0000,-3.8203E+001
134.0000,-8.7055E+001
135.0000,-1.5238E+002
136.0000,-7.6595E+001
137.0000,-5.2789E+001
138.0000,-5.9318E+001
139.0000,-3.0455E+001
140.0000,-9.5216E+001
141.0000,-5.4760E+001
142.0000,-4.2408E+001
143.0000,-5.4447E+001
144.0000,-2.7762E+001
145.0000,-5.7592E+001
146.0000,-4.0298E+001
147.0000,-6.3384E+001
148.0000,-5.9619E+001
149.0000,-4.9768E+001
150.0000,-4.9197E+001
151.0000,-5.8543E+001
152.0000,-5.3894E+001
153.0000,-4.8909E+001
154.0000,-5.3415E+001
155.0000,-5.0432E+001
156.0000,-5.2757E+001
157.0000,-6.8749E+001
158.0000,-6.5771E+001
159.0000,-4.7138E+001
160.0000,-1.2802E+002
161.0000,-7.7607E+001
162.0000,-7.3052E+001
163.0000,-8.2214E+001
164.0000,-8.2177E+001
165.0000,-4.6849E+001
166.0000,-6.4393E+001
167.0000,-9.3289E+001
168.0000,-9.8490E+001
169.0000,-7.9952E+001
170.0000,-6.1841E+001
171.0000,-5.7393E+001
172.0000,-5.7460E+001
173.0000,-6.5577E+001
174.0000,-7.3553E+001
175.0000,-8.8316E+001
176.0000,-9.3613E+001
177.0000,-7.4181E+001
178.0000,-7.3578E+001
179.0000,-8.5753E+001
180.0000,-6.0001E+001
181.0000,-5.9649E+001
182.0000,-5.6458E+001
183.0000,-6.1568E+001
184.0000,-5.4413E+001
185.0000,-7.6934E+001
186.0000,-1.1998E+002
187.0000,-1.6366E+002
188.0000,-1.2477E+002
189.0000,-6.5377E+001
190.0000,-1.1284E+002
191.0000,-9.0570E+001
192.0000,-6.8905E+001
193.0000,-5.0964E+001
194.0000,-4.9263E+001
195.0000,-6.7694E+001
196.0000,-6.8978E+001
197.0000,-7.5677E+001
198.0000,-7.4167E+001
199.0000,-8.1800E+001
200.0000,-7.0049E+001
201.0000,-1.2776E+002
202.0000,-1.2188E+002
203.0000,-1.1338E+002
204.0000,-6.8385E+001
205.0000,-8.2409E+001
206.0000,-7.8072E+001
207.0000,-8.6339E+001
208.0000,-8.6354E+001
209.0000,-1.1892E+002
210.0000,-1.1585E+002
211.0000,-9.3443E+001
212.0000,-8.9399E+001
213.0000,-8.0364E+001
214.0000,-1.1261E+002
215.0000,-8.6036E+001
216.0000,-8.6064E+001
217.0000,-7.6837E+001
218.0000,-1.2235E+002
219.0000,-1.0935E+002
220.0000,-9.2983E+001
221.0000,-1.5210E+002
222.0000,-1.0251E+002
223.0000,-5.0063E+001
224.0000,-4.5943E+001
225.0000,-4.2515E+001
226.0000,-5.5126E+001
227.0000,-7.2654E+001
228.0000,-1.0795E+002
229.0000,-7.3146E+001
230.0000,-4.8449E+001
231.0000,-6.4832E+001
232.0000,-1.4235E+002
233.0000,-8.6653E+001
234.0000,-6.9062E+001
235.0000,-8.2769E+001
236.0000,-5.4862E+001
237.0000,-4.8161E+001
238.0000,-4.1862E+001
239.0000,-2.9827E+001
240.0000,-3.1245E+001
241.0000,-3.6058E+001
242.0000,-6.3751E+001
243.0000,-4.9770E+001
244.0000,-1.1682E+002
245.0000,-9.5646E+001
246.0000,-6.8803E+001
247.0000,-5.2809E+001
248.0000,-7.2890E+001
249.0000,-6.2189E+001
250.0000,-1.1422E+002
251.0000,-8.5000E+001
252.0000,-8.5962E+001
253.0000,-7.2330E+001
254.0000,-5.3806E+001
255.0000,-7.9537E+001
256.0000,-1.2252E+002
257.0000,-6.3806E+001
258.0000,-2.4038E+001
259.0000,-2.0665E+001
260.0000,-2.1927E+001
261.0000,-3.9333E+001
262.0000,-1.6393E+001
263.0000,-2.5442E+001
264.0000,-2.8650E+001
265.0000,-8.3767E+001
266.0000,-9.1722E+001
267.0000,-6.6095E+001
268.0000,-5.3635E+001
269.0000,-5.5700E+001
270.0000,-4.2223E+001
271.0000,-2.5378E+001
272.0000,-4.1779E+001
273.0000,-1.4128E+002
274.0000,-7.1805E+001
275.0000,-5.7632E+001
276.0000,-3.4386E+001
277.0000,-2.6865E+001
278.0000,-7.8320E+001
279.0000,-5.4231E+001
280.0000,-5.5466E+001
281.0000,-5.7054E+001
282.0000,-6.2756E+001
283.0000,-2.7744E+001
284.0000,-9.9034E+001
285.0000,-7.1664E+001
286.0000,-4.7165E+001
287.0000,-6.8256E+001
288.0000,-5.9970E+001
289.0000,-5.2199E+001
290.0000,-5.1337E+001
291.0000,-3.0905E+001
292.0000,-1.8794E+001
293.0000,-2.8051E+001
294.0000,-4.7640E+001
295.0000,-3.9520E+001
296.0000,-3.5659E+001
297.0000,-3.9349E+001
298.0000,-1.8039E+001
299.0000,-1.5353E+001
300.0000,-3.5359E+001
301.0000,-2.5773E+001
302.0000,3.3363E-001
303.0000,-1.4965E+001
304.0000,-7.4682E+001
305.0000,-7.4997E+001
306.0000,-4.1695E+001
307.0000,-4.6947E+001
308.0000,-5.1638E+001
309.0000,-8.2139E+001
310.0000,-5.7202E+001
311.0000,-4.4266E+001
312.0000,-2.9374E+001
313.0000,-3.9250E+001
314.0000,-1.6442E+001
315.0000,-5.4385E+001
316.0000,-1.2468E+002
317.0000,-6.9150E+001
318.0000,-4.1603E+001
319.0000,-2.3735E+001
320.0000,-1.1093E+001
321.0000,-1.7068E+001
322.0000,-1.5052E+001
323.0000,2.3665E+001
324.0000,1.9403E+000
325.0000,-2.8270E+001
326.0000,-6.7909E+001
327.0000,-5.6364E+001
328.0000,-4.5094E+001
329.0000,-3.8837E+001
330.0000,-4.8784E+001
331.0000,-4.4770E+001
332.0000,-3.1835E+001
333.0000,-1.7676E+001
334.0000,-1.1127E+001
335.0000,-1.1211E+001
336.0000,-9.3932E+000
337.0000,-4.3164E+001
338.0000,-2.6323E+001
339.0000,-1.7214E+001
340.0000,-1.9013E+001
341.0000,-5.8354E+000
342.0000,-6.4086E+001
343.0000,-5.6176E+001
344.0000,-7.2000E+001
345.0000,-4.6169E+001
346.0000,-3.8056E+001
347.0000,-1.3184E+001
348.0000,-6.2811E+001
349.0000,-4.4914E+001
350.0000,-1.4415E+001
351.0000,-4.7458E+001
352.0000,-3.2490E+001
353.0000,-1.7816E+001
354.0000,-4.2899E-002
355.0000,-4.8453E+001
356.0000,-7.8428E+001
357.0000,-5.0614E+001
358.0000,-2.2045E+001
359.0000,-1.7553E+001
360.0000,-8.3852E+000
361.0000,1.0934E+000
362.0000,-3.3651E+001
363.0000,-5.8345E+001
364.0000,-3.4131E+001
365.0000,-4.6454E+001
366.0000,-5.1897E+001
367.0000,-3.9825E+001
368.0000,-4.5747E+001
369.0000,-3.6434E+001
370.0000,-2.1833E+001
371.0000,-2.0479E+000
372.0000,-3.2089E+000
373.0000,-8.5265E+000
374.0000,-5.9932E+000
375.0000,-1.0965E+001
376.0000,-6.7463E+000
377.0000,1.0020E-001
378.0000,3.8665E+000
379.0000,7.3938E+000
380.0000,-2.0789E+001
381.0000,-2.7338E+001
382.0000,-2.6117E+001
383.0000,-1.5159E+001
384.0000,-5.6756E+001
385.0000,-6.2024E+001
386.0000,-3.8142E+001
387.0000,-2.3545E+001
388.0000,-4.4228E+001
389.0000,-2.5781E+001
390.0000,-1.0260E+001
391.0000,3.7133E-001
392.0000,-3.9997E+000
393.0000,-8.8531E+000
394.0000,-5.5647E+001
395.0000,-4.2775E+001
396.0000,-5.9323E+001
397.0000,-4.0054E+001
398.0000,-2.3640E+001
399.0000,-2.7048E+001
400.0000,-2.1595E+001
401.0000,-1.8336E+001
402.0000,-1.5914E+001
403.0000,-1.0461E+001
404.0000,-1.5409E+001
405.0000,-1.2361E+001
406.0000,-8.2636E+000
407.0000,-5.3914E+000
408.0000,-3.1466E+000
409.0000,-1.5773E+001
410.0000,-1.6850E+001
411.0000,-4.1356E+000
412.0000,-1.9718E+001
413.0000,-1.1205E+001
414.0000,-1.1744E+001
415.0000,6.3220E-001
416.0000,-1.8823E+001
417.0000,-5.0211E+000
418.0000,-1.4596E+001
419.0000,-3.7251E+001
420.0000,-2.8339E+001
421.0000,-2.5201E+001
422.0000,-2.0153E+001
423.0000,1.5406E-001
424.0000,-7.8908E+000
425.0000,-3.0371E+001
426.0000,-4.6555E+001
427.0000,-2.2325E+001
428.0000,4.8954E+000
429.0000,-1.7275E-002
430.0000,4.8686E+000
431.0000,-1.0770E+001
432.0000,-1.1620E+001
433.0000,1.1777E+000
434.0000,2.1760E+001
435.0000,-2.2698E+001
436.0000,-4.6491E+001
437.0000,-2.8550E+001
438.0000,-2.3012E+001
439.0000,-2.5200E+001
440.0000,-3.8633E+001
441.0000,-3.0780E+001
442.0000,-1.2519E+001
443.0000,-5.7083E+000
444.0000,-6.3583E+001
445.0000,-1.9225E+001
446.0000,-6.2192E+001
447.0000,-3.9497E+001
448.0000,-1.4528E+001
449.0000,1.2050E-001
450.0000,-1.4399E-002
451.0000,-3.9011E+000
452.0000,-2.3936E+000
453.0000,-2.1439E+000
454.0000,2.5498E+000
455.0000,-1.5110E+001
456.0000,-2.2638E+001
457.0000,-2.8968E+001
458.0000,-4.6333E+001
459.0000,-5.4352E+001
460.0000,-4.6192E+001
461.0000,-2.3043E+001
462.0000,-1.2226E+001
463.0000,-6.6747E+000
464.0000,-3.1452E+001
465.0000,-1.5845E+001
466.0000,-1.9089E+001
467.0000,-5.2547E+001
468.0000,-5.3159E+001
469.0000,-4.5711E+001
470.0000,-2.7082E+001
