"",33.000
0.5000,0.0000E+000
1.5000,3.5901E+001
2.5000,2.8258E+001
3.5000,2.5574E+001
4.5000,1.4055E+001
5.5000,2.2475E+001
6.5000,4.2727E+001
7.5000,4.4582E+001
8.5000,2.4108E+001
9.5000,3.1532E+001
10.5000,2.8924E+001
11.5000,2.7071E+001
12.5000,3.4432E+001
13.5000,3.6648E+001
14.5000,4.0502E+001
15.5000,3.7049E+001
16.5000,4.8259E+001
17.5000,5.4085E+001
18.5000,6.0162E+001
19.5000,6.2086E+001
20.5000,4.5066E+001
21.5000,3.9925E+001
22.5000,6.1315E+001
23.5000,5.5336E+001
24.5000,5.8011E+001
25.5000,7.3257E+001
26.5000,5.5398E+001
27.5000,4.6816E+001
28.5000,5.4008E+001
29.5000,3.7815E+001
30.5000,3.7120E+001
31.5000,6.4311E+001
32.5000,5.0127E+001
33.5000,2.3891E+001
34.5000,1.9198E+001
35.5000,3.0917E+001
36.5000,5.9706E+001
37.5000,7.9187E+001
38.5000,7.6068E+001
39.5000,4.1813E+001
40.5000,4.6345E+001
41.5000,8.0295E+001
42.5000,5.0115E+001
43.5000,5.0858E+001
44.5000,9.2084E+001
45.5000,9.3221E+001
46.5000,9.2581E+001
47.5000,9.7584E+001
48.5000,7.3172E+001
49.5000,6.8212E+001
50.5000,8.9324E+001
51.5000,6.6995E+001
52.5000,7.2014E+001
53.5000,7.3458E+001
54.5000,7.5237E+001
55.5000,1.0630E+002
56.5000,1.0437E+002
57.5000,7.6207E+001
58.5000,8.3030E+001
59.5000,1.1144E+002
60.5000,9.0555E+001
61.5000,4.4277E+001
62.5000,2.9548E+001
63.5000,6.5308E+001
64.5000,1.0065E+002
65.5000,1.1361E+002
66.5000,9.4358E+001
67.5000,8.1621E+001
68.5000,4.8983E+001
69.5000,2.4602E+001
70.5000,7.5836E+001
71.5000,1.2972E+002
72.5000,1.3248E+002
73.5000,1.1533E+002
74.5000,1.2007E+002
75.5000,1.1236E+002
76.5000,1.0900E+002
77.5000,1.3404E+002
78.5000,1.4855E+002
79.5000,8.7818E+001
80.5000,4.6102E+001
81.5000,6.7482E+001
82.5000,6.4026E+001
83.5000,9.8797E+001
84.5000,1.4439E+002
85.5000,1.5597E+002
86.5000,1.1755E+002
87.5000,5.2486E+001
88.5000,3.8889E+001
89.5000,8.9985E+001
