"",33.000
0.5000,0.0000E+000
1.5000,0.0000E+000
2.5000,0.0000E+000
3.5000,0.0000E+000
4.5000,0.0000E+000
5.5000,0.0000E+000
6.5000,0.0000E+000
7.5000,0.0000E+000
8.5000,0.0000E+000
9.5000,0.0000E+000
10.5000,0.0000E+000
11.5000,0.0000E+000
12.5000,0.0000E+000
13.5000,0.0000E+000
14.5000,0.0000E+000
15.5000,0.0000E+000
16.5000,0.0000E+000
17.5000,0.0000E+000
18.5000,0.0000E+000
19.5000,0.0000E+000
20.5000,0.0000E+000
21.5000,0.0000E+000
22.5000,0.0000E+000
23.5000,0.0000E+000
24.5000,0.0000E+000
25.5000,0.0000E+000
26.5000,0.0000E+000
27.5000,0.0000E+000
28.5000,0.0000E+000
29.5000,0.0000E+000
30.5000,0.0000E+000
31.5000,0.0000E+000
32.5000,0.0000E+000
33.5000,0.0000E+000
34.5000,0.0000E+000
35.5000,0.0000E+000
36.5000,0.0000E+000
37.5000,0.0000E+000
38.5000,0.0000E+000
39.5000,0.0000E+000
40.5000,0.0000E+000
41.5000,0.0000E+000
42.5000,0.0000E+000
43.5000,0.0000E+000
44.5000,0.0000E+000
45.5000,0.0000E+000
46.5000,0.0000E+000
47.5000,0.0000E+000
48.5000,0.0000E+000
49.5000,0.0000E+000
50.5000,0.0000E+000
51.5000,0.0000E+000
52.5000,0.0000E+000
53.5000,0.0000E+000
54.5000,0.0000E+000
55.5000,0.0000E+000
56.5000,0.0000E+000
57.5000,0.0000E+000
58.5000,0.0000E+000
59.5000,0.0000E+000
60.5000,0.0000E+000
61.5000,0.0000E+000
62.5000,0.0000E+000
63.5000,0.0000E+000
64.5000,0.0000E+000
65.5000,0.0000E+000
66.5000,0.0000E+000
67.5000,0.0000E+000
68.5000,0.0000E+000
69.5000,0.0000E+000
70.5000,0.0000E+000
71.5000,0.0000E+000
72.5000,0.0000E+000
73.5000,0.0000E+000
74.5000,0.0000E+000
75.5000,0.0000E+000
76.5000,0.0000E+000
77.5000,0.0000E+000
78.5000,0.0000E+000
79.5000,0.0000E+000
80.5000,0.0000E+000
81.5000,0.0000E+000
82.5000,0.0000E+000
83.5000,0.0000E+000
84.5000,0.0000E+000
85.5000,0.0000E+000
86.5000,0.0000E+000
87.5000,0.0000E+000
88.5000,0.0000E+000
89.5000,0.0000E+000
90.5000,0.0000E+000
91.5000,0.0000E+000
92.5000,0.0000E+000
93.5000,0.0000E+000
94.5000,0.0000E+000
95.5000,0.0000E+000
96.5000,0.0000E+000
97.5000,0.0000E+000
98.5000,0.0000E+000
99.5000,0.0000E+000
100.5000,0.0000E+000
101.5000,0.0000E+000
102.5000,0.0000E+000
103.5000,0.0000E+000
104.5000,0.0000E+000
105.5000,0.0000E+000
106.5000,0.0000E+000
107.5000,0.0000E+000
108.5000,0.0000E+000
109.5000,0.0000E+000
110.5000,0.0000E+000
111.5000,0.0000E+000
112.5000,0.0000E+000
113.5000,0.0000E+000
114.5000,0.0000E+000
115.5000,0.0000E+000
116.5000,0.0000E+000
117.5000,0.0000E+000
118.5000,0.0000E+000
119.5000,0.0000E+000
120.5000,0.0000E+000
121.5000,0.0000E+000
122.5000,0.0000E+000
123.5000,0.0000E+000
124.5000,0.0000E+000
125.5000,0.0000E+000
126.5000,0.0000E+000
127.5000,0.0000E+000
128.5000,0.0000E+000
129.5000,0.0000E+000
130.5000,0.0000E+000
131.5000,0.0000E+000
132.5000,0.0000E+000
133.5000,0.0000E+000
134.5000,0.0000E+000
135.5000,0.0000E+000
136.5000,0.0000E+000
137.5000,0.0000E+000
138.5000,0.0000E+000
139.5000,0.0000E+000
140.5000,0.0000E+000
141.5000,0.0000E+000
142.5000,0.0000E+000
143.5000,0.0000E+000
144.5000,0.0000E+000
145.5000,0.0000E+000
146.5000,0.0000E+000
147.5000,0.0000E+000
148.5000,0.0000E+000
149.5000,0.0000E+000
150.5000,0.0000E+000
151.5000,0.0000E+000
152.5000,0.0000E+000
153.5000,0.0000E+000
154.5000,0.0000E+000
155.5000,0.0000E+000
156.5000,0.0000E+000
157.5000,0.0000E+000
158.5000,0.0000E+000
159.5000,0.0000E+000
160.5000,0.0000E+000
161.5000,0.0000E+000
162.5000,0.0000E+000
163.5000,0.0000E+000
164.5000,0.0000E+000
165.5000,0.0000E+000
166.5000,0.0000E+000
167.5000,0.0000E+000
168.5000,0.0000E+000
169.5000,0.0000E+000
170.5000,0.0000E+000
171.5000,0.0000E+000
172.5000,0.0000E+000
173.5000,0.0000E+000
174.5000,0.0000E+000
175.5000,0.0000E+000
176.5000,0.0000E+000
177.5000,0.0000E+000
178.5000,0.0000E+000
179.5000,0.0000E+000
180.5000,0.0000E+000
181.5000,0.0000E+000
182.5000,0.0000E+000
183.5000,0.0000E+000
184.5000,0.0000E+000
185.5000,0.0000E+000
186.5000,0.0000E+000
187.5000,0.0000E+000
188.5000,0.0000E+000
189.5000,0.0000E+000
190.5000,0.0000E+000
191.5000,0.0000E+000
192.5000,0.0000E+000
193.5000,0.0000E+000
194.5000,0.0000E+000
195.5000,0.0000E+000
196.5000,0.0000E+000
197.5000,0.0000E+000
198.5000,0.0000E+000
199.5000,0.0000E+000
200.5000,0.0000E+000
201.5000,0.0000E+000
202.5000,0.0000E+000
203.5000,0.0000E+000
204.5000,0.0000E+000
205.5000,0.0000E+000
206.5000,0.0000E+000
207.5000,0.0000E+000
208.5000,0.0000E+000
209.5000,0.0000E+000
210.5000,0.0000E+000
211.5000,0.0000E+000
212.5000,0.0000E+000
213.5000,0.0000E+000
214.5000,0.0000E+000
215.5000,0.0000E+000
216.5000,0.0000E+000
217.5000,0.0000E+000
218.5000,0.0000E+000
219.5000,0.0000E+000
220.5000,0.0000E+000
221.5000,0.0000E+000
222.5000,0.0000E+000
223.5000,0.0000E+000
224.5000,0.0000E+000
225.5000,0.0000E+000
226.5000,0.0000E+000
227.5000,0.0000E+000
228.5000,0.0000E+000
229.5000,0.0000E+000
230.5000,0.0000E+000
231.5000,0.0000E+000
232.5000,0.0000E+000
233.5000,0.0000E+000
234.5000,0.0000E+000
235.5000,0.0000E+000
236.5000,0.0000E+000
237.5000,0.0000E+000
238.5000,0.0000E+000
239.5000,0.0000E+000
