"",32.500
149.0000,0.0000E+000
149.0417,3.5252E+002
149.0833,3.5095E+002
149.1250,3.4939E+002
149.1667,3.4782E+002
149.2083,3.4625E+002
149.2500,3.4469E+002
149.2917,3.4312E+002
149.3333,3.4155E+002
149.3750,3.3999E+002
149.4167,3.3842E+002
149.4583,3.3686E+002
149.5000,3.3529E+002
149.5417,3.3372E+002
149.5833,3.3216E+002
149.6250,3.3059E+002
149.6667,3.2902E+002
149.7083,3.2746E+002
149.7500,3.2589E+002
149.7917,3.2433E+002
149.8333,3.2276E+002
149.8750,3.2119E+002
149.9167,3.1963E+002
149.9583,3.1806E+002
150.0000,3.1650E+002
150.0417,3.1599E+002
150.0833,3.1549E+002
150.1250,3.1498E+002
150.1667,3.1448E+002
150.2083,3.1398E+002
150.2500,3.1347E+002
150.2917,3.1297E+002
150.3333,3.1246E+002
150.3750,3.1196E+002
150.4167,3.1146E+002
150.4583,3.1095E+002
150.5000,3.1045E+002
150.5417,3.0995E+002
150.5833,3.0944E+002
150.6250,3.0894E+002
150.6667,3.0843E+002
150.7083,3.0793E+002
150.7500,3.0743E+002
150.7917,3.0692E+002
150.8333,3.0642E+002
150.8750,3.0591E+002
150.9167,3.0541E+002
150.9583,3.0491E+002
151.0000,3.0440E+002
151.0417,3.0557E+002
151.0833,3.0674E+002
151.1250,3.0791E+002
151.1667,3.0907E+002
151.2083,3.1024E+002
151.2500,3.1141E+002
151.2917,3.1258E+002
151.3333,3.1375E+002
151.3750,3.1491E+002
151.4167,3.1608E+002
151.4583,3.1725E+002
151.5000,3.1842E+002
151.5417,3.1959E+002
151.5833,3.2075E+002
151.6250,3.2192E+002
151.6667,3.2309E+002
151.7083,3.2426E+002
151.7500,3.2543E+002
151.7917,3.2659E+002
151.8333,3.2776E+002
151.8750,3.2893E+002
151.9167,3.3010E+002
151.9583,3.3127E+002
152.0000,3.3243E+002
152.0417,3.3349E+002
152.0833,3.3455E+002
152.1250,3.3561E+002
152.1667,3.3666E+002
152.2083,3.3772E+002
152.2500,3.3878E+002
152.2917,3.3984E+002
152.3333,3.4089E+002
152.3750,3.4195E+002
152.4167,3.4301E+002
152.4583,3.4407E+002
152.5000,3.4512E+002
152.5417,3.4618E+002
152.5833,3.4724E+002
152.6250,3.4830E+002
152.6667,3.4936E+002
152.7083,3.5041E+002
152.7500,3.5147E+002
152.7917,3.5253E+002
152.8333,3.5359E+002
152.8750,3.5464E+002
152.9167,3.5570E+002
152.9583,3.5676E+002
153.0000,3.5782E+002
153.0417,3.5918E+002
153.0833,3.6055E+002
153.1250,3.6191E+002
153.1667,3.6328E+002
153.2083,3.6464E+002
153.2500,3.6601E+002
153.2917,3.6737E+002
153.3333,3.6873E+002
153.3750,3.7010E+002
153.4167,3.7146E+002
153.4583,3.7283E+002
153.5000,3.7419E+002
153.5417,3.7556E+002
153.5833,3.7692E+002
153.6250,3.7829E+002
153.6667,3.7965E+002
153.7083,3.8102E+002
153.7500,3.8238E+002
153.7917,3.8375E+002
153.8333,3.8511E+002
153.8750,3.8648E+002
153.9167,3.8784E+002
153.9583,3.8921E+002
154.0000,3.9057E+002
154.0417,3.8991E+002
154.0833,3.8924E+002
154.1250,3.8858E+002
154.1667,3.8792E+002
154.2083,3.8725E+002
154.2500,3.8659E+002
154.2917,3.8592E+002
154.3333,3.8526E+002
154.3750,3.8459E+002
154.4167,3.8393E+002
154.4583,3.8327E+002
154.5000,3.8260E+002
154.5417,3.8194E+002
154.5833,3.8127E+002
154.6250,3.8061E+002
154.6667,3.7995E+002
154.7083,3.7928E+002
154.7500,3.7862E+002
154.7917,3.7795E+002
154.8333,3.7729E+002
154.8750,3.7662E+002
154.9167,3.7596E+002
154.9583,3.7530E+002
155.0000,3.7463E+002
155.0417,3.7475E+002
155.0833,3.7487E+002
155.1250,3.7499E+002
155.1667,3.7511E+002
155.2083,3.7522E+002
155.2500,3.7534E+002
155.2917,3.7546E+002
155.3333,3.7558E+002
155.3750,3.7570E+002
155.4167,3.7581E+002
155.4583,3.7593E+002
155.5000,3.7605E+002
155.5417,3.7617E+002
155.5833,3.7629E+002
155.6250,3.7641E+002
155.6667,3.7652E+002
155.7083,3.7664E+002
155.7500,3.7676E+002
155.7917,3.7688E+002
155.8333,3.7700E+002
155.8750,3.7711E+002
155.9167,3.7723E+002
155.9583,3.7735E+002
156.0000,3.7747E+002
156.0417,3.7816E+002
156.0833,3.7885E+002
156.1250,3.7953E+002
156.1667,3.8022E+002
156.2083,3.8091E+002
156.2500,3.8160E+002
156.2917,3.8229E+002
156.3333,3.8297E+002
156.3750,3.8366E+002
156.4167,3.8435E+002
156.4583,3.8504E+002
156.5000,3.8573E+002
156.5417,3.8641E+002
156.5833,3.8710E+002
156.6250,3.8779E+002
156.6667,3.8848E+002
156.7083,3.8916E+002
156.7500,3.8985E+002
156.7917,3.9054E+002
156.8333,3.9123E+002
156.8750,3.9192E+002
156.9167,3.9260E+002
156.9583,3.9329E+002
157.0000,3.9398E+002
157.0417,3.9381E+002
157.0833,3.9363E+002
157.1250,3.9345E+002
157.1667,3.9328E+002
157.2083,3.9310E+002
157.2500,3.9293E+002
157.2917,3.9275E+002
157.3333,3.9258E+002
157.3750,3.9240E+002
157.4167,3.9222E+002
157.4583,3.9205E+002
157.5000,3.9187E+002
157.5417,3.9170E+002
157.5833,3.9152E+002
157.6250,3.9135E+002
157.6667,3.9117E+002
157.7083,3.9100E+002
157.7500,3.9082E+002
157.7917,3.9064E+002
157.8333,3.9047E+002
157.8750,3.9029E+002
157.9167,3.9012E+002
157.9583,3.8994E+002
