"",33.000
243.0000,0.0000E+000
244.0000,4.0140E+001
245.0000,3.4144E+001
246.0000,3.5407E+001
247.0000,3.7281E+001
248.0000,5.5515E+000
249.0000,4.6884E+000
250.0000,2.3284E+001
251.0000,2.6233E+001
252.0000,-1.4162E+001
253.0000,-8.1767E+000
254.0000,1.5744E-001
255.0000,-5.5829E+000
256.0000,-2.1714E+001
257.0000,-2.1806E+001
258.0000,-2.1477E+001
259.0000,-1.8662E+000
260.0000,-1.3511E+001
261.0000,-1.2614E+001
262.0000,2.9338E+001
263.0000,-2.0869E+001
264.0000,-2.7366E+001
265.0000,-8.8470E+000
266.0000,-4.0242E+000
267.0000,-1.9876E+000
268.0000,6.5297E+000
269.0000,1.6498E+001
270.0000,6.6513E+000
271.0000,-6.4303E+000
272.0000,-1.2952E+001
273.0000,-1.3952E+001
274.0000,-3.7447E+001
275.0000,-2.4190E+001
276.0000,-2.1200E+001
277.0000,-1.8254E+001
278.0000,-1.3924E+001
279.0000,-1.1568E+001
280.0000,7.3210E+000
281.0000,-1.1623E+001
282.0000,-2.6018E+001
283.0000,-4.3532E+001
284.0000,-2.6862E+001
285.0000,8.2975E-001
286.0000,1.1244E+001
287.0000,-2.3617E+001
288.0000,-2.2498E+001
289.0000,-1.9289E+001
290.0000,-1.2992E+001
291.0000,-7.1337E+001
292.0000,-7.3301E+001
293.0000,-6.4178E+001
294.0000,-3.1584E+001
295.0000,-1.9252E+001
296.0000,-1.1928E+001
297.0000,-7.5327E+000
298.0000,-1.9899E+000
299.0000,-2.4443E+000
300.0000,-6.4503E-001
301.0000,-3.5988E+001
302.0000,-2.4476E+001
303.0000,1.5461E+000
304.0000,2.6250E+000
305.0000,7.8332E+000
306.0000,3.3705E+000
307.0000,-4.0501E+000
308.0000,-1.1352E+001
309.0000,4.7375E+000
310.0000,6.0027E+000
311.0000,-1.7339E+001
312.0000,-2.7329E+001
313.0000,-1.8011E+001
314.0000,-5.1460E+001
315.0000,-4.5790E+001
316.0000,-2.4781E+001
317.0000,1.6111E+001
318.0000,-5.2614E+001
319.0000,-2.2333E+001
320.0000,-7.5091E+000
321.0000,-3.7959E+001
322.0000,-2.5890E+001
323.0000,-2.2459E+001
324.0000,-9.6246E+000
325.0000,1.8643E+001
326.0000,-5.1241E+001
327.0000,-2.1735E+001
328.0000,-1.5712E+001
329.0000,-2.3295E+001
330.0000,-1.6578E+001
331.0000,-1.7874E+000
332.0000,-9.6136E+000
333.0000,-1.3729E+001
334.0000,-2.9463E+001
335.0000,-4.5066E+001
336.0000,-7.9676E+000
337.0000,-1.8134E+001
338.0000,-3.1357E+001
339.0000,-4.0404E+001
340.0000,-8.0145E-001
341.0000,-3.7558E+001
342.0000,-2.7576E+001
343.0000,-2.8836E+001
344.0000,-3.8484E+001
345.0000,-2.5369E+001
346.0000,-2.6304E+001
347.0000,-8.8323E+000
348.0000,-9.4281E+000
349.0000,2.0426E+001
350.0000,2.4742E-001
351.0000,-2.1248E+001
352.0000,-2.1258E+001
353.0000,-1.4767E+001
354.0000,-2.8419E+001
355.0000,-3.8068E+001
356.0000,-2.9029E+001
357.0000,-1.8734E+001
358.0000,-6.7981E+000
359.0000,-5.0340E+001
360.0000,-2.3056E+001
361.0000,-3.2923E+001
362.0000,-3.5002E+001
