"",32.500
149.0000,0.0000E+000
149.0417,-3.9016E+002
149.0833,-3.9096E+002
149.1250,-3.9171E+002
149.1667,-3.9229E+002
149.2083,-3.9239E+002
149.2500,-3.9239E+002
149.2917,-3.9281E+002
149.3333,-3.9326E+002
149.3750,-3.9369E+002
149.4167,-3.9410E+002
149.4583,-3.9450E+002
149.5000,-3.9488E+002
149.5417,-3.9524E+002
149.5833,-3.9557E+002
149.6250,-3.9588E+002
149.6667,-3.9618E+002
149.7083,-3.9645E+002
149.7500,-3.9669E+002
149.7917,-3.9692E+002
149.8333,-3.9712E+002
149.8750,-3.9729E+002
149.9167,-3.9740E+002
149.9583,-3.9741E+002
150.0000,-3.9725E+002
150.0417,-3.9703E+002
150.0833,-3.9697E+002
150.1250,-3.9704E+002
150.1667,-3.9716E+002
150.2083,-3.9733E+002
150.2500,-3.9750E+002
150.2917,-3.9767E+002
150.3333,-3.9785E+002
150.3750,-3.9803E+002
150.4167,-3.9818E+002
150.4583,-3.9833E+002
150.5000,-3.9849E+002
150.5417,-3.9860E+002
150.5833,-3.9866E+002
150.6250,-3.9880E+002
150.6667,-3.9887E+002
150.7083,-3.9887E+002
150.7500,-3.9883E+002
150.7917,-3.9885E+002
150.8333,-3.9888E+002
150.8750,-3.9890E+002
150.9167,-3.9895E+002
150.9583,-3.9902E+002
151.0000,-3.9908E+002
151.0417,-3.9913E+002
151.0833,-3.9924E+002
151.1250,-3.9937E+002
151.1667,-3.9949E+002
151.2083,-3.9958E+002
151.2500,-3.9976E+002
151.2917,-3.9992E+002
151.3333,-4.0005E+002
151.3750,-4.0013E+002
151.4167,-4.0031E+002
151.4583,-4.0046E+002
151.5000,-4.0058E+002
151.5417,-4.0064E+002
151.5833,-4.0081E+002
151.6250,-4.0094E+002
151.6667,-4.0107E+002
151.7083,-4.0111E+002
151.7500,-4.0127E+002
151.7917,-4.0145E+002
151.8333,-4.0158E+002
151.8750,-4.0166E+002
151.9167,-4.0178E+002
151.9583,-4.0198E+002
152.0000,-4.0213E+002
152.0417,-4.0225E+002
152.0833,-4.0236E+002
152.1250,-4.0256E+002
152.1667,-4.0273E+002
152.2083,-4.0289E+002
152.2500,-4.0300E+002
152.2917,-4.0320E+002
152.3333,-4.0344E+002
152.3750,-4.0363E+002
152.4167,-4.0381E+002
152.4583,-4.0396E+002
152.5000,-4.0419E+002
152.5417,-4.0447E+002
152.5833,-4.0472E+002
152.6250,-4.0494E+002
152.6667,-4.0513E+002
152.7083,-4.0534E+002
152.7500,-4.0568E+002
152.7917,-4.0597E+002
152.8333,-4.0621E+002
152.8750,-4.0647E+002
152.9167,-4.0671E+002
152.9583,-4.0696E+002
153.0000,-4.0726E+002
153.0417,-4.0765E+002
153.0833,-4.0792E+002
153.1250,-4.0815E+002
153.1667,-4.0839E+002
153.2083,-4.0862E+002
153.2500,-4.0885E+002
153.2917,-4.0908E+002
153.3333,-4.0930E+002
153.3750,-4.0952E+002
153.4167,-4.0972E+002
153.4583,-4.0993E+002
153.5000,-4.1012E+002
153.5417,-4.1031E+002
153.5833,-4.1049E+002
153.6250,-4.1067E+002
153.6667,-4.1084E+002
153.7083,-4.1101E+002
153.7500,-4.1117E+002
153.7917,-4.1132E+002
153.8333,-4.1147E+002
153.8750,-4.1161E+002
153.9167,-4.1175E+002
153.9583,-4.1188E+002
154.0000,-4.1200E+002
154.0417,-4.1212E+002
154.0833,-4.1222E+002
154.1250,-4.1230E+002
154.1667,-4.1237E+002
154.2083,-4.1243E+002
154.2500,-4.1248E+002
154.2917,-4.1252E+002
154.3333,-4.1255E+002
154.3750,-4.1257E+002
154.4167,-4.1257E+002
154.4583,-4.1253E+002
154.5000,-4.1243E+002
154.5417,-4.1238E+002
154.5833,-4.1233E+002
154.6250,-4.1217E+002
154.6667,-4.1192E+002
154.7083,-4.1159E+002
154.7500,-4.1150E+002
154.7917,-4.1156E+002
154.8333,-4.1143E+002
154.8750,-4.1128E+002
154.9167,-4.1100E+002
154.9583,-4.1086E+002
155.0000,-4.1070E+002
155.0417,-4.1045E+002
155.0833,-4.0995E+002
155.1250,-4.0963E+002
155.1667,-4.0963E+002
155.2083,-4.0952E+002
155.2500,-4.0912E+002
155.2917,-4.0874E+002
155.3333,-4.0841E+002
155.3750,-4.0831E+002
155.4167,-4.0816E+002
155.4583,-4.0794E+002
155.5000,-4.0762E+002
155.5417,-4.0743E+002
155.5833,-4.0735E+002
155.6250,-4.0721E+002
155.6667,-4.0698E+002
155.7083,-4.0663E+002
155.7500,-4.0659E+002
155.7917,-4.0657E+002
155.8333,-4.0642E+002
155.8750,-4.0600E+002
155.9167,-4.0554E+002
155.9583,-4.0542E+002
156.0000,-4.0548E+002
156.0417,-4.0541E+002
156.0833,-4.0529E+002
156.1250,-4.0484E+002
156.1667,-4.0457E+002
156.2083,-4.0447E+002
156.2500,-4.0453E+002
156.2917,-4.0462E+002
156.3333,-4.0466E+002
156.3750,-4.0468E+002
156.4167,-4.0462E+002
156.4583,-4.0463E+002
156.5000,-4.0470E+002
156.5417,-4.0479E+002
156.5833,-4.0489E+002
156.6250,-4.0501E+002
156.6667,-4.0515E+002
156.7083,-4.0530E+002
156.7500,-4.0546E+002
156.7917,-4.0564E+002
156.8333,-4.0587E+002
156.8750,-4.0608E+002
156.9167,-4.0637E+002
156.9583,-4.0663E+002
157.0000,-4.0694E+002
157.0417,-4.0732E+002
157.0833,-4.0757E+002
157.1250,-4.0812E+002
157.1667,-4.0834E+002
157.2083,-4.0846E+002
157.2500,-4.0859E+002
157.2917,-4.0875E+002
157.3333,-4.0893E+002
157.3750,-4.0912E+002
157.4167,-4.0932E+002
157.4583,-4.0952E+002
157.5000,-4.0972E+002
157.5417,-4.0991E+002
157.5833,-4.1014E+002
157.6250,-4.1035E+002
157.6667,-4.1058E+002
157.7083,-4.1076E+002
