!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2006-01-01 00:00:00	6.2194336	-4.552539	96764.227	-8.5593933	64.61628	0.56574894	117.72644	2.6785506e-14
2006-01-02 00:00:00	3.00625	-1.9220703	97716.305	-10.676489	59.48896	0.89770039	71.390691	0
2006-01-03 00:00:00	-1.1235352	0.4024414	97556.203	-4.3259338	77.460197	0.97617339	56.620655	2.0744441e-13
2006-01-04 00:00:00	0.48623047	-1.1298828	98443.797	-2.1649841	80.280327	0.66419914	106.18077	0
2006-01-05 00:00:00	-0.80234375	-0.52177735	98736.445	-3.946051	86.743019	1	50.261231	1.9529338e-13
2006-01-06 00:00:00	-0.30341797	-1.5069336	97152.859	1.4482056	93.700378	1	16.588057	2.9494657e-12
2006-01-07 00:00:00	0.90771485	1.1641602	95816.055	4.0580994	83.234131	0.85297371	78.66399	3.4656848e-14
2006-01-08 00:00:00	4.0206054	-0.9584961	96341.625	0.15462646	64.096863	0.66567322	109.02054	3.4590497e-14
2006-01-09 00:00:00	2.2064453	-2.1988281	96948.906	-3.2266296	64.029488	0.50463788	129.51069	0
2006-01-10 00:00:00	1.5539062	1.1768555	97183.492	-3.774939	66.15274	0.41104848	139.26329	0
2006-01-11 00:00:00	4.1132812	-1.6021485	97299.047	-3.7030701	51.889523	0.57164665	124.78598	0
2006-01-12 00:00:00	-1.1501953	0.5446289	96639.812	-3.1362671	71.890594	1	10.885964	2.2235343e-12
2006-01-13 00:00:00	3.5089844	-1.240332	95590.945	-2.2392334	79.744675	0.78402673	95.633912	1.1812605e-13
2006-01-14 00:00:00	1.6453125	-0.15361328	97219.117	-6.3613037	80.574234	0.78827923	96.49446	0
2006-01-15 00:00:00	0.85439453	1.9626953	96363.305	-0.56281128	80.668373	0.86753925	82.524078	2.7611817e-14
2006-01-16 00:00:00	-1.0359375	-0.1459961	96853.469	-0.72955933	85.112991	1	49.733571	3.7674134e-13
2006-01-17 00:00:00	-1.0816406	-1.3774414	97091.891	-2.046759	87.594124	0.79667595	96.828299	4.8140418e-13
2006-01-18 00:00:00	-0.78457031	0.6868164	97029.383	-1.1901917	87.2593	0.89424539	79.798152	2.679749e-14
2006-01-19 00:00:00	-0.29072265	-0.59541015	96804.961	1.3161865	86.51561	1	27.642131	5.8648168e-13
2006-01-20 00:00:00	-0.5890625	-1.9106446	97327.641	-4.8772339	79.459488	0.69112554	118.13269	0
2006-01-21 00:00:00	0.8086914	-0.55859375	97343.422	-4.4737305	80.593338	0.44221759	150.9795	0
2006-01-22 00:00:00	-0.6868164	0.3694336	98241.672	-4.3855652	77.932022	0.62069876	131.1362	0
2006-01-23 00:00:00	-0.87597656	1.2504883	97443.062	1.8888489	88.825928	1	35.817474	6.3764652e-13
2006-01-24 00:00:00	-1.1958984	0.054589844	96003.289	3.3866211	92.852196	1	16.320055	3.0265124e-12
2006-01-25 00:00:00	3.0633789	1.465039	96196.953	3.8684021	71.830551	0.62079768	133.50923	1.1728965e-13
2006-01-26 00:00:00	-0.76171875	0.77695312	97094.773	2.9649902	81.756027	0.77287669	109.94523	0
2006-01-27 00:00:00	-0.7109375	1.1870117	96434.039	4.8870789	89.132408	0.92611276	79.689754	0
2006-01-28 00:00:00	-0.49257812	-0.8569336	95966.664	5.0155579	87.340065	1	42.341298	9.9200625e-13
2006-01-29 00:00:00	-2.8615235	-2.1429688	96361.609	0.093255615	83.917068	1	51.720815	1.9319369e-12
2006-01-30 00:00:00	1.2098633	-0.43925781	96751.32	-0.12799683	82.113838	0.93714041	81.472321	2.1271742e-13
2006-01-31 00:00:00	2.1988281	0.26279297	96749.258	-3.1741089	77.915131	0.66551891	137.88022	0
2006-02-01 00:00:00	1.4713867	1.8179688	96518.102	-2.5277161	76.738136	0.67852879	137.20388	0
2006-02-02 00:00:00	5.3510742	-3.4251953	96874.922	-13.163306	70.658783	0.66573898	143.35422	0
2006-02-03 00:00:00	3.293164	0.14853515	97455.336	-18.697592	73.394638	0.86637679	104.81003	5.836108e-14
2006-02-04 00:00:00	1.4929688	-0.60429688	96552.516	-10.463354	75.603912	0.58032982	160.53785	4.7567262e-14
2006-02-05 00:00:00	-1.1552734	-1.1895508	96444.008	-8.8068604	84.037163	0.99164749	74.777546	3.8011219e-13
2006-02-06 00:00:00	-1.0937012	-1.993164	96355.602	-8.28974	85.005486	0.97163714	80.976288	4.6545594e-13
2006-02-07 00:00:00	-1.0321289	-2.7967774	96266.656	-7.7766785	85.64003	0.94090852	89.996346	5.5466322e-13
2006-02-08 00:00:00	0.076171875	-1.6910156	97094.797	-10.588782	81.161049	0.27870217	204.7296	0
2006-02-09 00:00:00	-0.90009765	-0.48496094	96499.086	-7.7210754	87.291847	0.86380186	111.82484	1.2948422e-13
2006-02-10 00:00:00	2.9719726	-0.66523438	95967.469	-6.513739	79.715385	0.75680101	137.97156	2.2104873e-13
2006-02-11 00:00:00	4.021875	-0.66777344	97198.867	-11.843665	77.290344	0.70826196	151.0621	0
2006-02-12 00:00:00	1.622461	1.8471679	96027.219	-5.6295532	75.344246	0.83492183	123.15179	1.4486943e-13
2006-02-13 00:00:00	1.9652343	-4.8635742	96193.891	-13.299017	77.221252	0.53153021	187.77858	6.9315102e-14
2006-02-14 00:00:00	-0.040625	-0.83027344	96088.445	-16.811499	82.836998	0.54801077	187.83243	0
2006-02-15 00:00:00	2.8082032	-2.3118164	95645.375	-13.170447	78.147179	0.80429146	136.52947	6.3212787e-14
