datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
0	4.7841797	-3.5019531	-8.5593933	84.090317	2.068835	237.87022	9.6427821e-11
1	2.3125	-1.4785156	-10.676489	50.993351	1.6111338	242.00227	0
2	-0.86425781	0.30957031	-4.3259338	40.443325	3.4344135	286.96732	7.4679989e-10
3	0.37402344	-0.86914063	-2.1649841	75.843407	4.1840063	264.44714	0
4	-0.6171875	-0.40136719	-3.946051	35.900879	3.9577203	271.54196	7.0305615e-10
5	-0.23339844	-1.1591797	1.4482056	11.848612	6.3573757	307.08612	1.0618077e-08
6	0.69824219	0.89550781	4.0580994	56.188564	6.7990644	303.6333	1.2476465e-10
7	3.0927734	-0.73730469	0.15462646	77.871811	3.9606096	263.7049	1.2452579e-10
8	1.6972656	-1.6914062	-3.2266296	92.507637	3.0834178	237.16919	0
9	1.1953125	0.90527344	-3.774939	99.473778	3.0573633	231.04626	0
10	3.1640625	-1.2324219	-3.7030701	89.132843	2.4111473	237.13777	0
11	-0.88476562	0.41894531	-3.1362671	7.7756886	3.4854482	275.97678	8.0047236e-09
12	2.6992188	-0.95410156	-2.2392334	68.309937	4.1332716	271.08856	4.2525376e-10
13	1.265625	-0.11816406	-6.3613037	68.924614	3.0594222	246.56116	0
14	0.65722656	1.5097656	-0.56281128	58.94577	4.7305716	274.09354	9.9402541e-11
15	-0.796875	-0.11230469	-0.72955933	35.523979	4.9306821	285.59186	1.3562688e-09
16	-0.83203125	-1.0595703	-2.046759	69.163071	4.6053442	278.74677	1.733055e-09
17	-0.60351562	0.52832031	-1.1901917	56.99868	4.8870333	278.81683	9.6470965e-11
18	-0.22363281	-0.45800781	1.3161865	19.744379	5.8144215	296.90683	2.111334e-09
19	-0.453125	-1.4697266	-4.8772339	84.380493	3.379084	251.38567	0
20	0.62207031	-0.4296875	-4.4737305	107.8425	3.5336505	242.53691	0
21	-0.52832031	0.28417969	-4.3855652	93.668716	3.4398066	243.5054	0
22	-0.67382812	0.96191406	1.8888489	25.58391	6.2202775	297.90979	2.2955275e-09
23	-0.91992188	0.041992188	3.3866211	11.657182	7.2338104	313.83014	1.0895445e-08
24	2.3564453	1.1269531	3.8684021	95.363739	5.7897067	282.9826	4.2224273e-10
25	-0.5859375	0.59765625	2.9649902	78.53231	6.1818437	279.90494	0
26	-0.546875	0.91308594	4.8870789	56.921253	7.7165695	303.5098	0
27	-0.37890625	-0.65917969	5.0155579	30.243784	7.629545	318.02115	3.5712225e-09
28	-2.2011719	-1.6484375	0.093255615	36.943439	5.162236	295.3602	6.9549727e-09
29	0.93066406	-0.33789062	-0.12799683	58.194515	4.9706115	289.29614	7.6578272e-10
30	1.6914062	0.20214844	-3.1741089	98.48587	3.7668633	260.14557	0
31	1.1318359	1.3984375	-2.5277161	98.002769	3.8931359	242.37364	0
32	4.1162109	-2.6347656	-13.163306	102.39587	1.5657588	217.27879	0
33	2.5332031	0.11425781	-18.697592	74.864304	1.0237401	201.90605	2.1009989e-10
34	1.1484375	-0.46484375	-10.463354	114.66989	2.0826617	227.1342	1.7124214e-10
35	-0.88867188	-0.91503906	-8.8068604	53.412533	2.6389322	251.97061	1.3684039e-09
36	-0.84130859	-1.5332031	-8.28974	57.840206	2.7796664	253.81827	1.6756414e-09
37	-0.79394531	-2.1513672	-7.7766785	64.283104	2.9147078	255.66608	1.9967876e-09
38	0.05859375	-1.3007812	-10.588782	146.23543	2.2135085	217.11859	0
39	-0.69238281	-0.37304688	-7.7210754	79.874886	2.9838018	244.9187	4.6614321e-10
40	2.2861328	-0.51171875	-6.513739	98.551117	2.991541	246.3954	7.9577543e-10
41	3.09375	-0.51367188	-11.843665	107.9015	1.9061749	225.12796	0
42	1.2480469	1.4208984	-5.6295532	87.965561	3.0257713	243.22383	5.2152996e-10
43	1.5117187	-3.7412109	-13.299017	134.12756	1.6923284	217.192	2.4953437e-10
44	-0.03125	-0.63867188	-16.811499	134.16602	1.356425	199.52205	0
45	2.1601563	-1.7783203	-13.170447	97.521049	1.7306889	226.98361	2.2756603e-10
46	3.8359375	-3.578125	-18.648413	160.91779	1.0772849	192.5858	0
47	0.98242188	-1.5732422	-16.69248	168.98103	1.3491234	188.75958	0
48	0.58496094	-0.32421875	-12.048956	152.18777	2.0595239	213.21825	0
49	0.89746094	1.1708984	-8.0563416	155.13167	2.7122424	221.73872	0
50	2.6259766	1.6005859	-1.137793	136.98914	3.9243973	254.02719	0
51	4.0615234	-0.796875	-1.7395081	131.41721	3.7866346	257.05676	2.7960958e-10
52	4.0898438	-3.1113281	-7.4259399	153.03333	2.2585496	234.13324	2.07731e-10
53	0.171875	1.5224609	-4.3206543	78.705673	3.2225834	256.17941	3.6088253e-10
54	2.859375	-0.37207031	-0.11884155	157.98825	4.1570343	252.09448	0
55	-0.25585938	2.5595703	1.7409302	136.74777	5.0339497	263.38876	1.4915943e-10
56	-0.087890625	-0.80078125	3.7805115	41.853958	6.8168981	302.9841	9.0483045e-09
57	-1.3164062	-1.2988281	-0.1980957	21.806681	5.2586273	287.85214	1.6504013e-08
58	2.2451172	-2.6083984	-0.93128052	171.3947	4.2806024	262.35388	7.1007829e-09
59	2.4033203	-1.8896484	-5.0540527	181.80186	2.522637	223.32491	0
60	2.1015625	-1.8876953	-7.9230103	172.10727	2.006695	209.69984	0
61	1.8017578	-2.1835938	-8.7905029	182.61723	1.7918946	217.31758	0
62	0.5234375	1.9746094	-1.7745117	194.89601	3.1858167	232.1537	0
63	-0.5234375	2.171875	3.7083679	67.354065	6.3592307	275.62402	1.9493359e-09
64	-0.48632813	0.4140625	8.4938904	101.49021	9.5007261	315.21158	5.8487082e-09
65	-0.94433594	-0.47558594	6.1937195	85.703918	8.1596289	306.69913	3.2773858e-10
66	-0.60058594	2.4375	8.1054932	89.338341	9.3535794	304.86111	0
67	1.0566406	4.2539062	12.904901	72.914528	11.813454	323.8638	1.0973369e-09
68	1.7070312	0.096679688	9.3459717	189.19693	7.0753834	283.25412	2.2325905e-10
69	-0.84667969	-3.5244141	0.6892334	59.012569	5.0880334	286.86157	6.5335413e-09
70	-1.2568359	-1.4960937	-3.1535706	170.21385	4.0187299	245.16447	0
71	-1.5371094	-1.2021484	-1.2709717	99.562653	4.457583	268.71741	2.3727345e-10
72	-2.3867188	-1.796875	-0.86508789	211.15404	3.973905	237.754	0
73	-1.9003906	-1.3242188	0.5828186	176.43576	4.3377364	254.09993	0
74	-0.97949219	-2.59375	1.3167053	41.722092	4.8980784	292.78848	3.624582e-09
75	-3.1542969	-3.4267578	0.71865234	184.92357	3.7279149	263.71637	7.286936e-10
76	-1.9111328	-1.5849609	-1.5197815	231.22621	3.1364889	227.00482	0
