"",33.000
243.0000,0.0000E+000
244.0000,1.6178E+001
245.0000,2.0563E+001
246.0000,2.0291E+001
247.0000,2.6603E+001
248.0000,2.8067E+000
249.0000,-8.3203E-001
250.0000,2.7026E+000
251.0000,-1.6797E+001
252.0000,-8.8119E+001
253.0000,-4.6126E+001
254.0000,-1.5156E+001
255.0000,-3.0210E+001
256.0000,-6.5019E+001
257.0000,-5.9014E+001
258.0000,-4.5600E+001
259.0000,-1.0189E+001
260.0000,-3.5577E+001
261.0000,-2.6901E+001
262.0000,7.4662E+000
263.0000,-3.7829E+001
264.0000,-3.7284E+001
265.0000,-2.3898E+001
266.0000,-1.8633E+001
267.0000,-1.3114E+001
268.0000,-9.6419E-001
269.0000,8.1847E+000
270.0000,-1.2743E+001
271.0000,-4.1090E+001
272.0000,-4.3829E+001
273.0000,-3.0457E+001
274.0000,-5.5212E+001
275.0000,-4.0167E+001
276.0000,-4.4561E+001
277.0000,-4.0502E+001
278.0000,-3.3100E+001
279.0000,-3.0739E+001
280.0000,-3.7369E+000
281.0000,-3.7856E+001
282.0000,-4.7844E+001
283.0000,-7.0183E+001
284.0000,-5.2109E+001
285.0000,-1.9031E+001
286.0000,-2.0450E+001
287.0000,-5.0297E+001
288.0000,-4.1506E+001
289.0000,-2.9798E+001
290.0000,-1.7737E+001
291.0000,-9.3166E+001
292.0000,-8.8501E+001
293.0000,-7.5121E+001
294.0000,-4.0898E+001
295.0000,-2.9157E+001
296.0000,-2.0279E+001
297.0000,-1.5605E+001
298.0000,-8.4749E+000
299.0000,-8.8124E+000
300.0000,-1.3146E+001
301.0000,-5.4914E+001
302.0000,-3.2967E+001
303.0000,-3.3216E+000
304.0000,-1.2594E+000
305.0000,1.7233E+000
306.0000,-4.2393E+000
307.0000,-1.2648E+001
308.0000,-1.9331E+001
309.0000,-7.5990E-001
310.0000,1.3116E+000
311.0000,-3.9745E+001
312.0000,-3.2784E+001
313.0000,-2.0683E+001
314.0000,-5.5755E+001
315.0000,-4.9157E+001
316.0000,-2.8702E+001
317.0000,-3.9503E+000
318.0000,-6.8305E+001
319.0000,-2.7183E+001
320.0000,-1.0479E+001
321.0000,-4.4496E+001
322.0000,-3.2803E+001
323.0000,-2.8417E+001
324.0000,-1.3536E+001
325.0000,-1.0482E+001
326.0000,-5.7509E+001
327.0000,-2.5957E+001
328.0000,-1.7460E+001
329.0000,-2.3919E+001
330.0000,-2.0006E+001
331.0000,-1.2120E+001
332.0000,-2.0670E+001
333.0000,-1.5283E+001
334.0000,-3.6431E+001
335.0000,-4.2291E+001
336.0000,-1.5862E+001
337.0000,-2.8165E+001
338.0000,-3.1009E+001
339.0000,-3.7472E+001
340.0000,-9.5539E+000
341.0000,-4.9945E+001
342.0000,-3.2855E+001
343.0000,-3.1484E+001
344.0000,-3.9347E+001
345.0000,-2.9485E+001
346.0000,-2.8712E+001
347.0000,-1.6521E+001
348.0000,-1.3518E+001
349.0000,3.2164E+000
350.0000,-1.2557E+001
351.0000,-3.2510E+001
352.0000,-2.9078E+001
353.0000,-2.3128E+001
354.0000,-3.0729E+001
355.0000,-3.4734E+001
356.0000,-2.7372E+001
357.0000,-2.0012E+001
358.0000,-1.1987E+001
359.0000,-3.6443E+001
360.0000,-2.0374E+001
361.0000,-2.1340E+001
362.0000,-2.1316E+001
363.0000,-1.1217E+001
364.0000,-3.3523E+001
365.0000,-3.0613E+001
366.0000,-2.8647E+001
367.0000,-2.2112E+001
368.0000,-3.0366E+001
369.0000,-3.7146E+001
370.0000,-3.3202E+001
371.0000,-2.0810E+001
372.0000,-5.5700E+001
373.0000,-3.8124E+001
374.0000,-1.9201E+001
375.0000,1.1639E+001
376.0000,-6.3517E+000
377.0000,-7.1432E+000
378.0000,3.8197E+000
379.0000,-1.4628E+001
380.0000,-2.1486E+000
381.0000,-3.0062E+001
382.0000,-1.6045E+001
383.0000,-5.1928E+000
384.0000,2.6600E+000
385.0000,-8.6136E+000
386.0000,-7.3382E+000
387.0000,-8.3844E-001
388.0000,-1.9056E+001
389.0000,-3.0503E+001
390.0000,-2.0448E+001
391.0000,-2.7506E+001
392.0000,-1.2639E+001
393.0000,-1.2259E+001
394.0000,-1.1810E+001
395.0000,2.8326E+000
396.0000,-1.5238E+001
397.0000,-2.7059E+001
398.0000,-1.6380E+001
399.0000,-4.9830E+000
400.0000,-4.9205E+001
401.0000,-3.8462E+001
402.0000,-3.1386E+001
403.0000,-1.9785E+001
404.0000,-1.2843E+001
405.0000,-1.1383E+000
406.0000,-1.9637E+000
407.0000,-2.3291E+000
408.0000,-3.1267E+000
409.0000,-1.9264E+001
410.0000,-4.5679E+001
411.0000,-1.7636E+001
412.0000,-2.4843E+001
413.0000,-1.5189E+001
414.0000,9.9185E+000
415.0000,5.5679E+000
416.0000,1.2333E+001
417.0000,-8.0637E+000
418.0000,-5.6756E-001
419.0000,1.0773E-001
420.0000,-1.7589E+001
421.0000,-1.3391E+001
422.0000,-4.2569E+000
423.0000,-1.1687E+001
424.0000,-5.6509E+000
425.0000,8.2194E+000
426.0000,-1.3103E+001
427.0000,-6.7103E+000
428.0000,1.8490E+000
429.0000,-8.2307E+000
430.0000,-1.3869E+001
431.0000,1.8380E-001
432.0000,-1.5784E+001
433.0000,-5.8413E+000
434.0000,1.9727E+001
435.0000,8.1054E+000
