"",33.000
243.0000,0.0000E+000
244.0000,1.4970E+002
245.0000,1.1208E+002
246.0000,1.0803E+002
247.0000,9.9257E+001
248.0000,1.0313E+002
249.0000,1.2474E+002
250.0000,1.3723E+002
251.0000,1.2248E+002
252.0000,1.6748E+002
253.0000,1.3718E+002
254.0000,2.9026E+001
255.0000,8.1566E+001
256.0000,1.4354E+002
257.0000,1.6206E+002
258.0000,2.5897E+001
259.0000,1.6043E+001
260.0000,1.4335E+002
261.0000,6.1591E+000
262.0000,1.0540E+002
263.0000,9.2050E+000
264.0000,8.9045E+000
265.0000,8.5215E+001
266.0000,8.2796E+001
267.0000,8.6361E+001
268.0000,3.9892E+001
269.0000,7.5255E+001
270.0000,1.2272E+002
271.0000,1.2294E+002
272.0000,1.2546E+002
273.0000,7.6075E+000
274.0000,1.1285E+002
275.0000,1.1672E+002
276.0000,1.2121E+002
277.0000,1.2078E+002
278.0000,1.2019E+002
279.0000,9.1955E+001
280.0000,2.3783E+001
281.0000,7.8642E+001
282.0000,5.6665E+001
283.0000,5.5148E+001
284.0000,1.0483E+002
285.0000,8.0716E+001
286.0000,6.8354E+001
287.0000,7.1569E+001
288.0000,8.8720E+001
289.0000,6.4459E+000
290.0000,4.7136E+001
291.0000,6.4913E+001
292.0000,8.2880E+001
293.0000,9.5281E+001
294.0000,9.8943E+001
295.0000,6.7429E+001
296.0000,8.5869E+001
297.0000,7.7431E+001
298.0000,7.8861E+001
299.0000,3.4318E+001
300.0000,3.4368E+001
301.0000,8.1539E+001
302.0000,7.0237E+001
303.0000,6.2845E+001
304.0000,4.2749E+001
305.0000,3.6454E+001
306.0000,3.6685E+001
307.0000,5.8972E+001
308.0000,6.0113E+001
309.0000,3.5069E+001
310.0000,4.0634E+001
311.0000,7.2472E+001
312.0000,1.8115E+001
313.0000,2.2604E+001
314.0000,6.2232E+001
315.0000,5.5117E+001
316.0000,4.1389E+001
317.0000,2.0495E+001
318.0000,5.8623E+001
319.0000,5.3231E+001
320.0000,1.7082E+001
321.0000,6.4903E+001
322.0000,6.0724E+001
323.0000,5.9110E+001
324.0000,8.7505E+000
325.0000,3.1948E+001
326.0000,4.9974E+001
327.0000,4.6415E+000
328.0000,2.6696E+001
329.0000,4.7688E+001
330.0000,4.1547E+001
331.0000,4.3423E+001
332.0000,5.0627E+001
333.0000,1.4325E+001
334.0000,4.5510E+001
335.0000,1.5727E+001
336.0000,4.5286E+001
337.0000,3.0719E+001
338.0000,2.1020E+001
339.0000,5.2799E+001
340.0000,4.6153E+000
341.0000,5.0473E+001
342.0000,4.4202E+001
343.0000,4.1823E+001
344.0000,5.2160E+001
345.0000,3.9121E+001
346.0000,4.5967E+001
347.0000,3.7963E+001
348.0000,4.1686E+001
349.0000,3.4372E+000
350.0000,3.0537E+001
351.0000,3.9045E+001
352.0000,4.8832E+001
353.0000,4.3493E+001
354.0000,3.9513E+001
355.0000,3.2372E+001
356.0000,5.1982E+001
357.0000,4.3453E+001
358.0000,3.4525E+001
359.0000,4.8018E+001
360.0000,1.7008E+001
361.0000,5.0838E+001
362.0000,2.1187E+001
363.0000,1.7404E+001
364.0000,4.7202E+001
365.0000,2.0340E+001
366.0000,4.0018E+001
367.0000,1.1294E+001
368.0000,3.6106E+001
369.0000,5.2676E+001
370.0000,3.9607E+001
371.0000,3.4274E+001
372.0000,4.7691E+001
373.0000,4.9654E+001
374.0000,2.8172E+001
375.0000,1.2395E+001
376.0000,5.5483E+001
377.0000,1.3394E+001
378.0000,3.7137E+001
379.0000,4.0266E+001
380.0000,1.0199E+001
381.0000,6.1087E+001
382.0000,6.2389E+001
383.0000,2.5528E+001
384.0000,1.8870E+001
385.0000,6.0425E+001
386.0000,3.2085E+001
387.0000,3.0767E+001
388.0000,6.0676E+001
389.0000,7.2041E+001
390.0000,6.9264E+001
391.0000,5.6206E+001
392.0000,1.5492E+001
393.0000,6.4362E+001
394.0000,5.3960E+001
395.0000,1.3074E+001
396.0000,4.9396E+001
397.0000,7.6575E+001
398.0000,4.2059E+001
399.0000,7.5467E+001
400.0000,8.7980E+001
401.0000,8.8206E+001
402.0000,8.8158E+001
403.0000,8.5426E+001
404.0000,8.8080E+001
405.0000,7.3193E+001
406.0000,1.1052E+001
407.0000,8.3505E+001
408.0000,6.1696E+001
409.0000,8.0784E+001
410.0000,8.9166E+001
411.0000,6.2772E+001
412.0000,9.2402E+001
413.0000,6.5060E+001
414.0000,2.2053E+001
415.0000,1.6440E+001
416.0000,4.2434E+001
417.0000,9.6825E+001
418.0000,1.6974E+001
419.0000,4.2176E+001
420.0000,1.0866E+002
421.0000,1.0021E+002
422.0000,1.0924E+002
423.0000,8.4770E+001
424.0000,1.1070E+002
425.0000,5.9209E+001
426.0000,1.0814E+002
427.0000,8.2162E+001
428.0000,4.2059E+001
429.0000,8.1345E+001
430.0000,1.1570E+002
431.0000,2.1776E+001
432.0000,1.1645E+002
433.0000,2.6730E+001
434.0000,1.9931E+001
435.0000,8.3596E+001
436.0000,6.2016E+001
437.0000,1.2094E+002
438.0000,5.3688E+001
439.0000,1.1492E+002
440.0000,1.3390E+002
441.0000,1.3103E+002
442.0000,5.6401E+001
443.0000,5.8673E+001
444.0000,6.4548E+001
445.0000,5.5150E+001
446.0000,8.0457E+001
447.0000,1.4314E+001
448.0000,2.0196E+001
449.0000,2.6224E+001
450.0000,4.3499E+001
451.0000,1.5553E+002
452.0000,1.6515E+002
453.0000,1.6167E+002
454.0000,8.4615E+001
455.0000,3.4739E+001
456.0000,1.4085E+002
457.0000,2.8005E+001
458.0000,8.5842E+001
459.0000,8.6899E+001
460.0000,2.9501E+001
461.0000,5.0253E+001
462.0000,9.9995E+001
463.0000,1.2981E+002
464.0000,1.6415E+002
465.0000,1.6449E+002
466.0000,1.6980E+002
467.0000,1.5031E+002
468.0000,1.6862E+002
469.0000,1.4159E+002
470.0000,1.2337E+002
471.0000,1.4219E+002
472.0000,1.4027E+002
473.0000,6.7846E+001
474.0000,8.4994E+001
475.0000,1.0365E+002
476.0000,1.3339E+002
477.0000,1.5190E+002
478.0000,9.5664E+001
479.0000,1.8851E+002
480.0000,1.4959E+002
481.0000,1.6075E+002
482.0000,1.0769E+001
483.0000,1.4190E+001
484.0000,2.8052E+001
485.0000,1.5399E+002
486.0000,1.8496E+002
487.0000,9.0312E+001
488.0000,2.0198E+002
489.0000,1.8564E+002
490.0000,5.7455E+001
491.0000,6.8696E+001
492.0000,1.6003E+002
493.0000,1.9961E+002
494.0000,1.9853E+002
495.0000,1.6475E+002
496.0000,3.2093E+001
497.0000,1.9200E+002
498.0000,1.9010E+002
499.0000,1.4329E+002
500.0000,1.4395E+002
501.0000,1.2111E+002
502.0000,1.2904E+002
503.0000,2.0562E+002
504.0000,2.2022E+002
505.0000,1.7902E+002
506.0000,1.1277E+002
507.0000,2.1868E+002
508.0000,5.2884E+001
509.0000,2.0624E+002
510.0000,2.0912E+002
511.0000,2.2249E+002
512.0000,2.0963E+002
513.0000,1.4700E+002
514.0000,1.8186E+002
515.0000,1.4088E+002
516.0000,2.0740E+002
