Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       17.2000       17.2000       8.00000      0.278290      0.960377E-02  0.154708E-01  -698.789      -239.846      -282.770       91.1997       0.00000      -398.938       11.5500      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       16.1162       16.1162       16.1162      0.358279      0.123904E-01  0.164172E-01  -872.056      -390.868      -312.381       69.7180       0.00000      -393.015       11.5500      0.500000       5.00000       4.00000       2.64619       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       14.6825       14.6825       14.6825      0.222826      0.772755E-02  0.147678E-01  -742.512      -314.910      -240.256       87.2221       0.00000      -385.281       11.5500      0.500000      0.367129       14.7818     -0.295337       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       13.5159       13.5159       13.5159      0.805719E-01  0.280055E-02  0.115200E-01  -403.044      -151.995      -121.138       56.2074       0.00000      -379.072       11.5500      0.500000      0.212717       15.3208      -9.26587       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       12.9146       12.9146       12.9146      0.202655      0.705214E-02  0.120193E-01  -451.071      -185.027      -175.300       19.1995       0.00000      -375.902       11.5500      0.500000      0.424302       14.5703      -4.26113       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       12.1530       12.1530       12.1530      0.159794      0.556881E-02  0.113485E-01  -444.861      -180.264      -147.798       56.5614       0.00000      -371.915       11.5500      0.500000      0.411158       14.6158      -6.54108       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       11.4730       11.4730       11.4730      0.143727      0.501546E-02  0.112239E-01  -497.516      -188.269      -135.941       96.3399       0.00000      -368.382       11.5500      0.500000      0.434375       14.5353      -7.69832       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       10.7722       10.7722       10.7722      0.246487      0.861295E-02  0.118624E-01  -614.821      -276.416      -187.093       82.2314       0.00000      -364.767       11.5500      0.500000      0.462305       14.4386      -8.66035       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       9.83900       9.83900       9.83900      0.263972      0.924051E-02  0.110852E-01  -588.706      -262.754      -176.007       87.0375       0.00000      -359.995       11.5500      0.500000      0.477190       14.3872      -10.4082       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       8.96400       8.96400       8.96400      0.161110      0.564923E-02  0.945237E-02  -452.449      -179.481      -121.355       93.9348       0.00000      -355.563       11.5500      0.500000      0.505744       14.2889      -11.4974       0.00000       0.00000       0.00000       0.00000    
       10   10.0000       8.34590       8.34590       8.34590      0.598734E-01  0.210192E-02  0.766606E-02  -289.225      -98.5976      -70.7341       75.0779       0.00000      -352.457       11.5500      0.500000      0.550733       14.1344      -11.4774       0.00000       0.00000       0.00000       0.00000    
       11   11.0000       7.98490       7.98490       7.98490      0.195217      0.685804E-02  0.821738E-02  -368.715      -145.238      -115.443       75.2053       0.00000      -350.653       11.5500      0.500000      0.603981       13.9524      -10.7893       0.00000       0.00000       0.00000       0.00000    
       12   12.0000       7.48133       7.48133       7.48133      0.165574      0.582229E-02  0.818540E-02  -422.205      -172.693      -110.662       92.0219       0.00000      -348.147       11.5500      0.500000      0.639812       13.8308      -10.8369       0.00000       0.00000       0.00000       0.00000    
       13   13.0000       6.91252       6.91252       6.91252      0.229403      0.807561E-02  0.803634E-02  -473.201      -202.223      -128.525       98.9438       0.00000      -345.333       11.5500      0.500000      0.668261       13.7345      -11.1478       0.00000       0.00000       0.00000       0.00000    
       14   14.0000       6.26576       6.26576       6.26576      0.312524      0.110153E-01  0.822716E-02  -613.948      -316.723      -155.877       87.3534       0.00000      -342.154       11.5500      0.500000      0.690737       13.6588      -11.6878       0.00000       0.00000       0.00000       0.00000    
       15   15.0000       5.34864       5.34864       5.34864      0.210395      0.742867E-02  0.628461E-02  -457.865      -238.729      -119.723       66.0992       0.00000      -337.684       11.5500      0.500000      0.697945       13.6345      -12.9641       0.00000       0.00000       0.00000       0.00000    
       16   16.0000       4.67394       4.67394       4.67394      0.171834      0.607499E-02  0.426453E-02  -260.193      -122.945      -80.4405       12.0729       0.00000      -334.424       11.5500      0.500000      0.723253       13.5495      -13.4008       0.00000       0.00000       0.00000       0.00000    
       17   17.0000       4.25589       4.25589       4.25589      0.162917      0.576433E-02  0.235535E-02  -164.859      -48.2910      -49.7231       76.3602       0.00000      -332.415       11.5500      0.500000      0.761482       13.4215      -13.1439       0.00000       0.00000       0.00000       0.00000    
       18   18.0000       4.12165       4.12165       4.12165      0.145293      0.514210E-02  0.235998E-02  -263.182      -101.649      -73.9104       71.5371       0.00000      -331.772       11.5500      0.500000      0.811191       13.2557      -12.2961       0.00000       0.00000       0.00000       0.00000    
       19   19.0000       3.80219       3.80219       3.80219      0.275636      0.976103E-02   0.00000      -63.0666      -14.8179      -32.8202       36.0636       0.00000      -330.246       11.5500      0.500000      0.845567       13.1418      -12.0616       0.00000       0.00000       0.00000       0.00000    
       20   20.0000       3.77556       3.77556       3.77556      0.279808      0.990930E-02   0.00000      -374.453      -137.486      -102.389       122.487       0.00000      -330.119       11.5500      0.500000      0.893914       12.9822      -11.2468       0.00000       0.00000       0.00000       0.00000    
