"",33.000
0.5000,0.0000E+000
1.5000,2.1825E+002
2.5000,2.0138E+002
3.5000,2.0597E+002
4.5000,2.3423E+002
5.5000,2.4742E+002
6.5000,2.1989E+002
7.5000,2.0583E+002
8.5000,2.1211E+002
9.5000,2.1132E+002
10.5000,2.1978E+002
11.5000,2.3660E+002
12.5000,2.2770E+002
13.5000,2.0954E+002
14.5000,1.9745E+002
15.5000,1.9398E+002
16.5000,2.2072E+002
17.5000,2.4568E+002
18.5000,2.3176E+002
19.5000,2.4855E+002
20.5000,2.4231E+002
21.5000,2.1190E+002
22.5000,2.1252E+002
23.5000,1.9795E+002
24.5000,1.9686E+002
25.5000,2.0310E+002
26.5000,2.0731E+002
27.5000,2.1239E+002
28.5000,2.3020E+002
29.5000,2.5449E+002
30.5000,2.6736E+002
31.5000,2.5221E+002
32.5000,2.4828E+002
33.5000,2.3977E+002
34.5000,2.1277E+002
35.5000,2.3333E+002
36.5000,2.4609E+002
37.5000,2.1899E+002
38.5000,2.0087E+002
39.5000,2.0351E+002
40.5000,2.2503E+002
41.5000,2.2510E+002
42.5000,2.2029E+002
43.5000,2.2673E+002
44.5000,2.2718E+002
45.5000,2.1140E+002
46.5000,1.9808E+002
47.5000,2.2688E+002
48.5000,2.4323E+002
49.5000,2.5297E+002
50.5000,2.6258E+002
51.5000,2.3287E+002
52.5000,2.0973E+002
53.5000,2.4194E+002
54.5000,2.7649E+002
55.5000,2.4935E+002
56.5000,2.2947E+002
57.5000,2.5832E+002
58.5000,2.4722E+002
59.5000,2.1424E+002
60.5000,2.2761E+002
61.5000,2.4334E+002
62.5000,2.5879E+002
63.5000,2.6211E+002
64.5000,2.3214E+002
65.5000,2.3703E+002
66.5000,2.4358E+002
67.5000,2.4137E+002
68.5000,2.6315E+002
69.5000,2.6235E+002
70.5000,2.5877E+002
71.5000,2.7290E+002
72.5000,2.8389E+002
73.5000,2.5648E+002
74.5000,2.3445E+002
75.5000,2.5166E+002
76.5000,2.7536E+002
77.5000,3.0559E+002
78.5000,3.1189E+002
79.5000,2.8226E+002
80.5000,2.6961E+002
81.5000,2.8679E+002
82.5000,2.8125E+002
83.5000,2.6364E+002
84.5000,2.6590E+002
85.5000,2.7271E+002
86.5000,2.8050E+002
87.5000,2.8409E+002
88.5000,2.8685E+002
89.5000,2.9931E+002
90.5000,2.9801E+002
91.5000,2.6952E+002
92.5000,2.3868E+002
93.5000,2.5537E+002
94.5000,2.9939E+002
95.5000,3.1333E+002
96.5000,2.8110E+002
97.5000,2.5323E+002
98.5000,2.5390E+002
99.5000,2.5799E+002
100.5000,2.5966E+002
101.5000,2.5608E+002
102.5000,2.6175E+002
103.5000,2.7402E+002
104.5000,2.6829E+002
105.5000,2.5941E+002
106.5000,2.6932E+002
107.5000,2.8056E+002
108.5000,2.9172E+002
109.5000,3.0541E+002
110.5000,2.8329E+002
111.5000,2.5557E+002
112.5000,2.5958E+002
113.5000,2.5915E+002
114.5000,2.7424E+002
115.5000,2.8531E+002
116.5000,2.7005E+002
117.5000,2.7774E+002
118.5000,3.1993E+002
119.5000,3.1978E+002
120.5000,2.8121E+002
121.5000,2.7311E+002
122.5000,2.9571E+002
123.5000,3.0268E+002
124.5000,2.9199E+002
125.5000,3.0170E+002
126.5000,3.0553E+002
127.5000,3.2172E+002
128.5000,3.1456E+002
129.5000,2.8763E+002
130.5000,3.0775E+002
131.5000,3.4123E+002
132.5000,3.5570E+002
133.5000,3.5178E+002
134.5000,3.3806E+002
135.5000,3.0807E+002
136.5000,3.0325E+002
137.5000,3.4187E+002
138.5000,3.4091E+002
139.5000,3.1310E+002
140.5000,2.9691E+002
141.5000,2.9245E+002
142.5000,3.2939E+002
143.5000,3.3672E+002
144.5000,3.1152E+002
145.5000,3.0230E+002
146.5000,3.1201E+002
147.5000,3.4064E+002
148.5000,3.4568E+002
149.5000,3.2108E+002
150.5000,3.2772E+002
151.5000,3.6767E+002
152.5000,3.7079E+002
153.5000,3.2430E+002
154.5000,3.1969E+002
155.5000,3.3632E+002
156.5000,3.3887E+002
157.5000,3.6871E+002
158.5000,3.7466E+002
159.5000,3.3867E+002
160.5000,3.2066E+002
161.5000,3.3856E+002
162.5000,3.6070E+002
163.5000,3.5810E+002
164.5000,3.5170E+002
165.5000,3.5776E+002
166.5000,3.3707E+002
167.5000,3.2614E+002
168.5000,3.4427E+002
169.5000,3.6247E+002
170.5000,3.6725E+002
171.5000,3.5918E+002
172.5000,3.4626E+002
173.5000,3.3851E+002
174.5000,3.3965E+002
175.5000,3.5030E+002
176.5000,3.6995E+002
177.5000,3.6113E+002
178.5000,3.5029E+002
179.5000,3.7980E+002
180.5000,3.6380E+002
181.5000,3.2178E+002
182.5000,3.4936E+002
183.5000,3.6637E+002
184.5000,3.4408E+002
185.5000,3.5941E+002
186.5000,3.7151E+002
187.5000,3.5496E+002
188.5000,3.6462E+002
189.5000,3.8424E+002
190.5000,3.8823E+002
191.5000,3.8904E+002
192.5000,3.9487E+002
193.5000,4.0322E+002
194.5000,4.0919E+002
195.5000,4.1675E+002
196.5000,4.1592E+002
197.5000,4.0244E+002
198.5000,3.9498E+002
199.5000,3.9428E+002
200.5000,3.9154E+002
201.5000,3.8971E+002
202.5000,3.8972E+002
203.5000,3.9095E+002
204.5000,3.8899E+002
205.5000,3.7967E+002
206.5000,3.6898E+002
207.5000,3.4853E+002
208.5000,3.2977E+002
209.5000,3.4081E+002
210.5000,3.7007E+002
211.5000,3.9580E+002
212.5000,4.0615E+002
213.5000,4.0106E+002
214.5000,3.8534E+002
215.5000,3.6112E+002
216.5000,3.4485E+002
217.5000,3.6373E+002
218.5000,3.8736E+002
219.5000,3.7242E+002
220.5000,3.5951E+002
221.5000,3.5633E+002
222.5000,3.3428E+002
223.5000,3.2493E+002
224.5000,3.2253E+002
225.5000,3.1664E+002
226.5000,3.4776E+002
227.5000,3.7889E+002
228.5000,3.7609E+002
229.5000,3.7082E+002
230.5000,3.6700E+002
231.5000,3.6826E+002
232.5000,3.7487E+002
233.5000,3.6725E+002
234.5000,3.4950E+002
235.5000,3.3790E+002
236.5000,3.3307E+002
237.5000,3.3356E+002
238.5000,3.3781E+002
239.5000,3.4447E+002
240.5000,3.5371E+002
241.5000,3.6508E+002
242.5000,3.7988E+002
243.5000,3.8962E+002
244.5000,3.9222E+002
245.5000,3.8432E+002
246.5000,3.7505E+002
247.5000,3.7311E+002
248.5000,3.7364E+002
249.5000,3.8051E+002
250.5000,3.7632E+002
251.5000,3.6246E+002
252.5000,3.6024E+002
253.5000,3.4919E+002
254.5000,3.3904E+002
255.5000,3.5665E+002
256.5000,3.7308E+002
257.5000,3.7890E+002
258.5000,3.7932E+002
259.5000,3.7697E+002
260.5000,3.4055E+002
261.5000,3.1690E+002
262.5000,3.3749E+002
263.5000,3.1892E+002
264.5000,3.0983E+002
265.5000,3.4982E+002
266.5000,3.4685E+002
267.5000,3.3191E+002
268.5000,3.1471E+002
269.5000,2.9914E+002
270.5000,3.2945E+002
271.5000,3.5232E+002
272.5000,3.3277E+002
273.5000,3.0718E+002
274.5000,3.0169E+002
275.5000,3.1634E+002
276.5000,3.4687E+002
277.5000,3.4832E+002
278.5000,3.1835E+002
279.5000,2.8738E+002
280.5000,2.9768E+002
281.5000,3.3318E+002
282.5000,3.1428E+002
283.5000,2.8788E+002
284.5000,3.0041E+002
285.5000,2.8973E+002
286.5000,2.7666E+002
287.5000,2.7383E+002
288.5000,2.7420E+002
289.5000,2.9560E+002
290.5000,2.9718E+002
291.5000,2.7551E+002
292.5000,2.7753E+002
293.5000,2.9678E+002
294.5000,2.9588E+002
295.5000,2.8320E+002
296.5000,2.8906E+002
297.5000,3.0951E+002
298.5000,2.8738E+002
299.5000,2.5951E+002
300.5000,2.8682E+002
301.5000,2.9882E+002
302.5000,2.9295E+002
303.5000,3.0665E+002
304.5000,2.9640E+002
305.5000,2.6358E+002
306.5000,2.6771E+002
307.5000,2.8381E+002
308.5000,2.7488E+002
309.5000,2.5075E+002
310.5000,2.3894E+002
311.5000,2.6421E+002
312.5000,2.9457E+002
313.5000,3.0270E+002
314.5000,3.1332E+002
315.5000,3.2239E+002
316.5000,2.9316E+002
317.5000,2.7307E+002
318.5000,3.0421E+002
319.5000,3.1278E+002
320.5000,2.8552E+002
321.5000,2.7787E+002
322.5000,2.8318E+002
323.5000,2.7993E+002
324.5000,2.4899E+002
325.5000,2.3470E+002
326.5000,2.5655E+002
327.5000,2.9124E+002
328.5000,2.7002E+002
329.5000,2.2610E+002
330.5000,2.5647E+002
331.5000,2.9157E+002
332.5000,3.0309E+002
333.5000,3.2077E+002
334.5000,3.2640E+002
335.5000,2.9576E+002
336.5000,2.6335E+002
337.5000,2.4424E+002
338.5000,2.3963E+002
339.5000,2.7850E+002
340.5000,3.0025E+002
341.5000,2.6653E+002
342.5000,2.5902E+002
343.5000,2.6204E+002
344.5000,2.4236E+002
345.5000,2.5406E+002
346.5000,2.7564E+002
347.5000,2.6164E+002
348.5000,2.3682E+002
349.5000,2.2182E+002
350.5000,2.1686E+002
351.5000,2.2432E+002
352.5000,2.4470E+002
353.5000,2.7569E+002
354.5000,2.8981E+002
355.5000,2.9513E+002
356.5000,2.7269E+002
357.5000,2.5927E+002
358.5000,2.4289E+002
359.5000,2.0177E+002
360.5000,2.1579E+002
361.5000,2.5568E+002
362.5000,2.6986E+002
363.5000,2.6265E+002
364.5000,2.6660E+002
365.5000,2.6786E+002
366.5000,2.5426E+002
367.5000,2.5350E+002
368.5000,2.3604E+002
369.5000,2.2087E+002
370.5000,2.5218E+002
371.5000,2.7264E+002
372.5000,2.4467E+002
373.5000,2.3429E+002
374.5000,2.5567E+002
375.5000,2.6697E+002
376.5000,2.7257E+002
377.5000,2.6926E+002
378.5000,2.3665E+002
379.5000,2.0142E+002
380.5000,2.1695E+002
381.5000,2.4905E+002
382.5000,2.5875E+002
383.5000,2.7316E+002
384.5000,2.8389E+002
385.5000,2.3637E+002
386.5000,2.1846E+002
387.5000,2.6024E+002
388.5000,2.6481E+002
389.5000,2.5092E+002
390.5000,2.5759E+002
391.5000,2.5644E+002
392.5000,2.2520E+002
393.5000,2.3764E+002
394.5000,2.6322E+002
395.5000,2.4774E+002
396.5000,2.5646E+002
397.5000,2.5503E+002
398.5000,2.2340E+002
399.5000,2.1139E+002
400.5000,2.3454E+002
401.5000,2.5033E+002
402.5000,2.5931E+002
403.5000,2.4969E+002
404.5000,2.1704E+002
405.5000,2.2363E+002
406.5000,2.3583E+002
407.5000,2.3109E+002
408.5000,2.1177E+002
409.5000,2.3232E+002
410.5000,2.6064E+002
411.5000,2.3030E+002
412.5000,2.3814E+002
413.5000,2.8220E+002
414.5000,2.9921E+002
415.5000,2.9620E+002
416.5000,2.5622E+002
417.5000,2.5309E+002
418.5000,2.7350E+002
419.5000,2.5333E+002
420.5000,2.3449E+002
421.5000,2.1033E+002
422.5000,2.1430E+002
