"",33.000
0.5000,0.0000E+000
1.5000,-1.7288E+002
2.5000,-2.2620E+002
3.5000,-1.1241E+002
4.5000,-7.1654E+001
5.5000,-6.9264E+001
6.5000,-1.0270E+002
7.5000,-1.3863E+002
8.5000,-1.6187E+002
9.5000,-1.2730E+002
10.5000,-6.4983E+001
11.5000,-4.4706E+001
12.5000,-7.9028E+001
13.5000,-1.1297E+002
14.5000,-1.7717E+002
15.5000,-2.1392E+002
16.5000,-6.5597E+001
17.5000,-1.9806E+001
18.5000,-2.9767E+001
19.5000,-1.6059E+001
20.5000,-2.2800E+001
21.5000,-7.3125E+001
22.5000,-1.1091E+002
23.5000,-2.1516E+002
24.5000,-1.9237E+002
25.5000,-1.5190E+002
26.5000,-1.2700E+002
27.5000,-9.7040E+001
28.5000,-5.2353E+001
29.5000,-3.4043E+001
30.5000,-3.4932E+000
31.5000,-1.8590E+000
32.5000,-2.6723E+000
33.5000,-1.9206E+000
34.5000,-2.7209E+001
35.5000,-2.6394E+001
36.5000,-2.1709E+001
37.5000,-7.0911E+001
38.5000,-1.0639E+002
39.5000,-7.4670E+001
40.5000,-4.4445E+001
41.5000,-4.2383E+001
42.5000,-4.0467E+001
43.5000,-4.2798E+001
44.5000,-3.5282E+001
45.5000,-6.8115E+001
46.5000,-9.0045E+001
47.5000,-3.7019E+001
48.5000,-2.2763E+001
49.5000,-1.7721E+001
50.5000,-1.7117E+001
51.5000,-9.0911E+001
52.5000,-1.3083E+002
53.5000,-3.9330E+001
54.5000,3.8800E+000
55.5000,-1.0738E+001
56.5000,-1.9398E+001
57.5000,-6.5277E+000
58.5000,-1.3858E+001
59.5000,-7.5426E+001
60.5000,-5.3919E+001
61.5000,-2.7412E+001
62.5000,-1.3151E+001
63.5000,-9.7611E+000
64.5000,-7.2879E+001
65.5000,-6.0149E+001
66.5000,-5.4637E+001
67.5000,-3.7146E+001
68.5000,-6.8486E+000
69.5000,3.2297E+000
70.5000,-1.2132E+000
71.5000,2.3349E-001
72.5000,1.8388E+000
73.5000,5.4472E+000
74.5000,-7.7854E+000
75.5000,-2.6080E+000
76.5000,-5.9098E+000
77.5000,2.2420E+001
78.5000,2.8037E+001
79.5000,1.9579E+001
80.5000,5.2049E+000
81.5000,9.4908E+000
82.5000,5.6705E+000
83.5000,-3.2529E+001
84.5000,-3.2070E+001
85.5000,-1.4800E+001
86.5000,-5.4931E+000
87.5000,-3.6468E+000
88.5000,-1.2554E+000
89.5000,3.1392E+000
90.5000,1.3768E+000
91.5000,-8.4519E+000
92.5000,-3.2097E+001
93.5000,-9.4023E+000
94.5000,2.3765E+000
95.5000,8.7451E+000
96.5000,-9.3287E+000
97.5000,-3.9048E+001
98.5000,-3.7471E+001
99.5000,-2.8409E+001
100.5000,-2.2859E+001
101.5000,-2.1858E+001
102.5000,-1.5732E+001
103.5000,-7.6392E+000
104.5000,-2.5628E+000
105.5000,1.0104E+000
106.5000,6.9867E+000
107.5000,3.6415E+000
108.5000,9.0001E+000
109.5000,7.4445E+000
110.5000,3.3091E+000
111.5000,-5.2472E+000
112.5000,5.2687E+000
113.5000,-9.4663E-001
114.5000,-9.7904E+000
115.5000,-9.0633E+000
116.5000,-3.4733E+000
117.5000,2.3124E+000
118.5000,3.0282E+001
119.5000,5.5165E+000
120.5000,-1.5872E+001
121.5000,-1.1520E+001
122.5000,-1.4943E+000
123.5000,9.6188E-001
124.5000,-6.6756E-001
125.5000,-7.7491E-001
126.5000,-3.6955E+000
127.5000,-5.1234E+000
128.5000,-5.5158E+000
129.5000,7.3216E-001
130.5000,1.1802E+001
131.5000,2.9982E+000
132.5000,1.3353E-001
133.5000,-9.1959E+000
134.5000,-1.3534E+001
135.5000,-7.7304E+000
136.5000,-8.0692E+000
137.5000,-1.2167E+000
138.5000,1.2273E+001
139.5000,1.4018E+001
140.5000,6.4471E-001
141.5000,-1.1510E+001
142.5000,-4.7414E+000
143.5000,6.2904E+000
144.5000,6.0203E+000
145.5000,-1.2631E+000
146.5000,-4.2838E+000
147.5000,-1.0774E+001
148.5000,-1.8435E+001
149.5000,-5.8549E+000
150.5000,-7.1869E+000
151.5000,1.1368E+001
152.5000,2.0445E+001
153.5000,-5.0938E+000
154.5000,-1.8508E+001
155.5000,-9.5413E+000
156.5000,-4.4931E+000
157.5000,-2.8393E+000
158.5000,2.4692E+000
159.5000,-4.1947E+000
160.5000,-7.7715E+000
161.5000,-1.0802E+000
162.5000,-7.4383E-001
163.5000,5.7605E-001
164.5000,4.9478E-001
165.5000,3.3585E+000
166.5000,4.5649E+000
167.5000,1.6603E+000
168.5000,1.5192E+000
169.5000,2.8964E-001
170.5000,-9.6674E-001
171.5000,-3.9849E+000
172.5000,-7.8299E+000
173.5000,-1.2630E+001
174.5000,-1.3664E+001
175.5000,-1.1775E+001
176.5000,-8.3973E+000
177.5000,-7.6617E+000
178.5000,-1.1998E+001
179.5000,-7.7835E+000
180.5000,-1.5069E+001
181.5000,-3.5761E+001
182.5000,-2.1326E+001
183.5000,-1.0559E+001
184.5000,-1.4317E+001
185.5000,-2.4363E+001
186.5000,-4.0105E+001
187.5000,-4.6131E+001
188.5000,-5.3554E+001
189.5000,-4.8166E+001
190.5000,-3.6958E+001
191.5000,-3.1003E+001
192.5000,-1.8017E+001
193.5000,-6.7681E+000
194.5000,1.7745E+000
195.5000,8.5721E+000
196.5000,8.1820E+000
197.5000,4.0170E+000
198.5000,1.1816E+000
199.5000,-1.6894E+000
200.5000,-3.0213E+000
201.5000,-2.5707E+000
202.5000,-8.7167E-001
203.5000,6.4126E-001
204.5000,1.1125E+000
205.5000,-2.3395E-001
206.5000,-5.0195E+000
207.5000,-1.1637E+001
208.5000,-1.1394E+001
209.5000,-9.0039E+000
210.5000,-5.3420E+000
211.5000,-5.5327E+000
212.5000,-9.9866E+000
213.5000,-1.1678E+001
214.5000,-1.3967E+001
215.5000,-1.5518E+001
216.5000,-1.7318E+001
217.5000,-1.1833E+001
218.5000,-1.5395E+000
219.5000,-1.0668E+001
220.5000,-1.7671E+001
221.5000,-2.1579E+001
222.5000,-3.7939E+001
223.5000,-2.5944E+001
224.5000,-3.2928E+001
225.5000,-2.5595E+001
226.5000,-2.7360E+001
227.5000,-1.9493E+001
228.5000,-1.7203E+001
229.5000,-1.7479E+001
230.5000,-1.8659E+001
231.5000,-2.1306E+001
232.5000,-1.7713E+001
233.5000,-2.0998E+001
234.5000,-2.6346E+001
235.5000,-3.5848E+001
236.5000,-2.8387E+001
237.5000,-2.8596E+001
238.5000,-1.9444E+001
239.5000,-2.8454E+001
240.5000,-2.2430E+001
241.5000,-2.7001E+001
242.5000,-2.6722E+001
243.5000,-1.7380E+001
244.5000,-1.2879E+001
245.5000,-1.2385E+001
246.5000,-1.4212E+001
247.5000,-1.7588E+001
248.5000,-2.2901E+001
249.5000,-2.4336E+001
250.5000,-2.4778E+001
251.5000,-1.9723E+001
252.5000,-2.5291E+001
253.5000,-2.8961E+001
254.5000,-2.7115E+001
255.5000,-2.3508E+001
256.5000,-2.5401E+001
257.5000,-2.1993E+001
258.5000,-2.2178E+001
259.5000,-1.9943E+001
260.5000,-2.9963E+001
261.5000,-4.1458E+001
262.5000,-3.2250E+001
263.5000,-3.1402E+001
264.5000,-4.2092E+001
265.5000,-3.7909E+001
266.5000,-2.8418E+001
267.5000,-3.7326E+001
268.5000,-5.7908E+001
269.5000,-2.3999E+001
270.5000,-2.9659E+001
271.5000,-2.2503E+001
272.5000,-2.1141E+001
273.5000,-2.1709E+001
274.5000,-3.4838E+001
275.5000,-2.2440E+001
276.5000,-2.6741E+001
277.5000,-1.3819E+001
278.5000,-3.7538E+001
279.5000,-4.4309E+001
280.5000,-4.4296E+001
281.5000,-4.3940E+001
282.5000,-4.0891E+001
283.5000,-5.9056E+001
284.5000,-4.4421E+001
285.5000,-3.9637E+001
286.5000,-5.2155E+001
287.5000,-5.0124E+001
288.5000,-4.6924E+001
289.5000,-4.5397E+001
290.5000,-3.6496E+001
291.5000,-4.0061E+001
292.5000,-3.4769E+001
293.5000,-3.5358E+001
294.5000,-2.8920E+001
295.5000,-3.7613E+001
296.5000,-4.1975E+001
297.5000,-3.5602E+001
298.5000,-5.2312E+001
299.5000,-7.5429E+001
300.5000,-3.5634E+001
301.5000,-2.6982E+001
302.5000,-2.9120E+001
303.5000,-2.6151E+001
304.5000,-3.9775E+001
305.5000,-7.8556E+001
306.5000,-5.7530E+001
307.5000,-3.4418E+001
308.5000,-3.9566E+001
309.5000,-7.1866E+001
310.5000,-8.3400E+001
311.5000,-5.2759E+001
312.5000,-3.0269E+001
313.5000,-2.3582E+001
314.5000,-2.3313E+001
315.5000,-1.5472E+001
316.5000,-2.5483E+001
317.5000,-2.7972E+001
318.5000,-2.1754E+001
319.5000,-2.4859E+001
320.5000,-7.4790E+001
321.5000,-9.3550E+001
322.5000,-8.4006E+001
323.5000,-7.1033E+001
324.5000,-1.0916E+002
325.5000,-7.8968E+001
326.5000,-7.0617E+001
327.5000,-2.7881E+001
328.5000,-3.7544E+001
329.5000,-9.5827E+001
330.5000,-5.4059E+001
331.5000,-2.8075E+001
332.5000,-1.3199E+001
333.5000,4.5313E+000
334.5000,6.5766E+000
335.5000,-7.6021E+000
336.5000,-1.5765E+001
337.5000,-2.5344E+001
338.5000,-4.0479E+001
339.5000,-2.2418E+001
340.5000,-3.9673E+000
341.5000,-2.0652E+001
342.5000,-3.3198E+001
343.5000,-3.7770E+001
344.5000,-5.6333E+001
345.5000,-5.1457E+001
346.5000,-3.2134E+001
347.5000,-3.7530E+001
348.5000,-8.2790E+001
349.5000,-1.3604E+002
350.5000,-1.3705E+002
351.5000,-9.0518E+001
352.5000,-4.5764E+001
353.5000,-1.1988E+001
354.5000,4.0514E-001
355.5000,1.5966E-001
356.5000,-3.4428E+000
357.5000,-1.3027E+001
358.5000,-7.9447E+001
359.5000,-1.5042E+002
360.5000,-8.7042E+001
361.5000,-5.0214E+001
362.5000,-3.6060E+001
363.5000,-2.5101E+001
364.5000,-3.7487E+001
365.5000,-3.1669E+001
366.5000,-4.3312E+001
367.5000,-4.8536E+001
368.5000,-8.4362E+001
369.5000,-8.4908E+001
370.5000,-5.1483E+001
371.5000,-2.3902E+001
372.5000,-5.7741E+001
373.5000,-7.8415E+001
374.5000,-5.1268E+001
375.5000,-3.1417E+001
376.5000,-1.4534E+001
377.5000,-9.5794E+000
378.5000,-5.3508E+001
379.5000,-1.2293E+002
380.5000,-6.4062E+001
381.5000,-3.1457E+001
382.5000,-2.5616E+001
383.5000,-1.5519E+001
384.5000,7.0726E+000
385.5000,-4.7837E+001
386.5000,-5.1169E+001
387.5000,-2.2261E+001
388.5000,-1.0787E+001
389.5000,-6.7464E+001
390.5000,-5.9884E+001
391.5000,-2.7562E+001
392.5000,-8.1711E+001
393.5000,-5.2328E+001
394.5000,-1.6611E+001
395.5000,-3.5323E+001
396.5000,-2.8522E+001
397.5000,-3.2873E+001
398.5000,-1.5183E+002
399.5000,-1.2287E+002
400.5000,-5.7163E+001
401.5000,-2.7971E+001
402.5000,-9.6921E+000
403.5000,-7.4415E+000
404.5000,-2.2760E+001
405.5000,-1.7736E+001
406.5000,-1.0517E+001
407.5000,-2.5555E+001
408.5000,-6.3057E+001
409.5000,-2.8143E+001
410.5000,-1.2875E+000
411.5000,-2.2038E+001
412.5000,-1.7928E+001
413.5000,1.3399E+001
