"",33.000
0.5000,0.0000E+000
1.5000,-1.0542E+002
2.5000,-1.0918E+002
3.5000,-5.6198E+001
4.5000,-4.2127E+001
5.5000,-4.3286E+001
6.5000,-5.4037E+001
7.5000,-6.6384E+001
8.5000,-7.6079E+001
9.5000,-6.1345E+001
10.5000,-3.4020E+001
11.5000,-2.7013E+001
12.5000,-4.4227E+001
13.5000,-5.6768E+001
14.5000,-7.7050E+001
15.5000,-8.5546E+001
16.5000,-3.0779E+001
17.5000,-1.4464E+001
18.5000,-2.4856E+001
19.5000,-1.5043E+001
20.5000,-2.3529E+001
21.5000,-5.0274E+001
22.5000,-6.1548E+001
23.5000,-9.6910E+001
24.5000,-8.1465E+001
25.5000,-6.6823E+001
26.5000,-5.8211E+001
27.5000,-4.7482E+001
28.5000,-2.9662E+001
29.5000,-2.5824E+001
30.5000,-1.4685E+001
31.5000,-1.2726E+001
32.5000,-8.9907E+000
33.5000,-1.0398E+001
34.5000,-3.3278E+001
35.5000,-2.7426E+001
36.5000,-2.9175E+001
37.5000,-5.6880E+001
38.5000,-6.2332E+001
39.5000,-4.6969E+001
40.5000,-3.5321E+001
41.5000,-3.6957E+001
42.5000,-3.6538E+001
43.5000,-4.6149E+001
44.5000,-4.2017E+001
45.5000,-4.7519E+001
46.5000,-4.8147E+001
47.5000,-2.3905E+001
48.5000,-1.9706E+001
49.5000,-1.6265E+001
50.5000,-1.4645E+001
51.5000,-4.8123E+001
52.5000,-6.1260E+001
53.5000,-2.3337E+001
54.5000,-9.0978E+000
55.5000,-1.8850E+001
56.5000,-2.3113E+001
57.5000,-2.0691E+001
58.5000,-1.7632E+001
59.5000,-5.5586E+001
60.5000,-3.8687E+001
61.5000,-2.4836E+001
62.5000,-1.7664E+001
63.5000,-1.5273E+001
64.5000,-5.0199E+001
65.5000,-3.5440E+001
66.5000,-3.1530E+001
67.5000,-2.1757E+001
68.5000,-8.5428E+000
69.5000,-8.0863E+000
70.5000,-6.4802E+000
71.5000,-2.3760E+000
72.5000,-7.8263E-003
73.5000,-1.1172E+001
74.5000,-2.6821E+001
75.5000,-1.1131E+001
76.5000,-2.2383E+001
77.5000,1.1493E+001
78.5000,2.0636E+001
79.5000,-1.5617E+000
80.5000,-1.3906E+001
81.5000,-2.4609E+000
82.5000,-1.6706E+001
83.5000,-5.9133E+001
84.5000,-5.1594E+001
85.5000,-3.3153E+001
86.5000,-2.7070E+001
87.5000,-2.2325E+001
88.5000,-9.8674E+000
89.5000,-4.2132E+000
90.5000,-2.5318E+000
91.5000,-3.1317E+001
92.5000,-5.6588E+001
93.5000,-1.6857E+001
94.5000,-1.0469E+001
95.5000,3.9103E+000
96.5000,-1.7149E+001
97.5000,-4.7337E+001
98.5000,-4.4955E+001
99.5000,-3.9102E+001
100.5000,-3.5668E+001
101.5000,-3.7174E+001
102.5000,-3.2450E+001
103.5000,-2.4916E+001
104.5000,-1.6993E+001
105.5000,-8.1866E+000
106.5000,-7.5323E+000
107.5000,-1.9595E+000
108.5000,8.5775E-002
109.5000,2.6016E+000
110.5000,-1.7923E+001
111.5000,-5.6820E+001
112.5000,-4.8389E+001
113.5000,-3.4820E+001
114.5000,-3.7381E+001
115.5000,-3.3181E+001
116.5000,-1.9021E+001
117.5000,-3.2623E+001
118.5000,-5.8865E+000
119.5000,-9.9080E+000
120.5000,-5.2623E+001
121.5000,-5.6526E+001
122.5000,-3.2424E+001
123.5000,-9.0014E+000
124.5000,-9.3843E+000
125.5000,-1.3459E+001
126.5000,-2.5506E+001
127.5000,-2.4091E+001
128.5000,-2.8392E+001
129.5000,-6.8537E+001
130.5000,-3.5344E+001
131.5000,-3.6455E+000
132.5000,-6.1275E+000
133.5000,-2.3193E+001
134.5000,-3.2328E+001
135.5000,-2.7718E+001
136.5000,-3.3053E+001
137.5000,-2.5529E+001
138.5000,-6.0979E+000
139.5000,-3.0135E+001
140.5000,-4.8619E+001
141.5000,-6.6348E+001
142.5000,-3.7101E+001
143.5000,-1.6088E+001
144.5000,-3.8109E+001
145.5000,-4.4378E+001
146.5000,-3.0259E+001
147.5000,-3.8811E+001
148.5000,-5.1261E+001
149.5000,-2.3791E+001
150.5000,-4.5443E+001
151.5000,-2.1404E+001
152.5000,-2.6424E+000
153.5000,-6.0265E+001
154.5000,-7.6279E+001
155.5000,-3.7768E+001
156.5000,-2.1419E+001
157.5000,-1.7787E+001
158.5000,-1.7523E+001
159.5000,-5.1959E+001
160.5000,-6.5364E+001
161.5000,-5.0612E+001
162.5000,-4.0035E+001
163.5000,-1.9842E+001
164.5000,-1.7037E+001
165.5000,-3.3676E+001
166.5000,-8.7340E+001
167.5000,-8.1459E+001
168.5000,-3.2256E+001
169.5000,-1.3663E+001
170.5000,-1.9588E+001
171.5000,-4.9391E+001
172.5000,-8.6468E+001
173.5000,-9.6954E+001
174.5000,-7.8733E+001
175.5000,-5.9284E+001
176.5000,-5.1002E+001
177.5000,-6.1183E+001
178.5000,-7.0938E+001
179.5000,-4.6069E+001
180.5000,-5.4282E+001
181.5000,-1.4310E+002
182.5000,-9.2100E+001
183.5000,-4.2470E+001
184.5000,-6.2884E+001
185.5000,-8.8167E+001
186.5000,-1.1273E+002
187.5000,-1.2342E+002
188.5000,-1.2568E+002
189.5000,-1.0774E+002
190.5000,-8.7924E+001
191.5000,-7.6245E+001
192.5000,-5.2555E+001
193.5000,-3.5421E+001
194.5000,-2.4088E+001
195.5000,-5.9475E+000
196.5000,3.1984E+000
197.5000,-3.9286E+000
198.5000,-1.8047E+001
199.5000,-3.5968E+001
200.5000,-4.3540E+001
201.5000,-3.9555E+001
202.5000,-3.0961E+001
203.5000,-2.0139E+001
204.5000,-1.1672E+001
205.5000,-1.4711E+001
206.5000,-3.3955E+001
207.5000,-8.9467E+001
208.5000,-9.5403E+001
209.5000,-6.9374E+001
210.5000,-5.9166E+001
211.5000,-4.8503E+001
212.5000,-5.8421E+001
213.5000,-5.8430E+001
214.5000,-5.6223E+001
215.5000,-6.3005E+001
216.5000,-8.6085E+001
217.5000,-9.4686E+001
218.5000,-6.0236E+001
219.5000,-6.7298E+001
220.5000,-8.1200E+001
221.5000,-8.7539E+001
222.5000,-1.4943E+002
223.5000,-1.1806E+002
224.5000,-1.2427E+002
225.5000,-9.7556E+001
226.5000,-9.8302E+001
227.5000,-6.7695E+001
228.5000,-5.5501E+001
229.5000,-5.4165E+001
230.5000,-5.9629E+001
231.5000,-7.1384E+001
232.5000,-5.9547E+001
233.5000,-6.6519E+001
234.5000,-8.2510E+001
235.5000,-1.1214E+002
236.5000,-8.9641E+001
237.5000,-9.2884E+001
238.5000,-7.0272E+001
239.5000,-1.0095E+002
240.5000,-8.0054E+001
241.5000,-8.8954E+001
242.5000,-9.6534E+001
243.5000,-8.0179E+001
244.5000,-6.1039E+001
245.5000,-4.9946E+001
246.5000,-4.8399E+001
247.5000,-5.7833E+001
248.5000,-7.7742E+001
249.5000,-8.7735E+001
250.5000,-8.6157E+001
251.5000,-6.9319E+001
252.5000,-8.8671E+001
253.5000,-9.7574E+001
254.5000,-9.0951E+001
255.5000,-7.7053E+001
256.5000,-7.7226E+001
257.5000,-6.5057E+001
258.5000,-7.0018E+001
259.5000,-7.9068E+001
260.5000,-1.1201E+002
261.5000,-1.3848E+002
262.5000,-1.2490E+002
263.5000,-1.0323E+002
264.5000,-1.0137E+002
265.5000,-9.5326E+001
266.5000,-7.4016E+001
267.5000,-8.3327E+001
268.5000,-1.2101E+002
269.5000,-5.5522E+001
270.5000,-6.6627E+001
271.5000,-5.0754E+001
272.5000,-5.1093E+001
273.5000,-6.4362E+001
274.5000,-9.9838E+001
275.5000,-5.6038E+001
276.5000,-5.8474E+001
277.5000,-3.3988E+001
278.5000,-8.5304E+001
279.5000,-8.5808E+001
280.5000,-8.3679E+001
281.5000,-9.3868E+001
282.5000,-9.2185E+001
283.5000,-1.3722E+002
284.5000,-1.1907E+002
285.5000,-9.7432E+001
286.5000,-1.1115E+002
287.5000,-9.8625E+001
288.5000,-8.7029E+001
289.5000,-8.5341E+001
290.5000,-7.5500E+001
291.5000,-8.2070E+001
292.5000,-7.0569E+001
293.5000,-7.9749E+001
294.5000,-7.2169E+001
295.5000,-7.7501E+001
296.5000,-7.4549E+001
297.5000,-6.4334E+001
298.5000,-8.7299E+001
299.5000,-1.1789E+002
300.5000,-5.7850E+001
301.5000,-4.3914E+001
302.5000,-5.2676E+001
303.5000,-5.4026E+001
304.5000,-7.0828E+001
305.5000,-1.1618E+002
